	gene	pvalue
0	ABCA13	0.06525903030382052
0	ADGRB1	0.043238132746832816
0	APPL2	0.020613416668581838
0	ARSJ	0.23975006109347674
0	CEP250	0.34154569915480437
0	CERS3	0.03681913506015133
0	COL14A1	0.24527751451583685
0	COL24A1	0.046766256344546515
0	DCAF4	0.03681913506015133
0	DNAH10	0.13445417828734524
0	DPYSL5	0.39463401306714063
0	EDDM3A	0.5
0	EVPL	0.08876492620607684
0	EYA3	0.12410653949496181
0	FAM46A	0.12410653949496181
0	FAT1	0.4364278592235807
0	GABRA1	0.5
0	GGCX	0.3085375387259869
0	HAPLN3	0.020613416668581838
0	HIST3H2A	0.5
0	IZUMO1R	0.12410653949496181
0	KDM1A	0.23975006109347674
0	KIAA1109	0.4493072395007191
0	KLF1	0.06680720126885807
0	KRTAP1-3	0.12410653949496181
0	LRP1B	0.43419243569586263
0	LY6D	0.23975006109347674
0	MESP2	0.06680720126885807
0	MRPL4	0.27014568730370997
0	NELL1	0.2193557323153788
0	NOP58	0.23975006109347674
0	NUFIP2	0.020613416668581838
0	NUGGC	0.12410653949496181
0	OR4C15	0.15524721715861745
0	P2RY1	0.12410653949496181
0	PCDHA10	0.18773905990197165
0	PCDHA13	0.1413148627547371
0	PDE3A	0.06495202431137408
0	PEX12	0.23975006109347674
0	PFKFB3	0.06680720126885807
0	PIP4K2A	0.23975006109347674
0	PKHD1	0.45090116021657595
0	PPP2R5D	0.03681913506015133
0	PRMT2	0.23975006109347674
0	PTCHD2	0.41457976554641834
0	RANBP10	0.38641499634222376
0	RECQL	0.011671101006445408
0	RNF111	0.28185143082538655
0	RPS3	0.5
0	RRAS2	0.23975006109347674
0	SERTAD3	0.23975006109347674
0	SI	0.1619391524126616
0	SLAMF7	0.5
0	SMG1	0.05298440456360116
0	SPANXN4	0.5
0	SPRY3	0.23975006109347674
0	SRPR	0.12410653949496181
0	SSTR5	0.23975006109347674
0	STK4	0.23975006109347674
0	SYF2	0.23975006109347674
0	TBPL1	0.23975006109347674
0	TMEM87A	0.23975006109347674
0	TNN	0.2578191088983204
0	TNR	0.24638906534510163
0	TRIM42	0.3638617733347751
0	TSLP	0.23975006109347674
0	USP5	0.031715712644305616
0	VCL	0.27014568730370997
0	ZDHHC20	0.5
0	ACSF2	0.12410653949496181
0	ACTL6A	0.23975006109347674
0	ADGRB3	0.4674626558210586
0	ADGRL2	0.034639941610601
0	ANKS3	0.06680720126885807
0	ARHGAP17	0.41912824319291314
0	ARHGAP29	0.29794154528258887
0	ASCC3	0.4012936743170763
0	ATP13A4	0.3283209671310283
0	C14orf169	0.12410653949496181
0	CDH19	0.056175598845231975
0	CELSR2	0.25927463261904643
0	CFAP221	0.5
0	CHD4	0.0038303805675897287
0	COL6A6	0.3341175708976247
0	CSMD3	0.22471772469567686
0	CXCL9	0.23975006109347674
0	CYP2A13	0.34154569915480437
0	DIO1	0.5
0	DPH7	0.5
0	DRAM1	0.5
0	ECM1	0.03681913506015133
0	FAF1	0.12410653949496181
0	FIZ1	0.12410653949496181
0	FMN2	0.03780440963293805
0	GNPTAB	0.4012936743170763
0	GPR137C	0.23975006109347674
0	HJURP	0.23975006109347674
0	KATNAL1	0.06680720126885807
0	KDM4E	0.23975006109347674
0	KMT2D	0.058972314365983394
0	LRRC27	0.23975006109347674
0	MFHAS1	0.07445733658938286
0	MUC5AC	0.35168301340313124
0	MYH4	0.47941773003857974
0	MYH7	0.21690432421099848
0	NLRP12	0.08503348072695238
0	NPAP1	0.24580252640237515
0	NPFFR2	0.3638617733347751
0	NUP88	0.03681913506015133
0	OR51B2	0.03681913506015133
0	OR5P2	0.12410653949496181
0	PARP9	0.5
0	PAX6	0.06680720126885807
0	PDZD2	0.3319971731351179
0	PKP3	0.03681913506015133
0	PLEKHH2	0.15524721715861745
0	PNMA1	0.23975006109347674
0	POM121C	0.12410653949496181
0	PPAP2B	0.5
0	PPP1R1C	0.5
0	PRPF40B	0.4012936743170763
0	ROPN1	0.12410653949496181
0	RTEL1-TNFRSF6B	0.12410653949496181
0	RTN4RL2	0.23975006109347674
0	RUNX1T1	0.3251857416769245
0	SEPT12	0.06680720126885807
0	SFSWAP	0.5
0	SLC2A7	0.5
0	SLC6A12	0.03681913506015133
0	SNX4	0.12410653949496181
0	SPAG17	0.27034322014240597
0	SPEG	0.213162771692204
0	ST6GALNAC6	0.23975006109347674
0	STARD10	0.5
0	STX1A	0.020613416668581838
0	STX8	0.5
0	SZT2	0.3743870208532736
0	TIAL1	0.12410653949496181
0	TM4SF1	0.23975006109347674
0	TMEM237	0.23975006109347674
0	TNC	0.3501556864684451
0	TNFAIP6	0.03681913506015133
0	TOR1AIP2	0.06680720126885807
0	TP53	0.3155907202430017
0	TRAF3IP2	0.23975006109347674
0	TRIOBP	0.147476467719873
0	TRPM2	0.040059156863817086
0	TUBB2A	0.23975006109347674
0	VPS13D	0.1130521615739109
0	WDR17	0.029974851497224946
0	ZC3H7B	0.020613416668581838
0	ZFHX4	0.18558424712974703
0	ZNF292	0.2926894642304808
0	ZNF578	0.5
0	ADAMTS14	0.10796246947007015
0	ADAMTS20	0.1160069672530582
0	ASIC5	0.36183680491588155
0	ATR	0.16083517063280367
0	BST1	0.12410653949496181
0	CHD7	0.3686578386082091
0	CNTNAP2	0.10327122773424396
0	CYB561A3	0.5
0	DCAF12L2	0.23772984650044304
0	DENND4C	0.5
0	ECHS1	0.5
0	EGFL7	0.5
0	EXO1	0.23975006109347674
0	FABP3	0.5
0	FARP1	0.18065521426308934
0	FAT3	0.31909091935536404
0	FBXL2	0.23975006109347674
0	FZD1	0.011671101006445408
0	GCM2	0.06680720126885807
0	GIMAP6	0.5
0	GLP2R	0.3027883081676732
0	GOLGA5	0.06680720126885807
0	GON4L	0.31171667069105247
0	HAPLN2	0.5
0	MDM2	0.12410653949496181
0	MICU1	0.12410653949496181
0	MUC17	0.4872469637795329
0	NAA20	0.23975006109347674
0	NAT8	0.08292833017145501
0	NDUFA12	0.5
0	NOTCH1	0.08102858369224664
0	NR4A3	0.23975006109347674
0	OLFML2A	0.03681913506015133
0	OR5L2	0.34154569915480437
0	OR6F1	0.4012936743170763
0	OXER1	0.23975006109347674
0	PCDH15	0.2844277882466698
0	PCDHGB5	0.34154569915480437
0	PCLO	0.3056857746290927
0	PIBF1	0.08292833017145501
0	PKD1L1	0.1226390584033864
0	PLEKHG1	0.35750032734404463
0	PSD3	0.2701456873037099
0	RERE	0.1029516053660342
0	RNF213	0.09773681558056602
0	SASH1	0.07652094207940999
0	SEPP1	0.23975006109347674
0	SFRP4	0.3743870208532736
0	SIL1	0.12410653949496181
0	SLC11A2	0.03681913506015133
0	SLC19A3	0.020613416668581838
0	SLITRK5	0.20792151786152774
0	SNW1	0.06680720126885807
0	SOAT2	0.03681913506015133
0	SUGCT	0.1178399567145188
0	SUN2	0.12410653949496181
0	TGFBR3	0.08292833017145501
0	TMOD4	0.23975006109347674
0	TNPO1	0.06680720126885807
0	TTC19	0.5
0	VPS13B	0.20388130836289364
0	WDR89	0.5
0	WDR91	0.06680720126885807
0	XIRP2	0.1781835418961223
0	XXYLT1	0.03681913506015133
0	ZEB2	0.06182885520141673
0	ZNF19	0.12410653949496181
0	ZPR1	0.23975006109347674
0	ACADM	0.12410653949496181
0	ADGRG7	0.17288929307558015
0	AHNAK	0.39065210157366065
0	ALB	0.5
0	ANK2	0.22439251866312548
0	ANKRD30B	0.4155852047708812
0	ANTXR2	0.5
0	ARHGAP28	0.5
0	ASMT	0.08292833017145501
0	ASXL3	0.12709778795289745
0	ATAD5	0.41651444685976063
0	BARHL1	0.06680720126885807
0	BARX2	0.23975006109347674
0	C16orf46	0.23975006109347674
0	C22orf39	0.5
0	C4orf3	0.23975006109347674
0	C6	0.28564981074972434
0	CASP6	0.12410653949496181
0	CCDC132	0.3312602917700287
0	CD163	0.019473727871012713
0	CDH10	0.3282503638876713
0	CDH9	0.4839489767108807
0	CFHR5	0.3759148170229246
0	CHRD	0.2118553985833967
0	CIRH1A	0.5
0	CNTNAP5	0.21489763616977792
0	COL11A1	0.038910295391758803
0	COL4A5	0.17726973988675065
0	CREBBP	0.4873864396849802
0	CSMD1	0.26459951674979615
0	CSMD2	0.0033048032179920583
0	CSN1S1	0.23975006109347674
0	CYP27C1	0.12410653949496181
0	DCHS2	0.43965589740616745
0	DGKK	0.28564981074972434
0	DKK2	0.17288929307558015
0	DNAH7	0.0480619819666358
0	DNAJB11	0.23975006109347674
0	DPP10	0.3700051180291794
0	DPYD	0.31054309077841813
0	EFCAB12	0.1178399567145188
0	ENPP3	0.0038303805675897287
0	ERCC5	0.09521513191276199
0	EYS	0.024096944940839006
0	FAM181A	0.03681913506015133
0	FBN1	0.09742532430443479
0	FHL5	0.5
0	FKBP15	0.5
0	FLCN	0.011671101006445408
0	FLNC	0.25342628038541337
0	FRK	0.12410653949496181
0	FRMD1	0.5
0	FYB	0.4012936743170763
0	GALNT6	0.06680720126885807
0	GALNTL6	0.02342708880193688
0	GPR158	0.2593025082143628
0	GRIK4	0.020613416668581838
0	HCN1	0.17986119545806994
0	HEPHL1	0.12410653949496181
0	HLTF	0.36183680491588155
0	HNRNPF	0.06680720126885807
0	IGHV3-21	0.5
0	IGLV2-8	0.5
0	IPMK	0.12410653949496181
0	IQCJ	0.23975006109347674
0	KCNJ12	0.14442218317324246
0	KIAA1024	0.24948114930188053
0	KIAA1211	0.31762814799862416
0	KIF20B	0.39463401306714063
0	KLHL7	0.06680720126885807
0	KRTAP12-2	0.23975006109347674
0	KRTAP20-2	0.12410653949496181
0	LAIR1	0.03681913506015133
0	LAMA1	0.010647936421521946
0	LAMB4	0.2754924937925467
0	LATS1	0.3027883081676732
0	LRIT1	0.14193823728614724
0	LRRIQ1	0.2869440234936249
0	LRRTM1	0.43153130707101506
0	LRRTM4	0.39908964291434385
0	MACC1	0.3027883081676732
0	MAGEC1	0.33248982616906797
0	MORC1	0.21690432421099848
0	MROH2B	0.4686611915198515
0	MUC16	0.11658070029529449
0	MYO18B	0.1413148627547371
0	NAV3	0.35328934783685423
0	NEURL4	0.1508497912391739
0	NLRP11	0.20924611672340993
0	NLRP4	0.28688770181636525
0	NPC1	0.06680720126885807
0	OR1J2	0.12410653949496181
0	OR4A15	0.002213262928959916
0	OR52N5	0.06680720126885807
0	OR5D16	0.4115316368790607
0	OR5F1	0.30853753872598694
0	OR5I1	0.5
0	OR6C74	0.06680720126885807
0	PCDH10	0.2633516408648926
0	PIK3R6	0.06680720126885807
0	PKHD1L1	0.24616706270324967
0	PLD5	0.011671101006445408
0	PPP1R9A	0.4371835305814459
0	PRAMEF6	0.5
0	PTF1A	0.23975006109347674
0	ROCK1	0.33250277105101456
0	RP11-49K24.9	0.12410653949496181
0	RPS13	0.23975006109347674
0	RYR2	0.33859113736477064
0	SCML2	0.12410653949496181
0	SELL	0.23975006109347674
0	SFXN2	0.23975006109347674
0	SHANK2	0.22979869309197115
0	SLC17A6	0.5
0	SLC24A3	0.06680720126885807
0	SLC35F5	0.011671101006445408
0	SLC39A12	0.42505336956926293
0	SLC44A1	0.12410653949496181
0	SLC6A15	0.1178399567145188
0	SPHKAP	0.017226818519735638
0	SSTR1	0.12841962897892828
0	SSTR3	0.011671101006445408
0	ST3GAL6	0.03681913506015133
0	SYNE1	0.33360889646998215
0	TAS2R7	0.23975006109347674
0	TBC1D15	0.23975006109347674
0	TFAP2D	0.34154569915480437
0	TIE1	0.23772984650044304
0	TMEM19	0.12410653949496181
0	TSPY1	0.23975006109347674
0	TTC5	0.12410653949496181
0	TTN	0.4802576849550344
0	UBN2	0.4012936743170763
0	UBXN6	0.011671101006445408
0	USH2A	0.4862589712928134
0	VCAM1	0.11651899113695269
0	VPS37C	0.23975006109347674
0	YLPM1	0.15524721715861745
0	YWHAZ	0.12410653949496181
0	ZC3H14	0.06680720126885807
0	ZNF23	0.03681913506015133
0	ZNF518A	0.016503128830616255
0	ZNF841	0.5
0	ZNF99	0.1003290427209777
0	ZP2	0.20565689588812947
0	A2M	0.4012936743170763
0	ABCC9	0.39634098454016586
0	ADAL	0.23975006109347674
0	ADAM2	0.5
0	ADGRG4	0.02845288510334742
0	ADGRV1	0.42168159043109016
0	AFF3	0.032390890803741745
0	AGAP3	0.5
0	AKR1D1	0.17288929307558015
0	AMPD1	0.06680720126885807
0	ANO10	0.23975006109347674
0	AP5B1	0.12410653949496181
0	APOB	0.2968062820552214
0	APOL3	0.23975006109347674
0	ARID4B	0.020613416668581838
0	ATM	0.2948192758132836
0	ATP10B	0.22977129143714686
0	ATP6V0A2	0.5
0	ATP8B4	0.29794154528258887
0	ATXN7L2	0.2071080891212626
0	BCL2A1	0.23975006109347674
0	BLK	0.12410653949496181
0	BRI3	0.5
0	BRINP1	0.06832050240374159
0	C17orf104	0.12410653949496181
0	C1QTNF6	0.5
0	C7orf26	0.5
0	C8B	0.3027883081676732
0	CACNA2D1	0.10420640184207436
0	CAPNS2	0.12410653949496181
0	CATSPERD	0.3638617733347751
0	CCDC185	0.03681913506015133
0	CCDC85A	0.18490647283969358
0	CCNJL	0.12410653949496181
0	CDCA3	0.5
