	gene	pvalue
0	ABCA13	0.17139085557395572
0	ABHD17B	0.12410653949496181
0	APPL2	0.006664164390408773
0	ATXN10	0.03681913506015133
0	BAZ2B	0.3255383170389172
0	CEP250	0.4012936743170763
0	CERS3	0.06680720126885807
0	COL14A1	0.3538302333272762
0	COL24A1	0.060116400268406124
0	DCAF4	0.03681913506015133
0	DNAH10	0.11862791331174732
0	DPYSL5	0.38641499634222376
0	EDDM3A	0.23975006109347674
0	EVPL	0.10154589378858392
0	FAT1	0.3728138898571155
0	GABRA1	0.3890798430880829
0	GGCX	0.3085375387259869
0	GTF3C3	0.06680720126885807
0	HAPLN3	0.05949536044656177
0	HIST3H2A	0.5
0	IGKV1D-42	0.34154569915480437
0	KDM1A	0.23975006109347674
0	KLF1	0.12410653949496181
0	KRTAP1-3	0.12410653949496181
0	LRP1B	0.21207149152261617
0	LY6D	0.23975006109347674
0	MED10	0.5
0	MESP2	0.06680720126885807
0	MRPL4	0.5
0	NELL1	0.20765618962278004
0	NOP58	0.5
0	NUFIP2	0.011671101006445408
0	NUGGC	0.12410653949496181
0	P2RY1	0.23975006109347674
0	PCDHA10	0.20834787990145626
0	PCDHA13	0.4359818836851042
0	PDE3A	0.07122644718543579
0	PEX12	0.23975006109347674
0	PFKFB3	0.06680720126885807
0	PIP4K2A	0.23975006109347674
0	PKHD1	0.36493883402073257
0	PPP2R5D	0.06680720126885807
0	PRMT2	0.23975006109347674
0	PTCHD2	0.17478740306164908
0	RNF111	0.3027883081676732
0	RPS3	0.5
0	RRAS2	0.23975006109347674
0	SI	0.11561260082433056
0	SLAMF7	0.5
0	SMG1	0.03337650758481726
0	SRPR	0.23975006109347674
0	STK4	0.23975006109347674
0	TBPL1	0.23975006109347674
0	TMEM87A	0.23975006109347674
0	TNN	0.33219472158599955
0	TNR	0.27500711772120645
0	TP53	0.4827846227620638
0	TRIM42	0.5
0	TSLP	0.5
0	USP5	0.031715712644305616
0	VCL	0.27014568730370997
0	ZDHHC20	0.5
0	ZNF318	0.13419081364638036
0	ACSF2	0.12410653949496181
0	ADGRB3	0.4359818836851042
0	ADGRL2	0.04259584821793974
0	ANKS3	0.06680720126885807
0	ARHGAP29	0.28537519402908695
0	ASCC3	0.5
0	ATP13A4	0.4319158714273632
0	C14orf169	0.12410653949496181
0	CDH10	0.3259923500848052
0	CDH19	0.07736446174268921
0	CELSR2	0.2681760724038381
0	CFAP221	0.5
0	CHD4	0.0038303805675897287
0	CREBBP	0.4569929498152934
0	CSMD3	0.20886362464774771
0	CYP2A13	0.34154569915480437
0	DIO1	0.5
0	DPH7	0.23975006109347674
0	DRAM1	0.5
0	ECM1	0.03681913506015133
0	FAF1	0.12410653949496181
0	FAM47A	0.0394972179168612
0	FAM90A1	0.06680720126885807
0	FASTKD3	0.2266273523768682
0	FIZ1	0.5
0	FMN2	0.028212742951216778
0	GNPTAB	0.4012936743170763
0	GPR137C	0.23975006109347674
0	HJURP	0.23975006109347674
0	KATNAL1	0.06680720126885807
0	KDM4E	0.17288929307558015
0	KMT2D	0.025966691965165323
0	LRRC27	0.23975006109347674
0	MFHAS1	0.07445733658938286
0	MUC5AC	0.2754924937925467
0	MYH4	0.4764387446336614
0	MYH7	0.30989819424706655
0	NLRP12	0.09244879948280016
0	NPAP1	0.236644732690045
0	NPFFR2	0.3638617733347751
0	NUP88	0.03681913506015133
0	OR51B2	0.03681913506015133
0	OR5P2	0.23975006109347674
0	PARP9	0.5
0	PAX6	0.06680720126885807
0	PKP3	0.03681913506015133
0	PLEKHG4B	0.06680720126885807
0	PNMA1	0.5
0	POM121C	0.23975006109347674
0	POU6F2	0.06680720126885807
0	PPAP2B	0.5
0	PPP1R1C	0.5
0	PRPF40B	0.5
0	ROPN1	0.5
0	RTN4RL2	0.23975006109347674
0	RUNX1T1	0.29416216818412133
0	SFSWAP	0.05949536044656177
0	SLC2A7	0.5
0	SLC6A12	0.03681913506015133
0	SNX4	0.12410653949496181
0	SPAG17	0.24330045699303293
0	SPEG	0.33942264971215913
0	ST6GALNAC6	0.27014568730370997
0	STARD10	0.5
0	STX1A	0.020613416668581838
0	STX8	0.5
0	SZT2	0.36944134018176367
0	TIAL1	0.23975006109347674
0	TM4SF1	0.23975006109347674
0	TNC	0.3312602917700287
0	TNFAIP6	0.06680720126885807
0	TOR1AIP2	0.12410653949496181
0	TRAF3IP2	0.23975006109347674
0	TRPM2	0.05440471502027284
0	TRPM6	0.19568296915377592
0	TUBB2A	0.12410653949496181
0	WDR17	0.022565333013982215
0	ZC3H7B	0.011671101006445408
0	ZFHX4	0.0401652798691595
0	ZMYM2	0.23975006109347674
0	ZNF266	0.06680720126885807
0	ZNF578	0.5
0	ZNF778	0.5
0	ATR	0.25634538013096175
0	BST1	0.12410653949496181
0	C8orf59	0.5
0	CNTNAP2	0.1101648765488421
0	CYB561A3	0.23975006109347674
0	CYLC2	0.12410653949496181
0	ECHS1	0.5
0	FABP3	0.5
0	FZD1	0.020613416668581838
0	GLP2R	0.3759148170229246
0	GON4L	0.3759148170229246
0	HAPLN2	0.5
0	KRT5	0.050174123231145375
0	LARS2	0.5
0	MICU1	0.5
0	NAA20	0.23975006109347674
0	NOTCH1	0.0057499562249091534
0	NR4A3	0.12410653949496181
0	OLFML2A	0.1178399567145188
0	OXER1	0.23975006109347674
0	PCDH15	0.1249157580062839
0	PIBF1	0.08292833017145501
0	PKD1L1	0.10154589378858392
0	PLEKHG1	0.35750032734404463
0	PSG3	0.5
0	RERE	0.06680720126885807
0	RNF213	0.09528509172740796
0	SFRP4	0.36944134018176367
0	SIL1	0.12410653949496181
0	SLC11A2	0.12410653949496181
0	SLITRK5	0.4611714400186801
0	SMARCC2	0.06680720126885807
0	SNW1	0.12410653949496181
0	SUGCT	0.17288929307558015
0	SUN2	0.12410653949496181
