	gene	pvalue
0	AKR1A1	0.5
0	AMD1	0.5
0	ANKS6	0.5
0	ARHGAP42	0.23975006109347674
0	ASB15	0.23975006109347674
0	CLDN5	0.5
0	COPS8	0.5
0	CORIN	0.12410653949496181
0	DDC	0.5
0	DOCK7	0.19323811538561636
0	DROSHA	0.23975006109347674
0	ENTPD2	0.5
0	FAM47E-STBD1	0.5
0	FBXL8	0.5
0	GLIS2	0.23975006109347674
0	HECTD1	0.23975006109347674
0	HTATSF1	0.5
0	ICAM3	0.5
0	KCNJ14	0.5
0	LARP7	0.5
0	LENEP	0.5
0	LFNG	0.23975006109347674
0	MPO	0.5
0	MYCBP2	0.07445733658938286
0	MYH14	0.3085375387259869
0	NUP133	0.06680720126885807
0	PABPC3	0.12410653949496181
0	PHF5A	0.5
0	PKP1	0.5
0	PLEKHA2	0.23975006109347674
0	PLEKHG3	0.06680720126885807
0	PVRIG	0.5
0	PXMP2	0.5
0	RAG1	0.5
0	RBMXL1	0.5
0	SCARA3	0.23975006109347674
0	SLC27A2	0.23975006109347674
0	SLC35F1	0.23975006109347674
0	SMURF1	0.5
0	SYNGAP1	0.12410653949496181
0	TNRC6B	0.12410653949496181
0	VHL	0.15200521373314158
0	AMICA1	0.12410653949496181
0	ASIC4	0.23975006109347674
0	ATP5A1	0.5
0	C1orf158	0.5
0	C4orf51	0.5
0	CARD9	0.23975006109347674
0	CCKAR	0.12410653949496181
0	CDC42BPA	0.12410653949496181
0	CERCAM	0.5
0	CPNE5	0.23975006109347674
0	CYB5R1	0.5
0	DHX57	0.5
0	ECT2	0.12410653949496181
0	ELP3	0.5
0	FBXL16	0.5
0	FGF2	0.5
0	GOLPH3	0.23975006109347674
0	MKNK2	0.12410653949496181
0	NICN1	0.5
0	PBRM1	0.43169278312400955
0	PROX1	0.12410653949496181
0	SECISBP2	0.23975006109347674
0	SETMAR	0.23975006109347674
0	TLR7	0.5
0	TPTE2	0.12410653949496181
0	TTN	0.1580416185478069
0	WDR36	0.23975006109347674
0	XRCC6BP1	0.5
0	ZCCHC6	0.12410653949496181
0	ZMIZ2	0.12410653949496181
0	ZNF493	0.5
0	ANGEL2	0.5
0	ATP8A1	0.23975006109347674
0	C3orf38	0.5
0	C8A	0.23975006109347674
0	CHST10	0.5
0	CTBP2	0.23975006109347674
0	CUL5	0.06680720126885807
0	DAPL1	0.5
0	DDX60L	0.12410653949496181
0	DIP2C	0.38641499634222376
0	ENPP4	0.5
0	ERICH6	0.5
0	FAT4	0.18554668476134878
0	FOXRED2	0.12410653949496181
0	GPR179	0.03681913506015133
0	GRSF1	0.5
0	GUSB	0.17288929307558015
0	HSD17B2	0.23975006109347674
0	HTR7	0.12410653949496181
0	IQGAP3	0.12410653949496181
0	KCTD20	0.23975006109347674
0	KIAA0922	0.23975006109347674
0	KIF7	0.5
0	KLF13	0.5
0	LARS2	0.23975006109347674
0	LDHAL6B	0.5
0	MCM2	0.12410653949496181
0	MPRIP	0.23975006109347674
0	MTDH	0.1178399567145188
0	NPIPA2	0.5
0	NUMA1	0.23975006109347674
0	NWD1	0.5
0	PDIA6	0.06680720126885807
0	PIDD1	0.12410653949496181
0	PKHD1	0.06182885520141673
0	PLEKHA3	0.5
0	PSD3	0.25249253754692297
0	RORA	0.27014568730370997
0	RPS19	0.5
