	gene	pvalue
0	AGL	0.23975006109347674
0	AKR1A1	0.23975006109347674
0	AMD1	0.5
0	ANKS6	0.5
0	ANXA10	0.12410653949496181
0	AP5M1	0.5
0	ARHGAP42	0.23975006109347674
0	ARID3B	0.5
0	ASB15	0.23975006109347674
0	C5orf56	0.5
0	COPS8	0.5
0	CORIN	0.5
0	CTSA	0.23975006109347674
0	DDC	0.5
0	DROSHA	0.5
0	EHMT1	0.5
0	ENTPD2	0.5
0	FANK1	0.5
0	FBXL8	0.5
0	GLIS2	0.5
0	HECTD1	0.23975006109347674
0	HTATSF1	0.5
0	ICAM3	0.5
0	KCNJ14	0.5
0	KRT1	0.5
0	LARP7	0.5
0	LFNG	0.23975006109347674
0	MPO	0.23975006109347674
0	MUC4	0.14011333428445516
0	NT5M	0.5
0	NUP133	0.23975006109347674
0	PHF5A	0.5
0	PKP1	0.5
0	PLEKHA2	0.23975006109347674
0	PLEKHG3	0.12410653949496181
0	PVRIG	0.5
0	SCARA3	0.5
0	SLC35F1	0.5
0	SMURF1	0.5
0	TNRC6B	0.12410653949496181
0	UBP1	0.5
0	VHL	0.10284746570063202
0	ZNF337	0.23975006109347674
0	ADGRG6	0.12410653949496181
0	AMICA1	0.12410653949496181
0	ASIC4	0.5
0	ATP5A1	0.5
0	C1orf158	0.5
0	C4orf51	0.5
0	CARD9	0.5
0	CCKAR	0.5
0	CDC42BPA	0.23975006109347674
0	CPNE5	0.23975006109347674
0	CSMD1	0.12410653949496181
0	CYB5R1	0.5
0	ECT2	0.23975006109347674
0	FANCI	0.23975006109347674
0	FBXL16	0.5
0	FCRL4	0.5
0	GOLPH3	0.23975006109347674
0	KIF21B	0.23975006109347674
0	KLRC1	0.5
0	NICN1	0.5
0	OPTC	0.23975006109347674
0	SETMAR	0.12410653949496181
0	TLR7	0.5
0	TPTE2	0.12410653949496181
0	TTN	0.3263770508765692
0	ZMIZ2	0.5
0	ZNF493	0.5
0	AARS	0.5
0	ANGEL2	0.5
0	ATP8A1	0.23975006109347674
0	AVIL	0.5
0	BUB1B	0.12410653949496181
0	C3orf38	0.5
0	CTBP2	0.23975006109347674
0	DDX60L	0.23975006109347674
0	DIP2C	0.12410653949496181
0	FOXRED2	0.12410653949496181
0	GPR179	0.23975006109347674
0	GRSF1	0.5
0	GUSB	0.5
0	HSD17B2	0.5
0	IQGAP3	0.12410653949496181
0	KIF7	0.5
0	LARS2	0.5
0	LDHAL6B	0.5
0	MCM2	0.23975006109347674
0	MPRIP	0.5
0	MTDH	0.23975006109347674
0	NEU1	0.5
0	NUMA1	0.23975006109347674
0	NWD1	0.5
0	PDIA6	0.12410653949496181
0	PIDD1	0.5
0	PLEKHA3	0.5
0	POC1B	0.23975006109347674
0	RNF6	0.5
0	RORA	0.5
0	RPS19	0.5
0	SH2D6	0.5
0	SIK3	0.5
0	SLC9A8	0.5
0	SLIT1	0.5
0	SYCE1	0.5
0	TNFRSF11B	0.5
0	TNNT2	0.5
0	TSNAX	0.5
0	UBR2	0.5
0	UNC13C	0.12410653949496181
0	VRTN	0.5
0	ZNF474	0.5
0	ZNF484	0.5
0	ZNF789	0.23975006109347674
0	ATP13A4	0.5
0	CD300E	0.5
0	CLDN4	0.23975006109347674
0	CYP4F12	0.5
0	EFCAB2	0.5
0	FGA	0.5
0	MLX	0.23975006109347674
0	PTEN	0.06680720126885807
0	ZNF280C	0.5
0	ACCS	0.5
0	ANKRD36	0.5
0	ASIC1	0.5
0	BMX	0.5
0	C10orf76	0.5
0	C16orf71	0.5
0	CARS	0.5
0	CBX8	0.5
0	CCDC181	0.23975006109347674
0	CDH8	0.23975006109347674
0	CHIT1	0.12410653949496181
0	CILP2	0.5
0	DNAH3	0.06680720126885807
0	DSC2	0.5
0	ENPEP	0.5
0	ERAP1	0.5
0	FARP1	0.5
0	FASN	0.03681913506015133
0	IPO4	0.12410653949496181
0	KDM4B	0.5
0	KIF1C	0.23975006109347674
0	KIFC1	0.5
0	LINGO1	0.23975006109347674
0	LMO4	0.23975006109347674
0	MTHFSD	0.5
0	NOTCH1	0.23975006109347674
0	PCDHA5	0.12410653949496181
0	PDLIM4	0.23975006109347674
0	PECR	0.5
0	SAMD7	0.5
0	SLC6A5	0.5
0	SLC8A3	0.23975006109347674
0	SPCS3	0.5
0	TBC1D15	0.5
0	TUSC3	0.5
0	VENTX	0.5
0	WDR46	0.5
0	ACO1	0.23975006109347674
0	AHSA2	0.5
0	ARAF	0.5
0	ATAD5	0.23975006109347674
0	B3GALTL	0.5
0	CC2D2A	0.23975006109347674
0	CCDC24	0.5
0	CNNM4	0.23975006109347674
0	DNAJB4	0.06680720126885807
0	ELMO1	0.5
0	HS1BP3	0.5
0	KLF12	0.5
0	LRRC42	0.23975006109347674
0	LRRTM1	0.5
0	MEX3B	0.5
0	MOCS3	0.5
0	MPND	0.5
0	NDST2	0.23975006109347674
0	PCDH7	0.5
0	RIOK2	0.5
0	SMARCA4	0.03681913506015133
0	SZT2	0.23975006109347674
0	TARS2	0.5
0	TMEM180	0.5
0	TUBB3	0.5
0	USP15	0.5
0	YARS	0.23975006109347674
0	C17orf75	0.12410653949496181
0	CERK	0.5
0	CNTNAP1	0.12410653949496181
0	COLEC11	0.5
0	DLGAP1	0.23975006109347674
0	ENPP2	0.5
0	FAM163B	0.5
0	HELZ	0.5
0	HIST1H2AJ	0.5
0	HMGN2	0.5
0	KIAA1024	0.23975006109347674
0	LAD1	0.5
0	LYST	0.06680720126885807
0	MICALL2	0.23975006109347674
0	NIT2	0.5
0	NUP210L	0.06680720126885807
0	RPS3A	0.5
0	SGCE	0.5
0	SGIP1	0.23975006109347674
0	TMEM187	0.5
0	TTC12	0.5
0	VPS41	0.23975006109347674
0	ZBTB26	0.5
0	ZCCHC2	0.23975006109347674
0	ZNF551	0.5
0	ZNF615	0.23975006109347674
0	ZNF616	0.12410653949496181
0	ZNF654	0.5
0	ARAP3	0.5
0	FAM73B	0.5
0	GOLGA5	0.5
0	KLHL25	0.5
0	MBD6	0.5
0	MRPS24	0.5
0	NKD2	0.5
0	OLFML3	0.5
0	POPDC2	0.23975006109347674
0	PSAT1	0.5
0	PTPRC	0.5
0	RELN	0.23975006109347674
0	RPL4	0.5
0	SLC29A4	0.5
0	SSMEM1	0.5
0	TTYH1	0.5
0	USP22	0.23975006109347674
0	BACH1	0.23975006109347674
0	BSN	0.23975006109347674
0	BTF3L4	0.5
0	CACNG4	0.5
0	CDH10	0.12410653949496181
0	CHST4	0.5
0	DCST2	0.23975006109347674
0	EEF1A1	0.5
0	FAM135B	0.12410653949496181
0	GTF3C1	0.12410653949496181
0	KPNA1	0.5
0	ME2	0.23975006109347674
0	MKS1	0.5
0	NGLY1	0.5
0	TBCC	0.5
0	TMEM181	0.5
0	TRPV6	0.5
0	WT1	0.23975006109347674
0	ZFP91	0.23975006109347674
0	ZNF425	0.5
0	ZNF679	0.5
0	ABHD14A-ACY1	0.5
0	ALOX12B	0.5
0	CCHCR1	0.5
0	CLASP2	0.5
0	CWF19L1	0.5
0	H1F0	0.23975006109347674
0	HIVEP2	0.06680720126885807
0	INTS2	0.5
0	KCTD18	0.5
0	KIAA1614	0.23975006109347674
0	MDH1	0.23975006109347674
0	MFRP	0.5
0	MIER1	0.23975006109347674
0	NOBOX	0.5
0	PITRM1	0.5
0	PQLC3	0.23975006109347674
0	RARA	0.12410653949496181
0	RASSF6	0.5
0	SERPINB7	0.5
0	SMAD9	0.5
0	SPZ1	0.23975006109347674
0	SSFA2	0.23975006109347674
0	SSTR1	0.5
0	TUBA4A	0.5
0	ZMYM6	0.23975006109347674
0	AK2	0.5
0	ARHGAP31	0.5
0	BRWD1	0.06680720126885807
0	C1orf56	0.5
0	C3AR1	0.5
0	CCNB1IP1	0.5
0	CEP135	0.5
0	CLIP2	0.5
0	COL4A4	0.5
0	COPG1	0.5
0	CTC1	0.5
0	DAPK1	0.23975006109347674
0	DISC1	0.12410653949496181
0	DPYSL3	0.5
0	FBXW11	0.5
0	FRMD3	0.5
0	GCNT4	0.5
0	GGT7	0.23975006109347674
0	GPR89A	0.5
0	HELQ	0.5
0	IFIH1	0.5
0	IL18BP	0.5
0	JMJD1C	0.12410653949496181
0	KIF16B	0.5
0	KRIT1	0.5
0	MYLK3	0.23975006109347674
0	NABP1	0.5
0	NDC1	0.5
0	NEBL	0.23975006109347674
0	NXPE2	0.5
0	ODF2	0.03681913506015133
0	OPA1	0.5
0	OR2AG1	0.5
0	PAF1	0.5
0	PIK3CA	0.23975006109347674
0	RBM25	0.23975006109347674
0	RFC1	0.5
0	RFTN1	0.5
0	RIN3	0.5
0	RNF4	0.5
0	RPGRIP1L	0.12410653949496181
0	SELL	0.5
0	SH3TC2	0.23975006109347674
0	SLC29A2	0.5
0	SP4	0.5
0	SYT10	0.5
0	SYT3	0.5
0	TAF1A	0.23975006109347674
0	TAX1BP1	0.5
0	TOM1	0.5
0	TUBG1	0.23975006109347674
0	WHSC1L1	0.12410653949496181
0	ZNF284	0.5
0	ZNF496	0.5
0	ZNF610	0.23975006109347674
0	ZUFSP	0.23975006109347674
0	ADAMTS12	0.06680720126885807
0	ADGRF1	0.5
0	AKAP8L	0.5
0	ANKRD34A	0.23975006109347674
0	ARID1B	0.23975006109347674
0	CACNA1D	0.23975006109347674
0	CDC14A	0.06680720126885807
0	COL1A2	0.12410653949496181
0	CREB3	0.23975006109347674
0	GOLGA3	0.12410653949496181
0	GPR155	0.5
0	HIST1H4E	0.5
0	IGSF9	0.5
0	MPG	0.5
0	OBSCN	0.1178399567145188
0	PFAS	0.23975006109347674
0	RERE	0.5
0	RHOB	0.5
0	SETDB1	0.5
0	SRC	0.23975006109347674
0	SUSD6	0.5
0	TMEM214	0.23975006109347674
0	TP53I3	0.27014568730370997
0	UNC5CL	0.23975006109347674
0	WLS	0.5
0	ZNF732	0.5
0	ANKRD42	0.5
0	DNAJC16	0.5
0	JAKMIP2	0.23975006109347674
0	JKAMP	0.5
0	JUP	0.5
0	L1CAM	0.5
0	PCDHGC5	0.5
0	SGCA	0.5
0	SLC9A9	0.5
0	VAPB	0.5
0	ZNF292	0.23975006109347674
0	ZNF324B	0.23975006109347674
0	ALOX15B	0.5
0	ANO1	0.5
0	ATP5C1	0.5
0	CDH23	0.27014568730370997
0	CDH7	0.23975006109347674
0	CHRNA1	0.5
0	CHRNB1	0.5
0	CLVS1	0.23975006109347674
0	CXCR6	0.06680720126885807
0	DBF4B	0.5
0	GNB1L	0.5
0	GREB1	0.12410653949496181
0	HMHA1	0.12410653949496181
0	IL3	0.5
0	KLHL38	0.5
0	LAYN	0.5
0	MAP6	0.5
0	MCHR2	0.5
0	NMRAL1	0.12410653949496181
0	ONECUT1	0.5
0	PIRT	0.5
0	SPATA31A6	0.5
0	SRP9	0.5
0	ZNF333	0.5
0	ZNF584	0.5
0	ZP4	0.5
0	BECN1	0.5
0	CMYA5	0.23975006109347674
0	EDA	0.5
0	FASTKD1	0.23975006109347674
0	GABBR1	0.5
0	GPM6A	0.5
0	MS4A7	0.5
0	NETO1	0.5
0	OR4P4	0.5
0	PCLO	0.03681913506015133
0	PEX5	0.5
0	PLA2G7	0.5
0	RNF180	0.5
0	SAMD14	0.23975006109347674
0	SKA1	0.5
0	SLC35G3	0.5
0	SPAG16	0.5
0	TBX3	0.5
0	TNRC18	0.3085375387259869
0	TTC17	0.23975006109347674
0	VPS13C	0.12410653949496181
0	CCT8L2	0.5
0	KIAA0195	0.23975006109347674
0	NUP85	0.5
0	PIK3R1	0.5
0	UBR1	0.5
0	ZNF510	0.5
0	ASTN1	0.5
0	DNAJA4	0.23975006109347674
0	EPHB4	0.12410653949496181
0	GALNT18	0.5
0	IGSF22	0.12410653949496181
0	KCNN3	0.5
0	KRT82	0.23975006109347674
0	LELP1	0.5
0	LRRC61	0.5
0	MITF	0.5
0	PDC	0.23975006109347674
0	PDCD6IP	0.5
0	PDS5B	0.23975006109347674
0	PI4K2B	0.5
0	PPWD1	0.5
0	SENP1	0.5
0	ZNF182	0.5
0	ZNF445	0.23975006109347674
0	ACLY	0.23975006109347674
0	ACSF3	0.5
0	B3GAT2	0.23975006109347674
0	CLSTN3	0.17288929307558015
0	CTSB	0.12410653949496181
0	DQX1	0.5
