	gene	pvalue
0	ABCA13	0.22697732614598737
0	ACACB	0.48373190474397715
0	ADAMTS20	0.4928216596502803
0	ADGRG4	0.16552369019766344
0	ADGRL3	0.3468410275970806
0	AMER3	0.2783639978706045
0	ANAPC7	0.23975006109347674
0	ANK1	0.10707174216259985
0	ANK2	0.16591177200051765
0	ANXA6	0.34154569915480437
0	ATM	0.214953087532952
0	BCORL1	0.04954314412020636
0	BRINP3	0.29104884429570177
0	C17orf98	0.5
0	C3orf30	0.23772984650044304
0	C6	0.09173865302757567
0	CACNA1C	0.047952388023271
0	CACNA1S	0.18463525090714283
0	CHM	0.34154569915480437
0	CHRNB1	0.12410653949496181
0	CLLU1	0.5
0	CNTNAP5	0.13073348118682582
0	COL3A1	0.09361627557322305
0	CRX	0.09121121972586793
0	CSMD1	0.5
0	CTTNBP2	0.05626538472361973
0	DCC	0.07688864749509403
0	DNAH7	0.23463770512405052
0	DST	0.474252111217697
0	DUS3L	0.5
0	ERCC6	0.22484589898444546
0	ERN2	0.17062922348945436
0	F13A1	0.22709281913575347
0	FASTKD5	0.3759148170229246
0	FAT3	0.20906074937545022
0	FRMPD1	0.5
0	GDF15	0.5
0	GIMAP8	0.007553193159019668
0	GRIK2	0.4079716551611346
0	GRM6	0.5
0	IGKV1D-16	0.26354462843276905
0	KAT2B	0.36183680491588155
0	KCNH5	0.467191955020206
0	KCNH7	0.4825716226699618
0	KIAA0368	0.05440471502027289
0	KRAS	0.3743178446323415
0	KRTAP21-2	0.5
0	KYNU	0.29529466442723507
0	L3HYPDH	0.23975006109347674
0	LACRT	0.23975006109347674
0	LAMA4	0.13150528596342836
0	MUC16	0.16590925954231112
0	MYH2	0.29012408892229746
0	MYH7	0.36081607462259746
0	NALCN	0.220628054247145
0	NBPF12	0.31867594411696853
0	NEB	0.48249498008293484
0	OR10K2	0.07171630980680502
0	OR14C36	0.13594935540982417
0	OR1A1	0.011671101006445408
0	OR2A14	0.29794154528258887
0	OR2L2	0.20978158795107288
0	OR4S2	0.43836087161744575
0	OTOP1	0.2326044092260709
0	PCDH11X	0.2909824331744366
0	PCDHB11	0.4326814102926771
0	PCDHB7	0.08038059455278346
0	PCDHB9	0.1815408617792153
0	PCDHGA5	0.4794755974793368
0	PEBP1	0.5
0	PIRT	0.23975006109347674
0	PLG	0.07122644718543579
0	PRDM9	0.3836507549261293
0	PREX2	0.4509086623658612
0	PRSS12	0.12410653949496181
0	PRSS38	0.2202003490695016
0	PSG8	0.21843567718397416
0	PTPRT	0.4890746466145597
0	ROBO2	0.1745977367807774
0	RP1	0.2001989943626169
0	RTN1	0.46772676464565405
0	SCN9A	0.10378922116781208
0	SFXN1	0.5
0	SLCO1B1	0.359583141653376
0	SMG1	0.21638379033389238
0	SPPL2A	0.34154569915480437
0	SPTA1	0.08213264484055344
0	SSPO	0.4633438895119261
0	TCHHL1	0.11902998743576987
0	TLL2	0.3430262220121902
0	TMEM132B	0.21879323812135615
0	TRAC	0.23975006109347674
0	TRIM9	0.35750032734404463
0	TTC39C	0.5
0	UBTFL1	0.09521513191276199
0	UGT2B4	0.5
0	VPS13A	0.46772676464565405
0	WRN	0.5
0	ZBED4	0.2541657867760727
0	ZIC4	0.42722253381476594
0	ZMAT5	0.06680720126885807
0	ZNF10	0.06680720126885807
0	ZNF423	0.3269504627489006
0	ZNF676	0.19970795809275016
0	ZNF860	0.06680720126885807
0	ADAM12	0.247062272204632
0	ADAMTS12	0.29643852863217646
0	ADAMTS5	0.1830782800970302
0	ADGRB3	0.0998909837316665
0	ADGRL2	0.06122038621716164
0	ALPK1	0.14491935880375412
0	ANLN	0.18065521426308934
0	APOB	0.01569092215474917
0	APOBEC3F	0.5
0	ARHGAP31	0.3481351700570114
0	ARID2	0.21133903708531776
0	ARMC5	0.2593025082143628
0	ASIC4	0.15674997279179403
0	ASTN2	0.17281722609680067
0	ATP10D	0.22777254689466497
0	ATP6V0B	0.12410653949496181
0	BCAS3	0.40683185788339593
0	BRAF	0.18676980628763362
0	BRINP2	0.06693899191980465
0	CACNA1H	0.19807195457603705
0	CCL23	0.06680720126885807
0	CCT8L2	0.08055078727076986
0	CDH7	0.4720758782046325
0	CENPF	0.10029182692460498
0	CEP152	0.19323811538561636
0	COL12A1	0.05994189141866873
0	COL4A5	0.28662310018616
0	CPQ	0.10499983587780476
0	CROCC	0.29408454667828
0	CSMD3	0.29739345574656895
0	DDX11	0.31867594411696853
0	DLGAP2	0.15285228857734268
0	DNAH17	0.12909752379197248
0	DSCAML1	0.192773315785551
0	EIF2B4	0.23975006109347674
0	EMC9	0.5
0	FAT4	0.06728218782064274
0	FBXO18	0.15371708296369768
0	FBXO27	0.5
