	gene	pvalue
0	ABCA13	0.43189480114974266
0	ACACB	0.4095647354332699
0	ACAN	0.1803826752922506
0	ADAMTS20	0.42397327933553813
0	ADGRG4	0.24178047804651515
0	ADGRL3	0.26159010556941287
0	AMER3	0.3036280742734553
0	ANAPC7	0.23975006109347674
0	ANK1	0.30838454996737463
0	ANK2	0.22744895411566984
0	ANXA6	0.25249253754692297
0	ATM	0.3410537297146544
0	BCORL1	0.0936780923663092
0	BRINP3	0.49602013620045654
0	C17orf98	0.23975006109347674
0	C6	0.0550845547485847
0	CACNA1C	0.28789119272023755
0	CACNA1S	0.15881974796580905
0	CDK12	0.30989819424706655
0	CHM	0.2754924937925467
0	CHRNB1	0.12410653949496181
0	CNTNAP5	0.18247200893085408
0	COL3A1	0.22729703115145983
0	CRX	0.11651899113695269
0	CSMD1	0.27032708501169744
0	CSRNP3	0.20232838096364303
0	CTTNBP2	0.056506499482854945
0	DCC	0.18685645267275414
0	DNAH7	0.13235740757765996
0	DOCK7	0.5
0	DST	0.3287057718250578
0	EP400	0.48731709367195924
0	ERCC6	0.2169240328832196
0	ERN2	0.3430262220121902
0	F13A1	0.11715506996537822
0	FAM131B	0.21133903708531776
0	FASTKD5	0.3027883081676732
0	FAT3	0.43367039653401995
0	FGFR4	0.19568296915377592
0	FRMPD1	0.16556872963448527
0	GIMAP8	0.10908573285013656
0	GRIK2	0.4786476613289427
0	GRM6	0.44948856224891137
0	IGHV4-31	0.3759148170229246
0	ITPR1	0.5
0	KCNH5	0.4856960480823533
0	KCNH6	0.2374792699447535
0	KCNH7	0.28693066657568184
0	KIAA0368	0.13419081364638036
0	KIAA1211	0.22640523831619708
0	KLHL38	0.05298440456360116
0	KRAS	0.33936786904134225
0	KRTAP21-2	0.34154569915480437
0	L3HYPDH	0.3085375387259869
0	LAMA4	0.07030912369295078
0	MKI67	0.02248270719480817
0	MPC1	0.5
0	MUC16	0.09681489080475714
0	MYH2	0.3344620921998108
0	MYH7	0.2612156424807822
0	NALCN	0.4134605352617357
0	NBPF12	0.24948114930188048
0	NDRG2	0.07445733658938286
0	NEB	0.15780264825298074
0	NEBL	0.23664473269004493
0	OR10K2	0.07252597104976444
0	OR10Q1	0.15793723991524483
0	OR1A1	0.07652094207940999
0	OR2A14	0.2858038224766658
0	OR2L2	0.5
0	OR3A3	0.3085375387259869
0	OR4S2	0.42036522353994277
0	OTOP1	0.24948114930188053
0	PCDH11X	0.12219545564691559
0	PCDHB11	0.3140653851083103
0	PCDHB7	0.018439400920550575
0	PCDHB9	0.5
0	PCDHGA5	0.48729723677240405
