	gene	pvalue
0	ABCA13	0.25309545423061475
0	ACACB	0.2222194112520176
0	ACAN	0.07073248916165155
0	ADAMTS20	0.3100896932339854
0	ADGRG4	0.2829759519178009
0	ADGRL3	0.41153163687906075
0	AMER3	0.26939746900889194
0	AMZ1	0.06680720126885807
0	ANAPC7	0.23975006109347674
0	ANK1	0.2414173451841391
0	ANK2	0.17988803788486613
0	ANXA6	0.2071080891212626
0	ATM	0.11992113665289894
0	BCORL1	0.05147169947179075
0	BRINP3	0.3916544509742543
0	C17orf98	0.5
0	C3orf30	0.31171667069105247
0	C6	0.17798355986686565
0	CACNA1C	0.4294774613687412
0	CACNA1S	0.4067523677825415
0	CDK12	0.30853753872598694
0	CHRNB1	0.12410653949496181
0	CNTNAP5	0.24631380147530735
0	COL3A1	0.1971505067950649
0	CSMD1	0.3909749284310808
0	CTTNBP2	0.045991618475523334
0	CYB561A3	0.23975006109347674
0	DCC	0.10580323318962187
0	DCDC1	0.49082199883927874
0	DNAH7	0.22636602289722674
0	DST	0.42510142668823575
0	DUS3L	0.3759148170229246
0	EP400	0.29398532166111213
0	ERCC6	0.2593025082143628
0	ERN2	0.38483618136690795
0	F13A1	0.2206042597529388
0	FAM131B	0.33846111951068963
0	FASTKD5	0.2541657867760727
0	FAT3	0.2508118775982876
0	FGFR4	0.15524721715861745
0	FRMPD1	0.1421073462931537
0	GDF15	0.23975006109347674
0	GIMAP8	0.04449282693327167
0	GPR89A	0.5
0	GRIK2	0.4400143538160577
0	GRM6	0.5
0	IGHV4-31	0.06680720126885807
0	IGKV1D-16	0.3255383170389172
0	ITPR1	0.21133903708531776
0	KAT2B	0.28185143082538655
0	KCNH5	0.484930802827663
0	KCNH6	0.33250277105101456
0	KCNH7	0.15094922221426382
0	KIAA0368	0.040059156863817086
0	KIAA1211	0.11719450615022153
0	KLHL38	0.07803463171582185
0	KRAS	0.3360791402641105
0	KYNU	0.33846111951068963
0	L3HYPDH	0.23975006109347674
0	LAMA4	0.04710427552917221
0	MPC1	0.5
0	MUC16	0.19881104298033264
0	MYH2	0.25898234215497135
0	MYH7	0.44872455309168585
0	NALCN	0.16872182375079053
0	NBPF12	0.3027883081676732
0	NEB	0.09093210208366914
0	NEIL1	0.5
0	OR10Q1	0.15765122604087278
0	OR14C36	0.043602739356624905
0	OR1A1	0.040059156863817086
0	OR2A14	0.24812123722213147
0	OR2L2	0.33798867156909285
0	OR3A3	0.2266273523768682
0	OR4S2	0.47104298893943625
0	OTOP1	0.24948114930188053
0	PCDH11X	0.31500920668348487
0	PCDHB11	0.4029365635949197
0	PCDHB7	0.017855634892814033
0	PCDHB9	0.11992113665289894
0	PCDHGA5	0.4859585667817991
0	PEBP1	0.5
0	PIRT	0.23975006109347674
0	PLG	0.24561274169302982
0	PRDM9	0.08790416141900675
0	PREX2	0.15268078131264073
0	PRSS38	0.45813235579434786
0	PSG8	0.2356642644774592
0	PTPRT	0.41531127803542267
0	RC3H2	0.24948114930188048
0	ROBO2	0.49167483979809173
0	RP1	0.02825416236939723
0	RTN1	0.46752612668265014
0	SCN9A	0.12989822983897092
0	SFXN1	0.5
0	SLCO1B1	0.5
0	SPAM1	0.15781215036766055
0	SPPL2A	0.3501556864684451
0	SPTA1	0.03424382836516721
