	gene	pvalue
0	ADAMTS2	0.01723238166757367
0	ADAMTS5	0.3482517914906772
0	ADGRB3	0.3485919801540006
0	ANK2	0.2664315641596383
0	ARID2	0.4708973672667564
0	ARMC8	0.12410653949496181
0	ATP9A	0.23524321102939483
0	CCDC146	0.2266273523768682
0	CMYA5	0.2701642544705083
0	COMMD10	0.23975006109347674
0	CROCC	0.432613195958744
0	CSMD3	0.3261419708087475
0	CYP2R1	0.06680720126885807
0	DCHS1	0.12272691303761046
0	DDN	0.12410653949496181
0	DIDO1	0.234051253679397
0	DNAH2	0.3318539211796522
0	DPAGT1	0.020613416668581838
0	DQX1	0.3954411614703121
0	F5	0.04664497809180231
0	FLG	0.2323696703651878
0	FMO2	0.011671101006445408
0	GAS2L2	0.4501206090999956
0	GOLGB1	0.09706847449210715
0	GRIN2A	0.2148631227827838
0	GSE1	0.20232838096364303
0	HECTD4	0.27937737381424865
0	HNRNPM	0.2948192758132836
0	INPP5K	0.043238132746832816
0	IPO7	0.31171667069105247
0	JAG1	0.5
0	LRP1B	0.3521509101252631
0	LRRTM1	0.47523642249183884
0	LUC7L3	0.23975006109347674
0	MAP1A	0.08466364860603137
0	MARCH3	0.5
0	MEFV	0.45770010383673604
0	MYH13	0.09841176902191162
0	NF1	0.5
0	NLRP3	0.10993585531435157
0	NPAP1	0.3801286578632811
0	OR1L1	0.011671101006445408
0	PAPPA2	0.45517051095140987
0	PDS5B	0.4501206090999956
0	PER1	0.03681913506015133
0	PKD1	0.4869937017193497
0	PLEKHA5	0.2738075107707324
0	PLEKHH2	0.31123032794672717
0	PRR19	0.3027883081676732
0	PRUNE2	0.23526117993859935
0	PSD4	0.15524721715861745
0	PTEN	0.2118553985833967
0	PTPRN	0.5
0	PUF60	0.25249253754692297
0	RYR2	0.27454016271148624
0	SDE2	0.06680720126885807
0	SGOL2	0.4012936743170763
0	SLC25A37	0.5
0	SLIT3	0.19162494164262855
0	SMURF1	0.09521513191276199
0	SRCAP	0.2539886309580094
0	SRL	0.03681913506015133
0	TENM2	0.5
0	TENM4	0.056698689153061275
0	TNR	0.05312728032486318
0	TRIM56	0.25116747718025106
0	TSHZ3	0.48019718459281235
0	TTC3	0.20846833282817084
0	TTN	0.21756971940716402
0	VSTM2A	0.06680720126885807
0	WISP2	0.12410653949496181
0	ZNF148	0.31867594411696853
0	ZNF275	0.5
0	ZNF667	0.18406012534675953
0	AKAP12	0.3300753874722366
0	BMP10	0.3759148170229246
0	CDH6	0.2193557323153788
0	COL12A1	0.4370821095066356
0	CRMP1	0.09742532430443479
0	CRX	0.39463401306714063
0	CTNNA3	0.15781215036766055
0	DCLK1	0.2266273523768682
0	DOCK8	0.25634538013096175
0	DYRK2	0.28688770181636525
0	FAM135B	0.4031600427554975
0	FAT4	0.04697512962094956
0	FDX1	0.12410653949496181
0	FN1	0.09924486509700053
0	FZD2	0.17288929307558015
0	HCN1	0.3291662234460965
0	IKBKAP	0.23975006109347669
0	JPH4	0.2701456873037099
0	KCNB2	0.049489582323564964
0	KCTD19	0.3759148170229246
0	KIAA1524	0.5
0	KMT2B	0.45192232927123144
0	KMT2D	0.3014521815548393
0	KRT37	0.08292833017145501
0	LAMA1	0.19786736578092856
0	LCE2D	0.06680720126885807
0	LTBP4	0.432613195958744
0	MAGI2	0.40242195413402193
0	MYH7	0.2552297644265312
0	NAV3	0.2905016761914811
0	NLRP14	0.3255383170389172
0	NSD1	0.19807195457603705
0	OPRM1	0.4012936743170763
0	OR51B5	0.006664164390408773
0	OR6C4	0.3085375387259869
0	PCDH11Y	0.02342708880193688
0	PKD1L2	0.15765122604087278
0	PPAPDC1A	0.06680720126885807
0	PXDN	0.19394208748402603
0	RANBP2	0.1999280032042814
0	RHOA	0.3162925608480207
0	RHOT2	0.25249253754692297
0	SALL1	0.074686974300966
0	SART1	0.39463401306714063
0	SCN4A	0.24480732891341572
0	SCN5A	0.01593961306348317
0	SLC20A2	0.16206329387880952
0	SNRPN	0.18065521426308934
0	SPG11	0.24812123722213147
0	TTC21A	0.14343432566268421
0	ZFHX4	0.3004150731428459
0	ZNF347	0.2778448951413973
0	ZNF470	0.3312602917700287
0	ZNF681	0.3312602917700287
0	ACIN1	0.0777901738960989
0	ACO1	0.3085375387259869
0	ACSM2A	0.2754924937925467
0	ADCY7	0.21133903708531776
0	ADGRV1	0.2044759510642391
0	ADNP2	0.3002356300616927
0	AHSG	0.1178399567145188
0	AIRE	0.06680720126885807
0	AQP12A	0.5
0	ARHGEF7	0.18065521426308934
0	ARMC3	0.41912824319291314
0	ATG2B	0.34154569915480437
0	ATXN3L	0.5
0	BDP1	0.09167951012346759
0	C14orf37	0.1508497912391739
0	C6orf10	0.12410653949496181
0	CABIN1	0.21725949782660203
0	CCDC108	0.3312602917700288
0	CDC42BPG	0.029297376869736966
0	CDHR3	0.39463401306714063
0	CDK20	0.03681913506015133
0	CECR2	0.26354462843276905
0	CEMIP	0.16107981069347982
0	CENPF	0.4242860444153707
0	CES5A	0.2858038224766658
0	CFAP43	0.09293836618293788
0	CFHR5	0.28537519402908695
0	CHDH	0.4012936743170763
0	CLOCK	0.2266273523768682
0	COL24A1	0.3102740236600308
0	COL6A6	0.29349959662283975
0	CPAMD8	0.3576940603973664
0	CSMD1	0.3368928034153147
0	CTNND2	0.13815145866874173
0	DDX18	0.1864992418067436
0	DENND2A	0.18554668476134878
0	DENND5A	0.10796246947007015
0	DLC1	0.16210749679422887
0	DLG2	0.13362874657719392
0	DNAH3	0.256981298013891
0	DNAH5	0.2161813368397837
0	DNAH8	0.29780802245165616
0	DNMT1	0.5
0	DNPEP	0.5
0	DOCK10	0.049489582323564964
0	DYNC2H1	0.4471809311504058
0	DYRK1B	0.25249253754692297
0	EME2	0.12410653949496181
0	EPHA5	0.27281140577019447
0	EPHB3	0.23772984650044304
0	EPRS	0.0777901738960989
0	ESAM	0.34154569915480437
0	F13A1	0.25634538013096175
0	FAT1	0.45103311564370285
0	FAT2	0.09317754635452452
0	FHL3	0.5
0	FLNC	0.3369459264583868
0	FMNL2	0.5
0	GDPGP1	0.06680720126885807
0	GPRASP1	0.15674997279179403
0	GRIK1	0.382797241997882
0	GRIN2B	0.08275892934873508
0	GRM2	0.19947937043126573
0	GRM5	0.37857217613170746
0	GSAP	0.5
0	GSDMC	0.2326044092260709
0	GSTM2	0.23975006109347674
0	GTF2F1	0.23975006109347674
0	GUCY1A3	0.08876492620607684
0	GZF1	0.1282435969491435
0	HMCN1	0.08547242522093185
0	HORMAD1	0.5
0	HYDIN	0.48572489730882185
0	ICAM5	0.44426956175637605
0	IQGAP1	0.14930883722440513
0	IRS4	0.460228749405404
0	KAL1	0.0725259710497644
0	KALRN	0.05258193654484404
0	KCNA1	0.11004691096767882
0	KIAA1429	0.23918781962397911
0	KIF14	0.16509555930167136
0	KIF27	0.292414962828643
0	KLHL40	0.28537519402908695
0	LIN28B	0.23975006109347674
0	LINGO2	0.2614083269595443
0	LRP2	0.08478156043381602
0	LRRK2	0.25683037226835315
0	LYST	0.26481567552192975
0	MAN1B1	0.3027883081676732
0	MAP3K9	0.11929641465821778
0	MDC1	0.11758517605530261
0	MGA	0.2790923247113287
0	MNS1	0.1178399567145188
0	MSRB1	0.5
0	MUC16	0.48271938310518525
0	MUC4	0.15320606789386176
0	MYCBP2	0.31375443980064044
0	MYO7B	0.4698461930684664
0	MZT1	0.5
0	NAV2	0.4200899461891879
0	NCOA6	0.33869580096313867
0	NELL2	0.1366211900551731
0	NLRP4	0.18703139874544122
0	NLRP5	0.2701456873037099
0	NRP1	0.39463401306714063
0	OBSCN	0.05879229912151234
0	OR2AT4	0.5
0	OR52E6	0.28185143082538655
0	OR6C74	0.2071080891212626
0	OR8H1	0.26354462843276905
0	OR8H3	0.12722529132316834
0	OSBPL6	0.3255383170389172
0	P2RY1	0.3027883081676732
0	PALM2-AKAP2	0.3890798430880829
0	PAN3	0.20232838096364303
0	PARP14	0.13600796288455724
0	PASK	0.028633696022557782
0	PCDH15	0.48824458425623485
0	PCDH17	0.14936110409448006
0	PCDH20	0.3197875704743438
0	PCDHA1	0.23930830909939316
0	PCDHB7	0.31745332032989393
0	PCDHGA2	0.43801279401239523
0	PCDHGA3	0.08647745899421033
0	PCDHGB3	0.33869580096313867
0	PCLO	0.3716215169984526
0	PCNXL3	0.25249253754692286
0	PDE4DIP	0.26912632899425026
0	PHLDB2	0.17478740306164908
0	PIK3CA	0.4642771390402376
0	PLEKHG3	0.25634538013096175
0	PNISR	0.14193823728614724
0	PNLIPRP2	0.06680720126885807
0	POLQ	0.35127470278797457
0	POSTN	0.42587490992987065
0	PROS1	0.23524321102939483
0	PRRC2C	0.4508146865379936
0	PTPRJ	0.47718608310563176
0	PTPRM	0.4853042613901604
0	RBSN	0.061770544695122276
0	REEP3	0.5
0	RELN	0.4216292208137882
0	RIMS1	0.45895327893783294
0	ROBO2	0.4854659501953074
0	ROCK1	0.20232838096364303
0	RPA3	0.5
