	gene	pvalue
0	ABCC2	0.3337832732614995
0	ADAMTS2	0.010414436157593262
0	ADAMTS5	0.40393037369542456
0	ADGRB3	0.2244243667754245
0	ANK2	0.31202867574855114
0	ARID2	0.24091654453177874
0	ATP13A2	0.15743932066820998
0	ATP9A	0.47696142863670915
0	C9orf84	0.22977129143714686
0	CCDC146	0.2118553985833967
0	CIITA	0.31705283032711123
0	CMYA5	0.16660325417496996
0	COMMD10	0.23975006109347674
0	CROCC	0.2858038224766658
0	CSMD3	0.4821185062659713
0	CTDSPL	0.06680720126885807
0	DCHS1	0.089876936423461
0	DDN	0.3759148170229246
0	DIDO1	0.4624662872826701
0	DMRT1	0.28185143082538655
0	DNAH2	0.4318976491462178
0	DNAJC28	0.23975006109347674
0	DQX1	0.32171442178181026
0	F5	0.12818105440513683
0	FAM120AOS	0.5
0	FBXW7	0.11933254040910857
0	FLG	0.4521132465922372
0	FMO2	0.0012844157635113558
0	GAS2L2	0.37102482449091356
0	GOLGB1	0.2427100121118308
0	GRIN2A	0.1095096758385814
0	GSE1	0.5
0	HECTD4	0.43848994691279747
0	HKDC1	0.31762814799862416
0	INPP4B	0.23524321102939483
0	INPP5K	0.043238132746832816
0	IPO7	0.3890798430880829
0	IRF2	0.5
0	JAG1	0.4708973672667564
0	KCNC2	0.2778448951413973
0	KIAA0195	0.48364214185726817
0	KIAA0232	0.5
0	KIAA1161	0.25249253754692297
0	LRP1B	0.22519884150295394
0	LRRTM1	0.04964937965265741
0	MAP1A	0.3692076958471512
0	MCM2	0.2722269886373513
0	MEFV	0.46752612668265014
0	MYH13	0.18260249084515912
0	MYOF	0.35259732128898114
0	NAA25	0.22777254689466497
0	NF1	0.4223708586956727
0	NLRP3	0.1269404571549445
0	NPAP1	0.3978787901966101
0	OR1L1	0.006664164390408773
0	PAPPA2	0.1905256150147806
0	PDS5B	0.42193474702297545
0	PGBD2	0.3759148170229246
0	PHGDH	0.38641499634222376
0	PKD1	0.42800887428553175
0	PLEKHA5	0.16141537694254154
0	PLEKHH2	0.09045030208713284
0	POLQ	0.3897209944767092
0	PRR19	0.20232838096364303
0	PRUNE2	0.0968309942672898
0	PSD4	0.0777901738960989
0	PTEN	0.3120743995038408
