	gene	pvalue
0	ABCC2	0.3638617733347751
0	ADAMTS2	0.020706415998138536
0	ADAMTS5	0.17605557330635663
0	ADGRB3	0.4632537063501625
0	ANK2	0.4628674452965487
0	ARID2	0.39438316627319214
0	ARMC8	0.12410653949496181
0	ATP9A	0.5
0	C9orf84	0.21133903708531776
0	CCDC146	0.18065521426308934
0	CIITA	0.397001340096381
0	CMYA5	0.07893794017836248
0	COMMD10	0.23975006109347674
0	CROCC	0.28564981074972434
0	CSMD3	0.2808406242443676
0	CYP2R1	0.06680720126885807
0	DCHS1	0.03178792409824716
0	DNAH2	0.2929704983314938
0	DNAJC28	0.23975006109347674
0	DQX1	0.3954411614703121
0	F5	0.45594430478377473
0	FAM120AOS	0.5
0	FBXW7	0.1421073462931537
0	FLG	0.3552008914711058
0	FMO1	0.020613416668581838
0	FMO2	0.006664164390408773
0	FOXD4L6	0.28185143082538655
0	GAS2L2	0.4501206090999956
0	GOLGB1	0.10330188930187134
0	GRIN2A	0.2540895534156402
0	GSE1	0.14102943788077937
0	HECTD4	0.3518926914493797
0	HKDC1	0.2500921285353972
0	HNRNPM	0.28564981074972434
0	INPP5K	0.08292833017145501
0	IPO7	0.4076672971776138
0	IRF2	0.3256892232381963
0	JAG1	0.2593025082143628
0	KIAA0195	0.41458170021040364
0	KIAA0232	0.19444270590388257
0	LRP1B	0.42929334778498496
0	MAP1A	0.13004569165711477
0	MARCH3	0.5
0	MARCH7	0.24948114930188048
0	MEFV	0.45770010383673604
0	MYH13	0.07139428006126795
0	MYOF	0.33006761166441917
0	NAB2	0.4218344747759831
0	NF1	0.4898036429955367
0	NLRP3	0.397001340096381
0	NPAP1	0.4141312704176558
0	OR1L1	0.011671101006445408
0	PAPPA2	0.16669662535403634
0	PER1	0.5
0	PGBD2	0.36183680491588155
0	PKD1	0.2181821871317155
0	PLEKHA5	0.16141537694254154
0	PLEKHH2	0.28033610573976075
0	POLR2C	0.06680720126885807
0	PRR19	0.31867594411696853
0	PRUNE2	0.023292520548120622
0	PSD4	0.13815145866874173
0	PTEN	0.4037509009328597
0	PTPRN	0.4012936743170763
0	RABEP1	0.34154569915480437
0	RNF112	0.3312602917700287
0	RYR2	0.4591610750126369
0	SDE2	0.06680720126885807
0	SGOL2	0.4708973672667564
0	SIPA1	0.09521513191276199
0	SLC25A37	0.28185143082538655
0	SLIT3	0.21526711579938784
0	SMG9	0.12410653949496181
0	SMURF1	0.11929641465821778
0	SRCAP	0.3669286276631495
0	STAM	0.19323811538561636
