hugo_symbol	n.x	status	n.y	perc
AKR1A1	1	M	2	50
ANKS6	1	M	1	100
ANXA10	1	M	3	33.33333333333333
AP5M1	1	M	1	100
ARHGAP42	1	M	2	50
ARID3B	1	M	1	100
ASB15	1	M	2	50
BHMT	1	M	1	100
BRPF3	1	M	4	25
C5orf56	1	M	1	100
CCPG1	1	M	2	50
CDCA2	2	M	3	66.66666666666666
COPS8	1	M	1	100
CORIN	1	M	2	50
CTSA	1	M	3	33.33333333333333
DOCK7	1	M	4	25
DROSHA	1	M	1	100
EHMT1	1	M	1	100
ENTPD2	1	M	1	100
FAM47E-STBD1	2	M	1	200
FBXL8	1	M	1	100
GLIS2	1	M	1	100
HEATR5B	1	M	4	25
HECTD1	1	M	1	100
HTATSF1	1	M	1	100
IGSF10	1	M	3	33.33333333333333
ITPR1	1	M	1	100
KCNJ14	1	M	1	100
KRT1	1	M	2	50
KRT71	1	M	1	100
LARP7	1	M	1	100
LENEP	1	M	1	100
LFNG	1	M	2	50
LRP1B	1	M	6	16.666666666666664
MAP4K4	1	M	2	50
MED1	1	M	2	50
MPO	1	M	3	33.33333333333333
MUC4	1	M	5	20
MXRA5	1	M	3	33.33333333333333
MYCBP2	1	M	5	20
NMT2	1	M	3	33.33333333333333
NT5M	1	M	1	100
NUP133	1	M	3	33.33333333333333
NUTM2D	1	M	1	100
PHF5A	1	M	1	100
PLEKHA2	1	M	2	50
PLEKHG3	1	M	3	33.33333333333333
PVRIG	1	M	1	100
RAG1	1	M	1	100
RBM33	1	M	4	25
RBMXL1	1	M	1	100
SCARA3	1	M	1	100
SLC35F1	1	M	1	100
SMG5	1	M	1	100
SMURF1	1	M	1	100
THBS1	1	M	7	14.285714285714285
TINAG	1	M	2	50
TNRC6B	1	M	4	25
UBP1	1	M	1	100
VHL	1	M	30	3.3333333333333335
ZMIZ1	1	M	2	50
ZNF337	1	M	2	50
ADGRG6	1	M	3	33.33333333333333
AMICA1	1	M	3	33.33333333333333
ASIC4	1	M	2	50
ATP5A1	1	M	1	100
BRCA2	1	M	7	14.285714285714285
C1orf158	1	M	1	100
C4orf51	1	M	1	100
CAMK1D	1	M	1	100
CARD9	1	M	1	100
CCDC7	1	M	1	100
CCKAR	1	M	3	33.33333333333333
CDC42BPA	1	M	3	33.33333333333333
CDK13	1	M	2	50
CERCAM	2	M	1	200
CPNE5	1	M	2	50
CSMD1	1	M	4	25
CYB5R1	1	M	1	100
ECT2	1	M	2	50
ELP3	1	M	1	100
FANCI	1	M	3	33.33333333333333
FBXL16	1	M	1	100
FCRL4	1	M	1	100
GOLPH3	1	M	2	50
KIF21B	1	M	1	100
KLRC1	1	M	1	100
MMEL1	1	M	2	50
NICN1	1	M	1	100
OPTC	1	M	2	50
