hugo_symbol	n.x	status	n.y	perc
ADARB2	1	M	3	33.33333333333333
ADCY5	1	M	3	33.33333333333333
ADCY8	1	M	9	11.11111111111111
ALB	1	M	18	5.555555555555555
ANKZF1	1	M	3	33.33333333333333
ANO7	1	M	2	50
AP5Z1	1	M	3	33.33333333333333
BSN	1	M	6	16.666666666666664
C11orf30	1	M	1	100
CASP9	1	M	1	100
CCDC150	1	M	1	100
COL1A1	1	M	4	25
COL4A1	1	M	2	50
CPNE1	1	M	1	100
DPP9	1	M	3	33.33333333333333
DSC1	1	M	1	100
EBF3	1	M	3	33.33333333333333
EDIL3	1	M	3	33.33333333333333
EML5	1	M	3	33.33333333333333
EP300	1	M	8	12.5
EPB41L5	1	M	2	50
F13A1	1	M	2	50
FAM135B	1	M	3	33.33333333333333
FAM47A	1	M	3	33.33333333333333
FCRL1	1	M	4	25
FCRL5	1	M	8	12.5
FHL3	1	M	1	100
FMN2	1	M	8	12.5
FNTA	1	M	3	33.33333333333333
FRG2C	1	M	5	20
GNAI1	1	M	3	33.33333333333333
GOLM1	1	M	1	100
GSAP	1	M	2	50
GSR	1	M	1	100
HIST1H2BM	1	M	1	100
IGFN1	1	M	6	16.666666666666664
KCNC2	1	M	3	33.33333333333333
KIAA0907	1	M	1	100
KIF26B	1	M	17	5.88235294117647
LCE3E	1	M	1	100
LPP	1	M	1	100
LRIT2	1	M	1	100
MAGI2	1	M	6	16.666666666666664
MCTP2	1	M	5	20
MMRN1	1	M	6	16.666666666666664
MMS22L	1	M	2	50
MUC16	1	M	50	2
MYO1E	1	M	4	25
N4BP3	1	M	2	50
NCAPG2	1	M	2	50
NEUROG1	1	M	1	100
NR1I3	1	M	1	100
OCRL	1	M	3	33.33333333333333
OR1A1	1	M	2	50
OR1E1	1	M	1	100
OR2H1	1	M	2	50
PCDH12	1	M	6	16.666666666666664
PCDHB3	1	M	4	25
PDE1A	1	M	1	100
PSMB5	1	M	3	33.33333333333333
RNF17	1	M	6	16.666666666666664
ROBO1	1	M	5	20
RTL1	1	M	2	50
RYR2	1	M	28	3.571428571428571
SAA2	1	M	2	50
SALL1	1	M	5	20
SCRN3	1	M	4	25
SDCCAG8	1	M	4	25
SH3D21	1	M	1	100
SLC12A7	1	M	5	20
SLC22A17	1	M	5	20
SLC26A3	1	M	1	100
SMC2	1	M	1	100
SOGA3	1	M	4	25
SOS1	1	M	4	25
STAT1	1	M	3	33.33333333333333
STK10	1	M	3	33.33333333333333
SYT11	1	M	2	50
TAF1L	1	M	7	14.285714285714285
TBX5	1	M	3	33.33333333333333
TMPRSS6	2	M	3	66.66666666666666
TPO	1	M	11	9.090909090909092
TRPS1	1	M	8	12.5
TRPT1	1	M	2	50
TSGA10IP	1	M	2	50
TTN	2	M	67	2.9850746268656714
UQCRQ	1	M	1	100
USP29	1	M	3	33.33333333333333
XPO5	1	M	5	20
ZNF292	1	M	5	20
ZNF836	1	M	1	100
ZSWIM8	1	M	5	20
AATK	1	M	1	100
ABCA13	1	M	24	4.166666666666666
ABRA	1	M	3	33.33333333333333
ADGRL2	1	M	4	25
ANKRD44	1	M	2	50
ASTN1	1	M	8	12.5
BASP1	1	M	4	25
BAZ2A	1	M	4	25
CEP68	1	M	4	25
CLASP2	1	M	4	25
CPSF2	1	M	2	50
CTDSP1	1	M	2	50
CWF19L1	1	M	2	50
CYC1	1	M	1	100
DAK	1	M	2	50
DIDO1	1	M	8	12.5
DNAJB1	1	M	1	100
DOPEY2	2	M	6	33.33333333333333
DRD1	1	M	2	50
EDIL3	1	M	3	33.33333333333333
EXD1	1	M	1	100
EYA1	1	M	7	14.285714285714285
FCRL4	1	M	2	50
FRMD4B	1	M	3	33.33333333333333
GABRG1	1	M	8	12.5
GALNT7	1	M	1	100
GEM	1	M	1	100
GFRAL	1	M	3	33.33333333333333
HEATR3	1	M	2	50
HSP90B1	1	M	1	100
IGKV3-20	1	M	1	100
KRT1	1	M	3	33.33333333333333
KRT81	1	M	3	33.33333333333333
KRTAP13-3	1	M	2	50
LAMB4	1	M	7	14.285714285714285
LILRA4	1	M	2	50
MEGF10	1	M	3	33.33333333333333
MGAT5	1	M	2	50
MRPL19	1	M	1	100
NES	1	M	6	16.666666666666664
NLRP14	1	M	5	20
OBSCN	1	M	34	2.941176470588235
OR52R1	1	M	3	33.33333333333333
PCDHGA6	1	M	4	25
PDE8A	1	M	5	20
PGM3	1	M	4	25
PTPRN	1	M	3	33.33333333333333
RXRG	1	M	2	50
SFMBT2	1	M	7	14.285714285714285
SLC25A48	1	M	2	50
SLC5A3	1	M	1	100
SMTN	1	M	3	33.33333333333333
SNCAIP	1	M	4	25
ST8SIA6	1	M	2	50
TECPR1	1	M	2	50
TKTL1	1	M	2	50
TNFRSF25	1	M	3	33.33333333333333
TP53	1	M	46	2.1739130434782608
TTN	1	M	67	1.4925373134328357
WNT8A	1	M	2	50
ZBTB7C	1	M	2	50
ZNF326	1	M	2	50
ABHD12	1	M	1	100
AGBL1	1	M	5	20
AKAP11	1	M	5	20
ALG10B	1	M	4	25
ARHGAP32	1	M	5	20
ARMCX6	1	M	3	33.33333333333333
ATR	1	M	10	10
BOC	1	M	6	16.666666666666664
C9orf47	1	M	1	100
C9orf84	1	M	2	50
CELSR1	1	M	7	14.285714285714285
CIT	1	M	7	14.285714285714285
CLCA1	1	M	7	14.285714285714285
COL15A1	1	M	3	33.33333333333333
CPNE8	1	M	3	33.33333333333333
CSMD1	1	M	17	5.88235294117647
CXorf36	1	M	2	50
DAPP1	1	M	1	100
DIP2C	1	M	6	16.666666666666664
DNAAF2	1	M	1	100
DOCK3	1	M	5	20
DPYD	1	M	5	20
EDC4	1	M	3	33.33333333333333
EEF1A1	1	M	8	12.5
EHMT1	1	M	2	50
EPM2AIP1	1	M	2	50
ESRRG	1	M	2	50
G6PC	1	M	5	20
GLI2	1	M	6	16.666666666666664
GLIPR1L2	1	M	1	100
GPR152	1	M	3	33.33333333333333
HELZ2	1	M	4	25
KCNA5	1	M	5	20
KCTD16	1	M	5	20
