hugo_symbol	n.x	status	n.y	perc
ABCA2	1	M	10	10
ADAM20	1	M	6	16.666666666666664
ADAMTS12	1	M	58	1.7241379310344827
ADAMTS19	1	M	25	4
ADCY4	1	M	6	16.666666666666664
ADCY5	1	M	15	6.666666666666667
ADGRF5	1	M	17	5.88235294117647
AMER1	1	M	9	11.11111111111111
ANKMY2	1	M	3	33.33333333333333
ARHGEF12	1	M	9	11.11111111111111
ARID1B	1	M	15	6.666666666666667
ASH1L	2	M	21	9.523809523809524
ATN1	1	M	13	7.6923076923076925
ATRX	1	M	10	10
BAIAP3	1	M	11	9.090909090909092
BDP1	2	M	9	22.22222222222222
BHMT	1	M	7	14.285714285714285
BIRC6	1	M	43	2.3255813953488373
BRWD3	1	M	15	6.666666666666667
C12orf5	1	M	2	50
C7	1	M	25	4
CA7	1	M	5	20
CARD6	1	M	15	6.666666666666667
CCAR1	1	M	10	10
CCDC141	1	M	26	3.8461538461538463
CCDC155	1	M	6	16.666666666666664
CHD7	1	M	30	3.3333333333333335
CLDN8	1	M	2	50
CNTNAP4	1	M	35	2.857142857142857
CPSF2	1	M	6	16.666666666666664
CTNNA2	1	M	50	2
CWF19L2	1	M	9	11.11111111111111
CYLC1	1	M	13	7.6923076923076925
DCHS1	1	M	25	4
DLGAP3	1	M	13	7.6923076923076925
DNAH12	1	M	5	20
DNTTIP2	1	M	2	50
E2F7	1	M	11	9.090909090909092
FAM111B	1	M	4	25
FAT3	1	M	61	1.639344262295082
FCRL5	1	M	25	4
FLG2	1	M	27	3.7037037037037033
FN1	1	M	26	3.8461538461538463
GBF1	1	M	9	11.11111111111111
GLI1	1	M	15	6.666666666666667
GMCL1	1	M	3	33.33333333333333
GPR85	1	M	7	14.285714285714285
GRIP2	1	M	2	50
GRM3	1	M	28	3.571428571428571
HAO1	1	M	11	9.090909090909092
HAPLN1	1	M	11	9.090909090909092
HIPK1	1	M	7	14.285714285714285
HIST1H4H	1	M	2	50
HMMR	1	M	2	50
IGHV3-72	1	M	3	33.33333333333333
IGKC	1	M	16	6.25
IGKV1-5	1	M	7	14.285714285714285
IGKV1D-42	1	M	17	5.88235294117647
IGKV1D-8	1	M	15	6.666666666666667
IMPG2	1	M	21	4.761904761904762
IPMK	1	M	4	25
KCNK10	1	M	18	5.555555555555555
KIAA1024	1	M	15	6.666666666666667
KIAA1279	1	M	1	100
KIF6	1	M	5	20
KLF3	1	M	1	100
KRTAP19-3	1	M	4	25
KRTAP5-2	1	M	2	50
LAMA3	1	M	14	7.142857142857142
LAMA4	1	M	26	3.8461538461538463
LCMT2	1	M	9	11.11111111111111
LGALS4	1	M	2	50
LILRA2	1	M	21	4.761904761904762
LRFN5	1	M	33	3.0303030303030303
LRP10	1	M	3	33.33333333333333
LRP6	2	M	16	12.5
MAEL	1	M	5	20
MAP1S	1	M	7	14.285714285714285
MAS1	1	M	4	25
MAST1	1	M	13	7.6923076923076925
MGAT5B	1	M	7	14.285714285714285
MKI67	1	M	28	3.571428571428571
MMRN2	1	M	6	16.666666666666664
MMS22L	1	M	12	8.333333333333332
MTTP	1	M	12	8.333333333333332
MUC16	1	M	170	0.5882352941176471
MUC17	1	M	74	1.3513513513513513
MYCBP2	1	M	27	3.7037037037037033
MYH1	1	M	47	2.127659574468085
MYH2	1	M	44	2.272727272727273
MYH7	1	M	22	4.545454545454546
MYH8	2	M	41	4.878048780487805
N4BP2	1	M	10	10
NCOR2	1	M	16	6.25
NELL1	1	M	18	5.555555555555555
NLGN4X	1	M	26	3.8461538461538463
NOD2	1	M	15	6.666666666666667
NRK	1	M	17	5.88235294117647
OR51B2	1	M	12	8.333333333333332
OR51Q1	1	M	12	8.333333333333332
OR52E4	1	M	10	10
OR5K3	1	M	6	16.666666666666664
OR5T1	1	M	17	5.88235294117647
OR8A1	1	M	14	7.142857142857142
OR8G1	1	M	7	14.285714285714285
OSBPL8	1	M	8	12.5
PAQR8	1	M	5	20
PCDHGA9	1	M	11	9.090909090909092
PCNXL4	1	M	8	12.5
PDS5A	1	M	4	25
PDZRN3	1	M	23	4.3478260869565215
PFAS	1	M	13	7.6923076923076925
PHC3	1	M	8	12.5
PHKB	1	M	12	8.333333333333332
PHRF1	1	M	8	12.5
PIK3AP1	1	M	14	7.142857142857142
PIKFYVE	1	M	22	4.545454545454546
PKD1	1	M	22	4.545454545454546
PLIN4	1	M	8	12.5
PPIP5K2	1	M	8	12.5
PRH2	1	M	4	25
PRKD1	1	M	17	5.88235294117647
PTPN14	1	M	8	12.5
PTPRR	1	M	16	6.25
QRFPR	1	M	12	8.333333333333332
QRICH1	1	M	6	16.666666666666664
RGL1	1	M	14	7.142857142857142
RGL2	1	M	5	20
RGL3	1	M	4	25
RPS6	1	M	3	33.33333333333333
RTL1	1	M	14	7.142857142857142
RYR2	1	M	129	0.7751937984496124
SATB2	1	M	20	5
SBDS	1	M	4	25
SEMA3E	1	M	17	5.88235294117647
SERPINI2	1	M	1	100
SI	1	M	58	1.7241379310344827
SIGLEC12	1	M	13	7.6923076923076925
SKIV2L	1	M	8	12.5
SLC22A23	1	M	5	20
SLC23A2	1	M	4	25
SLC25A18	1	M	2	50
SLC30A8	1	M	10	10
SLC5A1	1	M	8	12.5
SLC7A2	1	M	5	20
SLC8A1	1	M	29	3.4482758620689653
SMAP2	1	M	3	33.33333333333333
SNX25	1	M	9	11.11111111111111
SORL1	1	M	17	5.88235294117647
SPATA31E1	1	M	33	3.0303030303030303
SSPO	1	M	43	2.3255813953488373
STYXL1	1	M	2	50
TBL3	1	M	3	33.33333333333333
TBX22	1	M	26	3.8461538461538463
TBX3	1	M	12	8.333333333333332
TDRD5	1	M	20	5
TESPA1	1	M	7	14.285714285714285
TMEM136	1	M	1	100
TMEM214	1	M	3	33.33333333333333
TMEM242	1	M	2	50
TNS2	1	M	7	14.285714285714285
TP53	1	M	181	0.5524861878453038
