hugo_symbol	n.x	status	n.y	perc
A1BG	1	M	4	25
A1CF	1	M	4	25
ABCC2	1	M	10	10
ACOX2	1	M	5	20
ADAMTS2	1	M	13	7.6923076923076925
ADAMTS5	1	M	27	3.7037037037037033
ADGRB3	1	M	31	3.225806451612903
AGAP4	1	M	3	33.33333333333333
ANK2	1	M	28	3.571428571428571
AP4B1	1	M	6	16.666666666666664
APOD	1	M	4	25
ARHGAP15	1	M	8	12.5
ARID2	1	M	11	9.090909090909092
ARMC8	1	M	3	33.33333333333333
ATP13A2	1	M	7	14.285714285714285
ATP9A	1	M	8	12.5
C9orf84	1	M	9	11.11111111111111
CADM4	1	M	5	20
CCDC146	1	M	4	25
CIITA	1	M	10	10
CMYA5	2	M	27	7.4074074074074066
COL16A1	1	M	9	11.11111111111111
COMMD10	1	M	2	50
CROCC	1	M	9	11.11111111111111
CSMD3	1	M	59	1.694915254237288
CTDSPL	1	M	2	50
CTR9	1	M	7	14.285714285714285
CYP2R1	1	M	4	25
DCHS1	1	M	17	5.88235294117647
DDN	1	M	3	33.33333333333333
DIDO1	1	M	20	5
DMRT1	1	M	4	25
DNAH2	1	M	21	4.761904761904762
DPAGT1	1	M	6	16.666666666666664
DQX1	1	M	8	12.5
DUSP8	1	M	3	33.33333333333333
EHHADH	1	M	6	16.666666666666664
ENKD1	1	M	4	25
F5	1	M	10	10
FAAH	1	M	1	100
FAM221B	1	M	2	50
FAM43B	1	M	2	50
FBXW7	1	M	17	5.88235294117647
FGFR3	1	M	6	16.666666666666664
FLG	1	M	60	1.6666666666666667
FMO1	1	M	6	16.666666666666664
FMO2	1	M	7	14.285714285714285
G2E3	1	M	3	33.33333333333333
GAS2L2	1	M	5	20
GOLGB1	1	M	17	5.88235294117647
GRIN2A	1	M	18	5.555555555555555
GSE1	1	M	6	16.666666666666664
HECTD4	1	M	20	5
HKDC1	1	M	11	9.090909090909092
HNRNPM	1	M	11	9.090909090909092
INPP5K	1	M	7	14.285714285714285
IPO7	1	M	7	14.285714285714285
IRF2	1	M	7	14.285714285714285
ISLR	1	M	6	16.666666666666664
IYD	1	M	2	50
JAG1	1	M	9	11.11111111111111
KCNC2	1	M	11	9.090909090909092
KIF5C	1	M	4	25
KRAS	1	M	15	6.666666666666667
KRT84	1	M	6	16.666666666666664
KRTAP1-5	1	M	3	33.33333333333333
KRTAP26-1	1	M	2	50
LRP1B	3	M	72	4.166666666666666
LRRTM1	1	M	12	8.333333333333332
LUC7L3	1	M	2	50
MAP1A	1	M	9	11.11111111111111
MAP3K3	1	M	6	16.666666666666664
MARCH3	1	M	1	100
MARCH7	1	M	3	33.33333333333333
MATN3	1	M	2	50
MEFV	1	M	8	12.5
MMP28	1	M	5	20
MSL2	1	M	11	9.090909090909092
MTHFD1L	1	M	6	16.666666666666664
MYH13	1	M	23	4.3478260869565215
NAA25	1	M	8	12.5
NAB2	1	M	2	50
NF1	1	M	15	6.666666666666667
NLRP3	3	M	12	25
NOS1AP	1	M	5	20
NPAP1	1	M	27	3.7037037037037033
NRIP3	1	M	4	25
