hugo_symbol	n.x	status	n.y	perc
ABCA12	1	M	16	6.25
ABCB4	1	M	5	20
ABI2	1	M	6	16.666666666666664
ACO2	1	M	8	12.5
ADAM15	1	M	7	14.285714285714285
ADAM8	1	M	3	33.33333333333333
ADAMTS19	1	M	6	16.666666666666664
ADCYAP1R1	2	M	6	33.33333333333333
ADGRL2	1	M	13	7.6923076923076925
AHNAK	2	M	43	4.651162790697675
AHNAK2	1	M	56	1.7857142857142856
AK8	1	M	3	33.33333333333333
ALDH3B2	1	M	3	33.33333333333333
ALPK2	1	M	16	6.25
ANGPTL1	1	M	3	33.33333333333333
ANKRD11	1	M	22	4.545454545454546
AOC2	1	M	4	25
AOX1	1	M	7	14.285714285714285
APOBEC4	1	M	7	14.285714285714285
ARAP2	1	M	9	11.11111111111111
ARFGAP1	1	M	5	20
ARFGEF2	1	M	15	6.666666666666667
ARHGAP11A	1	M	8	12.5
ARHGAP18	1	M	6	16.666666666666664
ARHGAP21	1	M	13	7.6923076923076925
ARHGAP26	1	M	7	14.285714285714285
ARHGEF19	1	M	8	12.5
ARID1B	2	M	12	16.666666666666664
ART3	2	M	4	50
ASL	1	M	4	25
ATAT1	1	M	3	33.33333333333333
ATF6B	1	M	7	14.285714285714285
ATG2A	1	M	14	7.142857142857142
ATG2B	1	M	10	10
ATM	1	M	34	2.941176470588235
ATP13A1	1	M	7	14.285714285714285
ATP2A3	1	M	7	14.285714285714285
ATP5SL	1	M	2	50
ATPAF1	1	M	3	33.33333333333333
BIN1	1	M	5	20
BPIFB6	2	M	7	28.57142857142857
BRCA2	1	M	29	3.4482758620689653
BRD8	1	M	8	12.5
BRPF3	1	M	9	11.11111111111111
C14orf39	1	M	4	25
C15orf39	1	M	11	9.090909090909092
C2CD2L	1	M	5	20
C2CD5	1	M	9	11.11111111111111
CACNA1E	1	M	20	5
CACNA1I	1	M	7	14.285714285714285
CACNB4	1	M	3	33.33333333333333
CAMTA2	1	M	10	10
CAPSL	1	M	4	25
CBFA2T2	1	M	10	10
CBWD2	1	M	3	33.33333333333333
CBX4	2	M	7	28.57142857142857
CCDC167	1	M	2	50
CCDC57	1	M	6	16.666666666666664
CCDC88A	1	M	21	4.761904761904762
CCL13	1	M	1	100
CCNC	1	M	2	50
CCNI	1	M	3	33.33333333333333
CCR8	2	M	2	100
CCT3	1	M	8	12.5
CCT6B	1	M	9	11.11111111111111
CD9	1	M	3	33.33333333333333
CDC40	1	M	2	50
CDH12	1	M	9	11.11111111111111
CDK12	1	M	18	5.555555555555555
CDKN1A	1	M	31	3.225806451612903
CDS1	1	M	4	25
CECR2	1	M	9	11.11111111111111
CFAP70	1	M	10	10
CHD4	1	M	15	6.666666666666667
CHD6	1	M	29	3.4482758620689653
CHD7	1	M	27	3.7037037037037033
CILP2	1	M	11	9.090909090909092
CLCN3	1	M	5	20
CLDN15	1	M	2	50
CLTCL1	1	M	11	9.090909090909092
CNBD2	1	M	8	12.5
COL11A1	1	M	20	5
COL11A2	1	M	16	6.25
COL14A1	1	M	17	5.88235294117647
COL4A1	1	M	12	8.333333333333332
COL7A1	1	M	21	4.761904761904762
COPS2	1	M	7	14.285714285714285
COQ3	1	M	5	20
CPM	1	M	2	50
CPT1A	1	M	7	14.285714285714285
CRAT	1	M	7	14.285714285714285
CRB1	1	M	17	5.88235294117647
CRTC3	1	M	7	14.285714285714285
CSE1L	1	M	12	8.333333333333332
CSPG4	2	M	17	11.76470588235294
CSPG5	1	M	7	14.285714285714285
CUBN	1	M	46	2.1739130434782608
CUL9	1	M	22	4.545454545454546
CUX1	1	M	9	11.11111111111111
CYP1A1	1	M	4	25
CYP24A1	1	M	9	11.11111111111111
CYP3A7	1	M	5	20
CYP4F8	1	M	6	16.666666666666664
DBNDD2	1	M	1	100
DCAF11	1	M	5	20
DCDC1	1	M	16	6.25
DDX52	1	M	7	14.285714285714285
DHFR	1	M	1	100
DHRS7C	1	M	2	50
DICER1	3	M	14	21.428571428571427
DKKL1	1	M	3	33.33333333333333
DMBT1	1	M	13	7.6923076923076925
DMD	1	M	21	4.761904761904762
DMXL2	2	M	30	6.666666666666667
DNAJB8	1	M	3	33.33333333333333
DNMBP	1	M	11	9.090909090909092
DPYD	1	M	13	7.6923076923076925
DSC2	1	M	6	16.666666666666664
DSEL	1	M	14	7.142857142857142
DUS3L	1	M	3	33.33333333333333
DUSP27	1	M	10	10
DUSP4	1	M	3	33.33333333333333
EEF2	1	M	7	14.285714285714285
EFTUD1	1	M	6	16.666666666666664
EGR3	1	M	5	20
EID3	1	M	2	50
EIF3A	1	M	10	10
EIF3I	1	M	7	14.285714285714285
ENPP6	1	M	3	33.33333333333333
EPB41L3	2	M	10	20
EPC1	1	M	7	14.285714285714285
EPHA1	1	M	6	16.666666666666664
ERMN	1	M	3	33.33333333333333
EWSR1	1	M	4	25
EXOC3L4	1	M	4	25
EZH1	1	M	7	14.285714285714285
F11R	1	M	6	16.666666666666664
FAM105A	1	M	5	20
FAM118A	1	M	3	33.33333333333333
FAM161A	1	M	11	9.090909090909092
FAM21A	1	M	8	12.5
FAM84A	1	M	6	16.666666666666664
FAM96B	1	M	2	50
FANCM	2	M	16	12.5
FAT1	1	M	27	3.7037037037037033
FAT2	1	M	26	3.8461538461538463
FBN2	1	M	25	4
FBXO18	1	M	9	11.11111111111111
FCGRT	1	M	2	50
FCRL3	2	M	8	25
FER	1	M	7	14.285714285714285
FGB	1	M	2	50
FGF1	1	M	2	50
FHDC1	1	M	7	14.285714285714285
FKBP3	1	M	2	50
FMO4	1	M	9	11.11111111111111
FOCAD	1	M	11	9.090909090909092
FOXK2	1	M	8	12.5
FREM1	2	M	16	12.5
FREM2	2	M	28	7.142857142857142
FZD7	1	M	10	10
GALNT6	1	M	5	20
GAPVD1	1	M	6	16.666666666666664
GATC	1	M	2	50
GCDH	1	M	5	20
GCFC2	1	M	7	14.285714285714285
GCKR	1	M	7	14.285714285714285
GDPD2	1	M	1	100
GDPD3	1	M	4	25
GFOD2	1	M	3	33.33333333333333
GID8	1	M	3	33.33333333333333
GIT2	1	M	8	12.5
GJA8	1	M	3	33.33333333333333
GLDC	1	M	8	12.5
GLI1	1	M	10	10
GLI3	1	M	16	6.25
GLMN	1	M	1	100
GLS2	1	M	4	25
GLYATL1	1	M	4	25
GLYR1	1	M	5	20
GNMT	1	M	4	25
GOLGA1	2	M	8	25
GPR158	1	M	15	6.666666666666667
