hugo_symbol	n.x	status	n.y	perc
ABCA13	1	M	26	3.8461538461538463
ABCA2	1	M	10	10
ABHD17B	1	M	3	33.33333333333333
ACTR6	1	M	5	20
ADAM10	1	M	3	33.33333333333333
ADAR	1	M	5	20
ADGRB1	1	M	7	14.285714285714285
AKAP11	1	M	5	20
APPL2	1	M	6	16.666666666666664
ARPP21	1	M	9	11.11111111111111
ARSJ	1	M	2	50
ASB6	1	M	2	50
ATXN10	1	M	6	16.666666666666664
BARD1	1	M	8	12.5
BAZ2A	1	M	5	20
BAZ2B	1	M	11	9.090909090909092
BCHE	1	M	7	14.285714285714285
CEP250	1	M	8	12.5
CEP76	1	M	4	25
CERS3	1	M	5	20
COL14A1	1	M	22	4.545454545454546
COL24A1	1	M	16	6.25
COL8A1	1	M	6	16.666666666666664
CPSF1	1	M	5	20
CTC1	1	M	8	12.5
CTNNAL1	1	M	3	33.33333333333333
DCAF4	1	M	5	20
DHX36	1	M	7	14.285714285714285
DNAH10	1	M	17	5.88235294117647
DPRX	1	M	3	33.33333333333333
DPYSL5	1	M	7	14.285714285714285
EDDM3A	1	M	1	100
EVPL	1	M	11	9.090909090909092
EYA3	1	M	3	33.33333333333333
FAM46A	1	M	3	33.33333333333333
FAT1	2	M	49	4.081632653061225
FRMPD1	1	M	5	20
GABRA1	1	M	6	16.666666666666664
GALNT9	1	M	1	100
GGCX	1	M	2	50
GLB1L	1	M	3	33.33333333333333
GNPAT	1	M	5	20
GPM6A	1	M	4	25
GTF3C3	1	M	5	20
GTF3C4	1	M	4	25
HAPLN3	1	M	6	16.666666666666664
HIPK1	1	M	6	16.666666666666664
HIST3H2A	1	M	1	100
IFT172	1	M	10	10
IGKV1D-42	1	M	2	50
IZUMO1R	1	M	3	33.33333333333333
KAT5	1	M	5	20
KDM1A	1	M	2	50
KIAA1109	2	M	22	9.090909090909092
KLF1	1	M	4	25
KRTAP1-3	1	M	3	33.33333333333333
LIN54	1	M	3	33.33333333333333
LRP1B	1	M	70	1.4285714285714286
LRSAM1	1	M	7	14.285714285714285
LY6D	1	M	2	50
MED10	1	M	1	100
MESP2	1	M	4	25
MPP2	1	M	5	20
MRPL4	2	M	2	100
MYO9A	1	M	13	7.6923076923076925
NDRG3	1	M	3	33.33333333333333
NELL1	1	M	11	9.090909090909092
NLRP10	1	M	6	16.666666666666664
NLRP5	1	M	15	6.666666666666667
NOP58	1	M	2	50
NPHP3	1	M	7	14.285714285714285
NUFIP2	1	M	6	16.666666666666664
NUGGC	1	M	3	33.33333333333333
OR10X1	1	M	4	25
OR2M4	1	M	7	14.285714285714285
OR4C15	1	M	7	14.285714285714285
P2RY1	1	M	3	33.33333333333333
PCDHA10	1	M	11	9.090909090909092
PCDHA13	1	M	18	5.555555555555555
PDE3A	1	M	18	5.555555555555555
PEX12	1	M	2	50
PFKFB3	1	M	4	25
PIP4K2A	1	M	2	50
PKHD1	1	M	28	3.571428571428571
PLAT	1	M	2	50
PLEKHG4	1	M	6	16.666666666666664
PPP2R5D	1	M	5	20
PPP4R1	1	M	5	20
PRC1	1	M	3	33.33333333333333
PRMT2	1	M	2	50
PRR30	1	M	2	50
PRTG	1	M	9	11.11111111111111
PTCHD2	1	M	5	20
RANBP10	1	M	6	16.666666666666664
RARG	1	M	11	9.090909090909092
RECQL	1	M	7	14.285714285714285
RGS7BP	1	M	2	50
RIOK3	1	M	3	33.33333333333333
RIPK4	1	M	12	8.333333333333332
RNF111	1	M	4	25
RPS3	1	M	1	100
RRAS2	1	M	2	50
SERTAD3	1	M	2	50
SHC4	1	M	4	25
SI	1	M	35	2.857142857142857
SIPA1L3	1	M	9	11.11111111111111
SLAMF7	1	M	1	100
SLC7A14	1	M	10	10
SLC8B1	1	M	2	50
SMG1	1	M	15	6.666666666666667
SPANXN4	1	M	1	100
SPRY3	1	M	2	50
SRPR	1	M	3	33.33333333333333
SSFA2	1	M	8	12.5
SSTR5	1	M	2	50
STK4	1	M	2	50
SYF2	1	M	2	50
TAS1R2	1	M	7	14.285714285714285
TBPL1	1	M	2	50
TMEM2	1	M	10	10
TMEM87A	1	M	2	50
TNN	1	M	20	5
TNR	1	M	18	5.555555555555555
TRAPPC9	1	M	6	16.666666666666664
TRIM42	1	M	11	9.090909090909092
TSLP	1	M	2	50
USP5	1	M	8	12.5
UTRN	1	M	12	8.333333333333332
VANGL2	1	M	6	16.666666666666664
VCL	1	M	2	50
WAPAL	1	M	4	25
WEE1	1	M	1	100
WTAP	1	M	4	25
WWOX	1	M	3	33.33333333333333
ZDHHC20	1	M	1	100
ZFR	1	M	2	50
ZMAT2	1	M	1	100
ZNF318	1	M	8	12.5
ZNF425	1	M	5	20
ZNF622	1	M	2	50
