hugo_symbol	n.x	status	n.y	perc
ADAM7	1	M	2	50
AJAP1	1	M	1	100
ALDOB	1	M	2	50
ARHGAP22	1	M	2	50
BMPR1A	1	M	2	50
CA12	1	M	2	50
CBX5	1	M	1	100
CEP192	1	M	5	20
CEP295	1	M	3	33.33333333333333
CHD9	1	M	4	25
CLTC	1	M	4	25
DNAAF5	1	M	3	33.33333333333333
DNAH5	1	M	3	33.33333333333333
DUSP27	1	M	3	33.33333333333333
DUSP7	1	M	1	100
EGFLAM	1	M	2	50
F2RL1	1	M	1	100
FBXL8	1	M	1	100
FCGBP	1	M	4	25
GPR162	1	M	3	33.33333333333333
GTPBP2	1	M	1	100
HCCS	1	M	1	100
HELZ	1	M	6	16.666666666666664
HS3ST6	1	M	1	100
HTR2B	1	M	2	50
KAT6A	1	M	5	20
KIAA1257	1	M	1	100
MEGF8	1	M	8	12.5
MEP1A	1	M	2	50
MOV10	1	M	2	50
NCOR1	1	M	6	16.666666666666664
NGFR	1	M	2	50
NRBP1	1	M	2	50
OR56A4	1	M	1	100
PCNX	1	M	7	14.285714285714285
PDE1C	1	M	2	50
PIDD1	1	M	4	25
PLXNB2	1	M	4	25
PRCP	1	M	2	50
PRSS21	1	M	3	33.33333333333333
PTPRZ1	1	M	5	20
RANBP2	1	M	6	16.666666666666664
RNF208	1	M	2	50
RXRA	1	M	4	25
SESN3	1	M	1	100
SLC30A8	1	M	1	100
SLC39A7	1	M	2	50
STK17A	1	M	2	50
TMCC3	1	M	4	25
TMEM14E	1	M	1	100
TRAK2	1	M	2	50
TRHDE	1	M	2	50
TTC17	1	M	3	33.33333333333333
TUBGCP6	1	M	1	100
USP10	1	M	2	50
VSIG2	1	M	1	100
WDR33	1	M	4	25
ZFAND4	1	M	1	100
ZNF235	1	M	2	50
ZNF606	1	M	3	33.33333333333333
ZNF831	1	M	5	20
AAAS	1	M	1	100
ACADM	1	M	2	50
ADAM19	1	M	2	50
ANGEL1	1	M	3	33.33333333333333
ANKRD50	1	M	2	50
APOD	1	M	1	100
ARHGEF10	1	M	1	100
ARRDC3	1	M	2	50
ARSB	1	M	1	100
ATP2B3	1	M	2	50
C2CD5	1	M	6	16.666666666666664
C6	1	M	2	50
CALU	1	M	1	100
CANX	1	M	3	33.33333333333333
CDON	1	M	3	33.33333333333333
CLCN3	1	M	2	50
CLEC1A	1	M	3	33.33333333333333
CNTRL	1	M	2	50
CPNE5	1	M	2	50
CROCC	1	M	2	50
CSNK1E	1	M	4	25
DDX11	1	M	2	50
DLC1	1	M	1	100
DNMT3A	1	M	2	50
EPHX2	1	M	1	100
ESR2	1	M	1	100
FKBP8	1	M	1	100
FLYWCH1	1	M	2	50
FOXI1	1	M	1	100
GJD3	1	M	2	50
GPATCH1	1	M	2	50
GPR89A	1	M	1	100
GPSM1	1	M	2	50
GRIA1	1	M	2	50
HIVEP1	1	M	4	25
HYDIN	1	M	4	25
IGF2R	1	M	7	14.285714285714285
KCNB1	1	M	1	100
KCND2	1	M	2	50
KLK9	1	M	1	100
KRT13	1	M	3	33.33333333333333
LMO7	1	M	4	25
LRWD1	1	M	2	50
MAP1B	1	M	3	33.33333333333333
MGA	1	M	2	50
MRPS10	1	M	2	50
MUM1	1	M	1	100
MYO1H	1	M	3	33.33333333333333
NBEA	1	M	5	20
NBPF1	1	M	1	100
NCF2	1	M	1	100
NFIC	1	M	2	50
NHLRC1	1	M	2	50
NME8	1	M	1	100
NUP205	1	M	3	33.33333333333333
NUP210L	1	M	4	25
NUPL2	1	M	1	100
OR6C1	1	M	1	100
P2RY8	1	M	1	100
P4HA3	1	M	1	100
PAWR	1	M	2	50
PCMT1	1	M	1	100
PCSK6	1	M	3	33.33333333333333
PCYT2	1	M	1	100
PDE4DIP	1	M	4	25
PHLDB1	1	M	5	20
PLVAP	1	M	1	100
PRELP	1	M	1	100
PUM2	1	M	3	33.33333333333333
RAVER2	1	M	1	100
RIMBP2	1	M	1	100
RIPK1	1	M	1	100
RNF219	1	M	2	50
RWDD2B	1	M	1	100
SCAP	1	M	4	25
SEL1L3	1	M	4	25
SF3A3	1	M	1	100
SGTB	1	M	1	100
SHH	1	M	1	100
SIN3B	1	M	1	100
SLC5A5	1	M	3	33.33333333333333
SLC8A1	1	M	3	33.33333333333333
SPPL2B	1	M	1	100
SPTBN1	1	M	5	20
SUGP2	1	M	2	50
SYPL1	1	M	2	50
TBC1D32	1	M	2	50
TMEM132E	1	M	1	100
TMEM87B	1	M	2	50
TMEM88B	1	M	1	100
TULP4	1	M	2	50
VDAC3	1	M	1	100
XKRX	1	M	1	100
ZFP36L2	1	M	2	50
ZNF709	1	M	3	33.33333333333333
ZNF831	1	M	5	20
ABCG4	1	M	4	25
ACTR1B	1	M	2	50
AGT	1	M	3	33.33333333333333
AKAP9	1	M	3	33.33333333333333
APBB2	1	M	2	50
ARHGAP10	1	M	2	50
ARHGAP23	1	M	3	33.33333333333333
ATG13	1	M	2	50
AVIL	1	M	1	100
B3GALNT1	1	M	1	100
BAZ1B	1	M	2	50
BCL10	1	M	1	100
BMP4	1	M	1	100
BOD1L1	1	M	7	14.285714285714285
BPTF	1	M	3	33.33333333333333
CARD11	1	M	3	33.33333333333333
