hugo_symbol	n.x	status	n.y	perc
ADARB2	1	M	3	33.33333333333333
ADCY5	1	M	2	50
ADCY8	1	M	10	10
ALB	1	M	33	3.0303030303030303
ANKZF1	1	M	3	33.33333333333333
ANO7	1	M	2	50
ARID1A	1	M	17	5.88235294117647
ATL2	1	M	3	33.33333333333333
B4GALNT4	1	M	3	33.33333333333333
BRCA2	1	M	5	20
BSN	1	M	12	8.333333333333332
C11orf30	1	M	1	100
CASP9	1	M	2	50
CCDC150	1	M	2	50
COL1A1	1	M	5	20
COL4A1	1	M	4	25
COX18	1	M	1	100
CPNE1	1	M	2	50
DPP9	1	M	3	33.33333333333333
DSC1	1	M	1	100
EBF3	1	M	4	25
EDIL3	1	M	3	33.33333333333333
EML5	1	M	4	25
EP300	1	M	8	12.5
EPB41L5	1	M	2	50
F13A1	1	M	2	50
FAM135B	1	M	4	25
FAM222B	1	M	3	33.33333333333333
FAM47A	1	M	5	20
FCRL1	1	M	5	20
FCRL5	1	M	9	11.11111111111111
FHL3	1	M	1	100
FMN2	1	M	8	12.5
FNTA	1	M	3	33.33333333333333
FOXG1	1	M	5	20
FRG2C	1	M	5	20
GLG1	1	M	2	50
GNAI1	1	M	3	33.33333333333333
GOLM1	1	M	1	100
GRM1	1	M	8	12.5
GSAP	1	M	2	50
GSR	1	M	1	100
HIST1H2BM	1	M	1	100
IGFN1	1	M	6	16.666666666666664
KCNC2	1	M	4	25
KCNT1	1	M	6	16.666666666666664
KIAA0907	1	M	1	100
KIF26B	2	M	19	10.526315789473683
LCE3E	1	M	1	100
LPP	1	M	2	50
LRIT2	1	M	1	100
MAGI2	1	M	5	20
MAN2C1	1	M	4	25
MCTP2	1	M	5	20
MMRN1	1	M	6	16.666666666666664
MMS22L	1	M	3	33.33333333333333
MUC16	1	M	51	1.9607843137254901
MUC4	1	M	31	3.225806451612903
MYO1E	1	M	4	25
N4BP3	1	M	2	50
NCAPG2	1	M	2	50
NEUROG1	1	M	2	50
NR1I3	1	M	2	50
OCRL	1	M	2	50
OR1A1	1	M	2	50
OR1E1	1	M	1	100
OR2H1	1	M	2	50
PCDH12	1	M	6	16.666666666666664
PCDHB3	1	M	5	20
PDE1A	1	M	1	100
PSMB5	1	M	3	33.33333333333333
RFWD2	1	M	5	20
RNF17	1	M	6	16.666666666666664
ROBO1	1	M	6	16.666666666666664
RTL1	1	M	2	50
RYR2	1	M	30	3.3333333333333335
SAA2	1	M	3	33.33333333333333
SALL1	1	M	6	16.666666666666664
SCRN3	1	M	4	25
SDCCAG8	1	M	4	25
SH3D21	1	M	1	100
SLC12A7	1	M	5	20
SLC22A17	1	M	4	25
SLC26A3	1	M	1	100
SMC2	1	M	2	50
SOS1	1	M	5	20
STAT1	1	M	3	33.33333333333333
STK10	1	M	3	33.33333333333333
SYT11	1	M	2	50
TAF1L	1	M	6	16.666666666666664
TBX5	1	M	3	33.33333333333333
TMPRSS6	2	M	3	66.66666666666666
TPO	1	M	11	9.090909090909092
TRPS1	1	M	8	12.5
TRPT1	1	M	2	50
TSGA10IP	1	M	2	50
TTN	2	M	72	2.7777777777777777
USP29	1	M	3	33.33333333333333
XPO5	1	M	6	16.666666666666664
ZBTB1	1	M	3	33.33333333333333
ZC3H12A	1	M	3	33.33333333333333
ZNF292	1	M	4	25
ZNF836	1	M	1	100
ZSWIM8	1	M	5	20
AATK	1	M	3	33.33333333333333
ABCA13	1	M	26	3.8461538461538463
ABRA	1	M	2	50
ADGRL2	1	M	4	25
ALB	1	M	33	3.0303030303030303
ANKRD44	1	M	2	50
ARFGEF3	1	M	8	12.5
ASTN1	1	M	9	11.11111111111111
BAZ2A	1	M	4	25
CEP68	1	M	4	25
CLASP2	1	M	4	25
CTDSP1	1	M	2	50
CWF19L1	1	M	2	50
CYC1	1	M	1	100
DAK	1	M	2	50
DIDO1	1	M	6	16.666666666666664
DNAJB1	1	M	1	100
DRD1	1	M	2	50
EDIL3	1	M	3	33.33333333333333
EXD1	1	M	1	100
EYA1	1	M	7	14.285714285714285
FCRL4	1	M	1	100
FRMD4B	1	M	4	25
GABRG1	1	M	9	11.11111111111111
GALNT7	1	M	1	100
GEM	1	M	2	50
GFRAL	1	M	3	33.33333333333333
HIPK4	1	M	2	50
HSP90B1	1	M	1	100
IGKV3-20	1	M	1	100
IL1RAP	1	M	2	50
KEAP1	1	M	11	9.090909090909092
KRT1	1	M	3	33.33333333333333
KRT81	1	M	3	33.33333333333333
KRTAP13-3	1	M	2	50
LAMB4	1	M	7	14.285714285714285
LILRA4	1	M	2	50
MAP4K2	1	M	4	25
MED12L	1	M	3	33.33333333333333
MEGF10	1	M	3	33.33333333333333
MGAT5	1	M	2	50
MRPL19	1	M	1	100
NES	1	M	7	14.285714285714285
NLRP14	1	M	5	20
OBSCN	1	M	36	2.7777777777777777
OR52R1	1	M	3	33.33333333333333
PCDHGA6	1	M	4	25
PDE8A	1	M	5	20
PDZD2	1	M	8	12.5
PGM3	1	M	4	25
PTPRN	1	M	4	25
PTRF	1	M	1	100
RXRG	1	M	2	50
SFMBT2	1	M	8	12.5
SLC25A48	1	M	2	50
SLC5A3	1	M	1	100
SMTN	1	M	3	33.33333333333333
SNCAIP	1	M	5	20
ST8SIA6	1	M	4	25
TECPR1	1	M	2	50
TKTL1	1	M	2	50
TNFRSF25	1	M	3	33.33333333333333
TP53	1	M	64	1.5625
TTN	1	M	72	1.3888888888888888
WNT8A	1	M	2	50
ZBTB7C	1	M	2	50
ZNF326	1	M	2	50
ABHD12	1	M	2	50
AGBL1	1	M	5	20
AKAP11	1	M	6	16.666666666666664
ALG10B	1	M	4	25
ARHGAP32	1	M	5	20
ARMCX6	1	M	3	33.33333333333333
ATR	1	M	11	9.090909090909092
BOC	1	M	6	16.666666666666664
BRSK1	1	M	4	25
C1orf141	1	M	1	100
C9orf47	1	M	1	100
C9orf84	1	M	2	50
CELSR1	1	M	8	12.5
CIT	1	M	8	12.5
CLCA1	1	M	7	14.285714285714285
COL15A1	1	M	6	16.666666666666664
CPNE8	1	M	3	33.33333333333333
CSMD1	1	M	20	5
CXorf36	1	M	3	33.33333333333333
DAPP1	1	M	1	100
DCHS1	1	M	13	7.6923076923076925
DIO1	1	M	1	100
DIP2C	1	M	7	14.285714285714285
DNAAF2	1	M	1	100
DOCK3	1	M	5	20
DPYD	1	M	5	20
EDC4	1	M	3	33.33333333333333
EEF1A1	1	M	8	12.5
EHMT1	1	M	3	33.33333333333333
EPM2AIP1	1	M	3	33.33333333333333
ESRRG	1	M	2	50
G6PC	1	M	5	20
GLI2	1	M	8	12.5
GLIPR1L2	1	M	1	100
GPR152	1	M	3	33.33333333333333
HELZ2	1	M	7	14.285714285714285
INO80	1	M	2	50
KCNA5	1	M	4	25
KCTD16	1	M	5	20
KLRC3	1	M	2	50
KRTAP6-1	1	M	2	50
L3MBTL1	1	M	2	50
LILRB5	1	M	5	20
MALRD1	1	M	3	33.33333333333333
MAPKAP1	1	M	2	50
MAST4	1	M	6	16.666666666666664
MBD5	1	M	6	16.666666666666664
MED15	1	M	1	100
MIIP	1	M	3	33.33333333333333
MMRN1	1	M	6	16.666666666666664
MROH7	1	M	4	25
MTSS1	1	M	3	33.33333333333333
NBEAL2	1	M	9	11.11111111111111
NCK2	1	M	1	100
NEBL	1	M	4	25
NECAP2	1	M	1	100
NKX2-8	1	M	2	50
NPAS3	1	M	9	11.11111111111111
OR4A15	1	M	5	20
OR5B17	1	M	2	50
PKD1L3	1	M	4	25
PLCB2	1	M	4	25
PPAPDC2	1	M	1	100
PPP6R2	1	M	2	50
PTPRN	1	M	4	25
PTPRQ	1	M	9	11.11111111111111
RAB40AL	1	M	2	50
RIMBP2	1	M	5	20
SEMA6C	1	M	3	33.33333333333333
SERPIND1	1	M	1	100
SIPA1L2	1	M	7	14.285714285714285
SLC6A14	1	M	2	50
SLC8A2	1	M	3	33.33333333333333
SOGA3	1	M	3	33.33333333333333
SUSD1	1	M	2	50
SYNGR3	1	M	1	100
TAF1	1	M	5	20
TLE6	1	M	1	100
TM6SF1	1	M	2	50
TMEM201	1	M	1	100
TP53BP1	1	M	5	20
TPR	1	M	4	25
TRERF1	1	M	4	25
TSPAN4	1	M	1	100
UGT2B15	1	M	2	50
WNT11	1	M	1	100
ZBED2	1	M	2	50
ZC3H12A	1	M	3	33.33333333333333
ZNF280B	1	M	5	20
ZNF556	1	M	1	100
ZNF645	1	M	2	50
ZNF669	1	M	3	33.33333333333333
ZSCAN21	1	M	2	50
AASS	1	M	4	25
ANGPTL7	1	M	2	50
AP2A2	1	M	3	33.33333333333333
ARHGEF17	1	M	6	16.666666666666664
ASCL2	1	M	1	100
ATM	1	M	9	11.11111111111111
BACE1	1	M	1	100
C10orf54	1	M	1	100
CACNA1E	1	M	22	4.545454545454546
CASP8AP2	1	M	5	20
CCDC54	1	M	2	50
CCK	1	M	1	100
CD79A	1	M	1	100
CEACAM7	1	M	2	50
COG1	1	M	4	25
COL11A1	1	M	18	5.555555555555555
COL6A6	1	M	9	11.11111111111111
CPED1	1	M	3	33.33333333333333
CYYR1	1	M	1	100
DAG1	1	M	2	50
DIS3	1	M	3	33.33333333333333
DNAH10	1	M	14	7.142857142857142
DOCK4	1	M	5	20
EHBP1L1	1	M	3	33.33333333333333
EIF2AK3	1	M	2	50
F5	1	M	5	20
FAM98B	1	M	3	33.33333333333333
FARSA	1	M	2	50
FBXO28	1	M	1	100
FBXO43	1	M	2	50
FGD5	1	M	4	25
FSHR	1	M	3	33.33333333333333
GIGYF1	1	M	3	33.33333333333333
GTF2IRD2	1	M	2	50
HERC2	1	M	15	6.666666666666667
HRG	1	M	4	25
IKZF3	1	M	1	100
INSM2	1	M	2	50
ITIH1	1	M	3	33.33333333333333
KCNB2	2	M	9	22.22222222222222
KCNMB3	1	M	4	25
KIAA0430	1	M	3	33.33333333333333
KIAA1109	1	M	10	10
LILRA4	1	M	2	50
LRP1B	1	M	21	4.761904761904762
MAST2	1	M	4	25
ME2	1	M	2	50
MRPL22	1	M	3	33.33333333333333
MTSS1L	1	M	3	33.33333333333333
NCOA7	1	M	5	20
NRTN	1	M	1	100
NUDC	1	M	2	50
OR2T35	1	M	1	100
OSBPL3	1	M	3	33.33333333333333
PCDHGA10	1	M	5	20
PCDHGB7	1	M	7	14.285714285714285
PDZRN3	1	M	7	14.285714285714285
POLQ	1	M	12	8.333333333333332
POR	1	M	3	33.33333333333333
PPAP2C	1	M	3	33.33333333333333
PRKX	1	M	2	50
PRPF8	1	M	5	20
PSD2	1	M	7	14.285714285714285
RIMKLA	1	M	2	50
RNF112	1	M	3	33.33333333333333
RXFP1	1	M	2	50
SCN5A	1	M	8	12.5
SEC14L5	1	M	2	50
SENP5	1	M	2	50
SLC30A8	1	M	3	33.33333333333333
SLC39A11	1	M	1	100
SNAPC1	1	M	1	100
TAT	1	M	3	33.33333333333333
TBC1D22B	1	M	2	50
TCN1	1	M	2	50
TECPR2	1	M	3	33.33333333333333
TEKT3	1	M	3	33.33333333333333
TEX14	1	M	4	25
TLL1	1	M	7	14.285714285714285
TMEM116	1	M	1	100
TNPO1	1	M	2	50
TRDMT1	1	M	3	33.33333333333333
TRIO	1	M	5	20
TUB	1	M	1	100
TUBB8	1	M	1	100
WDFY3	1	M	10	10
WNT9A	1	M	3	33.33333333333333
ZNF57	1	M	1	100
ZNF772	1	M	1	100
ABCA4	1	M	10	10
ABCB8	1	M	2	50
ABCC3	1	M	5	20
ADAMTS13	1	M	5	20
ADGRV1	1	M	16	6.25
ADNP2	1	M	5	20
C10orf90	1	M	4	25
CACNA1B	1	M	10	10
CAPZA1	1	M	4	25
CCSER1	1	M	8	12.5
CDC27	1	M	3	33.33333333333333
CMYA5	1	M	7	14.285714285714285
CNGB3	1	M	5	20
COL7A1	1	M	6	16.666666666666664
ELMSAN1	1	M	4	25
EVI5	1	M	2	50
EYS	1	M	12	8.333333333333332
FAM21A	1	M	3	33.33333333333333
FRMD4B	1	M	4	25
GRID2	1	M	4	25
HECW1	1	M	10	10
KCNE5	1	M	1	100
KMT2D	1	M	15	6.666666666666667
LRGUK	1	M	2	50
MCM2	1	M	2	50
MMP13	1	M	2	50
MSLNL	1	M	3	33.33333333333333
MYT1L	1	M	15	6.666666666666667
NBAS	1	M	7	14.285714285714285
OR2G6	1	M	4	25
PASK	1	M	2	50
PCDHB10	1	M	8	12.5
PCDHGC4	1	M	2	50
PKHD1	1	M	13	7.6923076923076925
PRKG2	1	M	2	50
RNF135	1	M	2	50
RTP1	1	M	2	50
SCEL	1	M	2	50
SCIN	1	M	5	20
SEMA5B	1	M	3	33.33333333333333
SLC17A4	1	M	3	33.33333333333333
SLC26A7	1	M	7	14.285714285714285
SLC43A1	1	M	3	33.33333333333333
SLC45A4	1	M	2	50
SLC6A15	1	M	8	12.5
SNX19	1	M	5	20
SORL1	1	M	7	14.285714285714285
SUCO	1	M	3	33.33333333333333
SVEP1	1	M	8	12.5
SYNPO	1	M	1	100
TCF20	1	M	5	20
TIMM23	1	M	1	100
TRPC6	1	M	5	20
USP22	1	M	7	14.285714285714285
WDR90	1	M	4	25
WSCD2	1	M	3	33.33333333333333
ZAN	1	M	11	9.090909090909092
ZCCHC14	1	M	3	33.33333333333333
ZFYVE28	1	M	2	50
A2ML1	1	M	6	16.666666666666664
ABCA12	1	M	12	8.333333333333332
ABCA9	1	M	3	33.33333333333333
ACTR3B	1	M	1	100
ADAM7	1	M	4	25
ANKRD30A	1	M	6	16.666666666666664
AP3M2	1	M	2	50
AP5Z1	1	M	2	50
APOBR	1	M	1	100
ASMT	1	M	3	33.33333333333333
C9orf172	1	M	2	50
CAMSAP1	1	M	2	50
CAMTA1	1	M	5	20
CDH7	1	M	9	11.11111111111111
CFAP58	1	M	4	25
CHMP1B	1	M	3	33.33333333333333
CNTN1	1	M	5	20
CNTN2	1	M	7	14.285714285714285
COBL	1	M	8	12.5
COL16A1	1	M	10	10
CPA1	1	M	1	100
CSMD1	1	M	20	5
CSNK1A1L	1	M	5	20
DAAM1	1	M	6	16.666666666666664
DCN	1	M	4	25
DPP8	1	M	2	50
DPPA4	1	M	1	100
DYNC1I1	1	M	3	33.33333333333333
ECEL1	1	M	3	33.33333333333333
EEF1G	1	M	2	50
EPAS1	1	M	2	50
EYS	1	M	12	8.333333333333332
FAM114A1	1	M	1	100
FAM131A	1	M	1	100
FAM177B	1	M	1	100
FNBP4	1	M	3	33.33333333333333
GNAT3	1	M	3	33.33333333333333
GPAT2	1	M	3	33.33333333333333
GRAMD1B	1	M	6	16.666666666666664
HCN4	1	M	5	20
KANSL3	1	M	2	50
KCNH5	1	M	6	16.666666666666664
LMLN	1	M	2	50
MARCH7	1	M	1	100
MTHFD2	1	M	1	100
MYH2	1	M	6	16.666666666666664
MYO16	1	M	5	20
MYO1H	1	M	4	25
NAV3	1	M	8	12.5
NCOA6	1	M	5	20
NUP214	1	M	6	16.666666666666664
OR2V2	1	M	2	50
OR2Y1	1	M	3	33.33333333333333
PLA2R1	1	M	8	12.5
PLEKHG7	1	M	1	100
PPFIA2	1	M	5	20
PRCC	1	M	2	50
PSMB2	1	M	1	100
PTGDR	1	M	2	50
PTPRC	1	M	6	16.666666666666664
PTPRM	1	M	8	12.5
PURA	1	M	1	100
PXDN	1	M	10	10
RBP3	1	M	6	16.666666666666664
RYR1	1	M	21	4.761904761904762
SDK1	1	M	16	6.25
SFPQ	1	M	3	33.33333333333333
SH3TC1	1	M	3	33.33333333333333
SLC13A2	1	M	1	100
SLC24A5	1	M	3	33.33333333333333
SLC39A12	1	M	10	10
SNRPD3	1	M	1	100
SVIL	1	M	6	16.666666666666664
TNFRSF1A	1	M	1	100
TRIM66	1	M	4	25
UNC13B	1	M	3	33.33333333333333
USP7	1	M	4	25
VDAC2	1	M	1	100
WSB1	1	M	1	100
ZNF493	1	M	2	50
AAMP	1	M	1	100
AARD	1	M	2	50
ABCA13	1	M	26	3.8461538461538463
ABI1	1	M	1	100
ADAM28	1	M	5	20
ADAMTS19	1	M	9	11.11111111111111
ADGRG4	1	M	7	14.285714285714285
ADGRL3	1	M	15	6.666666666666667
ALDH1B1	1	M	3	33.33333333333333
APOBEC3A	1	M	1	100
ARIH2	1	M	2	50
ASIC4	1	M	2	50
ATP8A1	1	M	4	25
ATXN1	1	M	3	33.33333333333333
BRPF1	1	M	4	25
C16orf71	1	M	2	50
C17orf51	1	M	2	50
C8B	1	M	2	50
CAMSAP3	1	M	1	100
CCDC59	1	M	1	100
CCZ1	1	M	2	50
CD1B	1	M	3	33.33333333333333
CHD2	1	M	3	33.33333333333333
CLDN14	1	M	1	100
CLEC6A	1	M	3	33.33333333333333
COG1	1	M	4	25
COL11A1	1	M	18	5.555555555555555
CSMD1	1	M	20	5
CTNNB1	1	M	74	1.3513513513513513
CYTIP	1	M	2	50
DUSP26	1	M	1	100
EIF5A	1	M	2	50
ELOVL1	1	M	1	100
ENG	1	M	2	50
ERP44	1	M	1	100
FAM160A2	1	M	3	33.33333333333333
FAM186A	1	M	3	33.33333333333333
FAM73A	1	M	1	100
FGB	1	M	1	100
FLG2	1	M	7	14.285714285714285
FLNB	1	M	7	14.285714285714285
FMNL2	1	M	4	25
GABPB2	1	M	2	50
GABRE	1	M	1	100
GAS2L1	1	M	2	50
GAS2L3	1	M	2	50
GFRA2	1	M	2	50
GNAZ	1	M	4	25
GNL1	1	M	1	100
GPR78	1	M	2	50
HADHB	1	M	3	33.33333333333333
HRNR	1	M	9	11.11111111111111
IGLV3-27	1	M	1	100
IL9R	1	M	6	16.666666666666664
INA	1	M	2	50
IRF2BPL	1	M	5	20
LAMA3	1	M	8	12.5
LCT	1	M	4	25
LMBR1L	1	M	4	25
LMO7	1	M	2	50
LRRC7	1	M	10	10
LTBP1	1	M	8	12.5
LTK	1	M	4	25
MAGEL2	1	M	7	14.285714285714285
MASP2	1	M	3	33.33333333333333
MED17	1	M	3	33.33333333333333
MEGF6	1	M	6	16.666666666666664
MFSD11	1	M	5	20
MGAT3	1	M	3	33.33333333333333
MROH9	2	M	2	100
MRPL28	1	M	1	100
MYH3	1	M	6	16.666666666666664
NCAN	1	M	2	50
NIPAL2	1	M	2	50
NPY2R	1	M	4	25
NSD1	1	M	6	16.666666666666664
OCIAD1	1	M	1	100
