hugo_symbol	n.x	status	n.y	perc
ABCA13	1	M	37	2.7027027027027026
ACACB	1	M	17	5.88235294117647
ACAN	1	M	22	4.545454545454546
ACOX3	1	M	6	16.666666666666664
ACTR3	1	M	2	50
ADAMTS20	1	M	28	3.571428571428571
ADAMTS3	1	M	16	6.25
ADGRG4	1	M	43	2.3255813953488373
ADGRL3	1	M	36	2.7777777777777777
AHDC1	1	M	7	14.285714285714285
AMER3	1	M	18	5.555555555555555
AMZ1	1	M	4	25
ANAPC7	1	M	2	50
ANK1	1	M	23	4.3478260869565215
ANK2	1	M	52	1.9230769230769231
ANXA6	1	M	3	33.33333333333333
APOL5	1	M	8	12.5
ARHGEF10L	1	M	5	20
ARHGEF37	1	M	5	20
ATM	1	M	16	6.25
BBS7	1	M	9	11.11111111111111
BCHE	1	M	16	6.25
BCORL1	1	M	8	12.5
BRINP3	1	M	34	2.941176470588235
C16orf71	1	M	3	33.33333333333333
C17orf64	1	M	2	50
C17orf98	1	M	2	50
C1orf177	1	M	5	20
C3orf30	1	M	10	10
C6	1	M	13	7.6923076923076925
CACNA1C	1	M	30	3.3333333333333335
CACNA1S	1	M	16	6.25
CASC5	1	M	6	16.666666666666664
CCBE1	1	M	6	16.666666666666664
CCHCR1	1	M	2	50
CDHR5	1	M	4	25
CDK12	1	M	13	7.6923076923076925
CES1	1	M	6	16.666666666666664
CFAP221	1	M	5	20
CGA	1	M	2	50
CHM	1	M	5	20
CHRNB1	1	M	3	33.33333333333333
CLLU1	1	M	1	100
CNBD2	1	M	9	11.11111111111111
CNTNAP5	1	M	40	2.5
COL3A1	1	M	27	3.7037037037037033
CPEB1	1	M	3	33.33333333333333
CPN1	1	M	6	16.666666666666664
CRX	1	M	5	20
CSMD1	1	M	60	1.6666666666666667
CSRNP3	1	M	6	16.666666666666664
CTTNBP2	1	M	18	5.555555555555555
CYB561A3	1	M	3	33.33333333333333
CYP4F2	1	M	10	10
DCC	1	M	15	6.666666666666667
DCTN5	1	M	2	50
DNAH7	1	M	34	2.941176470588235
DOCK7	2	M	12	16.666666666666664
DPF2	1	M	4	25
DRD1	1	M	8	12.5
DST	1	M	21	4.761904761904762
ENTPD6	1	M	2	50
EOMES	1	M	6	16.666666666666664
EP400	1	M	16	6.25
ERCC6	1	M	8	12.5
ERN2	2	M	13	15.384615384615385
F13A1	1	M	14	7.142857142857142
FAM131B	1	M	8	12.5
FASTKD5	1	M	3	33.33333333333333
FAT3	1	M	63	1.5873015873015872
FGFR4	1	M	7	14.285714285714285
FRMPD1	1	M	17	5.88235294117647
GBP4	1	M	13	7.6923076923076925
GDF15	1	M	3	33.33333333333333
GIMAP8	1	M	12	8.333333333333332
GLIPR1	1	M	7	14.285714285714285
GMIP	1	M	5	20
GPR156	1	M	9	11.11111111111111
GRIK2	1	M	21	4.761904761904762
GRM6	1	M	13	7.6923076923076925
HECTD2	1	M	2	50
HTR6	1	M	7	14.285714285714285
IARS	1	M	4	25
IGHV4-31	1	M	5	20
IGKV1D-16	1	M	4	25
IRGC	1	M	8	12.5
ITPR1	1	M	11	9.090909090909092
KAT2B	1	M	3	33.33333333333333
KCNH5	1	M	19	5.263157894736842
KCNH6	1	M	12	8.333333333333332
KCNH7	1	M	19	5.263157894736842
KCNS2	1	M	12	8.333333333333332
KIAA0368	1	M	8	12.5
KIAA1211	1	M	26	3.8461538461538463
KLHL38	1	M	15	6.666666666666667
KLK7	1	M	4	25
KRAS	1	M	64	1.5625
KRTAP21-2	1	M	3	33.33333333333333
L3HYPDH	1	M	2	50
LACRT	1	M	3	33.33333333333333
LAMA4	1	M	20	5
LHCGR	1	M	7	14.285714285714285
