hugo_symbol	n.x	status	n.y	perc
ADAM20	1	M	6	16.666666666666664
ADAMTS12	1	M	63	1.5873015873015872
ADAMTS19	1	M	25	4
ADCY4	1	M	6	16.666666666666664
ADCY5	1	M	16	6.25
ADGRB1	1	M	21	4.761904761904762
ADGRF5	1	M	18	5.555555555555555
AGRN	1	M	5	20
AMER1	1	M	10	10
ANKMY2	1	M	3	33.33333333333333
ARHGEF12	1	M	13	7.6923076923076925
ARID1B	1	M	19	5.263157894736842
ASH1L	2	M	23	8.695652173913043
ATN1	1	M	16	6.25
ATRX	1	M	11	9.090909090909092
BDP1	2	M	12	16.666666666666664
BHMT	1	M	6	16.666666666666664
BIRC6	1	M	46	2.1739130434782608
BRWD3	1	M	18	5.555555555555555
C10orf88	1	M	5	20
C12orf5	1	M	3	33.33333333333333
C18orf54	1	M	3	33.33333333333333
C7	1	M	25	4
CA7	1	M	5	20
CARD6	1	M	17	5.88235294117647
CCAR1	1	M	10	10
CCDC141	1	M	28	3.571428571428571
CCDC155	1	M	6	16.666666666666664
CHD7	1	M	30	3.3333333333333335
CLDN8	1	M	2	50
CNTNAP4	1	M	34	2.941176470588235
CPSF2	1	M	6	16.666666666666664
CTNNA2	1	M	54	1.8518518518518516
CWF19L2	1	M	14	7.142857142857142
CYLC1	1	M	13	7.6923076923076925
CYP26B1	1	M	9	11.11111111111111
CYTH4	1	M	5	20
DCHS1	1	M	26	3.8461538461538463
DLGAP3	1	M	10	10
DNAH12	1	M	5	20
DNTTIP2	1	M	3	33.33333333333333
E2F7	1	M	11	9.090909090909092
EPHA6	1	M	29	3.4482758620689653
FAM111B	1	M	4	25
FAT3	1	M	70	1.4285714285714286
FBN1	1	M	32	3.125
FBXW7	1	M	18	5.555555555555555
FCRL5	1	M	28	3.571428571428571
FLG2	1	M	30	3.3333333333333335
FN1	1	M	29	3.4482758620689653
GBF1	1	M	9	11.11111111111111
GLI1	1	M	17	5.88235294117647
GPR85	1	M	6	16.666666666666664
GRIP2	1	M	2	50
GRM3	1	M	30	3.3333333333333335
HAO1	1	M	13	7.6923076923076925
HAPLN1	1	M	12	8.333333333333332
HIPK1	1	M	9	11.11111111111111
HIST1H4H	1	M	4	25
HIST1H4I	1	M	4	25
HMMR	1	M	3	33.33333333333333
IGHV3-72	1	M	3	33.33333333333333
IGKV1-5	1	M	7	14.285714285714285
IGKV1D-42	1	M	17	5.88235294117647
IGKV1D-8	1	M	14	7.142857142857142
ILDR1	1	M	4	25
IMPA1	1	M	4	25
IMPG2	1	M	23	4.3478260869565215
IPMK	1	M	5	20
KBTBD12	1	M	7	14.285714285714285
KCNK10	1	M	16	6.25
KIAA1024	1	M	17	5.88235294117647
KIAA1279	1	M	1	100
KIF6	1	M	4	25
KLF3	1	M	2	50
KRTAP19-3	1	M	4	25
KRTAP5-2	1	M	2	50
LAMA3	1	M	17	5.88235294117647
LAMA4	1	M	27	3.7037037037037033
LCMT2	1	M	9	11.11111111111111
LGALS4	1	M	3	33.33333333333333
LILRA2	1	M	22	4.545454545454546
LRFN5	1	M	33	3.0303030303030303
LRP10	1	M	3	33.33333333333333
LRP6	1	M	17	5.88235294117647
MAEL	1	M	5	20
MAS1	1	M	4	25
MAST1	1	M	14	7.142857142857142
MGAT5B	1	M	9	11.11111111111111
MKI67	1	M	30	3.3333333333333335
MMRN2	1	M	6	16.666666666666664
MMS22L	1	M	17	5.88235294117647
MTTP	1	M	12	8.333333333333332
MUC16	1	M	187	0.53475935828877
MUC17	1	M	74	1.3513513513513513
MUC5B	1	M	59	1.694915254237288
MYCBP2	1	M	32	3.125
MYH1	1	M	48	2.083333333333333
MYH2	1	M	48	2.083333333333333
MYH7	1	M	27	3.7037037037037033
MYH8	2	M	42	4.761904761904762
N4BP2	1	M	12	8.333333333333332
NCOR2	1	M	17	5.88235294117647
NELL1	1	M	18	5.555555555555555
NLGN4X	1	M	24	4.166666666666666
NOD2	1	M	15	6.666666666666667
NRK	1	M	24	4.166666666666666
OR51B2	1	M	17	5.88235294117647
OR51G2	1	M	9	11.11111111111111
OR51Q1	1	M	13	7.6923076923076925
OR52E4	1	M	12	8.333333333333332
OR5F1	1	M	25	4
OR5K3	1	M	7	14.285714285714285
OR5T1	1	M	19	5.263157894736842
OR8A1	1	M	15	6.666666666666667
OR8G1	1	M	8	12.5
OSBPL8	1	M	8	12.5
OSGIN1	1	M	8	12.5
PAQR8	1	M	3	33.33333333333333
PCDHGA9	1	M	14	7.142857142857142
PCNXL4	1	M	8	12.5
PDS5A	1	M	6	16.666666666666664
PDZRN3	1	M	26	3.8461538461538463
PHC3	1	M	10	10
PHKB	1	M	13	7.6923076923076925
PIK3AP1	1	M	14	7.142857142857142
PIKFYVE	1	M	22	4.545454545454546
PKD1	1	M	22	4.545454545454546
PLIN4	1	M	8	12.5
PPDPF	1	M	1	100
PPIP5K2	1	M	8	12.5
PRH2	1	M	4	25
PRKD1	1	M	17	5.88235294117647
PROX2	1	M	7	14.285714285714285
PTPRR	1	M	19	5.263157894736842
