hugo_symbol	n.x	status	n.y	perc
ABCA13	1	M	18	5.555555555555555
ADAM10	1	M	3	33.33333333333333
ADAR	1	M	5	20
AKAP11	1	M	4	25
APPL2	1	M	4	25
ATXN10	1	M	3	33.33333333333333
BAZ2A	1	M	4	25
BCHE	1	M	7	14.285714285714285
CERS3	1	M	3	33.33333333333333
CTNNAL1	1	M	3	33.33333333333333
DCAF4	1	M	3	33.33333333333333
DNAH10	1	M	12	8.333333333333332
FRMPD1	1	M	3	33.33333333333333
GLB1L	1	M	2	50
GPM6A	1	M	1	100
GTF3C4	1	M	3	33.33333333333333
HAPLN3	1	M	6	16.666666666666664
HIST3H2A	1	M	1	100
IFT172	1	M	8	12.5
JAG2	1	M	3	33.33333333333333
LIN54	1	M	1	100
LRSAM1	1	M	6	16.666666666666664
MESP2	1	M	2	50
NDRG3	1	M	3	33.33333333333333
NELL1	1	M	7	14.285714285714285
NLRP10	1	M	4	25
NLRP5	1	M	10	10
NUGGC	1	M	3	33.33333333333333
OR10X1	1	M	3	33.33333333333333
OR4C15	1	M	6	16.666666666666664
PCDHA10	1	M	8	12.5
PEX12	1	M	2	50
PKHD1	1	M	21	4.761904761904762
PPP4R1	1	M	1	100
PRR30	1	M	2	50
RPS3	1	M	1	100
SI	1	M	19	5.263157894736842
SIPA1L3	1	M	4	25
SLC7A14	1	M	4	25
TBPL1	1	M	2	50
TNN	1	M	11	9.090909090909092
VANGL2	1	M	4	25
ZNF318	1	M	7	14.285714285714285
ZNF682	1	M	6	16.666666666666664
ZNF724P	1	M	4	25
ABCA12	1	M	9	11.11111111111111
ACTL6A	1	M	1	100
ADD1	1	M	2	50
ADGRB3	1	M	15	6.666666666666667
ANKS3	1	M	3	33.33333333333333
ARHGAP17	1	M	7	14.285714285714285
ARHGAP29	2	M	5	40
ASCC3	1	M	6	16.666666666666664
ATP13A4	1	M	8	12.5
BCL9	1	M	8	12.5
C14orf169	1	M	3	33.33333333333333
CDH19	1	M	8	12.5
CDH2	1	M	8	12.5
CFAP221	1	M	3	33.33333333333333
CHD4	1	M	5	20
CNTROB	1	M	5	20
COL6A1	1	M	4	25
COL6A6	1	M	18	5.555555555555555
CREBBP	1	M	16	6.25
CSMD3	1	M	43	2.3255813953488373
CSPP1	1	M	4	25
CXCL9	1	M	2	50
CYP2A13	1	M	3	33.33333333333333
DIO1	1	M	1	100
DPH7	1	M	1	100
DRAM1	1	M	1	100
E2F4	1	M	1	100
ECM1	1	M	4	25
FAM47A	1	M	11	9.090909090909092
FAM90A1	1	M	4	25
FBXO8	1	M	3	33.33333333333333
FIZ1	1	M	1	100
FMN2	1	M	18	5.555555555555555
FTSJ3	1	M	1	100
FZD8	1	M	4	25
GAPVD1	1	M	5	20
GPR137C	1	M	1	100
HJURP	1	M	2	50
IFT172	1	M	8	12.5
KATNAL1	1	M	4	25
KDM4E	1	M	3	33.33333333333333
KLHL1	1	M	16	6.25
KMT2D	1	M	14	7.142857142857142
LRP1B	1	M	58	1.7241379310344827
LRRC27	1	M	1	100
MAPK8IP3	1	M	4	25
METRNL	1	M	1	100
MFHAS1	1	M	7	14.285714285714285
MPP2	1	M	4	25
MUC5AC	1	M	6	16.666666666666664
MYH14	1	M	5	20
MYH4	1	M	14	7.142857142857142
MYH7	1	M	8	12.5
NCOA1	1	M	4	25
NETO1	1	M	4	25
NLRP12	1	M	13	7.6923076923076925
NLRP13	1	M	6	16.666666666666664
NPAP1	1	M	22	4.545454545454546
NPFFR2	1	M	9	11.11111111111111
NUP88	1	M	5	20
OR10X1	1	M	3	33.33333333333333
OR13C9	1	M	3	33.33333333333333
OR4C46	1	M	6	16.666666666666664
OR51B2	1	M	4	25
OR56A3	1	M	4	25
PAPOLB	1	M	5	20
PARP9	1	M	3	33.33333333333333
PAX6	1	M	4	25
PHF23	1	M	2	50
PKP3	1	M	2	50
PLEKHG4B	1	M	5	20
PLEKHH2	1	M	5	20
PNMA1	1	M	1	100
POM121C	1	M	1	100
POU6F2	1	M	3	33.33333333333333
PPP1R1C	1	M	1	100
RAD9B	1	M	1	100
RAP1GDS1	1	M	3	33.33333333333333
REL	1	M	2	50
ROPN1	1	M	1	100
RPS6KA5	1	M	2	50
RTN4RL2	1	M	2	50
RUNX1T1	1	M	13	7.6923076923076925
SEC16A	1	M	5	20
SETDB1	1	M	4	25
SFSWAP	1	M	2	50
SIGLECL1	1	M	1	100
SLC2A7	1	M	1	100
SLC6A12	1	M	3	33.33333333333333
SNX4	1	M	3	33.33333333333333
SPAG17	1	M	13	7.6923076923076925
SPEG	1	M	10	10
ST6GALNAC6	1	M	2	50
STARD10	1	M	1	100
STX1A	1	M	5	20
STX8	1	M	1	100
SZT2	1	M	9	11.11111111111111
TBC1D8	1	M	3	33.33333333333333
TBXA2R	1	M	1	100
TIAL1	1	M	1	100
TM4SF1	1	M	2	50
TNC	1	M	4	25
TNFAIP6	1	M	3	33.33333333333333
TP53	1	M	144	0.6944444444444444
TRAF3IP2	1	M	2	50
TRPM2	1	M	5	20
TRPM6	1	M	4	25
TUBB2A	1	M	1	100
VPS13D	1	M	15	6.666666666666667
WDR12	1	M	4	25
WDR17	1	M	11	9.090909090909092
XPR1	1	M	5	20
ZBTB41	1	M	2	50
ZC3H7B	1	M	3	33.33333333333333
ZFHX4	1	M	27	3.7037037037037033
ZFYVE26	1	M	4	25
ZMYM2	1	M	2	50
ZNF236	1	M	8	12.5
ZNF266	1	M	4	25
ZNF292	1	M	10	10
ZNF578	1	M	4	25
ZNF585A	1	M	3	33.33333333333333
ZNF778	1	M	1	100
ZNF787	1	M	2	50
ADGRA1	1	M	2	50
ARAP3	1	M	4	25
ATP2C2	1	M	5	20
ATR	1	M	7	14.285714285714285
BST1	1	M	2	50
C1GALT1	1	M	1	100
C8orf59	1	M	1	100
CHD7	1	M	14	7.142857142857142
CLDN17	1	M	3	33.33333333333333
CYB561A3	1	M	2	50
ECHS1	1	M	1	100
EDRF1	1	M	6	16.666666666666664
EMILIN3	1	M	1	100
EP300	1	M	16	6.25
FABP3	1	M	1	100
FAM21A	1	M	3	33.33333333333333
FGD4	1	M	2	50
FLT3	1	M	5	20
GK2	1	M	5	20
GLP2R	1	M	5	20
GON4L	1	M	3	33.33333333333333
GPR61	1	M	3	33.33333333333333
HGD	1	M	3	33.33333333333333
LARS2	1	M	1	100
LRIF1	1	M	6	16.666666666666664
MICU1	1	M	2	50
NOTCH1	1	M	29	3.4482758620689653
NR4A3	1	M	3	33.33333333333333
OLFML2A	1	M	4	25
OR13F1	1	M	2	50
PAN3	1	M	2	50
PIBF1	1	M	2	50
PLEKHG1	1	M	7	14.285714285714285
PRMT3	1	M	2	50
PSG3	1	M	4	25
RIF1	1	M	8	12.5
RNF14	1	M	2	50
RRAGC	1	M	2	50
RTP2	1	M	2	50
SH3KBP1	1	M	2	50
SIL1	1	M	3	33.33333333333333
SLC11A2	1	M	3	33.33333333333333
SLITRK5	1	M	14	7.142857142857142
SMARCC2	1	M	3	33.33333333333333
SUGCT	1	M	3	33.33333333333333
SYNRG	1	M	4	25
TGFBR3	2	M	4	50
TMOD4	1	M	1	100
TNPO1	1	M	3	33.33333333333333
TNRC6B	1	M	5	20
UGT2B4	1	M	9	11.11111111111111
USP48	1	M	2	50
ZNF19	1	M	2	50
ZNF493	1	M	4	25
ZNF75D	1	M	3	33.33333333333333
ZPR1	1	M	2	50
ABCA12	1	M	9	11.11111111111111
ABHD16B	1	M	3	33.33333333333333
ACADM	1	M	2	50
ACOT12	1	M	3	33.33333333333333
ACSM3	1	M	4	25
ACSM5	1	M	4	25
ADAMTS14	1	M	3	33.33333333333333
ADAMTS15	1	M	1	100
ADAMTS3	1	M	9	11.11111111111111
ADGRB1	1	M	5	20
ADGRF5	1	M	7	14.285714285714285
ADORA3	1	M	3	33.33333333333333
ADRBK1	1	M	4	25
AHCYL2	1	M	5	20
AHNAK	1	M	23	4.3478260869565215
ALB	2	M	7	28.57142857142857
ALOX5	1	M	1	100
ANK2	1	M	22	4.545454545454546
ANKRD30B	1	M	7	14.285714285714285
ANKRD45	1	M	1	100
ANTXR2	1	M	1	100
ARFGEF3	1	M	8	12.5
ARHGAP17	1	M	7	14.285714285714285
ARHGAP28	2	M	4	50
ASMT	1	M	2	50
ASXL3	2	M	11	18.181818181818183
ATAD5	1	M	11	9.090909090909092
ATP2B2	1	M	5	20
ATP7A	1	M	2	50
ATP7B	1	M	3	33.33333333333333
ATRNL1	1	M	14	7.142857142857142
BARHL1	1	M	2	50
BARX2	1	M	2	50
BCAR1	1	M	3	33.33333333333333
BDNF	1	M	1	100
C16orf46	1	M	2	50
C1orf168	1	M	7	14.285714285714285
C22orf39	1	M	1	100
C4orf3	1	M	2	50
C6	1	M	8	12.5
CADM2	1	M	5	20
CASP6	1	M	3	33.33333333333333
CCDC132	1	M	4	25
CCNE1	1	M	1	100
CD163	1	M	9	11.11111111111111
CD40LG	1	M	1	100
CDH10	1	M	14	7.142857142857142
CDH9	1	M	10	10
CELA2A	1	M	2	50
CFHR5	1	M	4	25
CHRD	1	M	3	33.33333333333333
CIRH1A	1	M	1	100
CNTNAP2	1	M	13	7.6923076923076925
CNTNAP5	2	M	15	13.333333333333334
COL11A1	1	M	26	3.8461538461538463
COL4A5	1	M	7	14.285714285714285
CSMD1	1	M	27	3.7037037037037033
CSMD2	1	M	20	5
CSN1S1	1	M	2	50
CWF19L2	1	M	4	25
CYP27C1	1	M	3	33.33333333333333
CYP4F12	1	M	4	25
DBH	1	M	6	16.666666666666664
DCHS2	1	M	14	7.142857142857142
DGKK	2	M	14	14.285714285714285
DIP2A	1	M	6	16.666666666666664
DKK1	1	M	1	100
DKK2	2	M	2	100
DNAH7	1	M	21	4.761904761904762
DNAJB11	1	M	1	100
DPP10	1	M	9	11.11111111111111
DPYSL5	2	M	4	50
EIF2B3	1	M	2	50
ENPP3	1	M	8	12.5
EP300	1	M	16	6.25
ERCC5	1	M	5	20
ESD	1	M	1	100
EYS	1	M	10	10
FAM122A	1	M	2	50
FAM161A	1	M	5	20
FAM181A	1	M	4	25
FAM227B	1	M	5	20
FAM47B	1	M	11	9.090909090909092
FBN1	1	M	12	8.333333333333332
FBXO21	1	M	4	25
FHL5	1	M	2	50
FIGN	1	M	7	14.285714285714285
FKBP15	1	M	3	33.33333333333333
FLNC	1	M	10	10
FOXD4L4	1	M	1	100
FRK	1	M	3	33.33333333333333
FRMD1	1	M	1	100
FRMPD4	1	M	5	20
FYB	1	M	4	25
GABRG2	1	M	4	25
GALC	1	M	1	100
GALNT14	1	M	3	33.33333333333333
GALNT6	1	M	3	33.33333333333333
GALNTL6	1	M	9	11.11111111111111
GANAB	1	M	4	25
GLYR1	1	M	4	25
GOLGA3	1	M	5	20
GPR149	1	M	5	20
GPR158	2	M	6	33.33333333333333
GPRASP2	1	M	3	33.33333333333333
GPRIN3	1	M	5	20
GRB14	1	M	3	33.33333333333333
GRM7	1	M	9	11.11111111111111
GTF2E1	1	M	2	50
GUF1	1	M	3	33.33333333333333
HCN1	1	M	18	5.555555555555555
