hugo_symbol	n.x	status	n.y	perc
AGL	1	M	2	50
AKR1A1	1	M	2	50
AMD1	1	M	1	100
ANKS6	1	M	1	100
ANXA10	1	M	3	33.33333333333333
AP5M1	1	M	1	100
ARHGAP42	1	M	2	50
ARID3B	1	M	1	100
ASB15	1	M	2	50
BHMT	1	M	1	100
BRPF3	1	M	3	33.33333333333333
C5orf56	1	M	1	100
CCPG1	1	M	2	50
COPS8	1	M	1	100
CORIN	1	M	1	100
CTSA	1	M	2	50
DDC	1	M	1	100
DOCK7	1	M	3	33.33333333333333
DROSHA	1	M	1	100
EHMT1	1	M	1	100
ENTPD2	1	M	1	100
FANK1	1	M	1	100
FBXL8	1	M	1	100
GLIS2	1	M	1	100
HEATR5B	1	M	4	25
HECTD1	1	M	2	50
HTATSF1	1	M	1	100
ICAM3	1	M	1	100
IGSF10	1	M	2	50
ITPR1	1	M	1	100
KCNJ14	1	M	1	100
KRT1	1	M	1	100
LARP7	1	M	1	100
LFNG	1	M	2	50
LRP1B	1	M	4	25
MED1	1	M	1	100
MPO	1	M	2	50
MUC4	2	M	11	18.181818181818183
MXRA5	1	M	3	33.33333333333333
MYCBP2	1	M	4	25
NMT2	1	M	1	100
NT5M	2	M	1	200
NUP133	1	M	2	50
PHF5A	1	M	1	100
PKP1	1	M	1	100
PLEKHA2	1	M	2	50
PLEKHG3	1	M	3	33.33333333333333
PVRIG	1	M	1	100
RAG1	1	M	1	100
RBM33	1	M	3	33.33333333333333
SCARA3	1	M	1	100
SLC35F1	1	M	1	100
SMG5	1	M	1	100
SMURF1	1	M	1	100
TINAG	1	M	2	50
TNRC6B	1	M	3	33.33333333333333
UBP1	1	M	1	100
VHL	1	M	34	2.941176470588235
ZMIZ1	1	M	2	50
ZNF337	1	M	2	50
ADGRG6	1	M	3	33.33333333333333
AMICA1	1	M	3	33.33333333333333
ASIC4	1	M	1	100
ATP5A1	1	M	1	100
BRCA2	1	M	7	14.285714285714285
C1orf158	1	M	1	100
C4orf51	1	M	1	100
CARD9	1	M	1	100
CCKAR	1	M	1	100
CDC42BPA	1	M	2	50
CPNE5	1	M	2	50
CSMD1	1	M	3	33.33333333333333
CYB5R1	1	M	1	100
ECT2	1	M	2	50
FANCI	1	M	2	50
FBXL16	1	M	1	100
FCRL4	1	M	1	100
GOLPH3	1	M	2	50
KIF21B	1	M	2	50
KLRC1	1	M	1	100
MMEL1	1	M	2	50
NICN1	1	M	1	100
OPTC	1	M	2	50
PBRM1	1	M	13	7.6923076923076925
PTPRZ1	1	M	3	33.33333333333333
PXDNL	1	M	1	100
SETD2	1	M	9	11.11111111111111
SETMAR	1	M	3	33.33333333333333
THAP9	1	M	2	50
TLR7	1	M	1	100
TPTE2	1	M	3	33.33333333333333
TRAPPC12	1	M	1	100
TTN	1	M	33	3.0303030303030303
ZMIZ2	1	M	1	100
ZNF493	1	M	1	100
AARS	1	M	1	100
ADAM11	1	M	1	100
ANGEL2	1	M	1	100
ATP8A1	1	M	2	50
AVIL	1	M	1	100
BUB1B	1	M	3	33.33333333333333
C3orf38	1	M	1	100
CTBP2	1	M	2	50
DDX60L	1	M	2	50
DIP2C	1	M	3	33.33333333333333
EPS15L1	1	M	2	50
ERICH6	1	M	2	50
FOXRED2	1	M	3	33.33333333333333
GPR179	1	M	2	50
GRSF1	1	M	1	100
GUSB	1	M	1	100
HSD17B2	1	M	1	100
IQGAP3	1	M	3	33.33333333333333
KIAA1549	1	M	1	100
KIF7	1	M	1	100
KLHL13	1	M	1	100
KMT2C	1	M	5	20
LARS2	1	M	1	100
LDHAL6B	1	M	1	100
MCM2	1	M	2	50
MPRIP	1	M	1	100
MTDH	1	M	2	50
MYCBP2	1	M	4	25
NEU1	1	M	1	100
NUMA1	1	M	2	50
NWD1	1	M	1	100
PAPD4	1	M	1	100
PDIA6	1	M	3	33.33333333333333
PIDD1	1	M	1	100
PKHD1	1	M	7	14.285714285714285
PLEKHA3	1	M	1	100
POC1B	1	M	2	50
PRKDC	1	M	4	25
PSD3	1	M	2	50
RICTOR	1	M	2	50
RNF6	1	M	1	100
RORA	1	M	1	100
RPS19	1	M	1	100
SH2D6	1	M	1	100
SIK3	1	M	1	100
SLC9A8	1	M	1	100
SLIT1	1	M	1	100
SYCE1	1	M	1	100
TCOF1	1	M	1	100
TMC5	1	M	2	50
TNFRSF11B	1	M	1	100
TNNT2	1	M	1	100
TRPC4	1	M	2	50
TSNAX	1	M	1	100
TTN	1	M	33	3.0303030303030303
UBR2	2	M	2	100
UNC13C	1	M	3	33.33333333333333
VARS2	2	M	1	200
VRTN	1	M	1	100
WBP11	1	M	2	50
ZFHX4	1	M	3	33.33333333333333
ZNF474	1	M	1	100
ZNF484	1	M	1	100
ZNF789	1	M	2	50
ATP13A4	1	M	1	100
CD300E	1	M	1	100
CLDN4	1	M	2	50
CYP4F12	1	M	1	100
EFCAB2	1	M	1	100
EPHX1	1	M	2	50
FGA	1	M	1	100
HSPA5	1	M	1	100
KIAA2018	1	M	3	33.33333333333333
MLX	1	M	2	50
NNT	1	M	2	50
PEG3	1	M	3	33.33333333333333
PTEN	1	M	4	25
RASGEF1B	1	M	1	100
RIMBP2	1	M	3	33.33333333333333
TTN	1	M	33	3.0303030303030303
ZNF280C	2	M	1	200
ACCS	1	M	1	100
AKAP6	1	M	1	100
ANKRD36	1	M	1	100
ASIC1	1	M	1	100
BMX	1	M	1	100
C10orf76	1	M	1	100
C16orf71	1	M	1	100
CARS	1	M	1	100
CBX8	1	M	1	100
CCDC181	1	M	2	50
CDH8	1	M	2	50
CHIT1	1	M	3	33.33333333333333
CILP2	1	M	1	100
DNAH3	1	M	4	25
DOCK7	1	M	3	33.33333333333333
DSC2	1	M	1	100
ENPEP	1	M	1	100
ERAP1	1	M	1	100
FARP1	1	M	1	100
FASN	1	M	5	20
GIF	1	M	1	100
HERC2	1	M	2	50
IPO4	1	M	3	33.33333333333333
KDM4B	1	M	1	100
KIF1C	1	M	2	50
KIFC1	1	M	1	100
LINGO1	1	M	2	50
LMO4	1	M	2	50
MBD1	1	M	2	50
MTHFSD	1	M	1	100
NOTCH1	1	M	2	50
PCDHA5	1	M	3	33.33333333333333
PDLIM4	1	M	2	50
PECR	1	M	1	100
PREPL	1	M	1	100
RIF1	1	M	1	100
SAMD7	1	M	1	100
SLC6A5	2	M	1	200
SLC8A3	1	M	2	50
SMEK2	1	M	2	50
SPCS3	1	M	1	100
ST6GAL2	1	M	1	100
TBC1D15	1	M	1	100
TINF2	1	M	2	50
TNPO2	1	M	1	100
TUSC3	1	M	1	100
VENTX	1	M	1	100
WDR46	2	M	2	100
ZFAND2B	1	M	2	50
ACO1	1	M	2	50
ADGRV1	1	M	8	12.5
AHSA2	1	M	1	100
ANK2	1	M	2	50
ARAF	1	M	1	100
ASH1L	1	M	4	25
ATAD5	1	M	2	50
ATP7B	1	M	3	33.33333333333333
B3GALTL	1	M	1	100
BRINP2	1	M	1	100
C1S	1	M	2	50
CC2D2A	1	M	2	50
CCDC24	1	M	1	100
CDH11	1	M	3	33.33333333333333
CHD1	1	M	2	50
CNNM4	1	M	2	50
DNAJB4	1	M	4	25
ELMO1	1	M	1	100
HS1BP3	1	M	1	100
KIAA0355	1	M	1	100
KIAA1551	1	M	1	100
KLF12	1	M	1	100
LRRC42	1	M	2	50
LRRTM1	1	M	1	100
MEI1	1	M	1	100
MEX3B	1	M	1	100
MOCS3	1	M	1	100
MPND	1	M	1	100
MYO15A	1	M	1	100
NDST2	1	M	2	50
NFASC	1	M	2	50
PCCB	1	M	1	100
PCDH7	1	M	1	100
PPP6R3	1	M	2	50
RIOK2	1	M	1	100
SLC5A11	1	M	1	100
SLCO1B3	1	M	2	50
SMARCA4	1	M	5	20
SMC1B	1	M	2	50
SPECC1	1	M	2	50
SZT2	1	M	2	50
TARS2	1	M	1	100
TBL1XR1	1	M	2	50
TMEM180	1	M	1	100
TUBB3	1	M	1	100
UNC13B	1	M	1	100
USP15	1	M	1	100
YARS	1	M	2	50
ZNF175	1	M	1	100
ADCY8	1	M	2	50
C17orf75	1	M	3	33.33333333333333
CERK	1	M	1	100
CNTNAP1	1	M	3	33.33333333333333
COLEC11	1	M	1	100
DLGAP1	1	M	2	50
ENPP2	1	M	1	100
FAM163B	1	M	1	100
HELZ	1	M	1	100
HHIPL1	1	M	1	100
HIST1H2AJ	1	M	1	100
HMGN2	1	M	1	100
KIAA1024	1	M	2	50
LAD1	2	M	1	200
LYST	1	M	4	25
MICALL2	1	M	2	50
MLX	1	M	2	50
MPHOSPH10	1	M	1	100
MSH6	1	M	1	100
MTA3	1	M	1	100
NIT2	1	M	1	100
NRBP1	1	M	1	100
NUP210L	1	M	4	25
NXPE4	1	M	1	100
PRIM2	1	M	1	100
PRRC2A	1	M	2	50
RAPH1	1	M	2	50
RPS3A	1	M	1	100
SGCE	1	M	1	100
SGIP1	1	M	2	50
SMARCA4	1	M	5	20
TMEM187	1	M	1	100
TTC12	1	M	1	100
VPS41	1	M	2	50
YME1L1	1	M	2	50
ZBTB26	1	M	1	100
ZCCHC2	1	M	2	50
ZNF551	1	M	1	100
ZNF615	1	M	2	50
ZNF616	1	M	3	33.33333333333333
ZNF654	1	M	1	100
ARAP3	1	M	1	100
CRYM	1	M	1	100
DNAH10	1	M	2	50
DNAJB4	1	M	4	25
FAM73B	1	M	1	100
GBP1	1	M	1	100
GOLGA5	1	M	1	100
KLHL25	1	M	1	100
MBD6	1	M	1	100
MRPS24	1	M	1	100
NKD2	1	M	1	100
OLFML3	1	M	1	100
POPDC2	1	M	2	50
PSAT1	1	M	1	100
PTPRC	1	M	1	100
RELN	1	M	2	50
RPL4	1	M	1	100
SCN5A	1	M	1	100
SLC29A4	1	M	1	100
SLC4A3	1	M	1	100
SSMEM1	1	M	1	100
TRPM6	1	M	2	50
TTYH1	1	M	1	100
USP22	1	M	2	50
ZNF653	1	M	1	100
AOC1	1	M	2	50
ARHGAP32	1	M	1	100
BACH1	1	M	2	50
BLK	1	M	1	100
BSN	1	M	2	50
BTF3L4	1	M	1	100
CACNG4	1	M	1	100
CD22	1	M	1	100
CDH10	1	M	3	33.33333333333333
CHST4	1	M	1	100
CNTNAP1	1	M	3	33.33333333333333
DCST2	1	M	2	50
EEF1A1	1	M	1	100
FAM135B	1	M	3	33.33333333333333
GON4L	1	M	4	25
GTF3C1	1	M	3	33.33333333333333
HSPA8	1	M	4	25
KDM3B	1	M	1	100
KPNA1	1	M	1	100
LAMA1	1	M	6	16.666666666666664
ME2	1	M	2	50
MKS1	1	M	1	100
MYH15	1	M	1	100
NGLY1	1	M	1	100
PAPPA2	1	M	1	100
PML	1	M	1	100
SMCR8	1	M	2	50
TBCC	1	M	1	100
TMEM181	1	M	1	100
TRPV6	1	M	1	100
TTN	1	M	33	3.0303030303030303
WT1	1	M	2	50
ZFP91	1	M	2	50
ZNF425	1	M	1	100
ZNF679	1	M	1	100
ABHD14A-ACY1	1	M	1	100
ALOX12B	1	M	1	100
CCHCR1	1	M	1	100
CLASP2	1	M	1	100
CWF19L1	1	M	1	100
DHX8	1	M	1	100
DIP2B	1	M	3	33.33333333333333
ESPL1	1	M	3	33.33333333333333
H1F0	1	M	2	50
HIVEP2	1	M	4	25
INTS2	1	M	1	100
IPO4	1	M	3	33.33333333333333
KCTD18	1	M	1	100
KIAA1614	1	M	2	50
LILRB5	1	M	1	100
MDH1	1	M	2	50
MFRP	1	M	1	100
MIER1	1	M	2	50
NAT2	1	M	1	100
NOBOX	1	M	1	100
OR1L1	1	M	1	100
PITRM1	1	M	1	100
PQLC3	1	M	2	50
RARA	1	M	3	33.33333333333333
RASSF6	1	M	1	100
SERPINB7	1	M	1	100
SMAD9	1	M	1	100
SOBP	1	M	2	50
SPZ1	1	M	2	50
SSFA2	1	M	2	50
SSTR1	1	M	1	100
TLN2	1	M	5	20
TUBA4A	1	M	1	100
USP26	1	M	1	100
ZMYM6	1	M	2	50
ACACB	1	M	2	50
AK2	1	M	1	100
ARHGAP31	1	M	1	100
BRWD1	1	M	4	25
C1orf56	1	M	1	100
C3AR1	1	M	1	100
CCDC73	1	M	2	50
CCNB1IP1	1	M	1	100
CEP135	1	M	1	100
CLIP2	1	M	1	100
COL4A4	1	M	1	100
COPG1	1	M	1	100
CTC1	1	M	1	100
DAPK1	1	M	2	50
DCT	1	M	1	100
DISC1	1	M	3	33.33333333333333
DPYSL3	1	M	1	100
EIF4A2	1	M	2	50
ERCC6	1	M	1	100
FBXW11	1	M	1	100
FCRL3	1	M	1	100
FLRT2	1	M	5	20
FRMD3	1	M	1	100
GCNT4	1	M	1	100
GGT7	1	M	2	50
GPR89A	1	M	1	100
HELQ	1	M	1	100
IFIH1	1	M	1	100
IL18BP	1	M	1	100
IREB2	1	M	1	100
JMJD1C	1	M	3	33.33333333333333
KIAA0319	1	M	1	100
KIF16B	2	M	3	66.66666666666666
KRIT1	1	M	1	100
MYH11	1	M	1	100
MYLK3	1	M	2	50
NABP1	1	M	1	100
NCOR1	1	M	3	33.33333333333333
NDC1	1	M	1	100
NEBL	1	M	2	50
NXPE2	1	M	1	100
ODF2	1	M	5	20
OPA1	1	M	1	100
OR2AG1	1	M	3	33.33333333333333
PAF1	1	M	1	100
PCDH1	1	M	1	100
PCNX	1	M	3	33.33333333333333
PIK3CA	1	M	2	50
POC1B	1	M	2	50
RBM25	1	M	2	50
RFC1	1	M	3	33.33333333333333
RFTN1	1	M	1	100
RIN3	1	M	1	100
RNF4	1	M	1	100
RPGRIP1L	1	M	3	33.33333333333333
SELL	1	M	1	100
SH3TC2	1	M	2	50
SLC29A2	1	M	1	100
SLFN11	1	M	1	100
SP4	1	M	1	100
SPHK2	1	M	1	100
SYT10	1	M	1	100
SYT3	1	M	1	100
TAF1A	1	M	2	50
TAX1BP1	1	M	1	100
TBL1XR1	1	M	2	50
TCF20	1	M	1	100
TNR	1	M	3	33.33333333333333
TOM1	1	M	1	100
TTN	1	M	33	3.0303030303030303
TUBG1	1	M	2	50
UBE3B	1	M	2	50
WASL	1	M	2	50
WHSC1L1	1	M	3	33.33333333333333
XIRP2	1	M	7	14.285714285714285
ZNF234	1	M	1	100
ZNF284	1	M	1	100
ZNF496	1	M	1	100
ZNF610	1	M	2	50
ZUFSP	1	M	2	50
ADAMTS12	1	M	4	25
ADGRF1	1	M	1	100
AKAP8L	1	M	1	100
ANKRD34A	1	M	2	50
ARID1B	1	M	2	50
CACNA1D	1	M	2	50
CDC14A	1	M	4	25
CHD8	1	M	1	100
CNOT1	1	M	3	33.33333333333333
COL1A2	1	M	3	33.33333333333333
CREB3	1	M	2	50
CUBN	1	M	5	20
DNAH1	1	M	2	50
DNAH7	1	M	2	50
DYRK4	1	M	1	100
FREM1	1	M	1	100
GOLGA3	1	M	3	33.33333333333333
GPR155	1	M	1	100
HIST1H4E	1	M	1	100
IGSF9	1	M	1	100
LRRCC1	1	M	3	33.33333333333333
MPG	1	M	1	100
OBSCN	1	M	4	25
PCDHA6	1	M	1	100
PFAS	1	M	2	50
PLCE1	1	M	1	100
PRODH2	1	M	1	100
RBM28	1	M	3	33.33333333333333
RERE	1	M	1	100
RHOB	1	M	1	100
SCAF8	1	M	2	50
SETDB1	1	M	1	100
SNX13	1	M	1	100
SRC	1	M	2	50
SUSD6	1	M	1	100
TMEM214	1	M	2	50
TP53I3	1	M	2	50
UNC5CL	1	M	2	50
VAV2	1	M	2	50
WLS	1	M	1	100
ZNF732	1	M	1	100
ADAMTS16	1	M	1	100
ADGRG6	1	M	3	33.33333333333333
ANKRD42	1	M	1	100
BAZ1B	1	M	1	100
BRCA2	1	M	7	14.285714285714285
DNAJC16	1	M	1	100
FN1	1	M	2	50
JAKMIP2	1	M	2	50
JKAMP	1	M	1	100
JUP	1	M	1	100
KMT2D	1	M	5	20
L1CAM	1	M	1	100
PCDHGC5	1	M	1	100
PTPN13	1	M	1	100
SGCA	1	M	1	100
SIK2	1	M	2	50
SIPA1L2	1	M	1	100
SLC9A9	1	M	1	100
VAPB	1	M	1	100
ZNF292	1	M	2	50
ZNF324B	1	M	2	50
ABCC8	1	M	1	100
ALOX15B	1	M	1	100
ANO1	2	M	1	200
AOC3	1	M	1	100
ARMC4	1	M	2	50
ATP5C1	1	M	1	100
CDH23	1	M	2	50
CDH7	1	M	2	50
CFHR4	1	M	3	33.33333333333333
CHRNA1	1	M	1	100
CHRNB1	1	M	1	100
CLVS1	1	M	2	50
CXCR6	1	M	4	25
DBF4B	1	M	1	100
DNAH3	1	M	4	25
EXPH5	1	M	2	50
GBGT1	1	M	1	100
GNB1L	1	M	1	100
GREB1	1	M	3	33.33333333333333
HMHA1	1	M	3	33.33333333333333
IL3	1	M	1	100
JMJD1C	1	M	3	33.33333333333333
KLHL38	1	M	1	100
LAYN	1	M	1	100
MAP6	1	M	1	100
MCHR2	1	M	1	100
MTUS1	1	M	1	100
NLRP9	1	M	3	33.33333333333333
NMRAL1	1	M	3	33.33333333333333
ONECUT1	1	M	1	100
PBRM1	1	M	13	7.6923076923076925
PIRT	1	M	1	100
RMDN1	1	M	1	100
ROCK1	1	M	3	33.33333333333333
SPATA31A6	1	M	1	100
SRP9	1	M	1	100
ZNF333	1	M	1	100
ZNF584	1	M	1	100
ZNF91	1	M	1	100
ZP4	1	M	1	100
ASH1L	1	M	4	25
BECN1	1	M	1	100
CMYA5	1	M	2	50
COL7A1	1	M	1	100
CYP8B1	1	M	2	50
DTNA	1	M	1	100
EDA	1	M	1	100
FASTKD1	1	M	2	50
GABBR1	1	M	1	100
GPM6A	1	M	1	100
HECTD1	1	M	2	50
IRS1	1	M	2	50
KIF15	1	M	1	100
KIF16B	1	M	3	33.33333333333333
MS4A7	1	M	1	100
MUC17	1	M	5	20
MYCBP2	1	M	4	25
NETO1	1	M	1	100
