hugo_symbol	n.x	status	n.y	perc
CDK11A	1	M	2	50
CLTC	1	M	4	25
DNAAF5	1	M	2	50
EGFLAM	1	M	2	50
F2RL1	1	M	1	100
NRBP1	1	M	3	33.33333333333333
PDE1C	1	M	2	50
ZFAND4	1	M	1	100
ACADM	1	M	2	50
ADAM19	1	M	2	50
ANKRD50	1	M	1	100
APOD	1	M	1	100
ARHGEF10	1	M	1	100
ARRDC3	1	M	2	50
ARSB	1	M	1	100
ATP2B3	1	M	2	50
C2CD5	1	M	4	25
C6	1	M	2	50
CALU	1	M	2	50
CANX	1	M	2	50
CDON	1	M	2	50
CLEC1A	1	M	2	50
CNTRL	1	M	2	50
CPNE5	1	M	2	50
CROCC	1	M	1	100
CSNK1E	1	M	3	33.33333333333333
DLC1	1	M	1	100
ESR2	1	M	2	50
FKBP8	1	M	1	100
FLYWCH1	1	M	1	100
FOXI1	1	M	1	100
GJD3	1	M	2	50
GPATCH1	1	M	2	50
GPR89A	1	M	1	100
GPSM1	1	M	2	50
GRIA1	1	M	2	50
HIVEP1	1	M	1	100
IGF2R	1	M	6	16.666666666666664
KCNB1	1	M	1	100
KCND2	1	M	2	50
LMO7	1	M	3	33.33333333333333
LRWD1	1	M	2	50
MAP1B	1	M	3	33.33333333333333
MGA	1	M	2	50
MRPS10	1	M	2	50
MUM1	1	M	1	100
MYO1H	1	M	1	100
NBEA	1	M	3	33.33333333333333
NCF2	1	M	1	100
NFIC	1	M	1	100
NHLRC1	1	M	2	50
NME8	1	M	1	100
NUP205	1	M	3	33.33333333333333
NUP210L	1	M	5	20
NUPL2	1	M	1	100
P2RY8	1	M	1	100
PAWR	1	M	2	50
PCMT1	1	M	1	100
PCYT2	1	M	1	100
PDCD6IP	1	M	3	33.33333333333333
PDE4DIP	1	M	2	50
PRELP	1	M	1	100
PUM2	1	M	3	33.33333333333333
RAVER2	1	M	1	100
RIMBP2	1	M	1	100
RIPK1	1	M	1	100
RWDD2B	1	M	1	100
SCAP	1	M	3	33.33333333333333
SEL1L3	1	M	3	33.33333333333333
SF3A3	1	M	1	100
SGTB	1	M	1	100
SHH	1	M	1	100
SIN3B	1	M	1	100
SLC8A1	1	M	2	50
SPPL2B	1	M	1	100
SYPL1	1	M	2	50
TBC1D32	1	M	2	50
TMEM132E	1	M	2	50
TMEM87B	1	M	1	100
TMEM88B	1	M	1	100
XKRX	1	M	1	100
ZNF709	1	M	3	33.33333333333333
ZNF831	1	M	2	50
ABCG4	1	M	4	25
ACTR1B	1	M	1	100
AGT	1	M	3	33.33333333333333
AKAP9	1	M	3	33.33333333333333
APBB2	1	M	2	50
ARHGAP10	1	M	1	100
ARHGAP23	1	M	3	33.33333333333333
ATG13	1	M	2	50
AVIL	1	M	1	100
B3GALNT1	1	M	1	100
BAZ1B	1	M	2	50
BCL10	1	M	1	100
BMP4	1	M	1	100
BPTF	1	M	2	50
CAT	1	M	1	100
CD163L1	1	M	3	33.33333333333333
CD22	1	M	2	50
CLIP2	1	M	2	50
CST2	1	M	1	100
DMXL2	1	M	2	50
DRAM1	1	M	1	100
DSP	2	M	5	40
DYRK1A	1	M	2	50
EIF4B	1	M	1	100
EPHA10	1	M	1	100
EPHA6	1	M	2	50
ETFDH	1	M	2	50
EVC	1	M	4	25
EXT2	1	M	1	100
FAM20A	1	M	1	100
FAM71C	1	M	2	50
FBXW9	1	M	2	50
GABRP	1	M	1	100
GBF1	1	M	3	33.33333333333333
GBP3	1	M	1	100
GCNT2	1	M	1	100
GEMIN5	1	M	2	50
GRIN2D	1	M	3	33.33333333333333
HIVEP2	1	M	3	33.33333333333333
HTR3A	1	M	2	50
IL32	1	M	1	100
ITPK1	1	M	1	100
JDP2	1	M	1	100
KCNA5	1	M	1	100
KCNJ13	1	M	2	50
KIF26B	1	M	1	100
LDLRAP1	1	M	2	50
LECT1	1	M	1	100
LMO7	1	M	3	33.33333333333333
LPIN1	1	M	2	50
LRRC43	1	M	2	50
LY75	1	M	2	50
MAP1A	1	M	4	25
MBD4	1	M	2	50
MDC1	1	M	3	33.33333333333333
MORC2	1	M	3	33.33333333333333
MRC2	1	M	2	50
MTFR1	1	M	2	50
NCOR1	1	M	4	25
NCSTN	1	M	2	50
NR2F2	1	M	3	33.33333333333333
NRXN1	1	M	3	33.33333333333333
NUP188	1	M	2	50
NYAP2	1	M	2	50
OFD1	1	M	1	100
OR2J3	1	M	1	100
OR5P2	1	M	2	50
OTUD1	1	M	1	100
PARP4	1	M	5	20
PCDHA9	1	M	3	33.33333333333333
PCDHGC4	1	M	4	25
PEX1	1	M	2	50
PFN3	1	M	2	50
PHKG1	1	M	2	50
PLEKHA4	1	M	1	100
PNPLA6	1	M	4	25
PPFIA4	1	M	1	100
PPFIBP2	1	M	4	25
PTPN3	1	M	1	100
PUM2	1	M	3	33.33333333333333
RALGAPA1	1	M	2	50
RDH12	1	M	3	33.33333333333333
RNF114	1	M	1	100
RUFY3	1	M	3	33.33333333333333
SALL1	1	M	3	33.33333333333333
SCN9A	1	M	3	33.33333333333333
SLC43A2	1	M	1	100
SLC4A4	1	M	4	25
SLIT2	1	M	2	50
SMCO3	1	M	1	100
SPTA1	1	M	3	33.33333333333333
SPTBN5	1	M	4	25
STAB2	1	M	1	100
STAM2	1	M	1	100
STX18	1	M	3	33.33333333333333
SYT16	1	M	2	50
SYTL2	1	M	2	50
TCF4	1	M	1	100
TEP1	1	M	6	16.666666666666664
TGM4	1	M	4	25
TIAM2	1	M	2	50
TMEM237	1	M	1	100
TTC21A	1	M	1	100
TTLL5	1	M	2	50
UBE2O	1	M	4	25
UNC13A	1	M	6	16.666666666666664
UPP2	1	M	1	100
VWA5B2	1	M	2	50
WDPCP	1	M	1	100
ZNF229	1	M	1	100
ZNF471	1	M	3	33.33333333333333
ZNF517	1	M	1	100
ZNF627	1	M	2	50
ZNF644	1	M	1	100
ABCF2	1	M	1	100
ADAM22	1	M	1	100
ADGRB3	1	M	3	33.33333333333333
AFG3L2	1	M	2	50
AGL	1	M	2	50
ALKBH5	1	M	2	50
ANKRD30A	1	M	1	100
ANO3	1	M	1	100
APC	1	M	3	33.33333333333333
ARHGAP20	1	M	1	100
BIRC6	2	M	8	25
C5orf42	1	M	6	16.666666666666664
CARD11	1	M	2	50
CC2D2A	1	M	1	100
CCDC180	1	M	3	33.33333333333333
CCDC183	1	M	2	50
CCDC7	1	M	1	100
CDK15	1	M	1	100
CEP57L1	1	M	1	100
CHMP2B	1	M	1	100
CNOT4	1	M	1	100
CPT1B	1	M	1	100
CR1	1	M	1	100
DAZAP1	1	M	2	50
DDIAS	1	M	2	50
DHX9	1	M	5	20
EZH1	1	M	2	50
FAM214A	1	M	1	100
FOXD4L1	1	M	1	100
FRS2	1	M	1	100
GANAB	1	M	1	100
GPR183	1	M	1	100
HSD11B1	1	M	1	100
HUWE1	1	M	5	20
IFI30	1	M	2	50
IGF2BP1	1	M	1	100
JMJD1C	1	M	5	20
KRT39	1	M	1	100
LRRN4	1	M	2	50
MUS81	1	M	2	50
NOL4L	1	M	1	100
NOTCH3	1	M	4	25
OBSCN	1	M	11	9.090909090909092
OTULIN	1	M	1	100
PAMR1	1	M	1	100
PCDHAC1	1	M	1	100
PLD5	1	M	1	100
PLXNB1	1	M	6	16.666666666666664
POLG	1	M	1	100
PPP1R15B	1	M	3	33.33333333333333
PRAMEF1	1	M	2	50
RHCE	1	M	1	100
RHOBTB1	1	M	2	50
ROBO2	1	M	3	33.33333333333333
RPTN	1	M	4	25
SDCBP2	1	M	2	50
SEC23IP	1	M	3	33.33333333333333
SEMA5B	1	M	2	50
SETX	1	M	3	33.33333333333333
SIGLEC10	1	M	1	100
SLC7A14	1	M	1	100
SNX29	1	M	3	33.33333333333333
SOCS1	1	M	1	100
SPPL2A	1	M	2	50
SYNE2	1	M	10	10
TFAP4	1	M	1	100
TNPO3	1	M	3	33.33333333333333
TSC22D1	1	M	2	50
TTI2	1	M	2	50
TUBA3D	1	M	1	100
YLPM1	2	M	2	100
ZFYVE27	1	M	1	100
ZNF350	1	M	1	100
ZNF512B	1	M	1	100
ABCC6	1	M	2	50
AC104809.3	1	M	1	100
AQR	1	M	3	33.33333333333333
BAIAP2	1	M	1	100
C11orf30	1	M	1	100
C2orf78	1	M	3	33.33333333333333
CA14	1	M	1	100
CACNA2D2	1	M	2	50
CD200R1	1	M	1	100
CGREF1	1	M	2	50
CREBBP	1	M	6	16.666666666666664
CSF2RA	1	M	2	50
CUBN	1	M	10	10
ELF2	1	M	1	100
ELFN1	1	M	1	100
ETHE1	1	M	1	100
FPGT	1	M	1	100
GRIN2A	1	M	3	33.33333333333333
GSTK1	1	M	1	100
HDAC7	1	M	2	50
HSPE1	1	M	2	50
ITIH6	1	M	1	100
KDM5B	1	M	1	100
LAMA3	1	M	5	20
LTK	1	M	1	100
METTL15	1	M	1	100
NLK	1	M	2	50
OR7G1	1	M	1	100
PHC3	1	M	2	50
PIP	1	M	1	100
PKD1L3	1	M	5	20
PKP4	1	M	3	33.33333333333333
PROKR2	1	M	1	100
QTRT1	1	M	1	100
RPRD2	1	M	4	25
SLC13A3	1	M	2	50
SLC35F1	1	M	1	100
SLC5A10	1	M	2	50
SLC6A19	1	M	2	50
SMG7	1	M	3	33.33333333333333
SPAG9	1	M	2	50
TM7SF2	1	M	2	50
UBE3A	1	M	3	33.33333333333333
VCPIP1	1	M	3	33.33333333333333
WDR17	1	M	4	25
ZNF180	1	M	2	50
ZNF219	1	M	1	100
ACSF3	1	M	1	100
ADD3	1	M	2	50
ATP5G1	1	M	1	100
BRCA2	1	M	6	16.666666666666664
C9orf72	1	M	1	100
CACNA1B	1	M	4	25
CDC20	1	M	2	50
CDC42BPA	1	M	2	50
CDH13	1	M	1	100
CLTC	1	M	4	25
CMYA5	1	M	3	33.33333333333333
CUBN	1	M	10	10
CUL1	1	M	2	50
EGR4	1	M	1	100
GATB	1	M	1	100
GRM3	1	M	1	100
ITGB8	1	M	3	33.33333333333333
JAKMIP2	1	M	2	50
KATNAL2	1	M	2	50
KIF1B	1	M	1	100
KLHL7	1	M	1	100
LCTL	1	M	1	100
MFAP1	1	M	2	50
OPLAH	1	M	2	50
PCDHGC4	1	M	4	25
PEX6	1	M	2	50
PLCXD1	1	M	1	100
PPAP2A	1	M	1	100
PTGER3	1	M	2	50
PTPRD	1	M	5	20
RYR2	1	M	3	33.33333333333333
SAA2-SAA4	1	M	1	100
SOX9	1	M	1	100
TPCN2	1	M	1	100
TRAPPC12	1	M	2	50
TSPYL5	1	M	2	50
USP36	1	M	1	100
ZNF180	1	M	2	50
ZNF622	1	M	4	25
C1orf101	1	M	1	100
DIAPH2	1	M	1	100
DOT1L	1	M	4	25
DPF2	1	M	4	25
ERBB4	1	M	3	33.33333333333333
GPRASP1	1	M	4	25
MAPK15	1	M	1	100
MS4A7	1	M	1	100
PPAPDC3	1	M	1	100
PSMB5	1	M	1	100
RASGRP4	1	M	2	50
RRAGA	1	M	2	50
SLC14A2	1	M	1	100
SLX4	1	M	2	50
STAP1	1	M	2	50
WDR90	1	M	3	33.33333333333333
ZNF236	1	M	4	25
ABCB5	1	M	1	100
ABL1	1	M	6	16.666666666666664
ACADSB	1	M	3	33.33333333333333
ACSS2	1	M	1	100
ADAM15	1	M	3	33.33333333333333
ADGRL1	1	M	1	100
ALG14	1	M	1	100
AQP12B	1	M	2	50
ARHGAP26	1	M	2	50
ARID5B	1	M	4	25
ATP1A3	1	M	1	100
ATP5C1	1	M	1	100
BAP1	1	M	7	14.285714285714285
CACNA1D	1	M	4	25
CCDC39	1	M	2	50
CDADC1	1	M	1	100
CLDN7	1	M	1	100
COL19A1	1	M	3	33.33333333333333
COQ6	1	M	1	100
CRH	1	M	1	100
DEF8	1	M	2	50
DENND1A	1	M	1	100
DNAH3	1	M	3	33.33333333333333
DNAJC5G	1	M	2	50
DOCK2	1	M	3	33.33333333333333
E2F4	1	M	2	50
EEF1A1	1	M	3	33.33333333333333
EFNA1	1	M	2	50
FAXDC2	1	M	1	100
FDPS	1	M	1	100
FLG2	1	M	1	100
GANC	1	M	1	100
GFM2	1	M	2	50
GREB1	1	M	3	33.33333333333333
GRIN2D	1	M	3	33.33333333333333
IDUA	1	M	2	50
IL6ST	1	M	1	100
INO80	1	M	2	50
KIAA1324L	1	M	1	100
KIAA1551	1	M	1	100
KRT2	2	M	1	200
LATS1	1	M	4	25
MAPKAPK2	1	M	1	100
MPRIP	1	M	3	33.33333333333333
MYH6	1	M	2	50
MYO9B	1	M	4	25
N4BP2	1	M	1	100
NWD2	1	M	1	100
PCDHGB6	1	M	2	50
PDZD8	1	M	3	33.33333333333333
PGC	1	M	3	33.33333333333333
PKHD1	1	M	13	7.6923076923076925
PLA2G16	1	M	1	100
PON1	1	M	1	100
PPARGC1B	1	M	3	33.33333333333333
PPFIA1	1	M	2	50
PPP1R26	1	M	1	100
PRKDC	1	M	3	33.33333333333333
PTK2	1	M	2	50
RHOT2	1	M	1	100
