hugo_symbol	n.x	status	n.y	perc
ADCY4	1	M	5	20
ADGRF5	1	M	13	7.6923076923076925
AMER1	1	M	10	10
ANKMY2	1	M	3	33.33333333333333
ASH1L	1	M	20	5
ATRX	1	M	9	11.11111111111111
BAIAP3	1	M	10	10
BDP1	1	M	8	12.5
BHMT	1	M	6	16.666666666666664
BRWD3	1	M	13	7.6923076923076925
C12orf5	1	M	2	50
CA7	1	M	4	25
CCAR1	1	M	7	14.285714285714285
CCDC141	1	M	19	5.263157894736842
CCDC155	1	M	5	20
CHD7	1	M	24	4.166666666666666
CLDN8	1	M	1	100
CPSF2	1	M	5	20
CYLC1	1	M	13	7.6923076923076925
CYTH4	1	M	3	33.33333333333333
DCHS1	1	M	20	5
DNTTIP2	1	M	2	50
E2F7	1	M	9	11.11111111111111
FAM111B	1	M	2	50
FCRL5	1	M	18	5.555555555555555
GMCL1	1	M	3	33.33333333333333
GPR85	1	M	6	16.666666666666664
GRIP2	1	M	2	50
HIPK1	1	M	5	20
HIST1H4H	1	M	1	100
HIST1H4I	1	M	3	33.33333333333333
HMMR	1	M	2	50
IGHV3-72	1	M	2	50
IGKV1-5	1	M	3	33.33333333333333
IGKV1D-42	2	M	14	14.285714285714285
IPMK	1	M	4	25
KIAA1024	1	M	14	7.142857142857142
KIAA1279	1	M	2	50
KIF6	1	M	4	25
KLF3	1	M	1	100
KRTAP19-3	1	M	4	25
LAMA3	1	M	11	9.090909090909092
LCMT2	1	M	7	14.285714285714285
LGALS4	1	M	2	50
LILRA2	1	M	16	6.25
LRFN5	1	M	31	3.225806451612903
LRP10	1	M	3	33.33333333333333
LRP6	1	M	11	9.090909090909092
MAEL	1	M	5	20
MAP1S	1	M	5	20
MAST1	1	M	9	11.11111111111111
MMRN2	1	M	4	25
MMS22L	1	M	12	8.333333333333332
MYCBP2	1	M	21	4.761904761904762
MYH1	1	M	42	2.380952380952381
MYH2	1	M	39	2.564102564102564
MYH7	1	M	14	7.142857142857142
MYH8	2	M	36	5.555555555555555
NELL1	1	M	13	7.6923076923076925
NLGN4X	1	M	25	4
NOD2	1	M	15	6.666666666666667
NRK	1	M	18	5.555555555555555
OR51B2	1	M	12	8.333333333333332
OR51Q1	1	M	9	11.11111111111111
OR5K3	1	M	4	25
OR8A1	1	M	11	9.090909090909092
OR8G1	1	M	6	16.666666666666664
OSBPL8	1	M	7	14.285714285714285
PAQR8	1	M	5	20
PCDHGA9	1	M	11	9.090909090909092
PDS5A	1	M	3	33.33333333333333
PFAS	1	M	11	9.090909090909092
PHKB	1	M	12	8.333333333333332
PHRF1	1	M	7	14.285714285714285
PKD1	1	M	19	5.263157894736842
PTPN14	1	M	7	14.285714285714285
PTPRR	1	M	11	9.090909090909092
QRFPR	1	M	11	9.090909090909092
QRICH1	1	M	4	25
RGL1	1	M	7	14.285714285714285
RGL2	1	M	4	25
RP1	1	M	33	3.0303030303030303
RPS6	1	M	3	33.33333333333333
RYR2	1	M	110	0.9090909090909091
SATB2	1	M	16	6.25
SI	1	M	40	2.5
SIGLEC12	1	M	12	8.333333333333332
SLC22A23	1	M	4	25
SLC23A2	1	M	3	33.33333333333333
SLC25A18	1	M	2	50
SLC30A8	1	M	7	14.285714285714285
SLC7A2	1	M	5	20
SMAP2	1	M	1	100
SNX25	1	M	8	12.5
SORCS1	1	M	39	2.564102564102564
SPATA31E1	1	M	27	3.7037037037037033
TBL3	1	M	4	25
TBX3	1	M	10	10
TDRD5	1	M	15	6.666666666666667
TESPA1	1	M	4	25
TMEM136	1	M	1	100
TMEM214	1	M	3	33.33333333333333
TMEM242	1	M	2	50
TNS2	1	M	7	14.285714285714285
TOLLIP	1	M	3	33.33333333333333
TP53	1	M	179	0.5586592178770949
TPH2	1	M	17	5.88235294117647
TPP2	1	M	3	33.33333333333333
TRIM37	1	M	8	12.5
TXNDC16	1	M	5	20
USH2A	1	M	99	1.0101010101010102
USP29	1	M	16	6.25
VPS35	1	M	7	14.285714285714285
WDR17	1	M	27	3.7037037037037033
XAGE3	1	M	1	100
ZDHHC5	1	M	3	33.33333333333333
ZNF614	1	M	2	50
ZNF765	1	M	5	20
HCFC2	1	M	4	25
HIVEP1	1	M	18	5.555555555555555
HMGB2	1	M	3	33.33333333333333
HTR1E	1	M	12	8.333333333333332
IQSEC2	1	M	5	20
KDM3A	1	M	4	25
KEAP1	1	M	30	3.3333333333333335
NELL1	1	M	13	7.6923076923076925
PCDHB16	1	M	12	8.333333333333332
PIK3CA	1	M	31	3.225806451612903
PLXNB3	1	M	5	20
PRKD1	1	M	16	6.25
SIN3B	1	M	5	20
SSTR2	1	M	3	33.33333333333333
TNC	1	M	12	8.333333333333332
VSTM1	1	M	4	25
AARS2	1	M	8	12.5
AASS	1	M	9	11.11111111111111
ABCA1	1	M	17	5.88235294117647
ABCA12	1	M	11	9.090909090909092
ABCA13	5	M	44	11.363636363636363
ABCA3	1	M	8	12.5
ABCA5	1	M	6	16.666666666666664
ABCB1	1	M	18	5.555555555555555
ABCB10	3	M	7	42.857142857142854
ABCB11	1	M	12	8.333333333333332
ABCB4	1	M	13	7.6923076923076925
ABCB5	1	M	18	5.555555555555555
ABCC12	1	M	20	5
ABCC5	3	M	8	37.5
ABCC9	2	M	16	12.5
ABCD2	1	M	12	8.333333333333332
ABCG4	1	M	11	9.090909090909092
ABHD1	1	M	2	50
ABRA	1	M	4	25
ACACB	1	M	17	5.88235294117647
ACAD10	2	M	6	33.33333333333333
ACAN	1	M	20	5
ACOT4	1	M	1	100
ACOT8	1	M	3	33.33333333333333
ACSBG1	2	M	9	22.22222222222222
ACSM2A	3	M	21	14.285714285714285
ACSM4	1	M	12	8.333333333333332
ACSS3	1	M	13	7.6923076923076925
ACTG1	1	M	1	100
