hugo_symbol	n.x	status	n.y	perc
BRWD1	1	M	2	50
CACNA1H	2	M	1	200
CHD6	1	M	2	50
CRNN	1	M	1	100
CUL4B	1	M	1	100
DHX35	1	M	1	100
IGHV1-58	1	M	2	50
KLHL40	1	M	2	50
LAMA1	1	M	2	50
LRCH1	1	M	1	100
MOV10L1	1	M	1	100
NEBL	1	M	1	100
NOC4L	1	M	1	100
OGT	1	M	1	100
OLFML2B	1	M	1	100
OR8J3	1	M	1	100
PDE11A	1	M	1	100
PRR35	1	M	1	100
RANGAP1	1	M	1	100
RNF207	1	M	1	100
SLC6A15	1	M	1	100
TANC1	1	M	1	100
TGFBR2	1	M	2	50
TPCN1	1	M	1	100
UBASH3B	1	M	2	50
ADAMTS15	1	M	1	100
ADAMTS9	1	M	1	100
DENND1A	1	M	1	100
DNAH11	1	M	2	50
GK	1	M	1	100
SYNE1	1	M	1	100
TMEM257	1	M	1	100
TP53	1	M	21	4.761904761904762
ADAD2	1	M	1	100
AJAP1	1	M	2	50
AQP4	1	M	1	100
ASPM	1	M	2	50
CDC25A	1	M	1	100
CFAP47	1	M	1	100
DHRS2	1	M	1	100
DUOXA2	1	M	1	100
EFCAB6	1	M	1	100
EIF4ENIF1	1	M	1	100
ETS1	1	M	1	100
FPR1	1	M	1	100
FSHR	1	M	1	100
GGCX	1	M	1	100
GRIK4	1	M	1	100
IGF2R	1	M	1	100
ITGB2	1	M	1	100
KCNG3	1	M	1	100
KIF1A	1	M	2	50
KRAS	1	M	39	2.564102564102564
KSR2	1	M	2	50
LCE2C	1	M	1	100
LMF2	1	M	1	100
MN1	1	M	1	100
MYL9	1	M	1	100
MYT1L	1	M	2	50
NPHS2	1	M	1	100
NUP210	1	M	1	100
OR14A16	1	M	1	100
OR2L8	1	M	1	100
OR4F6	1	M	1	100
PCNX	1	M	1	100
PITPNM1	1	M	1	100
PLEKHA4	1	M	1	100
POTEE	1	M	1	100
PRPF39	1	M	1	100
PTPN13	1	M	1	100
SCN5A	1	M	2	50
SEMA3A	1	M	1	100
SESTD1	1	M	1	100
SGSM1	1	M	1	100
SH3TC2	1	M	1	100
SIGLEC6	1	M	1	100
SP140	1	M	2	50
STXBP4	1	M	1	100
TMEM198	1	M	1	100
TNR	1	M	2	50
TP53	1	M	21	4.761904761904762
TTN	1	M	8	12.5
ZNF365	1	M	1	100
ZNF99	1	M	2	50
EVPL	1	M	1	100
OR2M4	1	M	1	100
STOX2	1	M	2	50
TNR	1	M	2	50
DNMT3A	1	M	3	33.33333333333333
HEG1	1	M	1	100
INTS1	1	M	1	100
QRFPR	1	M	1	100
RIMS2	1	M	2	50
TTN	1	M	8	12.5
CD1D	1	M	1	100
HVCN1	1	M	1	100
LRFN1	1	M	1	100
MARCH8	1	M	1	100
MED18	1	M	1	100
NEK4	1	M	1	100
PHIP	1	M	1	100
SCAF1	1	M	1	100
ZNF585B	1	M	2	50
CDC25B	1	M	1	100
CEP290	1	M	1	100
FAH	1	M	1	100
PEG10	1	M	1	100
ADAM17	1	M	1	100
ANK3	1	M	1	100
ARHGAP36	1	M	1	100
B3GAT3	1	M	1	100
BCL11A	1	M	1	100
C19orf26	1	M	1	100
CCAR1	1	M	1	100
ENC1	1	M	1	100
FUZ	1	M	1	100
GRIN3B	1	M	1	100
IFNLR1	1	M	1	100
KRAS	2	M	39	5.128205128205128
KRTAP9-3	1	M	1	100
LRP2	1	M	1	100
MAN2B2	1	M	1	100
MAPK8IP3	1	M	1	100
MPHOSPH9	1	M	1	100
MTMR12	1	M	2	50
MYH7	1	M	1	100
NOS1	1	M	1	100
OR14K1	1	M	1	100
OR4E2	1	M	1	100
PCDHA7	1	M	2	50
POLR2G	1	M	1	100
PRPS1L1	1	M	1	100
PRRT2	1	M	1	100
PRSS23	1	M	1	100
RYR1	1	M	3	33.33333333333333
SCN1A	1	M	1	100
SORCS2	1	M	3	33.33333333333333
SYT16	1	M	1	100
TREX2	1	M	1	100
VEPH1	1	M	1	100
ZWILCH	1	M	1	100
ADGRG4	1	M	2	50
ABCG4	1	M	1	100
EGF	1	M	2	50
ESPNL	1	M	1	100
HOXB7	1	M	1	100
KNG1	1	M	1	100
KRAS	1	M	39	2.564102564102564
MAL	1	M	1	100
MAP7D3	1	M	1	100
MCTP1	1	M	1	100
NOS3	1	M	1	100
RIMS4	1	M	1	100
RPTN	1	M	1	100
TP53	1	M	21	4.761904761904762
ZNF256	1	M	1	100
FAM167A	1	M	1	100
AGL	1	M	1	100
ALPK2	1	M	1	100
AP4B1	1	M	1	100
BTBD11	1	M	1	100
CBLL1	1	M	1	100
CDH2	1	M	1	100
COL24A1	1	M	1	100
CPNE8	1	M	1	100
CRTAC1	1	M	1	100
CTNND2	1	M	1	100
DND1	1	M	1	100
DSCAM	1	M	2	50
EXOC7	1	M	1	100
FAM178A	1	M	1	100
FANCD2	1	M	1	100
FAT2	1	M	4	25
GPR156	1	M	1	100
GPSM1	1	M	1	100
HIPK3	1	M	1	100
HK3	1	M	1	100
INHBB	1	M	1	100
ISLR2	1	M	1	100
ITGA6	1	M	1	100
ITPR1	1	M	2	50
KCNA6	1	M	1	100
KIF24	1	M	1	100
KRAS	1	M	39	2.564102564102564
NCKAP5L	1	M	1	100
OR5D13	1	M	1	100
OR5H1	1	M	1	100
PCDHGA5	1	M	1	100
PDCD2L	1	M	1	100
PEX16	1	M	1	100
PHF1	1	M	1	100
PIK3CA	1	M	2	50
PPWD1	1	M	1	100
PRADC1	1	M	1	100
RAB40B	1	M	1	100
RASAL3	1	M	1	100
RNF43	1	M	3	33.33333333333333
SBK2	1	M	1	100
SGCD	1	M	1	100
SPDYE1	1	M	1	100
SRFBP1	1	M	2	50
TP53	1	M	21	4.761904761904762
TRIB2	1	M	1	100
TRIOBP	1	M	1	100
TSHZ2	1	M	3	33.33333333333333
UXS1	1	M	1	100
ZNF3	1	M	1	100
ZNF787	1	M	1	100
ABCC1	1	M	1	100
ANK1	1	M	2	50
ANKS1B	1	M	2	50
ANO3	1	M	2	50
BCAT2	1	M	1	100
C10orf71	1	M	2	50
CDKN2A	1	M	3	33.33333333333333
DAND5	1	M	1	100
ELP4	1	M	1	100
FBN3	1	M	3	33.33333333333333
GLYATL1	1	M	1	100
HIF3A	1	M	1	100
IMPDH2	1	M	1	100
ITGAX	1	M	1	100
KRAS	1	M	39	2.564102564102564
LTB4R	1	M	2	50
MAGEB2	1	M	1	100
MAGEE2	1	M	1	100
OR5M11	1	M	1	100
PTK6	1	M	1	100
RGPD2	1	M	1	100
RND1	1	M	1	100
SNRPN	1	M	1	100
SPOCK1	1	M	1	100
SRRM4	1	M	1	100
TEX14	1	M	1	100
ZNF280A	1	M	1	100
ADAMTS4	1	M	1	100
AMY2A	1	M	1	100
ANKRD11	1	M	1	100
ASNSD1	1	M	1	100
ATP6V1H	1	M	1	100
ATP8B3	1	M	1	100
BCORL1	1	M	1	100
CFAP61	1	M	1	100
CLCN6	1	M	1	100
COL5A1	1	M	2	50
DDX46	1	M	1	100
DNAH11	1	M	2	50
FBXL7	1	M	1	100
FOXF1	1	M	2	50
GLIS3	1	M	1	100
KNDC1	1	M	1	100
LEPR	1	M	1	100
LGI3	1	M	1	100
LIN28B	1	M	1	100
NBPF11	1	M	1	100
NPHP3	1	M	1	100
OR1C1	1	M	2	50
OR2T1	1	M	1	100
PCDHA1	1	M	2	50
PCDHGB3	1	M	1	100
PKHD1	1	M	2	50
PTPN12	1	M	2	50
PUM2	1	M	1	100
S1PR1	1	M	1	100
SGIP1	1	M	1	100
SLC12A7	1	M	1	100
ST8SIA5	1	M	1	100
STYXL1	1	M	1	100
TMC5	1	M	1	100
APOL4	1	M	1	100
CA5A	1	M	1	100
CACNA1B	1	M	2	50
CDC42BPG	1	M	1	100
CDS1	1	M	1	100
COL5A3	1	M	1	100
CRNKL1	1	M	1	100
DNAH8	1	M	1	100
EIF3A	1	M	1	100
EPC1	1	M	1	100
ERBB2IP	1	M	2	50
ESRRB	1	M	1	100
GANAB	1	M	1	100
HSD17B7	1	M	1	100
LRRC42	1	M	1	100
PBRM1	1	M	1	100
PTGES	1	M	1	100
SRP9	1	M	1	100
TLL1	1	M	1	100
USP28	1	M	1	100
CACNA1I	1	M	1	100
EGF	1	M	2	50
GJA5	1	M	1	100
IFT88	1	M	1	100
IRF2	1	M	1	100
KCNH4	1	M	2	50
