hugo_symbol	n.x	status	n.y	perc
A1BG	1	M	4	25
A1CF	1	M	4	25
ABCC2	1	M	9	11.11111111111111
ACOX2	1	M	2	50
ADAMTS2	1	M	10	10
ADAMTS5	1	M	22	4.545454545454546
ADGRB3	1	M	26	3.8461538461538463
AGAP4	1	M	2	50
ANK2	1	M	23	4.3478260869565215
AP4B1	1	M	5	20
APOD	1	M	3	33.33333333333333
ARHGAP15	1	M	7	14.285714285714285
ARID2	1	M	11	9.090909090909092
ARMC8	1	M	2	50
ATP13A2	1	M	5	20
ATP9A	1	M	6	16.666666666666664
C9orf84	1	M	6	16.666666666666664
CADM4	1	M	4	25
CCDC146	1	M	3	33.33333333333333
CIITA	1	M	9	11.11111111111111
CMYA5	2	M	25	8
COL16A1	1	M	10	10
COMMD10	1	M	2	50
CROCC	1	M	9	11.11111111111111
CSMD3	1	M	41	2.4390243902439024
CTDSPL	1	M	2	50
DCHS1	1	M	16	6.25
DDN	1	M	2	50
DIDO1	1	M	13	7.6923076923076925
DMRT1	1	M	4	25
DNAH2	1	M	19	5.263157894736842
DQX1	1	M	7	14.285714285714285
DUSP8	1	M	3	33.33333333333333
EHHADH	1	M	6	16.666666666666664
ENKD1	1	M	4	25
F5	1	M	8	12.5
FAAH	1	M	1	100
FAM43B	1	M	2	50
FBXW7	1	M	10	10
FGFR3	1	M	6	16.666666666666664
FLG	1	M	37	2.7027027027027026
FMO1	1	M	5	20
FMO2	1	M	6	16.666666666666664
G2E3	1	M	3	33.33333333333333
GAS2L2	1	M	4	25
GOLGB1	1	M	17	5.88235294117647
GRIN2A	1	M	13	7.6923076923076925
GSE1	1	M	5	20
HECTD4	1	M	13	7.6923076923076925
HKDC1	1	M	10	10
HNRNPM	1	M	10	10
INPP5K	1	M	4	25
IPO7	1	M	5	20
IRF2	1	M	6	16.666666666666664
ISLR	1	M	5	20
IYD	1	M	2	50
JAG1	1	M	7	14.285714285714285
KCNC2	1	M	11	9.090909090909092
KIAA0195	1	M	5	20
KIF5C	1	M	4	25
KRAS	1	M	18	5.555555555555555
KRT84	1	M	6	16.666666666666664
KRTAP1-5	1	M	3	33.33333333333333
KRTAP26-1	1	M	1	100
LRP1B	3	M	53	5.660377358490567
LUC7L3	1	M	2	50
MAP1A	1	M	10	10
MAP3K3	1	M	5	20
MARCH3	1	M	1	100
MARCH7	1	M	3	33.33333333333333
MEFV	1	M	7	14.285714285714285
MMP28	1	M	4	25
MSL2	1	M	7	14.285714285714285
MTHFD1L	1	M	4	25
MYH13	1	M	21	4.761904761904762
NAB2	1	M	2	50
NANP	1	M	1	100
NLRP3	1	M	9	11.11111111111111
NOS1AP	1	M	5	20
NPAP1	1	M	24	4.166666666666666
NRIP3	1	M	4	25
NUTM1	1	M	8	12.5
ODF2	1	M	2	50
OR1L1	1	M	3	33.33333333333333
OR2T2	1	M	4	25
PAPPA2	1	M	13	7.6923076923076925
PER1	1	M	5	20
PGBD2	1	M	3	33.33333333333333
PIP5KL1	1	M	1	100
PKD1	1	M	19	5.263157894736842
PLCD3	1	M	4	25
