hugo_symbol	n.x	status	n.y	perc
ABCA13	1	M	20	5
ABHD17B	1	M	3	33.33333333333333
ACTR6	1	M	5	20
ADAM10	1	M	3	33.33333333333333
ADAR	1	M	5	20
AKAP11	1	M	6	16.666666666666664
APPL2	1	M	8	12.5
ARPP21	1	M	8	12.5
ARSJ	1	M	2	50
ASB6	1	M	2	50
ATXN10	1	M	5	20
BARD1	1	M	7	14.285714285714285
BAZ2A	1	M	4	25
BAZ2B	1	M	11	9.090909090909092
BCHE	1	M	7	14.285714285714285
CEP250	1	M	8	12.5
CEP76	1	M	3	33.33333333333333
CERS3	1	M	4	25
COL14A1	1	M	16	6.25
COL24A1	1	M	14	7.142857142857142
COL8A1	1	M	6	16.666666666666664
CPSF1	1	M	4	25
CTNNAL1	1	M	3	33.33333333333333
DCAF4	1	M	5	20
DHX36	1	M	6	16.666666666666664
DNAH10	1	M	15	6.666666666666667
DPRX	1	M	3	33.33333333333333
DPYSL5	1	M	6	16.666666666666664
EDDM3A	1	M	2	50
EVPL	1	M	10	10
FAT1	1	M	42	2.380952380952381
FRMPD1	1	M	4	25
GABRA1	1	M	7	14.285714285714285
GALNT9	1	M	1	100
GGCX	1	M	2	50
GLB1L	1	M	3	33.33333333333333
GNPAT	1	M	5	20
GPM6A	1	M	3	33.33333333333333
GTF3C3	1	M	4	25
GTF3C4	1	M	3	33.33333333333333
HAPLN3	1	M	6	16.666666666666664
HIPK1	1	M	6	16.666666666666664
HIST3H2A	1	M	1	100
IFT172	1	M	9	11.11111111111111
IGKV1D-42	1	M	3	33.33333333333333
KAT5	1	M	5	20
KDM1A	1	M	2	50
KLF1	1	M	3	33.33333333333333
KRTAP1-3	1	M	3	33.33333333333333
LIN54	1	M	2	50
LRP1B	1	M	64	1.5625
LRSAM1	1	M	7	14.285714285714285
LY6D	1	M	2	50
MED10	1	M	1	100
MESP2	1	M	4	25
MPP2	1	M	6	16.666666666666664
MRPL4	2	M	1	200
MYO9A	1	M	11	9.090909090909092
NDRG3	1	M	3	33.33333333333333
NELL1	1	M	10	10
NLRP10	1	M	5	20
NLRP5	1	M	10	10
NOP58	1	M	1	100
NPHP3	1	M	8	12.5
NUFIP2	1	M	7	14.285714285714285
NUGGC	1	M	3	33.33333333333333
OR10X1	1	M	4	25
OR2M4	1	M	5	20
OR4C15	1	M	6	16.666666666666664
P2RY1	1	M	2	50
PCDHA10	1	M	10	10
PCDHA13	1	M	18	5.555555555555555
PDE3A	1	M	17	5.88235294117647
PEX12	1	M	2	50
PFKFB3	1	M	4	25
PIP4K2A	1	M	2	50
PKHD1	1	M	27	3.7037037037037033
PLEKHG4	1	M	5	20
PPP2R5D	1	M	4	25
PPP4R1	1	M	3	33.33333333333333
PRC1	1	M	3	33.33333333333333
PRMT2	1	M	2	50
PRR30	1	M	2	50
PRTG	1	M	7	14.285714285714285
PTCHD2	1	M	6	16.666666666666664
RANBP10	1	M	5	20
RARG	1	M	9	11.11111111111111
RGS7BP	1	M	1	100
RIOK3	1	M	3	33.33333333333333
RIPK4	1	M	11	9.090909090909092
RNF111	1	M	5	20
RPS3	1	M	1	100
RRAS2	1	M	2	50
SHC4	1	M	3	33.33333333333333
SI	1	M	27	3.7037037037037033
SIPA1L3	1	M	7	14.285714285714285
SLAMF7	1	M	1	100
SLC7A14	1	M	9	11.11111111111111
SLC8B1	1	M	2	50
SMG1	1	M	12	8.333333333333332
SPRY3	1	M	3	33.33333333333333
SRPR	1	M	2	50
SSFA2	1	M	8	12.5
STK4	1	M	2	50
TBPL1	1	M	2	50
TMEM2	1	M	10	10
TMEM87A	1	M	2	50
TNN	1	M	17	5.88235294117647
TNR	1	M	18	5.555555555555555
TP53	1	M	202	0.49504950495049505
TRAPPC9	1	M	7	14.285714285714285
TRIM42	1	M	10	10
TSLP	1	M	1	100
USP5	1	M	8	12.5
UTRN	1	M	11	9.090909090909092
VANGL2	1	M	4	25
VCL	1	M	2	50
WAPAL	1	M	4	25
WEE1	1	M	1	100
WTAP	1	M	4	25
WWOX	1	M	2	50
ZDHHC20	1	M	1	100
ZFR	1	M	1	100
ZMAT2	1	M	1	100
ZNF318	1	M	8	12.5
ZNF425	1	M	5	20
ZNF658	1	M	6	16.666666666666664
ZNF682	1	M	6	16.666666666666664
ZNF724P	1	M	6	16.666666666666664
ABCA12	1	M	10	10
ACSF2	1	M	3	33.33333333333333
ACTL6A	1	M	2	50
ADD1	1	M	3	33.33333333333333
ADGRB3	1	M	18	5.555555555555555
ADGRF4	1	M	3	33.33333333333333
ADGRL2	1	M	9	11.11111111111111
AKT3	1	M	6	16.666666666666664
ANKS3	1	M	4	25
ARHGAP17	1	M	10	10
ARHGAP29	2	M	7	28.57142857142857
ASCC3	1	M	8	12.5
ATP13A4	1	M	17	5.88235294117647
BCL9	1	M	11	9.090909090909092
C14orf169	1	M	3	33.33333333333333
CDH10	2	M	19	10.526315789473683
CDH19	1	M	10	10
CDH2	1	M	9	11.11111111111111
CELSR2	1	M	22	4.545454545454546
CFAP221	1	M	4	25
CHD4	1	M	9	11.11111111111111
CNTROB	1	M	5	20
COL6A1	1	M	5	20
COL6A6	1	M	25	4
CREBBP	1	M	18	5.555555555555555
CSMD3	1	M	61	1.639344262295082
CSPP1	1	M	6	16.666666666666664
CXCL9	1	M	2	50
CYP2A13	1	M	3	33.33333333333333
DIO1	1	M	1	100
DPH7	1	M	2	50
DRAM1	1	M	1	100
E2F4	1	M	1	100
ECM1	1	M	5	20
FAF1	1	M	3	33.33333333333333
FAM47A	1	M	13	7.6923076923076925
FAM90A1	1	M	4	25
FASTKD3	1	M	4	25
FBXO8	1	M	5	20
FIZ1	1	M	1	100
FMN2	1	M	28	3.571428571428571
FTSJ3	1	M	2	50
GAPVD1	1	M	5	20
GNPTAB	1	M	9	11.11111111111111
GPR137C	1	M	2	50
HJURP	1	M	2	50
IFT172	1	M	9	11.11111111111111
KATNAL1	1	M	4	25
KDM2A	1	M	4	25
KDM4E	1	M	3	33.33333333333333
KLHL1	1	M	18	5.555555555555555
KLHL31	1	M	4	25
KMT2D	1	M	32	3.125
LRP1B	1	M	64	1.5625
LRRC27	1	M	2	50
MAPK8IP3	1	M	6	16.666666666666664
MCM3	1	M	2	50
METRNL	1	M	1	100
MFHAS1	1	M	7	14.285714285714285
MPP2	1	M	6	16.666666666666664
MUC5AC	1	M	9	11.11111111111111
MUM1L1	1	M	3	33.33333333333333
MYH14	1	M	5	20
MYH4	1	M	15	6.666666666666667
MYH7	1	M	13	7.6923076923076925
NCOA1	1	M	5	20
NETO1	1	M	4	25
NLRP12	1	M	16	6.25
NLRP13	1	M	7	14.285714285714285
NPAP1	1	M	27	3.7037037037037033
NPFFR2	1	M	11	9.090909090909092
NUP88	1	M	5	20
OR10X1	1	M	4	25
OR13C9	1	M	3	33.33333333333333
OR4C46	1	M	8	12.5
OR51B2	1	M	5	20
OR56A3	1	M	4	25
OR5P2	1	M	2	50
PAPOLB	1	M	4	25
PARP9	1	M	3	33.33333333333333
PAX6	1	M	4	25
PHF23	1	M	2	50
PKP3	1	M	5	20
PLEKHG4B	1	M	4	25
PLEKHH2	1	M	5	20
PNMA1	1	M	1	100
POM121C	1	M	2	50
POU6F2	1	M	4	25
PPAP2B	1	M	1	100
PPP1R1C	1	M	1	100
PRPF40B	1	M	7	14.285714285714285
RAD9B	1	M	1	100
RAP1GDS1	1	M	3	33.33333333333333
RASGRP1	1	M	3	33.33333333333333
REL	1	M	2	50
ROPN1	1	M	1	100
RPS6KA5	1	M	2	50
RTEL1-TNFRSF6B	1	M	3	33.33333333333333
RTN4RL2	1	M	2	50
RUNX1T1	1	M	18	5.555555555555555
SEC16A	1	M	6	16.666666666666664
SETDB1	1	M	6	16.666666666666664
SFSWAP	1	M	6	16.666666666666664
SIGLECL1	1	M	1	100
SLC2A7	1	M	1	100
SLC39A7	1	M	2	50
SLC6A12	1	M	5	20
SNX4	1	M	3	33.33333333333333
SPAG17	1	M	14	7.142857142857142
SPEG	1	M	14	7.142857142857142
SRPX	1	M	1	100
ST6GALNAC6	1	M	2	50
STARD10	1	M	1	100
STX1A	1	M	6	16.666666666666664
STX8	1	M	1	100
SZT2	1	M	12	8.333333333333332
TBC1D8	1	M	4	25
TBXA2R	1	M	2	50
TIAL1	1	M	2	50
TM4SF1	1	M	2	50
TNC	1	M	7	14.285714285714285
TNFAIP6	1	M	4	25
TOR1AIP2	1	M	3	33.33333333333333
TP53	1	M	202	0.49504950495049505
TRAF3IP2	1	M	2	50
TRPM2	1	M	8	12.5
TRPM6	1	M	7	14.285714285714285
TUBB2A	1	M	3	33.33333333333333
UGT1A1	1	M	3	33.33333333333333
VPS13D	1	M	18	5.555555555555555
WDR12	1	M	4	25
WDR17	1	M	12	8.333333333333332
XPR1	1	M	5	20
ZBTB41	1	M	6	16.666666666666664
ZC3H7B	1	M	7	14.285714285714285
ZFHX4	1	M	32	3.125
ZFYVE26	1	M	6	16.666666666666664
ZMYM2	1	M	2	50
ZNF236	1	M	8	12.5
ZNF266	1	M	4	25
ZNF292	1	M	13	7.6923076923076925
ZNF578	1	M	4	25
ZNF585A	1	M	4	25
ZNF778	1	M	1	100
ADGRA1	1	M	2	50
ARAP3	1	M	5	20
ARID5A	1	M	3	33.33333333333333
ATP2C2	1	M	6	16.666666666666664
ATR	1	M	12	8.333333333333332
BST1	1	M	3	33.33333333333333
C1GALT1	1	M	1	100
C8orf59	1	M	1	100
CARD11	1	M	8	12.5
CHD7	1	M	19	5.263157894736842
CLDN17	1	M	3	33.33333333333333
CNTNAP2	1	M	18	5.555555555555555
CYB561A3	1	M	2	50
CYLC2	1	M	3	33.33333333333333
ECHS1	1	M	1	100
EDRF1	1	M	5	20
EMILIN3	1	M	3	33.33333333333333
EP300	1	M	22	4.545454545454546
FABP3	1	M	1	100
FAM21A	1	M	7	14.285714285714285
FAT1	1	M	42	2.380952380952381
FGD4	1	M	2	50
FLT3	1	M	6	16.666666666666664
FZD1	1	M	6	16.666666666666664
GK2	1	M	5	20
GLP2R	1	M	5	20
GON4L	1	M	6	16.666666666666664
GPR61	1	M	3	33.33333333333333
HAPLN2	1	M	1	100
HGD	1	M	4	25
KCNAB3	1	M	2	50
KRT5	1	M	10	10
LARS2	1	M	1	100
LRIF1	1	M	6	16.666666666666664
MAATS1	1	M	2	50
MICU1	1	M	1	100
NAA20	1	M	2	50
NCBP1	1	M	5	20
NOTCH1	1	M	47	2.127659574468085
NR4A3	1	M	3	33.33333333333333
NUP50	1	M	4	25
OLFML2A	1	M	4	25
OR13F1	1	M	4	25
OXER1	1	M	2	50
PAN3	1	M	2	50
PCDH15	1	M	34	2.941176470588235
PIBF1	1	M	5	20
PKD1L1	1	M	10	10
PLEKHG1	1	M	10	10
PRMT3	1	M	2	50
PSG3	1	M	6	16.666666666666664
RERE	1	M	4	25
RIF1	1	M	10	10
RNF14	1	M	2	50
RNF213	2	M	24	8.333333333333332
RRAGC	1	M	2	50
RTP2	1	M	3	33.33333333333333
SFRP4	1	M	12	8.333333333333332
SH3KBP1	1	M	5	20
SIL1	1	M	3	33.33333333333333
SLC11A2	1	M	3	33.33333333333333
SLITRK5	1	M	19	5.263157894736842
SMARCC2	1	M	4	25
SNW1	1	M	3	33.33333333333333
SUGCT	1	M	3	33.33333333333333
SUN2	1	M	3	33.33333333333333
SYNRG	1	M	5	20
TGFBR3	2	M	5	40
TMEM53	2	M	2	100
TMOD4	1	M	2	50
TNPO1	1	M	4	25
TNRC6B	1	M	6	16.666666666666664
TTC19	1	M	1	100
UGT2B4	1	M	12	8.333333333333332
USP48	1	M	2	50
WDR89	1	M	1	100
ZNF19	1	M	3	33.33333333333333
ZNF493	1	M	6	16.666666666666664
ZNF75D	1	M	3	33.33333333333333
ZPR1	1	M	2	50
ABCA12	1	M	10	10
ABHD16B	1	M	3	33.33333333333333
ACADM	1	M	2	50
ACSM3	1	M	4	25
ACSM5	1	M	4	25
ADAMTS14	1	M	5	20
ADAMTS15	1	M	1	100
ADAMTS3	1	M	11	9.090909090909092
ADGRB1	1	M	6	16.666666666666664
ADGRF5	1	M	9	11.11111111111111
ADGRG7	1	M	4	25
ADORA3	1	M	3	33.33333333333333
ADRBK1	1	M	6	16.666666666666664
AHCYL2	1	M	5	20
AHNAK	1	M	33	3.0303030303030303
ALB	2	M	9	22.22222222222222
ALOX5	1	M	2	50
ANK2	1	M	25	4
ANKRD30B	1	M	10	10
ANKRD45	1	M	1	100
ANTXR2	1	M	1	100
ARFGEF3	1	M	9	11.11111111111111
ARHGAP17	1	M	10	10
ARHGAP28	2	M	4	50
ASMT	1	M	4	25
ASXL3	2	M	19	10.526315789473683
ATAD5	1	M	12	8.333333333333332
ATP2B2	1	M	6	16.666666666666664
ATP7A	1	M	2	50
ATP7B	1	M	5	20
ATRNL1	1	M	16	6.25
BARHL1	1	M	2	50
BARX2	1	M	2	50
BCAR1	1	M	5	20
BDNF	1	M	1	100
C16orf46	1	M	2	50
C1orf168	1	M	7	14.285714285714285
C22orf39	1	M	1	100
C4orf3	1	M	2	50
C6	1	M	11	9.090909090909092
CADM2	1	M	6	16.666666666666664
CASP6	1	M	3	33.33333333333333
CCDC132	1	M	7	14.285714285714285
CCNE1	1	M	1	100
CD163	1	M	16	6.25
CD40LG	1	M	2	50
CDH10	1	M	19	5.263157894736842
CDH9	1	M	17	5.88235294117647
CELA2A	1	M	2	50
CFHR5	1	M	4	25
CGB	1	M	1	100
CGB2	1	M	1	100
CHRD	1	M	5	20
CIRH1A	1	M	1	100
CNTNAP2	1	M	18	5.555555555555555
CNTNAP5	2	M	17	11.76470588235294
COL11A1	1	M	34	2.941176470588235
COL4A5	1	M	7	14.285714285714285
CSMD1	1	M	31	3.225806451612903
CSMD2	1	M	24	4.166666666666666
CSN1S1	1	M	2	50
CT45A1	1	M	2	50
CWF19L2	1	M	5	20
CYP27C1	1	M	3	33.33333333333333
CYP4F12	1	M	5	20
DBH	1	M	7	14.285714285714285
DCHS2	1	M	21	4.761904761904762
DGKK	2	M	13	15.384615384615385
DIP2A	1	M	9	11.11111111111111
DKK1	1	M	1	100
DKK2	2	M	2	100
DNAH7	1	M	25	4
DNAJB11	1	M	2	50
DPP10	1	M	14	7.142857142857142
DPYSL5	2	M	6	33.33333333333333
EFCAB12	1	M	4	25
EIF2B3	1	M	3	33.33333333333333
ENPP3	1	M	8	12.5
EP300	1	M	22	4.545454545454546
ERCC5	1	M	7	14.285714285714285
ESD	1	M	1	100
EYS	1	M	11	9.090909090909092
FAM122A	1	M	3	33.33333333333333
FAM161A	1	M	5	20
FAM181A	1	M	4	25
FAM227B	1	M	5	20
FAM47B	1	M	11	9.090909090909092
FBN1	1	M	12	8.333333333333332
FBXO21	1	M	6	16.666666666666664
FHL5	1	M	2	50
FIGN	1	M	9	11.11111111111111
FKBP15	1	M	3	33.33333333333333
FLNC	1	M	11	9.090909090909092
FOXD4L4	1	M	3	33.33333333333333
FRK	1	M	3	33.33333333333333
FRMD1	1	M	1	100
FRMPD4	1	M	5	20
FYB	1	M	6	16.666666666666664
GABRG2	1	M	7	14.285714285714285
GALC	1	M	1	100
GALNT14	1	M	3	33.33333333333333
GALNT6	1	M	3	33.33333333333333
GALNTL6	1	M	9	11.11111111111111
GANAB	1	M	4	25
GLYR1	1	M	5	20
GOLGA3	1	M	7	14.285714285714285
GPR149	1	M	8	12.5
GPR158	2	M	8	25
GPRASP2	1	M	3	33.33333333333333
GPRIN3	1	M	5	20
GRB14	1	M	3	33.33333333333333
GRIK4	1	M	6	16.666666666666664
GRM7	1	M	9	11.11111111111111
