hugo_symbol	n.x	status	n.y	perc
AGL	1	M	3	33.33333333333333
AKR1A1	1	M	2	50
AMD1	1	M	1	100
ANKS6	1	M	1	100
ANXA10	1	M	3	33.33333333333333
AP5M1	1	M	1	100
ARHGAP42	1	M	2	50
ARID3B	1	M	1	100
ASB15	1	M	2	50
B3GALT4	1	M	1	100
BHMT	1	M	1	100
BRPF3	1	M	4	25
C2orf78	1	M	1	100
C5orf56	1	M	1	100
CCPG1	1	M	2	50
COPS8	1	M	1	100
CORIN	1	M	2	50
CREB3L2	1	M	1	100
CTSA	1	M	3	33.33333333333333
DDC	1	M	1	100
DOCK7	1	M	3	33.33333333333333
DROSHA	1	M	1	100
EHMT1	1	M	1	100
ENTPD2	1	M	1	100
FAM47E-STBD1	2	M	1	200
FBXL8	1	M	1	100
GLIS2	1	M	2	50
HEATR5B	1	M	4	25
HECTD1	1	M	2	50
HTATSF1	1	M	1	100
ICAM3	1	M	1	100
IGSF10	1	M	2	50
ITPR1	1	M	2	50
KCNJ14	1	M	1	100
KRT1	1	M	1	100
KRT71	1	M	1	100
LARP7	1	M	1	100
LENEP	1	M	1	100
LFNG	1	M	2	50
LRP1B	1	M	6	16.666666666666664
MAP4K4	1	M	2	50
MED1	1	M	3	33.33333333333333
MPO	1	M	3	33.33333333333333
MUC4	1	M	9	11.11111111111111
MXRA5	1	M	3	33.33333333333333
MYCBP2	1	M	7	14.285714285714285
MYH14	1	M	1	100
NBPF15	1	M	4	25
NMT2	1	M	4	25
NT5M	2	M	1	200
NUP133	1	M	4	25
PABPC3	1	M	4	25
PHF5A	1	M	1	100
PKP1	1	M	1	100
PLEKHA2	1	M	3	33.33333333333333
PLEKHG3	1	M	3	33.33333333333333
POLR3H	1	M	1	100
PTPN13	1	M	4	25
PVRIG	1	M	1	100
RAG1	1	M	1	100
RALGAPA1	1	M	4	25
RBM33	1	M	4	25
RBMXL1	1	M	1	100
SCARA3	1	M	1	100
SLC27A2	1	M	1	100
SLC35F1	1	M	1	100
SMG5	1	M	1	100
SMURF1	1	M	1	100
THBS1	1	M	7	14.285714285714285
