hugo_symbol	n.x	status	n.y	perc
ADARB2	1	M	3	33.33333333333333
ADCY5	1	M	3	33.33333333333333
ADCY8	1	M	9	11.11111111111111
ALB	1	M	35	2.857142857142857
ANKZF1	1	M	3	33.33333333333333
ANO7	1	M	2	50
AP5Z1	1	M	3	33.33333333333333
ARID1A	1	M	18	5.555555555555555
ATL2	1	M	1	100
BSN	1	M	9	11.11111111111111
C11orf30	1	M	1	100
CASP9	1	M	1	100
CCDC150	1	M	2	50
COL1A1	1	M	5	20
COL4A1	1	M	2	50
CPNE1	1	M	1	100
DPP9	1	M	3	33.33333333333333
DSC1	1	M	1	100
EBF3	1	M	4	25
EDIL3	1	M	3	33.33333333333333
EML5	1	M	4	25
EP300	1	M	7	14.285714285714285
EPB41L5	1	M	2	50
F13A1	1	M	2	50
FAM135B	1	M	3	33.33333333333333
FAM222B	1	M	3	33.33333333333333
FAM47A	1	M	4	25
FCRL5	1	M	7	14.285714285714285
FHL3	1	M	1	100
FMN2	1	M	8	12.5
FNTA	1	M	3	33.33333333333333
FRG2C	1	M	4	25
GNAI1	1	M	4	25
GOLM1	1	M	1	100
GRM1	1	M	6	16.666666666666664
GSAP	1	M	2	50
GSR	1	M	1	100
HIST1H2BM	1	M	1	100
IGFN1	1	M	6	16.666666666666664
KCNC2	1	M	3	33.33333333333333
KIAA0907	1	M	1	100
KIF26B	1	M	15	6.666666666666667
LCE3E	1	M	1	100
LPP	1	M	1	100
LRIT2	1	M	1	100
MAGI2	1	M	6	16.666666666666664
MCTP2	1	M	5	20
MMRN1	1	M	6	16.666666666666664
MMS22L	1	M	2	50
MUC16	1	M	46	2.1739130434782608
MYO1E	1	M	4	25
N4BP3	1	M	2	50
NCAPG2	1	M	2	50
NEUROG1	1	M	1	100
NR1I3	1	M	1	100
OCRL	1	M	3	33.33333333333333
OR1A1	1	M	2	50
OR1E1	1	M	1	100
PCDH12	1	M	4	25
PCDHB3	1	M	6	16.666666666666664
PDE1A	1	M	1	100
PSMB5	1	M	3	33.33333333333333
RFWD2	1	M	3	33.33333333333333
RNF17	1	M	6	16.666666666666664
ROBO1	1	M	6	16.666666666666664
RTL1	1	M	2	50
RYR2	1	M	26	3.8461538461538463
SAA2	1	M	2	50
SALL1	1	M	5	20
SCRN3	1	M	4	25
SDCCAG8	1	M	4	25
SH3D21	1	M	1	100
SLC12A7	1	M	5	20
SLC22A17	1	M	5	20
SLC26A3	1	M	1	100
SMC2	1	M	2	50
SOGA3	1	M	4	25
SOS1	1	M	4	25
STAT1	1	M	3	33.33333333333333
STK10	1	M	3	33.33333333333333
SYT11	1	M	2	50
TAF1L	1	M	6	16.666666666666664
TBX5	1	M	3	33.33333333333333
TMPRSS6	2	M	3	66.66666666666666
TPO	1	M	10	10
TRPS1	1	M	9	11.11111111111111
TRPT1	1	M	2	50
TSGA10IP	1	M	1	100
TSPAN16	2	M	1	200
TTN	2	M	70	2.857142857142857
UQCRQ	1	M	1	100
USP29	1	M	3	33.33333333333333
XPO5	1	M	5	20
ZBTB1	1	M	3	33.33333333333333
ZC3H12A	1	M	3	33.33333333333333
ZNF292	1	M	5	20
ZNF836	1	M	1	100
ZSWIM8	1	M	5	20
AATK	1	M	2	50
ABCA13	1	M	25	4
ABRA	1	M	3	33.33333333333333
ADGRL2	1	M	4	25
ALB	1	M	35	2.857142857142857
ANKRD44	1	M	2	50
ARFGEF3	1	M	7	14.285714285714285
BASP1	1	M	4	25
BAZ2A	1	M	3	33.33333333333333
CEP68	1	M	4	25
CLASP2	1	M	4	25
CTDSP1	1	M	2	50
CWF19L1	1	M	3	33.33333333333333
CYC1	1	M	1	100
DAK	1	M	3	33.33333333333333
DIDO1	1	M	7	14.285714285714285
DNAJB1	1	M	1	100
DRD1	1	M	2	50
EDIL3	1	M	3	33.33333333333333
EXD1	1	M	1	100
EYA1	1	M	7	14.285714285714285
FCRL4	1	M	2	50
GABRG1	1	M	9	11.11111111111111
GALNT7	1	M	1	100
GEM	1	M	1	100
GFRAL	1	M	4	25
HEATR3	1	M	2	50
HIPK4	1	M	2	50
HSP90B1	1	M	2	50
IGKV3-20	1	M	1	100
IL1RAP	1	M	3	33.33333333333333
KEAP1	1	M	11	9.090909090909092
KRT1	1	M	3	33.33333333333333
KRT81	1	M	2	50
KRTAP13-3	1	M	2	50
LAMB4	1	M	8	12.5
LILRA4	1	M	2	50
MAP4K2	1	M	6	16.666666666666664
MEGF10	1	M	3	33.33333333333333
MGAT5	1	M	2	50
MRPL19	1	M	1	100
NES	1	M	5	20
OBSCN	1	M	36	2.7777777777777777
OR52R1	1	M	3	33.33333333333333
PCDHGA6	1	M	4	25
PDE8A	1	M	5	20
PGM3	1	M	4	25
PTPRN	1	M	3	33.33333333333333
PTRF	1	M	1	100
RXRG	1	M	3	33.33333333333333
SFMBT2	1	M	8	12.5
SLC25A48	1	M	2	50
SLC5A3	1	M	1	100
SMTN	1	M	2	50
SNCAIP	1	M	3	33.33333333333333
ST8SIA6	1	M	4	25
TECPR1	1	M	2	50
TKTL1	1	M	1	100
TNFRSF25	1	M	3	33.33333333333333
TP53	1	M	69	1.4492753623188406
TTN	1	M	70	1.4285714285714286
WNT8A	1	M	2	50
ZNF326	1	M	1	100
ABHD12	1	M	2	50
AGBL1	1	M	5	20
AKAP11	1	M	5	20
ALG10B	1	M	4	25
ARHGAP32	1	M	5	20
ARMCX6	1	M	3	33.33333333333333
ATR	1	M	11	9.090909090909092
BOC	1	M	6	16.666666666666664
BRSK1	1	M	4	25
C9orf47	1	M	1	100
C9orf84	1	M	2	50
CELSR1	1	M	8	12.5
CIT	1	M	7	14.285714285714285
CLCA1	1	M	6	16.666666666666664
COL15A1	1	M	5	20
CPNE8	1	M	3	33.33333333333333
CSMD1	1	M	18	5.555555555555555
CXorf36	1	M	3	33.33333333333333
DAPP1	1	M	1	100
DIP2C	1	M	6	16.666666666666664
DNAAF2	1	M	1	100
DOCK3	1	M	5	20
DPYD	1	M	5	20
EDC4	1	M	3	33.33333333333333
EEF1A1	1	M	7	14.285714285714285
