hugo_symbol	n.x	status	n.y	perc
ABCA2	1	M	11	9.090909090909092
ADAM20	1	M	6	16.666666666666664
ADAMTS12	1	M	60	1.6666666666666667
ADAMTS19	1	M	25	4
ADCY4	1	M	6	16.666666666666664
ADCY5	1	M	16	6.25
ADGRF5	1	M	15	6.666666666666667
AGRN	1	M	6	16.666666666666664
AMER1	1	M	10	10
ANKMY2	1	M	3	33.33333333333333
ARHGEF12	1	M	10	10
ARID1B	1	M	18	5.555555555555555
ASH1L	2	M	21	9.523809523809524
ATRX	1	M	10	10
BAIAP3	1	M	12	8.333333333333332
BDP1	2	M	8	25
BHMT	1	M	6	16.666666666666664
BIRC6	1	M	40	2.5
BRWD3	1	M	14	7.142857142857142
C12orf5	1	M	2	50
C7	1	M	24	4.166666666666666
CA7	1	M	5	20
CARD6	1	M	14	7.142857142857142
CCAR1	1	M	9	11.11111111111111
CCDC141	1	M	26	3.8461538461538463
CD1C	1	M	12	8.333333333333332
CHD7	1	M	30	3.3333333333333335
CLDN8	1	M	2	50
CNTNAP4	1	M	36	2.7777777777777777
CPSF2	1	M	6	16.666666666666664
CTNNA2	1	M	52	1.9230769230769231
CWF19L2	1	M	12	8.333333333333332
CYLC1	1	M	13	7.6923076923076925
CYP26B1	1	M	9	11.11111111111111
DCHS1	1	M	22	4.545454545454546
DLGAP3	1	M	13	7.6923076923076925
DNTTIP2	1	M	3	33.33333333333333
E2F7	1	M	11	9.090909090909092
FAM111B	1	M	4	25
FAT3	1	M	63	1.5873015873015872
FCRL5	1	M	25	4
FLG2	1	M	25	4
FN1	1	M	25	4
GBF1	1	M	9	11.11111111111111
GLI1	1	M	17	5.88235294117647
GPR85	1	M	7	14.285714285714285
GRIP2	1	M	2	50
GRM3	1	M	28	3.571428571428571
HAO1	1	M	10	10
HIPK1	1	M	8	12.5
HIST1H4H	1	M	3	33.33333333333333
HIST1H4I	1	M	4	25
HMMR	1	M	3	33.33333333333333
IGHV3-72	1	M	3	33.33333333333333
IGKC	1	M	20	5
IGKV1-5	1	M	7	14.285714285714285
IGKV1D-42	2	M	17	11.76470588235294
IGKV1D-8	1	M	16	6.25
ILDR1	1	M	4	25
IMPA1	1	M	3	33.33333333333333
IMPG2	1	M	20	5
IPMK	1	M	4	25
KCNK10	1	M	17	5.88235294117647
KIAA1024	1	M	18	5.555555555555555
KIAA1279	1	M	2	50
KIF6	1	M	5	20
KLF3	1	M	2	50
KRTAP19-3	1	M	4	25
KRTAP5-2	1	M	2	50
LAMA3	1	M	13	7.6923076923076925
LAMA4	1	M	25	4
LCMT2	1	M	10	10
LGALS4	1	M	3	33.33333333333333
LILRA2	1	M	22	4.545454545454546
LRFN5	1	M	33	3.0303030303030303
LRP10	1	M	3	33.33333333333333
LRP6	2	M	15	13.333333333333334
MAEL	1	M	5	20
MAP1S	1	M	5	20
MAS1	1	M	4	25
MAST1	1	M	12	8.333333333333332
MGAT5B	1	M	8	12.5
MKI67	1	M	31	3.225806451612903
MMRN2	1	M	5	20
MMS22L	1	M	13	7.6923076923076925
MUC16	1	M	172	0.5813953488372093
MUC5B	1	M	59	1.694915254237288
MYCBP2	1	M	23	4.3478260869565215
MYH1	1	M	48	2.083333333333333
