hugo_symbol	n.x	status	n.y	perc
ADAMTS16	1	M	1	100
ALOX15	1	M	1	100
ANKRD26	1	M	2	50
APC	1	M	1	100
BRWD1	1	M	2	50
C19orf57	1	M	1	100
C9orf173	1	M	1	100
CHD6	1	M	2	50
CRNN	1	M	1	100
CUL4B	1	M	1	100
DAW1	1	M	1	100
DCLRE1B	1	M	1	100
DHX35	1	M	1	100
DNPEP	1	M	1	100
DPYD	1	M	1	100
EEF1A1	1	M	1	100
EXPH5	1	M	1	100
GABRA4	1	M	1	100
GLI2	1	M	3	33.33333333333333
IGHV1-58	1	M	2	50
IGKC	1	M	1	100
KLHL1	1	M	1	100
KLHL40	1	M	2	50
KRAS	1	M	54	1.8518518518518516
KRT38	1	M	2	50
LAMA1	1	M	2	50
LRCH1	1	M	1	100
MBD6	1	M	1	100
MOV10L1	1	M	1	100
MUC5AC	1	M	2	50
NEBL	1	M	2	50
NOC4L	1	M	1	100
OGT	1	M	1	100
OLFML2B	1	M	2	50
OR8J3	1	M	1	100
PCDH9	1	M	2	50
PCDHA9	2	M	2	100
PDE11A	1	M	1	100
PLEK	1	M	1	100
RANGAP1	1	M	1	100
RNF207	1	M	1	100
RTN4RL1	1	M	2	50
SEMA5A	1	M	1	100
SEZ6L	1	M	2	50
SLC6A15	1	M	1	100
TANC1	1	M	1	100
TGFBR2	1	M	3	33.33333333333333
TMEM116	1	M	1	100
TNFRSF10B	1	M	1	100
TPCN1	1	M	1	100
UBASH3B	1	M	2	50
USP44	1	M	1	100
WDR37	1	M	1	100
ABCC10	1	M	2	50
ABCG1	1	M	1	100
ADAMTS15	1	M	2	50
ADAMTS9	1	M	1	100
ATG2B	1	M	1	100
CASKIN1	1	M	1	100
CXCL12	1	M	1	100
DNAH11	1	M	4	25
DNAH3	1	M	3	33.33333333333333
DNER	1	M	1	100
GABBR1	1	M	1	100
GANAB	1	M	2	50
GK	1	M	1	100
HECW1	1	M	1	100
KRAS	1	M	54	1.8518518518518516
MARCH5	1	M	1	100
MEFV	1	M	2	50
NTNG1	1	M	2	50
PPP4R2	1	M	1	100
PSG1	1	M	1	100
SMAD4	1	M	11	9.090909090909092
SYNE1	1	M	1	100
SYT4	1	M	1	100
TGM3	1	M	1	100
TMEM257	1	M	1	100
TP53	1	M	39	2.564102564102564
USP34	1	M	1	100
WDR48	1	M	1	100
ZNF345	1	M	1	100
ZNF506	1	M	1	100
ZP3	1	M	1	100
ADAD2	1	M	1	100
AJAP1	1	M	2	50
AQP4	1	M	1	100
ASPM	1	M	2	50
C5	1	M	1	100
CACNA1F	1	M	1	100
CDC25A	1	M	1	100
CENPJ	1	M	2	50
CFAP47	1	M	1	100
DHRS2	1	M	1	100
DNM1L	1	M	1	100
DUOXA2	1	M	1	100
EFCAB6	1	M	1	100
EIF4ENIF1	1	M	1	100
ETS1	1	M	1	100
FPR1	1	M	1	100
FSHR	1	M	1	100
GGCX	1	M	1	100
GPR26	1	M	1	100
GRIK4	1	M	1	100
HYDIN	1	M	2	50
IGF2R	1	M	1	100
ITGB2	1	M	1	100
KCNG3	1	M	1	100
KIF1A	1	M	4	25
KRAS	1	M	54	1.8518518518518516
KSR2	1	M	2	50
KY	1	M	1	100
LCE2C	1	M	1	100
LMF2	1	M	1	100
MN1	1	M	1	100
MYL9	1	M	1	100
MYT1L	1	M	2	50
NPHS2	1	M	1	100
OR14A16	1	M	2	50
OR2L8	1	M	1	100
OR4F6	1	M	1	100
PCDH9	1	M	2	50
PCNX	1	M	1	100
PIF1	1	M	1	100
PLEKHA4	1	M	1	100
POTEE	1	M	1	100
PTPN13	1	M	2	50
PXK	1	M	1	100
RSPH10B	1	M	1	100
RSPH6A	1	M	1	100
SALL2	1	M	1	100
SCN5A	1	M	5	20
SEMA3A	1	M	1	100
SESTD1	1	M	1	100
SGSM1	1	M	3	33.33333333333333
SH3TC2	1	M	1	100
SIGLEC6	1	M	1	100
SP140	1	M	1	100
STXBP4	1	M	1	100
TENM4	1	M	2	50
TMEM198	1	M	1	100
TNR	1	M	2	50
TP53	1	M	39	2.564102564102564
TRH	1	M	1	100
TTN	1	M	14	7.142857142857142
UTS2R	1	M	1	100
ZNF365	1	M	1	100
ZNF500	1	M	1	100
ZNF99	1	M	3	33.33333333333333
ALK	1	M	1	100
ARHGAP5	1	M	1	100
ATP8B4	1	M	1	100
CSMD3	1	M	4	25
DLG4	1	M	2	50
EPOR	1	M	1	100
GSG1	1	M	1	100
HMX2	1	M	1	100
HNRNPA1	1	M	1	100
LATS2	2	M	1	200
MST1R	1	M	1	100
NWD1	1	M	1	100
OR2M4	1	M	3	33.33333333333333
PHB	1	M	1	100
PHEX	1	M	1	100
RTN4	1	M	1	100
SPTLC1	1	M	1	100
SRCAP	1	M	1	100
STOX2	1	M	2	50
TNR	1	M	2	50
ZFPM2	1	M	1	100
ACCS	1	M	1	100
ACTB	1	M	1	100
APOB	1	M	2	50
BLVRA	1	M	1	100
CMYA5	1	M	1	100
DMP1	1	M	1	100
DNMT3A	1	M	3	33.33333333333333
EPHA7	1	M	2	50
GTF3C3	1	M	1	100
HEG1	1	M	1	100
HOXA4	1	M	1	100
INTS1	1	M	1	100
IQCF2	1	M	1	100
JAKMIP1	1	M	1	100
KIDINS220	1	M	1	100
KIF21B	1	M	1	100
MLLT4	1	M	1	100
MOGS	1	M	1	100
NCAPH	1	M	2	50
NCKAP5	1	M	3	33.33333333333333
NEBL	1	M	2	50
PAWR	1	M	1	100
QRFPR	1	M	1	100
STRIP2	1	M	1	100
TMEM37	1	M	1	100
TTN	1	M	14	7.142857142857142
WRN	1	M	1	100
ZNF28	1	M	1	100
CD1D	1	M	1	100
CISH	1	M	1	100
COL8A1	1	M	1	100
DYNC1I1	1	M	1	100
GNL3	1	M	1	100
HIST1H1B	1	M	1	100
HLCS	1	M	1	100
HVCN1	1	M	1	100
KCNA5	1	M	1	100
KIAA1211	1	M	1	100
KRAS	1	M	54	1.8518518518518516
LRFN1	1	M	1	100
MARCH8	1	M	1	100
MED18	1	M	1	100
NEK4	1	M	1	100
PHIP	1	M	1	100
PHYKPL	1	M	1	100
PPIAL4A	1	M	2	50
RARS2	1	M	1	100
SCAF1	1	M	1	100
SEMA4C	1	M	1	100
SMAD4	1	M	11	9.090909090909092
SNX6	1	M	1	100
SPATA31A7	1	M	1	100
SPINK2	1	M	1	100
TBC1D19	1	M	1	100
ZNF582	1	M	1	100
ZNF585B	1	M	2	50
ZNF823	1	M	1	100
CDC25B	1	M	1	100
CEP290	1	M	1	100
CTNNA2	1	M	1	100
FAH	1	M	1	100
GABRB1	1	M	2	50
GRIK3	1	M	1	100
HSPG2	1	M	1	100
PEG10	1	M	1	100
PLEKHA5	1	M	1	100
RYR2	1	M	3	33.33333333333333
TBC1D32	1	M	2	50
TIMM44	1	M	1	100
TPO	1	M	1	100
UBR4	1	M	2	50
VAX1	1	M	1	100
ZNF182	1	M	1	100
ABCB1	1	M	3	33.33333333333333
ADAM17	1	M	1	100
AGER	1	M	1	100
ANK3	1	M	2	50
ARC	1	M	1	100
ARHGAP36	1	M	1	100
B3GAT3	1	M	1	100
BCL11A	1	M	2	50
C19orf26	1	M	1	100
C1S	1	M	2	50
CCAR1	1	M	1	100
CNIH3	1	M	2	50
ENC1	1	M	2	50
FUZ	1	M	1	100
GRIN3B	1	M	1	100
IFNLR1	1	M	1	100
IRS1	1	M	2	50
KCNB2	1	M	3	33.33333333333333
KRAS	2	M	54	3.7037037037037033
KRTAP9-3	1	M	1	100
LRP2	1	M	1	100
MAN2B2	1	M	1	100
MAPK8IP3	1	M	1	100
MPHOSPH9	1	M	1	100
MTMR12	1	M	2	50
MYH7	1	M	2	50
NOS1	1	M	2	50
OR14K1	1	M	1	100
OR4E2	1	M	1	100
PCDHA7	1	M	3	33.33333333333333
POLR2G	1	M	1	100
PPP1R1B	1	M	1	100
PRPS1L1	1	M	1	100
PRRT2	1	M	1	100
PRSS23	1	M	1	100
RYR1	1	M	6	16.666666666666664
SCN1A	1	M	1	100
SORCS2	1	M	4	25
SP100	1	M	1	100
SYT16	1	M	1	100
TP53	1	M	39	2.564102564102564
TREX2	1	M	1	100
TUBA4A	1	M	1	100
VEPH1	1	M	1	100
ZWILCH	1	M	1	100
ADGRG4	1	M	2	50
BRAF	1	M	1	100
CACNA1S	1	M	1	100
EPHB2	1	M	3	33.33333333333333
IQGAP1	1	M	1	100
RYR2	1	M	3	33.33333333333333
SORCS1	1	M	2	50
WDR6	1	M	1	100
ZC3H12A	1	M	3	33.33333333333333
ABCC10	1	M	2	50
ABCG4	1	M	1	100
ADARB2	1	M	1	100
ANK2	1	M	1	100
CBL	1	M	1	100
CRIM1	1	M	1	100
CSNK1G3	1	M	1	100
EGF	1	M	2	50
FAM193A	1	M	1	100
FAM208A	1	M	1	100
FAT3	1	M	2	50
GABBR2	1	M	1	100
KCND3	1	M	1	100
KCNT1	1	M	3	33.33333333333333
KNG1	1	M	1	100
KRAS	1	M	54	1.8518518518518516
LIN54	1	M	1	100
MAL	1	M	1	100
MAP7D3	1	M	1	100
MCTP1	1	M	1	100
NOS3	1	M	1	100
OLFM1	1	M	1	100
OR5M1	1	M	1	100
PCDH11X	1	M	2	50
PLIN4	1	M	1	100
POLR2B	1	M	1	100
PUSL1	1	M	1	100
RIMS4	1	M	1	100
RPTN	1	M	1	100
SEMA4G	1	M	1	100
TAF4	1	M	1	100
TINF2	1	M	1	100
TLR8	1	M	1	100
TP53	1	M	39	2.564102564102564
ZNF256	1	M	1	100
ACOT1	1	M	1	100
FAM167A	1	M	1	100
AGL	1	M	1	100
ALPK2	1	M	1	100
AP4B1	1	M	1	100
ASTN1	1	M	2	50
BTBD11	1	M	2	50
CBLL1	1	M	1	100
CDH2	1	M	1	100
COL24A1	1	M	2	50
CPNE8	1	M	1	100
CRTAC1	1	M	1	100
CTNND2	1	M	1	100
DND1	1	M	1	100
DSCAM	1	M	4	25
EXOC7	1	M	1	100
FAM178A	1	M	1	100
FANCD2	1	M	1	100
FAT2	1	M	5	20
GPR156	1	M	1	100
GPSM1	1	M	1	100
HIPK3	1	M	1	100
HK3	1	M	1	100
INHBB	1	M	1	100
ISLR2	1	M	2	50
ITGA6	1	M	1	100
ITPR1	1	M	2	50
KCNA6	1	M	1	100
KIF24	1	M	2	50
KRAS	1	M	54	1.8518518518518516
MUC6	1	M	2	50
NCKAP5L	1	M	1	100
OR5D13	1	M	1	100
OR5H1	1	M	2	50
PCDHGA5	1	M	1	100
PDCD2L	1	M	1	100
PEX16	1	M	1	100
PHF1	1	M	1	100
PIK3CA	1	M	3	33.33333333333333
PMEPA1	1	M	1	100
PPWD1	1	M	1	100
PRADC1	1	M	1	100
RAB40B	1	M	1	100
RASAL3	1	M	1	100
RNF43	2	M	4	50
SBK2	1	M	1	100
SGCD	1	M	1	100
SRFBP1	1	M	2	50
TP53	1	M	39	2.564102564102564
TRIB2	1	M	1	100
TRIOBP	2	M	1	200
TSHZ2	1	M	4	25
UXS1	1	M	1	100
ZNF3	1	M	1	100
ZNF787	1	M	1	100
ABCC1	1	M	1	100
ABRA	1	M	1	100
ANK1	1	M	2	50
ANKS1B	1	M	2	50
ANO3	1	M	2	50
BCAT2	1	M	1	100
C10orf71	1	M	2	50
CDKN2A	1	M	9	11.11111111111111
DAND5	1	M	1	100
DMKN	1	M	1	100
DOPEY2	1	M	1	100
ELP4	1	M	1	100
FBN3	1	M	5	20
GLYATL1	1	M	1	100
GTF3C5	1	M	1	100
HIF3A	1	M	1	100
IMPDH2	1	M	1	100
ITGAX	1	M	1	100
KRAS	1	M	54	1.8518518518518516
LTB4R	1	M	2	50
MAGEB2	1	M	1	100
MAGEE2	1	M	1	100
OR5M11	1	M	1	100
PCDHA7	1	M	3	33.33333333333333
PLSCR2	1	M	1	100
POU4F3	1	M	1	100
PTK6	1	M	1	100
RGPD2	1	M	2	50
RND1	1	M	1	100
SNRPN	1	M	1	100
SPOCK1	1	M	1	100
SRRM4	1	M	1	100
TEX14	1	M	1	100
U2SURP	1	M	1	100
UGT3A2	1	M	1	100
ZNF280A	1	M	1	100
ZNF780B	1	M	1	100
ADGRD1	1	M	3	33.33333333333333
CACNA2D3	1	M	1	100
CCDC8	1	M	2	50
CDH4	1	M	1	100
CDK5RAP1	1	M	1	100
CNGA4	1	M	2	50
CNTN1	1	M	1	100
DGKI	1	M	2	50
DIAPH1	1	M	1	100
DLK1	1	M	1	100
DNMT3B	1	M	1	100
KRAS	1	M	54	1.8518518518518516
KRT6C	1	M	1	100
LGALS3BP	1	M	1	100
MED12L	1	M	1	100
NHLH1	1	M	1	100
OPLAH	1	M	1	100
OR2M2	1	M	2	50
PAXBP1	1	M	1	100
RP1L1	1	M	3	33.33333333333333
SIRPB1	1	M	1	100
TEX2	1	M	1	100
TP53	1	M	39	2.564102564102564
TRGV5	1	M	1	100
ACTL9	1	M	2	50
ADAMTS4	1	M	1	100
AMY2A	1	M	1	100
ANKRD11	1	M	1	100
AP000304.12	1	M	1	100
ASNSD1	1	M	1	100
ATP6V1H	1	M	1	100
ATP8B3	1	M	1	100
BCORL1	1	M	1	100
C3	1	M	1	100
CACNB2	1	M	1	100
CFAP54	1	M	1	100
CFAP61	1	M	1	100
CHD8	1	M	1	100
CLCN6	1	M	1	100
COL5A1	1	M	3	33.33333333333333
CTDSP1	1	M	1	100
CUBN	1	M	3	33.33333333333333
DDX46	1	M	1	100
DMRT2	1	M	1	100
DNAH11	1	M	4	25
FAT3	1	M	2	50
FBXL7	1	M	1	100
FLNC	2	M	1	200
FOXF1	1	M	2	50
GLIS3	1	M	1	100
GRM8	1	M	3	33.33333333333333
KEL	1	M	1	100
KNDC1	1	M	1	100
KRAS	1	M	54	1.8518518518518516
LEPR	1	M	1	100
LGI3	1	M	1	100
LIN28B	1	M	1	100
NBPF11	1	M	1	100
NOTUM	1	M	1	100
NPHP3	1	M	1	100
NYAP2	1	M	2	50
OPCML	1	M	1	100
OR1C1	1	M	2	50
OR2T1	1	M	1	100
PCDHA1	1	M	2	50
PCDHGB3	1	M	1	100
PKHD1	1	M	2	50
PLXNB2	1	M	1	100
PSG7	1	M	2	50
PTPN12	1	M	2	50
PUM2	1	M	1	100
RNF114	1	M	1	100
S1PR1	1	M	1	100
SGIP1	1	M	1	100
SLC12A7	1	M	1	100
SLC2A7	1	M	1	100
ST8SIA5	1	M	1	100
STYXL1	1	M	1	100
SYNE2	1	M	2	50
TAF1	1	M	1	100
TGFBR2	1	M	3	33.33333333333333
TMC5	1	M	2	50
AMPD1	1	M	1	100
APOL4	1	M	1	100
CA5A	1	M	1	100
CACNA1B	1	M	3	33.33333333333333
CDC42BPG	1	M	1	100
CDS1	1	M	1	100
COL5A3	1	M	3	33.33333333333333
CRNKL1	1	M	1	100
DACH2	1	M	1	100
DNAH8	1	M	1	100
EIF3A	1	M	1	100
EPC1	1	M	1	100
ERBB2IP	1	M	2	50
ESRRB	1	M	1	100
FUT6	1	M	1	100
GANAB	1	M	2	50
HSD17B7	1	M	1	100
LAMA2	1	M	2	50
LRRC42	1	M	1	100
PBRM1	1	M	1	100
PHLDB2	1	M	1	100
PTGES	1	M	1	100
RIN2	1	M	1	100
SPEN	1	M	1	100
SRP9	1	M	1	100
TLL1	1	M	1	100
USP28	1	M	1	100
ZSCAN16	1	M	1	100
CACNA1I	1	M	1	100
COG6	1	M	1	100
EGF	1	M	2	50
EPHB3	1	M	2	50
FAM129A	1	M	1	100
GJA5	1	M	1	100
IFT88	1	M	1	100
IRF2	1	M	1	100
KBTBD2	1	M	1	100
KCNH4	1	M	2	50
KHDRBS2	1	M	1	100
KLK15	1	M	3	33.33333333333333
LATS1	1	M	1	100
LRRK2	1	M	2	50
MEGF8	1	M	1	100
MLK4	1	M	2	50
MRC1	1	M	2	50
MUC17	1	M	1	100
PTX4	1	M	1	100
ROBO2	1	M	2	50
RYR1	1	M	6	16.666666666666664
SCUBE1	1	M	1	100
SNX27	1	M	2	50
TDP2	1	M	1	100
TSHZ2	1	M	4	25
VGLL2	1	M	1	100
ZEB1	1	M	1	100
ZNF274	1	M	1	100
ZNF45	1	M	1	100
ABCC11	1	M	1	100
ALB	1	M	1	100
ARHGAP21	1	M	1	100
ARHGAP31	1	M	1	100
ATAD2	1	M	1	100
BLCAP	1	M	1	100
C16orf70	1	M	1	100
C1RL	1	M	1	100
C1S	1	M	2	50
CACNG2	1	M	2	50
CAPN5	1	M	1	100
CDH23	1	M	2	50
CDYL2	1	M	1	100
CFH	1	M	1	100
CLCC1	1	M	1	100
COL4A4	1	M	1	100
DAGLA	1	M	1	100
DAPP1	1	M	1	100
DHX36	1	M	1	100
DHX38	1	M	1	100
DIDO1	1	M	2	50
DLGAP1	1	M	1	100
DPP10	1	M	1	100
DRD1	1	M	1	100
ELK1	1	M	1	100
EML1	1	M	2	50
ENTPD8	1	M	1	100
EPHB4	1	M	1	100
FAM65A	1	M	1	100
FAT1	1	M	2	50
FBN3	1	M	5	20
FBXL12	1	M	1	100
FGF6	1	M	2	50
GPR50	1	M	1	100
GRAMD1C	1	M	1	100
ITFG3	1	M	1	100
KCNK15	1	M	1	100
KIAA0100	1	M	1	100
KMT2B	1	M	1	100
KRAS	1	M	54	1.8518518518518516
KRTAP10-9	1	M	1	100
LAMB3	1	M	1	100
MAGED2	1	M	1	100
MATN2	1	M	1	100
MBTD1	1	M	1	100
MFSD7	1	M	1	100
MKI67	1	M	1	100
MUC16	1	M	5	20
