Values	total	status	pValue
Min.	70	female	0.017333235021209415
1st Qu.	152.75	female	0.017333235021209415
Median	267.5	female	0.017333235021209415
Mean	272.111111111111	female	0.017333235021209415
3rd Qu.	380.75	female	0.017333235021209415
Max.	521	female	0.017333235021209415
Min.	9	male	0.017333235021209415
1st Qu.	80	male	0.017333235021209415
Median	122.5	male	0.017333235021209415
Mean	187.510869565217	male	0.017333235021209415
3rd Qu.	246	male	0.017333235021209415
Max.	927	male	0.017333235021209415
