Values	total	status	pValue
Min.	1	female	0.016962228084894098
1st Qu.	57.5	female	0.016962228084894098
Median	172	female	0.016962228084894098
Mean	271.803571428571	female	0.016962228084894098
3rd Qu.	378.25	female	0.016962228084894098
Max.	1483	female	0.016962228084894098
Min.	1	male	0.016962228084894098
1st Qu.	102	male	0.016962228084894098
Median	235	male	0.016962228084894098
Mean	336.480620155039	male	0.016962228084894098
3rd Qu.	460	male	0.016962228084894098
Max.	1448	male	0.016962228084894098
