Values	total	status	pValue
Min.	5	female	1.7955111052870716e-4
1st Qu.	24	female	1.7955111052870716e-4
Median	39	female	1.7955111052870716e-4
Mean	45.8947368421053	female	1.7955111052870716e-4
3rd Qu.	65.25	female	1.7955111052870716e-4
Max.	145	female	1.7955111052870716e-4
Min.	5	male	1.7955111052870716e-4
1st Qu.	40	male	1.7955111052870716e-4
Median	55	male	1.7955111052870716e-4
Mean	56.8780487804878	male	1.7955111052870716e-4
3rd Qu.	74	male	1.7955111052870716e-4
Max.	117	male	1.7955111052870716e-4
