Values	total	status	pValue
Min.	1	female	0.0023804547184496177
1st Qu.	17	female	0.0023804547184496177
Median	29	female	0.0023804547184496177
Mean	264.08	female	0.0023804547184496177
3rd Qu.	39	female	0.0023804547184496177
Max.	17520	female	0.0023804547184496177
Min.	2	male	0.0023804547184496177
1st Qu.	29	male	0.0023804547184496177
Median	37.5	male	0.0023804547184496177
Mean	40.4347826086956	male	0.0023804547184496177
3rd Qu.	52.25	male	0.0023804547184496177
Max.	112	male	0.0023804547184496177
