Values	total	status	pValue
Min.	1	female	0.015397658549063876
1st Qu.	87	female	0.015397658549063876
Median	149.5	female	0.015397658549063876
Mean	223.064814814815	female	0.015397658549063876
3rd Qu.	243.5	female	0.015397658549063876
Max.	1716	female	0.015397658549063876
Min.	21	male	0.015397658549063876
1st Qu.	106.5	male	0.015397658549063876
Median	191	male	0.015397658549063876
Mean	274.638157894737	male	0.015397658549063876
3rd Qu.	344	male	0.015397658549063876
Max.	3767	male	0.015397658549063876
