Values	total	status	pValue
Min.	10	female	2.6282429600176687e-4
1st Qu.	30	female	2.6282429600176687e-4
Median	46	female	2.6282429600176687e-4
Mean	55.9868421052632	female	2.6282429600176687e-4
3rd Qu.	77.75	female	2.6282429600176687e-4
Max.	168	female	2.6282429600176687e-4
Min.	7	male	2.6282429600176687e-4
1st Qu.	49	male	2.6282429600176687e-4
Median	67	male	2.6282429600176687e-4
Mean	68.190243902439	male	2.6282429600176687e-4
3rd Qu.	89	male	2.6282429600176687e-4
Max.	142	male	2.6282429600176687e-4
