Values	total	status	pValue
Min.	2	female	0.022502626809410654
1st Qu.	27	female	0.022502626809410654
Median	39.5	female	0.022502626809410654
Mean	254.833333333333	female	0.022502626809410654
3rd Qu.	48.75	female	0.022502626809410654
Max.	16789	female	0.022502626809410654
Min.	1	male	0.022502626809410654
1st Qu.	33	male	0.022502626809410654
Median	47	male	0.022502626809410654
Mean	48.0510204081633	male	0.022502626809410654
3rd Qu.	61.5	male	0.022502626809410654
Max.	137	male	0.022502626809410654
