Values	total	status	pValue
Min.	2	female	0.033997683609337984
1st Qu.	85	female	0.033997683609337984
Median	157	female	0.033997683609337984
Mean	493.191082802548	female	0.033997683609337984
3rd Qu.	722	female	0.033997683609337984
Max.	6366	female	0.033997683609337984
Min.	1	male	0.033997683609337984
1st Qu.	79.75	male	0.033997683609337984
Median	123.5	male	0.033997683609337984
Mean	359.717857142857	male	0.033997683609337984
3rd Qu.	215.5	male	0.033997683609337984
Max.	7492	male	0.033997683609337984
