Values	total	status	pValue
Min.	3	female	0.016865342942536676
1st Qu.	109	female	0.016865342942536676
Median	207	female	0.016865342942536676
Mean	605.593220338983	female	0.016865342942536676
3rd Qu.	1108	female	0.016865342942536676
Max.	3235	female	0.016865342942536676
Min.	4	male	0.016865342942536676
1st Qu.	68	male	0.016865342942536676
Median	124.5	male	0.016865342942536676
Mean	494.648936170213	male	0.016865342942536676
3rd Qu.	389.75	male	0.016865342942536676
Max.	5934	male	0.016865342942536676
