Values	total	status	pValue
Min.	69	female	0.0062695680541308575
1st Qu.	74.5	female	0.0062695680541308575
Median	83	female	0.0062695680541308575
Mean	105.285714285714	female	0.0062695680541308575
3rd Qu.	105	female	0.0062695680541308575
Max.	226	female	0.0062695680541308575
Min.	69	male	0.0062695680541308575
1st Qu.	166	male	0.0062695680541308575
Median	227	male	0.0062695680541308575
Mean	439.529411764706	male	0.0062695680541308575
3rd Qu.	323	male	0.0062695680541308575
Max.	3804	male	0.0062695680541308575
