Values	total	status	pValue
Min.	1	female	0.012108397263862588
1st Qu.	76.25	female	0.012108397263862588
Median	124	female	0.012108397263862588
Mean	197.083333333333	female	0.012108397263862588
3rd Qu.	212.25	female	0.012108397263862588
Max.	1648	female	0.012108397263862588
Min.	1	male	0.012108397263862588
1st Qu.	87.75	male	0.012108397263862588
Median	167.5	male	0.012108397263862588
Mean	241.588815789474	male	0.012108397263862588
3rd Qu.	293.25	male	0.012108397263862588
Max.	3804	male	0.012108397263862588
