Values	total	status	pValue
Min.	3	female	0.012822231627698973
1st Qu.	47	female	0.012822231627698973
Median	146.5	female	0.012822231627698973
Mean	237.356617647059	female	0.012822231627698973
3rd Qu.	317.5	female	0.012822231627698973
Max.	1637	female	0.012822231627698973
Min.	5	male	0.012822231627698973
1st Qu.	86.75	male	0.012822231627698973
Median	204.5	male	0.012822231627698973
Mean	282.177966101695	male	0.012822231627698973
3rd Qu.	397	male	0.012822231627698973
Max.	1505	male	0.012822231627698973
