Values	total	status	pValue
Min.	1	female	0.010340396916928694
1st Qu.	87	female	0.010340396916928694
Median	164	female	0.010340396916928694
Mean	569.80701754386	female	0.010340396916928694
3rd Qu.	1138	female	0.010340396916928694
Max.	3086	female	0.010340396916928694
Min.	1	male	0.010340396916928694
1st Qu.	49.25	male	0.010340396916928694
Median	104	male	0.010340396916928694
Mean	453.882978723404	male	0.010340396916928694
3rd Qu.	240.75	male	0.010340396916928694
Max.	6015	male	0.010340396916928694
