	gene	pvalue
0	AKR1A1	0.5
0	AMD1	0.5
0	ANKS6	0.5
0	ARHGAP42	0.23975006109347674
0	CLDN5	0.5
0	COPS8	0.5
0	CORIN	0.5
0	DDC	0.5
0	DOCK7	0.5
0	DROSHA	0.23975006109347674
0	ENTPD2	0.5
0	FAM47E-STBD1	0.5
0	FBXL8	0.5
0	GLIS2	0.23975006109347674
0	HTATSF1	0.5
0	ICAM3	0.5
0	KCNJ14	0.5
0	LARP7	0.5
0	LENEP	0.5
0	LFNG	0.5
0	MPO	0.5
0	MYCBP2	0.38641499634222376
0	MYH14	0.3085375387259869
0	PHF5A	0.5
0	PKP1	0.5
0	PVRIG	0.5
0	PXMP2	0.5
0	RAG1	0.5
0	RBMXL1	0.5
0	SMURF1	0.5
0	TNRC6B	0.3085375387259869
0	VHL	0.11683759384802694
0	C17orf74	0.5
0	C19orf54	0.23975006109347674
0	LRP2	0.22777254689466497
0	NLRP1	0.5
0	PRAM1	0.5
0	PTGES	0.5
0	RD3	0.5
0	SFPQ	0.5
0	SIGLEC8	0.3085375387259869
0	SIRPA	0.5
0	SSC5D	0.5
0	SUGP1	0.12410653949496181
0	TCEB3	0.5
0	ZFYVE26	0.33250277105101456
0	ADAM11	0.5
0	ANGEL2	0.5
0	C3orf38	0.5
0	CHST10	0.5
0	DAPL1	0.5
0	DDX60L	0.12410653949496181
0	DIP2C	0.5
0	ENPP4	0.5
0	ERICH6	0.5
0	FAT4	0.39463401306714063
0	GRSF1	0.5
0	GUSB	0.23975006109347674
0	KIAA0922	0.5
0	KIAA1549	0.12410653949496181
0	KIF7	0.5
0	KLF13	0.5
0	LARS2	0.23975006109347674
0	LDHAL6B	0.5
0	MTDH	0.5
0	NPIPA2	0.5
0	NWD1	0.5
0	PKHD1	0.4115316368790607
0	PLEKHA3	0.5
0	PSD3	0.5
0	RNF6	0.23975006109347674
0	RORA	0.5
0	RPS19	0.5
0	SAAL1	0.23975006109347674
0	SH2D2A	0.5
0	SH2D6	0.5
0	SLC9A8	0.5
0	SYCE1	0.5
0	TENM4	0.5
0	TNFRSF11B	0.5
0	TTN	0.31753853234475843
0	UBR2	0.3085375387259869
0	UTP11L	0.5
0	VARS2	0.3085375387259869
0	VRTN	0.5
0	ZNF474	0.5
0	ZNF484	0.5
0	ANGPT1	0.5
0	CPA5	0.5
0	GREB1	0.34154569915480437
0	MTCL1	0.5
0	MYOM2	0.25249253754692297
0	SORCS3	0.5
0	SUSD5	0.5
0	TRMT12	0.5
0	ANGPTL1	0.5
0	B4GAT1	0.5
0	C14orf39	0.5
0	C1orf162	0.5
0	C1orf189	0.5
0	CCDC130	0.5
0	CYLD	0.5
0	DOCK8	0.5
0	DOPEY1	0.34154569915480437
0	DYRK1A	0.5
0	FAM96B	0.5
0	KMT2E	0.5
0	OR5P3	0.23975006109347674
0	P3H2	0.5
0	PPP2R5B	0.5
0	QRSL1	0.5
0	SDHB	0.5
0	SEMG2	0.5
0	SLC6A5	0.5
0	SOAT2	0.5
0	SORCS1	0.5
0	SPEN	0.2080373514062513
0	STOML3	0.5
0	TATDN3	0.5
0	TOX2	0.23975006109347674
0	C14orf28	0.5
0	CCDC126	0.5
0	CREBBP	0.23975006109347674
0	GABRA3	0.5
0	GRIN2A	0.25249253754692297
0	GZMM	0.5
