X1	gene	pvalue	pipeline
0	AKR1A1	0.23975006109347674	muse
0	ANKS6	0.5	muse
0	ARHGAP42	0.23975006109347674	muse
0	ARID3B	0.5	muse
0	C5orf56	0.5	muse
0	CDCA2	0.3085375387259869	muse
0	COPS8	0.5	muse
0	CORIN	0.17288929307558015	muse
0	DROSHA	0.5	muse
0	ENTPD2	0.5	muse
0	FAM47E-STBD1	0.5	muse
0	FBXL8	0.5	muse
0	GLIS2	0.5	muse
0	HECTD1	0.5	muse
0	HTATSF1	0.5	muse
0	KCNJ14	0.5	muse
0	LARP7	0.5	muse
0	LENEP	0.5	muse
0	LFNG	0.5	muse
0	NUTM2D	0.5	muse
0	PHF5A	0.5	muse
0	PVRIG	0.5	muse
0	RAG1	0.5	muse
0	RBMXL1	0.5	muse
0	SCARA3	0.5	muse
0	SLC35F1	0.5	muse
0	SMURF1	0.5	muse
0	UBP1	0.5	muse
0	VHL	0.3143084648352873	muse
0	C17orf74	0.5	muse
0	C19orf54	0.23975006109347674	muse
0	EGR2	0.5	muse
0	PRAM1	0.5	muse
0	RD3	0.5	muse
0	SFPQ	0.5	muse
0	SIRPA	0.5	muse
0	SSC5D	0.5	muse
0	ZFYVE26	0.5	muse
0	AARS	0.5	muse
0	ADAM11	0.5	muse
0	ANGEL2	0.5	muse
0	C3orf38	0.5	muse
0	DAPL1	0.5	muse
0	DDX60L	0.23975006109347674	muse
0	GRSF1	0.5	muse
0	HSD17B2	0.5	muse
0	KIAA1549	0.12410653949496181	muse
0	KIF7	0.5	muse
0	LARS2	0.5	muse
0	LDHAL6B	0.5	muse
0	NPIPA2	0.5	muse
0	NWD1	0.5	muse
0	PIDD1	0.5	muse
0	PLEKHA3	0.5	muse
0	RNF6	0.5	muse
0	RORA	0.5	muse
0	RPS19	0.5	muse
0	SH2D6	0.5	muse
0	SLC9A8	0.5	muse
0	SLIT1	0.5	muse
0	SYCE1	0.5	muse
0	TNFRSF11B	0.5	muse
0	TNNT2	0.5	muse
0	TTN	0.44711487773663117	muse
0	UBR2	0.23975006109347674	muse
0	UTP11L	0.5	muse
0	VRTN	0.5	muse
0	ZNF474	0.5	muse
0	ZNF484	0.5	muse
0	ANGPT1	0.5	muse
0	CPA5	0.5	muse
0	LILRA1	0.5	muse
0	MTCL1	0.5	muse
0	MYO19	0.5	muse
0	SORCS3	0.5	muse
0	SUSD5	0.5	muse
0	C14orf39	0.5	muse
0	C1orf162	0.5	muse
0	CCT8L2	0.5	muse
0	CYLD	0.5	muse
0	DOCK8	0.5	muse
0	DYRK1A	0.5	muse
0	E2F5	0.5	muse
0	KIAA0195	0.23975006109347674	muse
0	LSM1	0.5	muse
0	NEGR1	0.5	muse
0	P3H2	0.5	muse
0	PIK3R1	0.5	muse
0	PPP2R5B	0.5	muse
0	QRSL1	0.5	muse
0	SDHB	0.5	muse
0	SEMG2	0.5	muse
0	SLC6A5	0.5	muse
0	SOAT2	0.5	muse
0	SORCS1	0.5	muse
0	SPEN	0.34154569915480437	muse
0	TOX2	0.23975006109347674	muse
0	ZNF510	0.5	muse
0	AGO4	0.23975006109347674	muse
0	C14orf28	0.5	muse
0	CCDC126	0.5	muse
0	CEP290	0.23975006109347674	muse
0	CREBBP	0.23975006109347674	muse
0	GABRA3	0.5	muse
0	GZMM	0.5	muse
0	KCNJ9	0.5	muse
0	LAS1L	0.5	muse
0	MIB2	0.5	muse
0	MTL5	0.5	muse
0	MYCBPAP	0.5	muse
0	NSMF	0.5	muse
0	OR13F1	0.5	muse
0	OR5AS1	0.5	muse
0	RETNLB	0.5	muse
0	RPLP0	0.5	muse
0	SLC36A3	0.5	muse
0	SULT1C4	0.5	muse
0	TIAM1	0.3085375387259869	muse
0	WAPAL	0.12410653949496181	muse
0	XXbac-BPG32J3.20	0.5	muse
0	ZZEF1	0.3085375387259869	muse
0	ABLIM2	0.23975006109347674	muse
0	ADAM17	0.5	muse
0	DNASE2	0.5	muse
0	DST	0.40683185788339593	muse
0	ERBB4	0.2541657867760727	muse
0	HKR1	0.5	muse
0	HOGA1	0.5	muse
0	ICAM4	0.5	muse
0	IRF2	0.5	muse
0	NAV2	0.5	muse
0	OR4C12	0.23975006109347674	muse
0	RIMBP3	0.5	muse
0	SATL1	0.5	muse
0	SLC6A15	0.5	muse
0	TMEM253	0.5	muse
0	EMP1	0.5	muse
0	EPB41	0.5	muse
0	FGGY	0.5	muse
0	HS6ST3	0.5	muse
0	PABPC4L	0.5	muse
0	RP11-934B9.3	0.5	muse
0	SLAIN1	0.5	muse
0	SLC25A17	0.5	muse
0	SMG9	0.5	muse
0	SNX4	0.5	muse
0	TAPT1	0.5	muse
0	TMEM242	0.5	muse
0	ANGPTL5	0.5	muse
0	C1orf109	0.5	muse
0	C1orf226	0.5	muse
0	C2CD2L	0.23975006109347674	muse
0	CEBPZ	0.5	muse
0	DHH	0.5	muse
0	EBF1	0.5	muse
0	EIF5B	0.5	muse
0	FBXL20	0.5	muse
0	GGPS1	0.5	muse
0	GNB3	0.5	muse
0	GUCA1A	0.5	muse
0	HNF4A	0.5	muse
0	IGKV1D-13	0.5	muse
0	ITGAM	0.5	muse
0	KAT2A	0.23975006109347674	muse
0	MUC16	0.3746742028792014	muse
0	NCKAP1L	0.5	muse
0	NEK2	0.5	muse
0	NFKBID	0.5	muse
0	OR56A4	0.5	muse
0	PCDHA1	0.5	muse
0	PGLS	0.5	muse
0	PNMAL1	0.5	muse
0	POLA2	0.5	muse
0	RAP1GDS1	0.5	muse
0	SEC14L4	0.5	muse
0	SLC44A2	0.5	muse
0	SYT4	0.5	muse
0	TAF7L	0.5	muse
0	U2SURP	0.5	muse
0	ULK2	0.5	muse
0	ZNF142	0.5	muse
0	ADAMTS6	0.5	muse
0	CCDC39	0.5	muse
0	EMP2	0.5	muse
0	GATB	0.5	muse
0	GREM2	0.5	muse
0	HSPB6	0.5	muse
0	NUP62CL	0.5	muse
0	RHPN1	0.5	muse
0	SBNO2	0.5	muse
0	SLC2A9	0.5	muse
0	SNAP47	0.5	muse
0	SPSB4	0.5	muse
