	gene	pvalue
0	ADAMTS20	0.17425071188054242
0	CCDC168	0.5
0	CLK4	0.3085375387259869
0	EIF2AK4	0.5
0	FGA	0.12410653949496181
0	GPIHBP1	0.5
0	KLHL40	0.5
0	MUC17	0.38641499634222376
0	NBEA	0.020613416668581838
0	OAF	0.5
0	OR7A5	0.5
0	OR8D4	0.5
0	OTOA	0.5
0	PLCXD3	0.5
0	PRRG4	0.5
0	RYR3	0.4115316368790607
0	SACS	0.34154569915480437
0	SAMD4A	0.5
0	SELPLG	0.5
0	SNX16	0.5
0	TAF4	0.23975006109347674
0	TJP3	0.5
0	TMEFF1	0.5
0	TNMD	0.5
0	VRTN	0.5
0	ACER3	0.5
0	ATP6V1E2	0.5
0	AXDND1	0.23975006109347674
0	BMP7	0.5
0	BOD1L2	0.5
0	C1orf101	0.5
0	CDC37	0.5
0	CDH17	0.5
0	CHRNA5	0.5
0	CHST5	0.5
0	CSMD2	0.4012936743170763
0	DCHS1	0.3312602917700287
0	DTNBP1	0.5
0	E2F1	0.5
0	EID3	0.5
0	ENTHD1	0.5
0	EXO1	0.5
0	FBN2	0.5
0	FRMD1	0.5
0	GADD45G	0.5
0	GPT2	0.5
0	HAX1	0.5
0	KMT2D	0.36183680491588155
0	MASP1	0.5
0	METTL5	0.5
0	MPST	0.5
0	MPV17L	0.5
0	NMNAT1	0.5
0	OMA1	0.5
0	OR2AG1	0.5
0	OR5H2	0.5
0	P2RX7	0.5
0	PCDH20	0.5
0	PDZD4	0.5
0	POLB	0.5
0	PRDM16	0.5
0	PRDM6	0.5
0	RAB14	0.5
0	REG1A	0.5
0	RGS7BP	0.5
0	ROM1	0.5
0	SCG2	0.5
0	SCYL1	0.5
0	SFTPB	0.5
0	SPINT1	0.5
0	SUPT5H	0.5
0	TNFSF18	0.5
0	TRIM11	0.5
0	TSN	0.5
0	TTN	0.015937678879836516
0	ZAP70	0.5
0	ZNF483	0.5
0	ZNF521	0.5
0	ADAMTS6	0.5
0	AGL	0.23975006109347674
0	BMP5	0.5
0	C2orf44	0.5
0	CACNB1	0.5
0	CLEC18B	0.5
0	CPNE4	0.5
0	DEFB128	0.5
0	DNAH6	0.4012936743170763
0	DOK5	0.5
0	FAT3	0.339084677137049
0	FATE1	0.5
0	FCAMR	0.5
0	GLA	0.5
0	HIST1H4K	0.5
0	HYDIN	0.5
0	IGLJ3	0.5
0	JAK1	0.5
0	KDM2A	0.5
0	LCE1E	0.23975006109347674
0	LTV1	0.5
0	MSRB2	0.5
0	NCAM1	0.5
0	OR6B3	0.5
0	PCLO	0.11265940087117887
0	PDIA5	0.5
0	PIK3R2	0.5
0	PPP2R3C	0.5
0	PTPRQ	0.5
0	SLBP	0.5
0	SLC16A13	0.5
0	SLC9C2	0.23975006109347674
0	SULT1A2	0.5
0	TEN1	0.5
0	TMC3	0.5
0	TP53	0.3317107579084275
0	WDHD1	0.5
0	ZNF541	0.5
0	ACACB	0.5
0	ACRC	0.5
0	ASB4	0.5
0	ATG10	0.5
0	ATP5C1	0.5
0	CACNA1I	0.5
0	COLGALT2	0.5
0	CYLC2	0.36183680491588155
0	DNAJC19	0.5
0	FIP1L1	0.5
0	FREM2	0.40683185788339593
0	GHSR	0.5
0	GJA9	0.5
0	HAUS8	0.5
0	ILF3	0.5
0	LRRC37B	0.5
0	LSAMP	0.5
0	LYPD6	0.5
0	MAGEA12	0.5
0	MFN2	0.5
0	PDZRN3	0.5
0	PRKAA2	0.5
0	RALYL	0.5
0	SCRN1	0.5
0	SLFN13	0.5
0	SRSF5	0.5
0	SYCP2L	0.5
0	TADA2A	0.5
0	TAS2R10	0.5
0	TBR1	0.23975006109347674
0	XIRP2	0.08817458587695776
0	BCDIN3D	0.5
0	C9orf171	0.5
0	CACNA1E	0.5
0	CCDC155	0.5
0	CDC42BPB	0.5
0	CEACAM4	0.5
0	COL22A1	0.5
0	DNAH10	0.12654895447355774
0	EXOC4	0.5
0	IVNS1ABP	0.5
0	KRTAP19-4	0.5
0	MUTYH	0.5
0	MYO3B	0.5
0	NEXN	0.5
0	OR2T12	0.5
0	OR2Z1	0.5
0	OR4A15	0.5
0	OR7D4	0.5
0	PCDHA11	0.23975006109347674
0	PHF12	0.5
0	PLA2G3	0.5
0	PLCD3	0.5
0	PPBP	0.5
0	S100A7A	0.5
0	SERPINB4	0.5
0	SLC37A4	0.5
0	SLITRK6	0.5
0	TLR8	0.5
0	TRAPPC3	0.5
0	ZNF154	0.5
0	ZNF536	0.38641499634222376
0	ZP3	0.5
0	ANKRD13C	0.5
0	ANKRD32	0.23975006109347674
0	AQP1	0.5
0	AQP4	0.5
0	ATP2A1	0.5
0	BACH1	0.5
0	C10orf12	0.5
0	CCDC57	0.5
0	COL16A1	0.5
0	CPSF1	0.5
0	DLL3	0.5
0	DSN1	0.5
0	EPN2	0.5
0	FAT4	0.5
0	GALNTL5	0.5
0	GLIPR1	0.5
0	GRAMD3	0.5
0	HDGFL1	0.5
0	HERC3	0.5
0	IKBKAP	0.5
0	KIAA1161	0.5
0	KLHL18	0.5
0	LALBA	0.5
0	MAP9	0.5
0	PHF21A	0.5
0	PPARGC1A	0.5
0	PRDM7	0.5
0	PTDSS1	0.5
0	SLC18A1	0.5
0	SLC25A23	0.5
0	SMCR8	0.5
0	SPAG7	0.5
0	SPIRE2	0.5
0	THSD7B	0.5
0	TMCO5A	0.5
0	TMEM132C	0.5
0	TVP23C	0.5
0	ZC3H3	0.5
0	ZNF843	0.5
0	ANXA8	0.5
0	ATG13	0.5
0	C12orf4	0.5
0	CACNA1B	0.36183680491588155
0	CGB2	0.5
0	CSH1	0.5
0	CTNND2	0.34154569915480437
0	DNAJC8	0.5
0	GAPDHS	0.5
0	HPN	0.5
0	HZGJ	0.5
0	IGKV2D-24	0.5
0	IQUB	0.5
0	KLHL31	0.5
0	KRTAP10-1	0.5
0	LGALS7	0.5
0	LRG1	0.5
0	LRMP	0.5
0	MAGEB18	0.5
0	MYADML2	0.5
0	MYOD1	0.5
0	NT5DC1	0.5
0	OBSCN	0.42505336956926293
0	OR5D14	0.5
0	OSER1	0.5
0	PCYT2	0.5
0	PHACTR4	0.5
0	RNASEH2C	0.5
0	ROBO2	0.39463401306714063
0	RUNDC1	0.5
0	SNRPA1	0.5
0	SP6	0.5
0	SYF2	0.5
0	TRAK2	0.5
0	TTC23	0.5
0	CDO1	0.5
0	GPR137B	0.5
0	HYAL4	0.5
0	LCA5L	0.5
0	LCP2	0.23975006109347674
0	PCNT	0.5
0	SIMC1	0.23975006109347674
0	TTC37	0.5
0	AANAT	0.5
0	ATP13A4	0.34154569915480437
0	AZU1	0.5
0	BCL6	0.23975006109347674
0	BIRC6	0.11929641465821778
0	CD5L	0.5
0	DNAH1	0.5
0	FKBP11	0.5
0	HIST1H2BK	0.5
0	KCNB2	0.5
0	KCNK12	0.5
0	LRP2	0.34154569915480437
0	LRRC39	0.5
0	MID1IP1	0.5
0	NRG3	0.5
0	PAK7	0.36183680491588155
0	POC1A	0.5
0	PRPF4	0.5
0	SLC1A5	0.5
0	SMARCAL1	0.5
0	TNF	0.5
0	TPH2	0.5
0	WISP2	0.5
0	ZNF398	0.23975006109347674
0	ZNF70	0.5
0	BTN3A1	0.23975006109347674
0	CLDN23	0.5
0	DNTTIP2	0.5
0	DOCK2	0.3334772643464097
0	DUSP2	0.5
0	EFCAB13	0.23975006109347674
0	FCRL5	0.5
0	GJB6	0.5
0	GNA13	0.5
0	GRB7	0.5
0	GUCY1A3	0.5
0	HORMAD2	0.5
0	HRNR	0.36183680491588155
0	IRGC	0.5
0	KLHDC10	0.5
0	KRTAP4-11	0.5
0	LOXL3	0.5
0	MED16	0.5
0	MORN1	0.5
0	OSBPL7	0.5
0	PCDH7	0.4012936743170763
0	SDHAF3	0.5
0	SPINT2	0.5
0	TXLNB	0.5
0	A4GNT	0.5
0	ASAP2	0.5
0	ATP1B3	0.5
0	C12orf74	0.5
0	CELA3A	0.5
0	DCTN2	0.5
0	DDX18	0.5
0	DPPA2	0.5
0	EFCAB12	0.5
0	EFNA3	0.5
0	EXT2	0.5
0	FBXO24	0.5
0	GUCY1B3	0.5
0	IGF2BP1	0.5
0	ITPRIPL1	0.5
0	KIAA1191	0.5
0	KIF6	0.5
0	LHFPL3	0.5
0	MICU3	0.5
0	MSH5	0.5
0	MUC16	0.37751309493475343
0	MUC7	0.5
0	NFKBID	0.5
0	OR6C68	0.5
0	OSCAR	0.5
0	PAPD4	0.5
0	PCK1	0.5
0	PLA2G16	0.5
0	PLA2G4A	0.5
0	PSMC1	0.5
0	SCRIB	0.5
0	SOCS5	0.5
0	TBC1D5	0.5
0	TCF12	0.5
0	TMEM14C	0.5
0	WDR66	0.5
0	ZNF445	0.5
0	ZNF546	0.5
0	ZNF790	0.5
0	ACSM2B	0.5
0	ADH1A	0.5
0	AGAP3	0.5
0	AGAP9	0.5
0	AMPH	0.5
0	ANO7	0.5
0	ARHGEF37	0.5
0	C2CD2	0.5
0	C4orf45	0.5
0	CALR3	0.5
0	CCNO	0.5
0	CD1E	0.5
0	CDK5RAP1	0.5
0	COX6B1	0.5
0	CSMD3	0.4298418975993331
0	CXCL14	0.5
0	CXCR3	0.5
0	DENND2A	0.5
0	DGKB	0.5
0	DIRAS1	0.5
0	EIF3A	0.5
0	FASN	0.5
0	GLS2	0.5
0	GPR62	0.5
0	GRIA2	0.5
0	GRIA4	0.5
0	H2AFZ	0.5
0	HOXC8	0.5
0	IFT88	0.5
0	IGSF11	0.5
0	IQCG	0.5
0	KIF4A	0.5
0	MAGEB4	0.5
0	MAT2A	0.5
0	MDM1	0.5
0	MMP16	0.5
0	MROH5	0.23975006109347674
0	MRPL47	0.5
0	MTA1	0.5
0	MTTP	0.5
0	NTM	0.5
0	PADI4	0.5
0	PCDHB9	0.5
0	PKN1	0.5
0	PRAMEF18	0.5
0	PREX1	0.36183680491588155
0	PRTG	0.5
0	PTCH2	0.5
0	RASGRF1	0.23975006109347674
0	RHOA	0.5
0	SPEG	0.38641499634222376
0	SRP54	0.5
0	SSX2IP	0.5
0	STK31	0.5
0	TXNDC2	0.5
0	USP21	0.5
0	WSCD2	0.5
0	WTAP	0.5
0	ZNF653	0.5
0	ZRANB1	0.5
0	AIM1L	0.5
0	C1RL	0.5
0	CACNA2D4	0.5
0	CHIC2	0.5
0	CLCF1	0.5
0	EI24	0.5
0	ERCC6L	0.5
0	ESYT2	0.5
0	EVA1C	0.5
0	FASLG	0.27014568730370997
0	GPR35	0.5
0	HMCN1	0.5
0	IGHMBP2	0.5
0	KIF4B	0.5
0	KLHL14	0.5
0	LOX	0.5
0	MAN1A2	0.5
0	NDNF	0.5
0	NEB	0.5
0	PCSK9	0.5
0	PELI3	0.5
0	PNLIP	0.5
0	PNMA2	0.5
0	RABGGTA	0.5
0	SEP15	0.5
0	SH3RF3	0.5
0	SLC35B1	0.5
0	SNX33	0.5
0	WNT6	0.5
0	ZG16B	0.5
0	ZNF708	0.5
0	ADGRV1	0.5
0	ATG4C	0.5
0	CD69	0.5
0	CHST1	0.5
0	CYB5D2	0.5
0	DCAF12	0.5
0	DEPDC5	0.5
0	DHX15	0.5
0	FCRL6	0.5
0	FOXI1	0.5
0	GPR137	0.5
0	IFNA10	0.5
0	IGHV3-13	0.5
0	IGLV2-23	0.5
0	KHDC1L	0.5
0	KIF11	0.5
0	LHFPL5	0.5
0	MCHR1	0.5
0	MSTN	0.5
0	MTMR9	0.5
0	NCAPH	0.5
0	NIN	0.5
0	NRP2	0.5
0	NUBPL	0.5
0	PALM	0.5
0	SIK3	0.5
0	SLC25A32	0.5
0	STXBP4	0.5
0	TAMM41	0.5
0	TRAV26-1	0.5
0	ZNF683	0.5
0	ACOT9	0.5
0	ACSL6	0.5
0	ADGRG3	0.5
0	ANKRD10	0.5
0	C16orf13	0.5
0	CCAR1	0.5
0	CDH16	0.5
0	CFAP221	0.5
0	CFAP53	0.5
0	CHURC1	0.5
0	DUSP13	0.5
0	ECSIT	0.5
0	EEF1A1	0.2266273523768682
0	EME2	0.5
0	FANCA	0.5
0	GSK3B	0.5
0	IGHV3-66	0.5
0	ITGB4	0.5
0	KCNJ13	0.5
0	KIAA1109	0.5
0	KMT2C	0.020613416668581838
0	NCBP1	0.5
0	NPM1	0.5
0	OLFM1	0.5
0	OR5AC2	0.5
0	OR6C76	0.5
0	PLA2G4E	0.5
0	PSMB5	0.5
0	QRICH2	0.5
0	SLC1A2	0.5
0	TIGD7	0.5
0	TPSD1	0.5
0	TREM1	0.5
0	TTLL6	0.5
0	TTYH2	0.5
0	UBAC1	0.5
0	UBE2Z	0.5
0	ACAP3	0.5
0	ANK3	0.5
0	ARPC5	0.5
0	B4GALT7	0.5
0	CKM	0.5
0	CLDN5	0.5
0	DOCK5	0.5
0	ERGIC1	0.5
0	FAM179A	0.5
0	FOXL2	0.5
0	FSIP2	0.5
0	GALNT10	0.5
0	HMGB1	0.5
0	HSF2	0.5
0	IFI35	0.5
0	MFAP5	0.5
0	NCKAP5	0.5
0	PRAMEF10	0.5
0	PVRL3	0.5
0	RFESD	0.5
0	SCN1A	0.5
0	SLC5A12	0.5
0	SLFN11	0.5
0	TAB3	0.5
0	TPT1	0.5
0	ZHX1	0.5
0	ZNF268	0.5
0	ZSCAN30	0.5
0	AATK	0.06680720126885807
0	ABCA13	0.010676286888764706
0	ANKRD44	0.23975006109347674
0	BASP1	0.12410653949496181
0	BAZ2A	0.23975006109347674
0	CEP68	0.23975006109347674
0	CPSF2	0.23975006109347674
0	CTDSP1	0.5
0	CWF19L1	0.5
0	CYC1	0.5
0	DAK	0.5
0	DIDO1	0.03681913506015133
0	DNAJB1	0.23975006109347674
0	DOPEY2	0.1029516053660342
0	DRD1	0.5
0	EDIL3	0.12410653949496181
0	EXD1	0.5
0	FCRL4	0.5
0	FRMD4B	0.12410653949496181
0	GABRG1	0.011671101006445408
0	GALNT7	0.5
0	GEM	0.5
0	HEATR3	0.5
0	HSP90B1	0.5
0	IGKV3-20	0.5
0	KRT1	0.12410653949496181
0	KRT81	0.23975006109347674
0	KRTAP13-3	0.5
0	LAMB4	0.12410653949496181
0	LILRA4	0.23975006109347674
0	MEGF10	0.5
0	MGAT5	0.12410653949496181
0	MRPL19	0.5
0	NES	0.1178399567145188
0	PCDHGA6	0.23975006109347674
0	PGM3	0.12410653949496181
0	PTPRN	0.23975006109347674
0	RXRG	0.23975006109347674
0	SFMBT2	0.020613416668581838
0	SLC25A48	0.5
0	SLC5A3	0.5
0	SMTN	0.06680720126885807
0	SNCAIP	0.12410653949496181
0	ST8SIA6	0.23975006109347674
0	TECPR1	0.5
0	TKTL1	0.23975006109347674
0	TNFRSF25	0.23975006109347674
0	ZBTB7C	0.06680720126885807
0	ZNF326	0.12410653949496181
0	ABHD12	0.5
0	AGBL1	0.1178399567145188
0	AKAP11	0.23975006109347674
0	ALG10B	0.23975006109347674
0	ARHGAP32	0.06680720126885807
0	ARMCX6	0.23975006109347674
0	ATR	0.05949536044656177
0	BOC	0.12410653949496181
0	C9orf47	0.5
0	C9orf84	0.12410653949496181
0	CIT	0.12410653949496181
0	CLCA1	0.06680720126885807
0	COL15A1	0.23975006109347674
0	CSMD1	0.007298381846662381
0	CXorf36	0.23975006109347674
0	DAPP1	0.5
0	DNAAF2	0.5
0	DPYD	0.03681913506015133
0	EDC4	0.06680720126885807
0	EHMT1	0.23975006109347674
0	EPM2AIP1	0.5
0	ESRRG	0.12410653949496181
0	G6PC	0.23975006109347674
0	GLIPR1L2	0.5
0	HELZ2	0.12410653949496181
0	KCNA5	0.020613416668581838
0	KCTD16	0.03681913506015133
0	KLRC2	0.23975006109347674
0	KRTAP6-1	0.23975006109347674
0	LILRB5	0.03681913506015133
0	MALRD1	0.23975006109347674
0	MAPKAP1	0.23975006109347674
0	MAST4	0.5
0	MBD5	0.23975006109347674
0	MED15	0.5
0	MIIP	0.23975006109347674
0	MMRN1	0.08292833017145501
0	MROH7	0.5
0	NBEAL2	0.03681913506015133
0	NCK2	0.5
0	NEBL	0.5
0	NECAP2	0.5
0	NKX2-8	0.23975006109347674
0	NPAS3	0.12410653949496181
0	OR5B17	0.23975006109347674
0	PKD1L3	0.12410653949496181
0	PLCB2	0.12410653949496181
0	PPAPDC2	0.5
0	PPP6R2	0.12410653949496181
0	RAB40AL	0.5
0	RIMBP2	0.12410653949496181
0	SEMA6C	0.12410653949496181
0	SERPIND1	0.5
0	SIPA1L2	0.03681913506015133
0	SLC6A14	0.5
0	SLC8A2	0.23975006109347674
0	SOGA3	0.23975006109347674
0	SUSD1	0.23975006109347674
0	SYNGR3	0.5
0	TLE6	0.23975006109347674
0	TM6SF1	0.5
0	TMEM201	0.5
0	TP53BP1	0.5
0	TPR	0.1178399567145188
0	TRERF1	0.043238132746832816
0	TSPAN4	0.5
0	WNT11	0.5
0	ZBED2	0.23975006109347674
0	ZC3H12A	0.23975006109347674
0	ZNF280B	0.12410653949496181
0	ZNF556	0.5
0	ZNF645	0.5
0	ZNF669	0.23975006109347674
0	ZSCAN21	0.23975006109347674
0	ABCC11	0.12410653949496181
0	ABCC5	0.5
0	ACAA1	0.23975006109347674
0	ACAP2	0.06680720126885807
0	ACSS1	0.5
0	ACTL9	0.23975006109347674
0	ACTRT2	0.5
0	ADCK1	0.5
0	ALK	0.020613416668581838
0	ANKRA2	0.23975006109347674
0	APMAP	0.5
0	ARHGAP21	0.5
0	ARHGAP36	0.12410653949496181
0	BAP1	0.03681913506015133
0	BEND5	0.12410653949496181
0	BOLL	0.5
0	C15orf39	0.06680720126885807
0	C16orf93	0.5
0	C17orf80	0.5
0	C4orf22	0.5
0	C6orf106	0.23975006109347674
0	CABP5	0.23975006109347674
0	CARD6	0.23975006109347674
0	CCDC27	0.12410653949496181
0	CD3EAP	0.5
0	CDH22	0.5
0	CHRM2	0.12410653949496181
0	CIB3	0.5
0	COL24A1	0.23975006109347674
0	CUL4B	0.06680720126885807
0	CYSLTR1	0.23975006109347674
0	DCHS2	0.05949536044656177
0	DHX9	0.020613416668581838
0	DPY19L1	0.17288929307558015
0	DUOX1	0.12410653949496181
0	DUSP27	0.0038303805675897287
0	EBF1	0.03681913506015133
0	EFTUD1	0.12410653949496181
0	EML2	0.23975006109347674
0	FAM83D	0.5
0	FLNB	0.020613416668581838
0	FNDC1	0.03681913506015133
0	FRMPD4	0.12410653949496181
0	GART	0.5
0	GPR174	0.23975006109347674
0	GRIP1	0.12410653949496181
0	GRIP2	0.12410653949496181
0	HLA-B	0.23975006109347674
0	HSPBP1	0.5
0	IL31RA	0.06680720126885807
0	IPCEF1	0.5
0	ITIH2	0.5
0	KAZN	0.23975006109347674
0	KIAA0907	0.23975006109347674
0	KIAA1462	0.23975006109347674
0	KIR3DX1	0.23975006109347674
0	KRT2	0.06680720126885807
0	LIMK1	0.5
0	LPA	0.12410653949496181
0	LPCAT3	0.23975006109347674
0	LRRC7	0.011671101006445408
0	MALSU1	0.23975006109347674
0	MLXIPL	0.03681913506015133
0	MTUS1	0.5
0	MTUS2	0.5
0	MURC	0.5
0	MYO9B	0.12410653949496181
0	NINJ2	0.5
0	NONO	0.5
0	OR13H1	0.12410653949496181
0	OR2W3	0.5
0	OR51L1	0.06680720126885807
0	PAFAH1B3	0.5
0	PCDH8	0.5
0	PCM1	0.23975006109347674
0	PLEKHH2	0.06680720126885807
0	PLXNA2	0.23975006109347674
0	PPFIA1	0.23975006109347674
0	PSG6	0.23975006109347674
0	QRSL1	0.5
0	RASAL2	0.03681913506015133
0	RCOR3	0.12410653949496181
0	RD3	0.5
0	RNMT	0.5
0	ROBO1	0.006664164390408773
0	SGIP1	0.23975006109347674
0	SGPP2	0.23975006109347674
0	SLC22A8	0.12410653949496181
0	SLX4	0.23975006109347674
0	SMIM10	0.23975006109347674
0	SORCS1	0.06680720126885807
0	SRPK2	0.5
0	SRXN1	0.23975006109347674
0	TEX9	0.23975006109347674
0	TMEM135	0.5
0	TMEM177	0.5
0	TNN	0.06680720126885807
0	TRO	0.06680720126885807
0	TRPC7	0.06680720126885807
0	TRPM1	0.03681913506015133
0	TTC1	0.5
0	TUBGCP2	0.23975006109347674
0	TULP4	0.5
0	UACA	0.23975006109347674
0	USP17L2	0.5
0	USP51	0.5
0	VASH2	0.5
0	VGLL1	0.5
0	WISP3	0.5
0	XYLT1	0.12410653949496181
0	ZDHHC13	0.23975006109347674
0	ZNF19	0.23975006109347674
0	ZNF43	0.03681913506015133
0	ZNF431	0.12410653949496181
0	ADAMTS2	0.03681913506015133
0	AIFM1	0.5
0	AMY1C	0.5
0	APLP1	0.23975006109347674
0	ATAD5	0.06680720126885807
0	CAMLG	0.5
0	CARKD	0.5
0	CFAP47	0.031715712644305616
0	DALRD3	0.5
0	DYM	0.23975006109347674
0	DYRK3	0.23975006109347674
0	EPM2A	0.5
0	FMR1	0.5
0	GNPTAB	0.5
0	GPM6A	0.23975006109347674
0	GRIK4	0.23975006109347674
0	HLCS	0.5
0	IRX4	0.06680720126885807
0	ITGB3	0.06680720126885807
0	JPH4	0.5
0	KIF26A	0.1178399567145188
0	KRT79	0.06680720126885807
0	KRTAP27-1	0.23975006109347674
0	MOGAT1	0.5
0	NRARP	0.5
0	P4HA3	0.5
0	PCDHGB1	0.23975006109347674
0	PHIP	0.13177623864148635
0	POLD2	0.5
0	PPRC1	0.5
0	PTRF	0.12410653949496181
0	RGS6	0.5
0	SLC22A14	0.12410653949496181
0	SLC34A3	0.23975006109347674
0	SPOCD1	0.5
0	SSPO	0.08292833017145501
0	TEX35	0.5
0	TMEM150A	0.5
0	TNFRSF10A	0.27014568730370997
0	TSPYL1	0.5
0	TTBK2	0.5
0	ZNF143	0.23975006109347674
0	ZNF225	0.23975006109347674
0	ZNF469	0.006664164390408773
0	ZNF780A	0.5
0	ZSWIM6	0.08292833017145501
0	AASS	0.23975006109347674
0	AP2A2	0.23975006109347674
0	ARHGEF17	0.011671101006445408
0	ASCL2	0.5
0	ATM	0.03681913506015133
0	BACE1	0.5
0	CASP8AP2	0.23975006109347674
0	CCDC54	0.23975006109347674
0	CD79A	0.5
0	CEACAM7	0.5
0	COG1	0.12410653949496181
