X1	gene	pvalue	pipeline
0	ADAMTS20	0.17425071188054242	muse
0	CCDC168	0.5	muse
0	CLK4	0.3085375387259869	muse
0	EIF2AK4	0.5	muse
0	FGA	0.12410653949496181	muse
0	GPIHBP1	0.5	muse
0	KLHL40	0.5	muse
0	MUC17	0.38641499634222376	muse
0	NBEA	0.020613416668581838	muse
0	OAF	0.5	muse
0	OR7A5	0.5	muse
0	OR8D4	0.5	muse
0	OTOA	0.5	muse
0	PLCXD3	0.5	muse
0	PRRG4	0.5	muse
0	RYR3	0.4115316368790607	muse
0	SACS	0.34154569915480437	muse
0	SAMD4A	0.5	muse
0	SELPLG	0.5	muse
0	SNX16	0.5	muse
0	TAF4	0.23975006109347674	muse
0	TJP3	0.5	muse
0	TMEFF1	0.5	muse
0	TNMD	0.5	muse
0	VRTN	0.5	muse
0	ACER3	0.5	muse
0	ATP6V1E2	0.5	muse
0	AXDND1	0.23975006109347674	muse
0	BMP7	0.5	muse
0	BOD1L2	0.5	muse
0	C1orf101	0.5	muse
0	CDC37	0.5	muse
0	CDH17	0.5	muse
0	CHRNA5	0.5	muse
0	CHST5	0.5	muse
0	CSMD2	0.4012936743170763	muse
0	DCHS1	0.3312602917700287	muse
0	DTNBP1	0.5	muse
0	E2F1	0.5	muse
0	EID3	0.5	muse
0	ENTHD1	0.5	muse
0	EXO1	0.5	muse
0	FBN2	0.5	muse
0	FRMD1	0.5	muse
0	GADD45G	0.5	muse
0	GPT2	0.5	muse
0	HAX1	0.5	muse
0	KMT2D	0.36183680491588155	muse
0	MASP1	0.5	muse
0	METTL5	0.5	muse
0	MPST	0.5	muse
0	MPV17L	0.5	muse
0	NMNAT1	0.5	muse
0	OMA1	0.5	muse
0	OR2AG1	0.5	muse
0	OR5H2	0.5	muse
0	P2RX7	0.5	muse
0	PCDH20	0.5	muse
0	PDZD4	0.5	muse
0	POLB	0.5	muse
0	PRDM16	0.5	muse
0	PRDM6	0.5	muse
0	RAB14	0.5	muse
0	REG1A	0.5	muse
0	RGS7BP	0.5	muse
0	ROM1	0.5	muse
0	SCG2	0.5	muse
0	SCYL1	0.5	muse
0	SFTPB	0.5	muse
0	SPINT1	0.5	muse
0	SUPT5H	0.5	muse
0	TNFSF18	0.5	muse
0	TRIM11	0.5	muse
0	TSN	0.5	muse
0	TTN	0.015937678879836516	muse
0	ZAP70	0.5	muse
0	ZNF483	0.5	muse
0	ZNF521	0.5	muse
0	ADAMTS6	0.5	muse
0	AGL	0.23975006109347674	muse
0	BMP5	0.5	muse
0	C2orf44	0.5	muse
0	CACNB1	0.5	muse
0	CLEC18B	0.5	muse
0	CPNE4	0.5	muse
0	DEFB128	0.5	muse
0	DNAH6	0.4012936743170763	muse
0	DOK5	0.5	muse
0	FAT3	0.339084677137049	muse
0	FATE1	0.5	muse
0	FCAMR	0.5	muse
0	GLA	0.5	muse
0	HIST1H4K	0.5	muse
0	HYDIN	0.5	muse
0	IGLJ3	0.5	muse
0	JAK1	0.5	muse
0	KDM2A	0.5	muse
0	LCE1E	0.23975006109347674	muse
0	LTV1	0.5	muse
0	MSRB2	0.5	muse
0	NCAM1	0.5	muse
0	OR6B3	0.5	muse
0	PCLO	0.11265940087117887	muse
0	PDIA5	0.5	muse
0	PIK3R2	0.5	muse
0	PPP2R3C	0.5	muse
0	PTPRQ	0.5	muse
0	SLBP	0.5	muse
0	SLC16A13	0.5	muse
0	SLC9C2	0.23975006109347674	muse
0	SULT1A2	0.5	muse
0	TEN1	0.5	muse
0	TMC3	0.5	muse
0	TP53	0.3317107579084275	muse
0	WDHD1	0.5	muse
0	ZNF541	0.5	muse
0	ACACB	0.5	muse
0	ACRC	0.5	muse
