	gene	pvalue
0	ABCB1	0.2082607239308899
0	ABCB5	0.26811211946658053
0	ADAMTS13	0.4115316368790607
0	ADAMTS18	0.0726893414609411
0	ADAMTSL3	0.15188118270447099
0	ADGRB3	0.01470626975414212
0	ADGRG4	0.46981791853042915
0	ADH4	0.5
0	ADRA2B	0.2071080891212626
0	AFF2	0.04966908403212064
0	ALDH1L1	0.30853753872598694
0	AMOTL1	0.5
0	ANK2	0.1481596282790037
0	ANLN	0.38641499634222376
0	AP3D1	0.5
0	APOB	0.01855952606765832
0	ASCC3	0.3743870208532736
0	ASTN1	0.10198117306757659
0	ATP2B3	0.43381616738909634
0	BDH2	0.5
0	BIRC6	0.40662795599321366
0	BNC1	0.339084677137049
0	BTBD7	0.38641499634222376
0	CADPS	0.3743870208532736
0	CD6	0.29794154528258887
0	CENPA	0.5
0	CHST2	0.39463401306714063
0	CNTN2	0.2722269886373513
0	CNTNAP2	0.4136976358754017
0	CNTNAP5	0.2111174839097703
0	COL11A1	0.3269550510073297
0	COL21A1	0.43070706724817814
0	COL22A1	0.1537423846575579
0	COL4A5	0.15524721715861745
0	COL6A3	0.45247845921124913
0	CORO1A	0.5
0	CREB3L3	0.19323811538561636
0	CSMD2	0.3892665915944449
0	CSMD3	0.010570010712915646
0	CYP26B1	0.42225963373647
0	DCAF4L2	0.33770538062115657
0	DCAF8L2	0.41912824319291314
0	DCHS2	0.20102572733721313
0	DMD	0.321505686041563
0	DPYD	0.5
0	DYSF	0.22792954787768027
0	EHMT1	0.2701456873037099
0	ENGASE	0.5
0	EPHA3	0.3868174804882386
0	FAM131B	0.39463401306714063
0	FAM135B	0.07520696803888216
0	FAM47B	0.1128568186408237
0	FAT1	0.16527355480081535
0	FAT2	0.4099466484169785
0	FAT3	0.06642515314035997
0	FGD5	0.3183286832181939
0	FLG2	0.47688120627270075
0	FOXC2	0.38641499634222376
0	FRMPD4	0.15152616474504138
0	GABRB1	0.056175598845231975
0	GABRB3	0.3259923500848051
0	GABRG2	0.25381303346758777
0	GGPS1	0.5
0	GINS3	0.23975006109347674
0	GPM6A	0.31867594411696853
0	GRIA1	0.1029516053660342
0	HDAC9	0.19895232864062506
0	HEPH	0.1562064385466181
0	HERC2	0.17095030544020318
0	HGF	0.38359171097793165
0	HTR2A	0.03681913506015133
0	HYDIN	0.25954220958755986
0	IGHM	0.16171817552264695
0	IGKV2-30	0.040059156863817086
0	KCNT2	0.1030448884925696
0	KIR2DL1	0.3743870208532736
0	KMT2C	0.043608612518239845
0	KRT31	0.4012936743170763
0	LCT	0.24328699252645358
0	LRP2	0.11317096255122194
0	LVRN	0.29268946423048076
0	MAGEC1	0.10661875812662869
0	MAP7D3	0.28537519402908695
0	MARCO	0.2789347204120217
0	MC5R	0.009301464950567872
0	MCM10	0.11929641465821778
0	MDGA1	0.39463401306714063
0	MED1	0.5
0	MED30	0.23975006109347674
0	MPEG1	0.07652094207940999
0	MRPL14	0.5
0	MSANTD4	0.5
0	MUC21	0.19323811538561636
0	MYH14	0.39463401306714063
0	NAV3	0.03862534931447369
0	NELL1	0.3628604926041558
0	NLGN4X	0.25560586807624847
0	NLRP3	0.3126030867116312
0	NTRK3	0.4846977534883144
0	OR10C1	0.4115316368790607
0	OR14A16	0.310785851084051
