	gene	pvalue
0	ABCA13	0.19628495016204234
0	ABCG8	0.3927473735591771
0	ACER2	0.5
0	ACTRT1	0.009301464950567872
0	ADAM18	0.5
0	ADAMTSL3	0.08346322631821207
0	ADGRE3	0.5
0	AHNAK	0.4729611103208812
0	ALPK1	0.007009638556979976
0	AMER1	0.42225963373647
0	ANK2	0.15352456457347552
0	ANKRD35	0.3094204656987553
0	ANO4	0.19926995376718654
0	ANXA10	0.5
0	APOB	0.09831078360078865
0	ARMCX2	0.40683185788339593
0	ASTN2	0.0008055586840938087
0	ATP8B4	0.42225963373647
0	ATRX	0.37881036184169825
0	BPIFB4	0.2704344785732706
0	BRINP2	0.5
0	BRINP3	0.32961442044279843
0	BRWD3	0.33199717313511784
0	BUB1B	0.36183680491588155
0	C9	0.03681913506015133
0	C9orf131	0.5
0	CACNA1E	0.15171494493914583
0	CACNA2D4	0.04117610752640338
0	CALCR	0.5
0	CARD6	0.33250277105101456
0	CASR	0.5
0	CCDC141	0.37455956650029765
0	CCNB3	0.5
0	CDH18	0.41491209112897753
0	CDH23	0.40868066569258843
0	CDH8	0.24512864538738016
0	CFAP61	0.04133112602835927
0	CHRNA4	0.2065880754936562
0	CITED2	0.5
0	CNTNAP5	0.40662795599321366
0	COL12A1	0.40129367431707624
0	COL24A1	0.3388002402122044
0	COL4A5	0.5
0	COL6A2	0.5
0	COPS5	0.5
0	CPN1	0.040059156863817086
0	CSMD2	0.4092280763571864
0	CSMD3	0.40100884214781696
0	CT47B1	0.5
0	CTD-2135J3.4	0.5
0	DCAF8L1	0.42505336956926293
0	DLGAP1	0.015191410988288745
0	DMBT1	0.3106693938853149
0	DNAH3	0.2517573552131357
0	DNAH7	0.07955886411565055
0	DPYSL5	0.5
0	DSC1	0.5
0	DSP	0.41912824319291314
0	DUSP27	0.30493744951088564
0	DYNC1H1	0.36218601124407174
0	DYSF	0.2081949157723294
0	EMG1	0.5
0	ENPP1	0.5
0	ERCC5	0.4155852047708812
0	EVC2	0.5
0	FAM135A	0.40683185788339593
0	FASTKD3	0.2071080891212626
