	gene	pvalue
0	ABCA13	0.296468169023504
0	ABCG8	0.382797241997882
0	ACER2	0.5
0	ACTRT1	0.0002748200561278348
0	ADAM18	0.5
0	ADAMTSL3	0.018444212853524936
0	ADGRE3	0.5
0	AHNAK	0.2034236828677623
0	ALPK1	0.07445733658938286
0	ANK2	0.116397376161536
0	ANKRD35	0.2500921285353972
0	ANXA10	0.5
0	ASB12	0.36183680491588155
0	ASTN2	0.0012483729591312052
0	ATP8B4	0.4115316368790607
0	BPIFB4	0.2500921285353972
0	BRWD3	0.4371835305814459
0	C9orf131	0.5
0	CACNA1C	0.3202763604854237
0	CCDC141	0.34926767915166934
0	CCNB3	0.5
0	CDH18	0.11858021694350473
0	CDH23	0.00945177150556067
0	CDH8	0.32736042300928847
0	CFAP61	0.03535057243299149
0	CHRNA4	0.2990807263417641
0	CNTNAP5	0.2818946677393794
0	COL24A1	0.39554075646039083
0	COL4A5	0.5
0	COL6A6	0.28884009267043664
0	COPS5	0.5
0	CPN1	0.011671101006445408
0	CSMD2	0.24590850848303486
0	CSMD3	0.43546255244050897
0	DCAF8L1	0.0007480821448727746
0	DLGAP1	0.016503128830616255
0	DMBT1	0.4386852780320717
0	DNAH3	0.2962367302135528
0	DNAH7	0.04578992364693811
0	DSC1	0.5
0	DUSP27	0.3202763604854237
0	DYSF	0.20196064575447503
0	EMG1	0.5
0	ESX1	0.09521513191276199
0	EVC2	0.5
0	FLG2	0.3620204685377769
0	FLT1	0.5
0	GFRAL	0.41912824319291314
0	GNG5	0.5
0	GRAMD1C	0.3085375387259869
0	GRIA1	0.41912824319291314
0	GYLTL1B	0.5
0	HCN1	0.29297615128714777
0	HDAC9	0.06406354823739109
0	HIST1H2AL	0.5
0	HUWE1	0.008559119852395075
0	HYDIN	0.39704489643726176
0	ICE1	0.3584002584972473
0	IGFBP6	0.5
0	KCNA5	0.5
0	KCNK10	0.42756607029235294
0	KIAA0556	0.5
0	KIF2B	0.2633516408648926
0	KIF5C	0.5
0	KLHL12	0.5
0	LHCGR	0.2508380650461866
0	LILRB1	0.40683185788339593
0	LRBA	0.4299621266191068
0	LRP1B	0.49682353747285785
0	LRRIQ1	0.35821221521867946
0	LUC7L2	0.5
0	MMS22L	0.4155852047708812
0	MOSPD1	0.5
0	MROH2B	0.2673175898654543
0	MUC16	0.39338977233648664
0	MXRA5	0.44776645158352185
0	MYH13	0.2087417730604001
0	MYH15	0.27631769513042354
0	MYO18B	0.35708163975573487
0	MYO7B	0.4400842274533627
0	NALCN	0.020168696873784423
0	NBPF9	0.5
0	NEFM	0.5
0	NELL1	0.4155852047708812
0	NLRP3	0.3358028047330829
0	NPY2R	0.1029516053660342
0	NRXN2	0.4115316368790607
0	NUP205	0.41912824319291314
0	NYX	0.05440471502027289
0	OR10AG1	0.5
0	PAK7	0.4012936743170763
0	PAX1	0.5
0	PCDHA4	0.22979869309197115
0	PCDHGA7	0.5
0	PDYN	0.3442498705483172
0	PFKFB1	0.020613416668581838
0	PIK3CG	0.3746742028792014
0	PLEC	0.3340592895250818
0	PXDNL	0.28159778418602627
0	PYHIN1	0.4155852047708812
0	RANBP2	0.5
0	RFX4	0.40683185788339593
0	RPL10L	0.029673219395959925
0	RYR2	0.0429364514234009
0	SDHAF3	0.5
0	SHC2	0.020613416668581838
0	SIGLEC1	0.35407172723963276
0	SLC44A4	0.5
0	SLC44A5	0.06583400801140711
0	SLIT2	0.4224556814730702
0	SNAP91	0.37881036184169825
0	SND1	0.5
0	SORBS1	0.5
0	SPTA1	0.3721140545112537
0	SYNE1	0.03437333254500306
0	TBC1D12	0.5
0	TG	0.33664498982999785
0	TMEM132D	0.15806306880970966
0	TNN	0.20182214208482668
0	TNR	0.1079451971764468
0	TP53	0.4116349523394145
0	TSPYL2	0.1029516053660342
0	UNC5D	0.29740866621438145
0	UTP14A	0.1029516053660342
0	UTRN	0.2712640491532246
0	ZC2HC1C	0.5
0	ZNF208	0.21731729187290982
0	ZNF536	0.33753890425729716
0	ZNF713	0.5
0	ZNF783	0.5
0	ZNF804A	0.3811931817178422
0	ZP4	0.37881036184169825
0	ADAMTS18	0.3514587816226833
0	ADGRF2	0.03681913506015133
0	ALPP	0.5
0	APOC1	0.5
0	BRCA2	0.4371835305814459
0	BRINP3	0.3122951483030725
0	BSN	0.3003527666741248
0	C5orf46	0.5
0	C6	0.39209561470080956
0	CACNG3	0.5
0	CADPS	0.18303033762813087
0	CALM2	0.5
0	CALR	0.3085375387259869
0	CCDC7	0.03681913506015133
0	CCDC89	0.5
0	CDH10	0.3314394799749443
0	CHD3	0.5
0	CHL1	0.02675465548810461
0	CTNNA2	0.19587256027262961
0	CTNND2	0.029830236781157156
0	CYP11B1	0.2234104383543487
0	DCC	0.31910085057890614
0	DOCK2	0.3679331938901811
0	ELAVL2	0.38641499634222376
0	ERICH3	0.1486532703581706
0	FAM83B	0.004146949039580064
0	FIGN	0.42225963373647
0	FLNC	0.3474792419869271
0	FRS3	0.5
0	FXYD1	0.5
0	GABRA4	0.1029516053660342
0	GABRG1	0.3927473735591771
0	GNAI3	0.5
0	GRIN3A	0.01090505957186117
0	GRIN3B	0.5
0	GRM5	0.3033446962858982
0	GYS2	0.040059156863817086
0	IGKV1D-43	0.5
0	IRS4	0.2193557323153788
0	ITGA11	0.5
0	ITGAX	0.5
0	KCNN2	0.3027883081676731
0	KCNQ2	0.4115316368790607
0	KIAA1549	0.39554075646039083
0	LAMA1	0.2638798615816951
0	LIPM	0.5
0	LRP1	0.0001919252976144527
0	MCOLN3	0.5
0	MDH1	0.5
0	MDN1	0.26900058202844784
0	MGAM	0.29510723096748864
0	MMP17	0.5
0	MMP2	0.5
0	MUC5B	0.2905769006401151
0	NCKAP5	0.30550231110032505
0	NEB	0.06500447473378024
0	NHS	0.42505336956926293
0	NKX6-2	0.5
0	NOX5	0.5
0	NTRK3	0.33336982516738684
0	OR10Q1	3.0755445176363945e-05
0	OR4C16	0.4012936743170763
0	OR4K14	0.4155852047708812
0	OR6C6	0.3312602917700287
0	PARD3B	0.5
0	PARK2	0.40683185788339593
0	PCDH17	0.4426169572366008
0	PDIK1L	0.5
0	PDZRN3	0.3717103488476262
0	PIGG	0.05440471502027284
0	PPIG	0.5
0	PRSS23	0.5
0	RAB10	0.5
0	RGAG1	0.09300686713003437
0	RIMS2	0.3037450116362004
0	RPL14	0.5
0	RTTN	0.3283209671310283
0	RYR3	0.12176988738863209
0	SCN2A	0.3955738916134934
0	SCN3A	0.349547965552112
0	SCN7A	0.30989819424706655
0	SFT2D2	0.5
0	SH2D6	0.5
0	SI	0.02569530436842718
0	SIM1	0.3638617733347751
0	SLC12A1	0.2934730366598045
0	SLC12A3	0.42225963373647
0	SLC39A12	0.441391595576413
0	SNTG2	0.05440471502027289
0	SPTB	0.4371835305814459
0	SVIL	0.09521513191276199
0	TDRD5	0.42505336956926293
0	TENM3	0.20340650871048654
0	THBS2	0.43556574579857915
0	THSD7B	0.2849004139139516
0	TIAM1	0.4319158714273632
0	UBE2V2	0.5
0	UGT3A1	0.35750032734404463
0	UHRF1BP1	0.23975006109347674
0	UNC79	0.3446554107115113
0	VCAN	0.35789032585027836
0	VWF	0.2701309240215096
0	WDPCP	0.5
0	ZFPM2	0.022431135576457397
0	ZNF676	0.2476844490095365
0	ADGRB3	0.4565580400361872
0	ADGRV1	0.012610151302695372
0	ANKRD30B	0.5
0	ANKS1A	0.5
0	ANO4	0.38641499634222376
0	CASC5	0.32610508630324986
0	CELSR3	0.18490647283969358
0	CENPF	0.382797241997882
0	COL3A1	0.2899721244514857
0	CPT2	0.23975006109347674
0	DOCK10	0.42505336956926293
0	DOCK11	0.20792399137196238
0	EPB41L3	0.3283209671310283
0	ESPNL	0.3759148170229246
0	FBN2	0.281761858238859
0	FCRL5	0.43556574579857915
0	FSCB	0.27705656503472276
0	GRID1	0.27166346710664635
0	GRM2	0.23975006109347674
0	GRM8	0.20379319907252974
0	HERC2	0.1387465146300953
0	IGSF21	0.28688770181636525
0	IQGAP3	0.4115316368790607
0	KIAA1462	0.36944134018176367
0	LCE2D	0.06680720126885807
