	gene	pvalue
0	A2ML1	0.2508380650461866
0	ABLIM2	0.34154569915480437
0	ACE	0.4115316368790607
0	ACIN1	0.4012936743170763
0	ACVR2A	0.350002128705594
0	ADAMTS1	0.23975006109347669
0	ADCY3	0.5
0	ADD3	0.4115316368790607
0	ADGRF4	0.5
0	ADGRV1	0.31960371545230293
0	AFAP1	0.3954411614703121
0	AFF2	0.43381616738909634
0	AFG3L2	0.5
0	AKAP13	0.3060246062019617
0	AKAP9	0.2531230997143668
0	AKR7A3	0.5
0	ALAS1	0.3759148170229246
0	ALDOC	0.3759148170229246
0	ALMS1	0.37487625384011314
0	ALPL	0.03681913506015133
0	ANGPT2	0.5
0	ANK2	0.3902977778486636
0	ANK3	0.34270133389546564
0	ANKIB1	0.5
0	ANKMY1	0.08817458587695776
0	ANKRD30A	0.5
0	ANKS6	0.40683185788339593
0	AP3B1	0.4155852047708812
0	AP4E1	0.5
0	AP5B1	0.5
0	APBA2	0.2500921285353972
0	ARAP2	0.28903198187018936
0	ARFGEF1	0.4155852047708812
0	ARFGEF2	0.3658186225057092
0	ARHGAP31	0.3334772643464097
0	ARHGAP33	0.2865689566920382
0	ARHGAP4	0.5
0	ARHGEF10L	0.4012936743170763
0	ARHGEF4	0.07445733658938286
0	ARHGEF40	0.36470279123834887
0	ARID1A	0.0194067816442193
0	ARID2	0.35407172723963276
0	ARID5B	0.5
0	ARPC1B	0.5
0	ASTE1	0.40683185788339593
0	ASXL1	0.42505336956926293
0	ATP10A	0.24588385038026145
0	ATP7A	0.5
0	ATP9A	0.5
0	ATP9B	0.5
0	ATXN7	0.3694413401817636
0	AVPR1A	0.40683185788339593
0	AXIN1	0.017399608104932157
0	B2M	0.3183286832181939
0	B3GALT4	0.5
0	B3GAT1	0.3759148170229246
0	B3GAT3	0.5
0	BCL9	0.2704344785732706
0	BIRC6	0.28654959556216786
0	BMP1	0.40683185788339593
0	BMP3	0.5
0	BMP4	0.5
0	BMPR1B	0.5
0	BPTF	0.018444212853524936
0	BRD1	0.5
0	BRD9	0.5
0	BRINP3	0.349547965552112
0	BRWD1	0.08346322631821201
0	BSN	0.4120704478709426
0	C17orf74	0.4018923531265508
0	C5orf42	0.349547965552112
0	CABLES2	0.5
0	CACNA1E	0.41362967328135564
0	CACNA1G	0.5
0	CACNA1S	0.20017729300712228
0	CACNA2D3	0.31867594411696853
0	CAMSAP1	0.5
0	CAMSAP2	0.12989822983897092
0	CAMTA1	0.3774253059172152
0	CASZ1	0.4400842274533627
0	CBLL1	0.5
0	CCDC141	0.3954411614703121
0	CCDC178	0.41912824319291314
0	CCDC73	0.3445782583896758
0	CCDC80	0.40683185788339593
0	CCDC86	0.5
0	CCKBR	0.4115316368790607
0	CD200R1L	0.5
0	CDC42BPG	0.42505336956926293
0	CDH1	0.3205489537775692
0	CDH24	0.5
0	CDHR1	0.2541657867760727
0	CDK5RAP2	0.2934730366598045
0	CDYL2	0.5
0	CELSR1	0.010905059571861185
0	CELSR3	0.35172319555669873
0	CENPC	0.006664164390408773
0	CENPF	0.37496653073003916
0	CEP131	0.5
0	CEP290	0.5
0	CFAP46	0.4115316368790607
0	CFTR	0.5
0	CHD3	0.1508497912391739
0	CHD5	0.17891563902452512
0	CHD6	0.3283134066546524
0	CHRDL1	0.5
0	CHST5	0.40683185788339593
0	CHST6	0.05440471502027289
0	CIC	0.43381616738909634
0	CILP2	0.5
0	CIT	0.40729034832177335
0	CKAP5	0.4115316368790607
0	CLASP2	0.5
0	CLIP1	0.2065880754936562
0	CNR1	0.5
0	CNTLN	0.4386852780320717
0	CNTN6	0.3631858949831651
