hugo_symbol	n.x	status	n.y	perc
AKR1A1	1	AfrAmr	2	50
ANKS6	1	AfrAmr	1	100
ANXA10	1	AfrAmr	1	100
AP5M1	1	AfrAmr	1	100
ARHGAP42	1	AfrAmr	2	50
ARID3B	1	AfrAmr	1	100
ASB15	1	AfrAmr	1	100
BHMT	1	AfrAmr	2	50
BRPF3	1	AfrAmr	1	100
C5orf56	1	AfrAmr	1	100
CCPG1	1	AfrAmr	1	100
CDCA2	2	AfrAmr	2	100
COPS8	1	AfrAmr	1	100
CORIN	1	AfrAmr	3	33.33333333333333
CTSA	1	AfrAmr	3	33.33333333333333
DOCK7	1	AfrAmr	1	100
DROSHA	1	AfrAmr	1	100
EHMT1	1	AfrAmr	1	100
ENTPD2	1	AfrAmr	1	100
FAM47E-STBD1	2	AfrAmr	1	200
FBXL8	1	AfrAmr	1	100
GLIS2	1	AfrAmr	1	100
HEATR5B	1	AfrAmr	4	25
HECTD1	1	AfrAmr	1	100
HTATSF1	1	AfrAmr	1	100
IGSF10	1	AfrAmr	2	50
ITPR1	1	AfrAmr	1	100
KCNJ14	1	AfrAmr	1	100
KRT1	1	AfrAmr	1	100
KRT71	1	AfrAmr	1	100
LARP7	1	AfrAmr	1	100
LENEP	1	AfrAmr	1	100
LFNG	1	AfrAmr	1	100
LRP1B	1	AfrAmr	1	100
MAP4K4	1	AfrAmr	2	50
MED1	1	AfrAmr	2	50
MPO	1	AfrAmr	1	100
MUC4	1	AfrAmr	2	50
MXRA5	1	AfrAmr	2	50
MYCBP2	1	AfrAmr	2	50
NMT2	1	AfrAmr	2	50
NT5M	1	AfrAmr	1	100
NUP133	1	AfrAmr	1	100
NUTM2D	1	AfrAmr	1	100
PHF5A	1	AfrAmr	1	100
PLEKHA2	1	AfrAmr	1	100
PLEKHG3	1	AfrAmr	1	100
PVRIG	1	AfrAmr	1	100
RAG1	1	AfrAmr	1	100
RBM33	1	AfrAmr	2	50
RBMXL1	1	AfrAmr	1	100
SCARA3	1	AfrAmr	1	100
SLC35F1	1	AfrAmr	1	100
SMG5	1	AfrAmr	1	100
SMURF1	1	AfrAmr	1	100
THBS1	1	AfrAmr	2	50
TINAG	1	AfrAmr	1	100
TNRC6B	1	AfrAmr	2	50
UBP1	1	AfrAmr	1	100
VHL	1	AfrAmr	6	16.666666666666664
ZMIZ1	1	AfrAmr	2	50
ZNF337	1	AfrAmr	1	100
ATP7B	1	AfrAmr	1	100
C17orf74	1	AfrAmr	1	100
C19orf54	1	AfrAmr	2	50
EGR2	1	AfrAmr	1	100
GAL3ST1	1	AfrAmr	1	100
GPRC5B	1	AfrAmr	1	100
HNF4G	1	AfrAmr	1	100
HSPA8	1	AfrAmr	2	50
LRP2	1	AfrAmr	7	14.285714285714285
MACF1	1	AfrAmr	2	50
MECOM	1	AfrAmr	1	100
PRAM1	1	AfrAmr	1	100
RD3	1	AfrAmr	1	100
SFPQ	1	AfrAmr	1	100
SIRPA	1	AfrAmr	1	100
SSC5D	1	AfrAmr	1	100
TACR3	1	AfrAmr	1	100
TBC1D8B	1	AfrAmr	2	50
ZFYVE26	2	AfrAmr	1	200
AAR2	1	AfrAmr	1	100
AARS	1	AfrAmr	1	100
ADAM11	1	AfrAmr	1	100
ANGEL2	1	AfrAmr	1	100
ATP8A1	1	AfrAmr	1	100
AVIL	1	AfrAmr	1	100
BUB1B	1	AfrAmr	2	50
C3orf38	1	AfrAmr	1	100
CACNA1G	1	AfrAmr	1	100
CTBP2	1	AfrAmr	1	100
DAPL1	1	AfrAmr	1	100
DDX60L	1	AfrAmr	2	50
DIP2C	1	AfrAmr	1	100
EPS15L1	1	AfrAmr	1	100
ERICH6	1	AfrAmr	1	100
FOXRED2	1	AfrAmr	1	100
GPR179	1	AfrAmr	1	100
GRSF1	1	AfrAmr	1	100
HSD17B2	1	AfrAmr	1	100
IQGAP3	1	AfrAmr	1	100
KIAA1549	1	AfrAmr	3	33.33333333333333
KIF7	1	AfrAmr	1	100
KMT2C	1	AfrAmr	4	25
KRT28	1	AfrAmr	1	100
LARS2	1	AfrAmr	1	100
LDHAL6B	1	AfrAmr	1	100
LRIG3	1	AfrAmr	2	50
MCM2	1	AfrAmr	1	100
MPRIP	1	AfrAmr	1	100
MTDH	1	AfrAmr	1	100
MYCBP2	1	AfrAmr	2	50
NEU1	1	AfrAmr	1	100
NPIPA2	1	AfrAmr	1	100
NUMA1	1	AfrAmr	1	100
NWD1	1	AfrAmr	1	100
PAPD4	1	AfrAmr	1	100
PDIA6	1	AfrAmr	1	100
PIDD1	1	AfrAmr	1	100
PKHD1	1	AfrAmr	2	50
PLEKHA3	1	AfrAmr	1	100
POC1B	1	AfrAmr	1	100
PRKDC	1	AfrAmr	2	50
PSD3	1	AfrAmr	1	100
RICTOR	1	AfrAmr	1	100
RNF6	1	AfrAmr	1	100
RORA	1	AfrAmr	1	100
RPS19	1	AfrAmr	1	100
SH2D6	1	AfrAmr	1	100
SLC9A8	1	AfrAmr	1	100
SLIT1	1	AfrAmr	1	100
SYCE1	1	AfrAmr	1	100
TACC2	1	AfrAmr	2	50
TCOF1	1	AfrAmr	2	50
TMC5	1	AfrAmr	1	100
TNFRSF11B	1	AfrAmr	1	100
TNNT2	1	AfrAmr	1	100
TRPC4	1	AfrAmr	1	100
TTN	1	AfrAmr	15	6.666666666666667
UBR2	2	AfrAmr	1	200
UNC13C	1	AfrAmr	1	100
