hugo_symbol	n.x	status	n.y	perc
AKR1A1	1	AfrAmr	1	100
AMD1	1	AfrAmr	1	100
ANKS6	1	AfrAmr	1	100
ANXA10	1	AfrAmr	1	100
AP5M1	1	AfrAmr	1	100
ARHGAP42	1	AfrAmr	2	50
ARVCF	1	AfrAmr	1	100
ASB15	1	AfrAmr	1	100
B3GALT4	1	AfrAmr	1	100
BHMT	1	AfrAmr	2	50
BRPF3	1	AfrAmr	1	100
C2orf78	1	AfrAmr	1	100
C5orf56	1	AfrAmr	1	100
CCPG1	1	AfrAmr	1	100
CELSR2	1	AfrAmr	4	25
CLDN5	1	AfrAmr	1	100
COPS8	1	AfrAmr	1	100
CORIN	1	AfrAmr	3	33.33333333333333
CREB3L2	1	AfrAmr	1	100
CTSA	1	AfrAmr	3	33.33333333333333
DDC	1	AfrAmr	1	100
DOCK7	1	AfrAmr	1	100
DROSHA	1	AfrAmr	2	50
EHMT1	1	AfrAmr	1	100
ENTPD2	1	AfrAmr	1	100
FAM47E-STBD1	2	AfrAmr	1	200
FBXL8	1	AfrAmr	1	100
GLIS2	1	AfrAmr	2	50
HEATR5B	1	AfrAmr	4	25
HECTD1	1	AfrAmr	1	100
HTATSF1	1	AfrAmr	1	100
ICAM3	1	AfrAmr	1	100
ITPR1	1	AfrAmr	2	50
KCNJ14	1	AfrAmr	1	100
KRT71	1	AfrAmr	1	100
LARP7	1	AfrAmr	1	100
LENEP	1	AfrAmr	1	100
LFNG	1	AfrAmr	1	100
LRP1B	1	AfrAmr	1	100
MAP4K4	1	AfrAmr	2	50
MED1	1	AfrAmr	3	33.33333333333333
MPO	1	AfrAmr	1	100
MROH5	1	AfrAmr	1	100
MUC4	1	AfrAmr	4	25
MXRA5	1	AfrAmr	2	50
MYCBP2	1	AfrAmr	2	50
MYH14	1	AfrAmr	2	50
NLRP14	1	AfrAmr	2	50
NMT2	1	AfrAmr	2	50
NOTCH1	1	AfrAmr	1	100
NUP133	1	AfrAmr	1	100
NUTM2D	1	AfrAmr	1	100
