hugo_symbol	n.x	status	n.y	perc
ABCB1	1	AfrAmr	8	12.5
ABCB5	2	AfrAmr	6	33.33333333333333
ABCG4	1	AfrAmr	2	50
ACAA2	1	AfrAmr	1	100
ACTR5	1	AfrAmr	2	50
ADAM2	1	AfrAmr	6	16.666666666666664
ADAM33	1	AfrAmr	1	100
ADAMTS13	1	AfrAmr	2	50
ADAMTS16	1	AfrAmr	3	33.33333333333333
ADAMTS18	1	AfrAmr	4	25
ADAMTSL3	1	AfrAmr	8	12.5
ADGRB3	1	AfrAmr	4	25
ADGRE1	1	AfrAmr	3	33.33333333333333
ADGRG4	1	AfrAmr	13	7.6923076923076925
ADGRL3	1	AfrAmr	8	12.5
ADH4	1	AfrAmr	1	100
ADRA2B	1	AfrAmr	2	50
AEBP2	1	AfrAmr	1	100
AFF2	1	AfrAmr	12	8.333333333333332
AGAP3	2	AfrAmr	3	66.66666666666666
AGXT	1	AfrAmr	1	100
AK9	1	AfrAmr	1	100
ALDH1A2	1	AfrAmr	3	33.33333333333333
ALDH1L1	1	AfrAmr	5	20
ALOX5AP	1	AfrAmr	2	50
AMELY	1	AfrAmr	1	100
AMOTL1	1	AfrAmr	1	100
AMPH	1	AfrAmr	4	25
ANAPC4	1	AfrAmr	4	25
ANK2	1	AfrAmr	14	7.142857142857142
ANKRD35	1	AfrAmr	3	33.33333333333333
ANLN	1	AfrAmr	3	33.33333333333333
ANP32E	1	AfrAmr	1	100
AP3D1	1	AfrAmr	1	100
APOB	1	AfrAmr	8	12.5
APTX	1	AfrAmr	1	100
ARCN1	1	AfrAmr	1	100
ARHGEF5	1	AfrAmr	1	100
ARPIN	1	AfrAmr	1	100
ARSF	1	AfrAmr	2	50
ASCC3	1	AfrAmr	3	33.33333333333333
ASTL	1	AfrAmr	2	50
ASTN1	1	AfrAmr	14	7.142857142857142
ATN1	1	AfrAmr	1	100
ATP11C	1	AfrAmr	2	50
ATP2B3	1	AfrAmr	2	50
ATP8B3	1	AfrAmr	2	50
ATXN3	1	AfrAmr	1	100
B3GNT6	1	AfrAmr	2	50
BAAT	1	AfrAmr	2	50
BCL11B	1	AfrAmr	8	12.5
BCR	1	AfrAmr	2	50
BDH2	1	AfrAmr	1	100
BIRC6	4	AfrAmr	6	66.66666666666666
BLMH	2	AfrAmr	1	200
BMPER	1	AfrAmr	3	33.33333333333333
BMS1	1	AfrAmr	4	25
BNC1	1	AfrAmr	3	33.33333333333333
BTBD7	1	AfrAmr	2	50
C10orf71	1	AfrAmr	5	20
C11orf63	1	AfrAmr	2	50
C15orf27	1	AfrAmr	3	33.33333333333333
C1orf141	1	AfrAmr	2	50
C3orf62	1	AfrAmr	1	100
C7	1	AfrAmr	3	33.33333333333333
CACNB2	1	AfrAmr	9	11.11111111111111
CACNG3	1	AfrAmr	2	50
CADPS	1	AfrAmr	5	20
CASP1	1	AfrAmr	1	100
CASP9	1	AfrAmr	1	100
CCDC102B	1	AfrAmr	3	33.33333333333333
CCDC129	1	AfrAmr	5	20
CD209	1	AfrAmr	1	100
CD6	1	AfrAmr	5	20
CDC23	1	AfrAmr	1	100
CDH13	1	AfrAmr	3	33.33333333333333
CDK17	1	AfrAmr	1	100
CDS1	1	AfrAmr	1	100
CENPA	1	AfrAmr	1	100
CEP152	1	AfrAmr	3	33.33333333333333
CEP162	1	AfrAmr	4	25
CFC1	1	AfrAmr	2	50
CHN2	1	AfrAmr	2	50
CHST2	1	AfrAmr	2	50
CLSTN2	1	AfrAmr	5	20
CNBD1	1	AfrAmr	3	33.33333333333333
CNTNAP2	1	AfrAmr	10	10
CNTNAP5	2	AfrAmr	9	22.22222222222222
COL11A1	1	AfrAmr	15	6.666666666666667
COL21A1	1	AfrAmr	7	14.285714285714285
COL22A1	1	AfrAmr	4	25
COL4A5	1	AfrAmr	8	12.5
COL6A3	1	AfrAmr	8	12.5
COL6A6	1	AfrAmr	6	16.666666666666664
CORO1A	1	AfrAmr	2	50
CORO2B	1	AfrAmr	1	100
CR1L	1	AfrAmr	1	100
CREB3L3	1	AfrAmr	4	25
CRISPLD2	1	AfrAmr	2	50
CSMD1	1	AfrAmr	16	6.25
CSMD2	1	AfrAmr	10	10
CSMD3	1	AfrAmr	26	3.8461538461538463
CSTL1	1	AfrAmr	2	50
CTIF	1	AfrAmr	1	100
CTNNA3	1	AfrAmr	7	14.285714285714285
CXorf21	1	AfrAmr	3	33.33333333333333
CYP11B2	1	AfrAmr	5	20
