hugo_symbol	n.x	status	n.y	perc
ANKRD24	1	AfrAmr	2	50
APCDD1	1	AfrAmr	1	100
ARHGEF10	1	AfrAmr	1	100
C18orf8	1	AfrAmr	1	100
CDKN2A	1	AfrAmr	2	50
DDHD2	1	AfrAmr	1	100
DDX60	1	AfrAmr	1	100
DENND2A	1	AfrAmr	1	100
GPR156	1	AfrAmr	2	50
HDLBP	1	AfrAmr	1	100
KRAS	1	AfrAmr	3	33.33333333333333
NAPSA	1	AfrAmr	1	100
NELFE	1	AfrAmr	1	100
OXSM	1	AfrAmr	1	100
PTHLH	1	AfrAmr	1	100
RADIL	1	AfrAmr	1	100
RPTOR	1	AfrAmr	1	100
RYR1	1	AfrAmr	2	50
SLC27A6	1	AfrAmr	1	100
KAT6B	1	AfrAmr	1	100
ACHE	1	AfrAmr	1	100
ACTN3	1	AfrAmr	1	100
ADGRG5	1	AfrAmr	1	100
AMPH	1	AfrAmr	1	100
AP5B1	1	AfrAmr	1	100
APBA1	1	AfrAmr	1	100
APBA2	1	AfrAmr	1	100
ARHGEF18	1	AfrAmr	1	100
BIN2	1	AfrAmr	1	100
CAMK4	1	AfrAmr	1	100
CDH22	1	AfrAmr	2	50
COL25A1	1	AfrAmr	1	100
CRB2	1	AfrAmr	1	100
CYP4F11	1	AfrAmr	1	100
DLC1	1	AfrAmr	1	100
DNAH2	1	AfrAmr	1	100
DNAH7	1	AfrAmr	1	100
DST	1	AfrAmr	1	100
FANCC	1	AfrAmr	1	100
FASTK	1	AfrAmr	1	100
FBXO16	1	AfrAmr	1	100
HAND2	1	AfrAmr	1	100
HEATR5B	1	AfrAmr	1	100
HHIPL2	1	AfrAmr	1	100
HIST1H4B	1	AfrAmr	1	100
HOXC11	1	AfrAmr	1	100
HSPA8	1	AfrAmr	1	100
IL27	1	AfrAmr	1	100
KRAS	1	AfrAmr	3	33.33333333333333
KRTAP26-1	1	AfrAmr	1	100
LAP3	1	AfrAmr	1	100
MAPK10	1	AfrAmr	1	100
MTMR12	1	AfrAmr	1	100
NLGN3	1	AfrAmr	1	100
NPAP1	1	AfrAmr	1	100
OR6F1	1	AfrAmr	1	100
OR8H2	1	AfrAmr	1	100
QRICH2	1	AfrAmr	1	100
RBM5	1	AfrAmr	1	100
RYR1	1	AfrAmr	2	50
SAMD7	1	AfrAmr	2	50
SPATA20	1	AfrAmr	1	100
SRMS	1	AfrAmr	1	100
SZT2	1	AfrAmr	1	100
TBX20	1	AfrAmr	1	100
TMEM130	1	AfrAmr	1	100
TP53	1	AfrAmr	2	50
TUSC3	1	AfrAmr	1	100
WBSCR27	1	AfrAmr	1	100
ZBED9	1	AfrAmr	1	100
ZEB2	2	AfrAmr	1	200
ZNF202	1	AfrAmr	1	100
ZNF536	1	AfrAmr	1	100
ZNF799	1	AfrAmr	1	100
ZRANB3	1	AfrAmr	1	100
ATP8A1	1	AfrAmr	1	100
CABP5	1	AfrAmr	1	100
CCT3	1	AfrAmr	1	100
CDH10	1	AfrAmr	1	100
CDKN2A	1	AfrAmr	2	50
CEP170B	1	AfrAmr	1	100
CHST11	1	AfrAmr	1	100
CLEC4M	1	AfrAmr	1	100
CSK	1	AfrAmr	1	100
CUL9	1	AfrAmr	1	100
DDR2	1	AfrAmr	1	100
ERBB4	1	AfrAmr	1	100
ERCC5	1	AfrAmr	1	100
FLT3	1	AfrAmr	1	100
FOXS1	1	AfrAmr	1	100
GIF	1	AfrAmr	1	100
HELQ	1	AfrAmr	1	100
HIST1H4E	1	AfrAmr	1	100
IP6K2	1	AfrAmr	1	100
KRAS	1	AfrAmr	3	33.33333333333333
MAP2	1	AfrAmr	1	100
MATN4	1	AfrAmr	1	100
MED1	1	AfrAmr	2	50
MTTP	1	AfrAmr	1	100
MUC1	1	AfrAmr	1	100
MYO3A	1	AfrAmr	1	100
NKAPL	1	AfrAmr	1	100
NLRP3	1	AfrAmr	1	100
OBSL1	1	AfrAmr	1	100
OR10K1	1	AfrAmr	1	100
PCDHB3	1	AfrAmr	1	100
PRDM13	1	AfrAmr	1	100
RBM28	1	AfrAmr	1	100
RREB1	1	AfrAmr	1	100
SHROOM2	1	AfrAmr	1	100
SLCO6A1	1	AfrAmr	1	100
STAG2	1	AfrAmr	2	50
TP53	1	AfrAmr	2	50
TRMT1	1	AfrAmr	1	100
UBQLN3	1	AfrAmr	1	100
UGP2	1	AfrAmr	1	100
VCAN	1	AfrAmr	1	100
ZNF486	1	AfrAmr	1	100
ZNF75A	1	AfrAmr	1	100
ZNF84	1	AfrAmr	1	100
ZSCAN1	1	AfrAmr	1	100
ALDH1A3	1	AfrAmr	1	100
ASB15	1	AfrAmr	1	100
ASTN2	1	AfrAmr	1	100
AXL	1	AfrAmr	1	100
BDP1	1	AfrAmr	1	100
CD33	1	AfrAmr	1	100
CFAP58	1	AfrAmr	1	100
CHST1	1	AfrAmr	1	100
CILP2	1	AfrAmr	1	100
COL5A1	1	AfrAmr	1	100
CSMD1	1	AfrAmr	1	100
CSMD2	1	AfrAmr	1	100
DDO	1	AfrAmr	1	100
DNAH9	1	AfrAmr	1	100
DOCK8	1	AfrAmr	1	100
FRG2B	1	AfrAmr	1	100
GRIK3	1	AfrAmr	1	100
INCENP	1	AfrAmr	1	100
KCNB1	1	AfrAmr	1	100
KDR	1	AfrAmr	1	100
KMT2D	1	AfrAmr	1	100
LAMP2	1	AfrAmr	1	100
MEGF8	1	AfrAmr	1	100
MELK	1	AfrAmr	1	100
NPHS1	1	AfrAmr	1	100
NXPH1	1	AfrAmr	1	100
OR8K5	1	AfrAmr	1	100
PCDHGA8	1	AfrAmr	1	100
POLK	1	AfrAmr	1	100
PTBP2	1	AfrAmr	1	100
PTK2B	1	AfrAmr	1	100
PYGO1	1	AfrAmr	1	100
RALGAPA2	1	AfrAmr	1	100
RCBTB2	1	AfrAmr	1	100
RET	1	AfrAmr	1	100
SLC12A3	1	AfrAmr	1	100
SLC1A3	1	AfrAmr	1	100
SRF	1	AfrAmr	1	100
TGM7	1	AfrAmr	1	100
TYROBP	1	AfrAmr	1	100
WDR59	1	AfrAmr	1	100
ZBTB3	1	AfrAmr	1	100
ZC2HC1A	1	AfrAmr	1	100
ZGRF1	1	AfrAmr	1	100
ZNF480	1	AfrAmr	1	100
ZNF70	1	AfrAmr	1	100
ADAMTS16	1	AfrAmr	1	100
ADAMTS3	1	AfrAmr	1	100
ADCY5	1	AfrAmr	1	100
ADGRE5	1	AfrAmr	1	100
AFF3	1	AfrAmr	1	100
ALOXE3	1	AfrAmr	1	100
AOC2	1	AfrAmr	1	100
ARHGAP32	1	AfrAmr	1	100
ARMC9	1	AfrAmr	1	100
ASRGL1	1	AfrAmr	1	100
ATP12A	1	AfrAmr	1	100
ATP2B2	1	AfrAmr	1	100
B3GALT5	1	AfrAmr	1	100
C10orf71	1	AfrAmr	1	100
C7orf43	1	AfrAmr	1	100
CADM4	1	AfrAmr	1	100
CASP2	1	AfrAmr	1	100
CD96	1	AfrAmr	1	100
CDH22	1	AfrAmr	2	50
CERK	1	AfrAmr	1	100
CLK2	1	AfrAmr	1	100
