hugo_symbol	n.x	status	n.y	perc
AGL	1	AfrAmr	1	100
AKR1A1	1	AfrAmr	2	50
AMD1	1	AfrAmr	1	100
ANKS6	1	AfrAmr	1	100
ANXA10	1	AfrAmr	1	100
AP5M1	1	AfrAmr	1	100
ARHGAP42	1	AfrAmr	2	50
ARID3B	1	AfrAmr	1	100
ASB15	1	AfrAmr	1	100
BHMT	1	AfrAmr	2	50
BRPF3	1	AfrAmr	1	100
C5orf56	1	AfrAmr	1	100
CCPG1	1	AfrAmr	1	100
COPS8	1	AfrAmr	1	100
CORIN	1	AfrAmr	1	100
CTSA	1	AfrAmr	2	50
DDC	1	AfrAmr	1	100
DOCK7	1	AfrAmr	1	100
DROSHA	1	AfrAmr	1	100
EHMT1	1	AfrAmr	1	100
ENTPD2	1	AfrAmr	1	100
FANK1	1	AfrAmr	1	100
FBXL8	1	AfrAmr	1	100
GLIS2	1	AfrAmr	1	100
HEATR5B	1	AfrAmr	4	25
HECTD1	1	AfrAmr	1	100
HTATSF1	1	AfrAmr	1	100
ICAM3	1	AfrAmr	1	100
IGSF10	1	AfrAmr	2	50
ITPR1	1	AfrAmr	1	100
KCNJ14	1	AfrAmr	1	100
KRT1	1	AfrAmr	1	100
LARP7	1	AfrAmr	1	100
LFNG	1	AfrAmr	1	100
LRP1B	1	AfrAmr	1	100
MED1	1	AfrAmr	2	50
MPO	1	AfrAmr	1	100
MUC4	2	AfrAmr	7	28.57142857142857
MXRA5	1	AfrAmr	2	50
MYCBP2	1	AfrAmr	2	50
NMT2	1	AfrAmr	1	100
NT5M	2	AfrAmr	1	200
NUP133	1	AfrAmr	1	100
PHF5A	1	AfrAmr	1	100
PKP1	1	AfrAmr	1	100
PLEKHA2	1	AfrAmr	1	100
PLEKHG3	1	AfrAmr	1	100
PVRIG	1	AfrAmr	1	100
RAG1	1	AfrAmr	2	50
RBM33	1	AfrAmr	2	50
SCARA3	1	AfrAmr	1	100
SLC35F1	1	AfrAmr	1	100
SMG5	1	AfrAmr	1	100
SMURF1	1	AfrAmr	1	100
TINAG	1	AfrAmr	1	100
TNRC6B	1	AfrAmr	2	50
UBP1	1	AfrAmr	1	100
VHL	1	AfrAmr	4	25
ZMIZ1	1	AfrAmr	2	50
ZNF337	1	AfrAmr	1	100
ATP7B	1	AfrAmr	1	100
C19orf54	1	AfrAmr	2	50
EGR2	1	AfrAmr	1	100
HNF4G	1	AfrAmr	1	100
HSPA8	1	AfrAmr	2	50
MACF1	1	AfrAmr	2	50
MECOM	1	AfrAmr	1	100
PRAM1	1	AfrAmr	1	100
RD3	1	AfrAmr	1	100
SFPQ	1	AfrAmr	1	100
SIRPA	1	AfrAmr	1	100
SSC5D	1	AfrAmr	1	100
TACR3	1	AfrAmr	1	100
ZXDA	1	AfrAmr	2	50
AARS	1	AfrAmr	1	100
ADAM11	1	AfrAmr	1	100
ANGEL2	1	AfrAmr	1	100
ATP8A1	1	AfrAmr	1	100
AVIL	1	AfrAmr	1	100
BUB1B	1	AfrAmr	2	50
C3orf38	1	AfrAmr	1	100
CTBP2	1	AfrAmr	1	100
DDX60L	1	AfrAmr	2	50
DIP2C	1	AfrAmr	1	100
EPS15L1	1	AfrAmr	1	100
ERICH6	1	AfrAmr	1	100
FOXRED2	1	AfrAmr	1	100
GPR179	1	AfrAmr	1	100
GRSF1	1	AfrAmr	1	100
GUSB	1	AfrAmr	1	100
HSD17B2	1	AfrAmr	1	100
IQGAP3	1	AfrAmr	1	100
KIAA1549	1	AfrAmr	2	50
KIF7	1	AfrAmr	1	100
KLHL13	1	AfrAmr	2	50
KMT2C	1	AfrAmr	3	33.33333333333333
LARS2	1	AfrAmr	1	100
LDHAL6B	1	AfrAmr	1	100
MCM2	1	AfrAmr	1	100
MPRIP	1	AfrAmr	1	100
MTDH	1	AfrAmr	1	100
MYCBP2	1	AfrAmr	2	50
NEU1	1	AfrAmr	1	100
NUMA1	1	AfrAmr	1	100
NWD1	1	AfrAmr	1	100
PAPD4	1	AfrAmr	1	100
PDIA6	1	AfrAmr	1	100
PIDD1	1	AfrAmr	1	100
PKHD1	1	AfrAmr	2	50
PLEKHA3	1	AfrAmr	1	100
POC1B	1	AfrAmr	1	100
PRKDC	1	AfrAmr	2	50
PSD3	1	AfrAmr	1	100
RICTOR	1	AfrAmr	1	100
RNF6	1	AfrAmr	1	100
RORA	1	AfrAmr	1	100
RPS19	1	AfrAmr	1	100
