hugo_symbol	n.x	status	n.y	perc
ABCB5	1	AfrAmr	5	20
ABCG4	1	AfrAmr	2	50
ACAA2	1	AfrAmr	1	100
ADAM2	1	AfrAmr	5	20
ADAMTS13	1	AfrAmr	1	100
ADAMTS16	1	AfrAmr	4	25
ADAMTS18	1	AfrAmr	2	50
ADGRB3	1	AfrAmr	4	25
ADGRG4	1	AfrAmr	9	11.11111111111111
ADH4	1	AfrAmr	1	100
ADRA2B	1	AfrAmr	2	50
AEBP2	1	AfrAmr	1	100
AFF2	1	AfrAmr	9	11.11111111111111
AGXT	1	AfrAmr	1	100
AK9	1	AfrAmr	1	100
AMELY	1	AfrAmr	1	100
ANAPC4	1	AfrAmr	3	33.33333333333333
ANK2	1	AfrAmr	10	10
ANLN	1	AfrAmr	3	33.33333333333333
ANP32E	1	AfrAmr	1	100
APOB	1	AfrAmr	7	14.285714285714285
APTX	1	AfrAmr	1	100
ARCN1	1	AfrAmr	1	100
ARSF	1	AfrAmr	2	50
ASCC3	1	AfrAmr	3	33.33333333333333
ASTL	1	AfrAmr	1	100
ASTN1	1	AfrAmr	10	10
ATN1	1	AfrAmr	1	100
ATP2B3	1	AfrAmr	2	50
BCR	1	AfrAmr	2	50
BDH2	1	AfrAmr	1	100
BIRC6	3	AfrAmr	5	60
BLMH	2	AfrAmr	1	200
BMS1	1	AfrAmr	2	50
BRCC3	1	AfrAmr	1	100
BTBD7	1	AfrAmr	2	50
C1orf141	1	AfrAmr	1	100
C7orf34	1	AfrAmr	2	50
CACNG3	1	AfrAmr	1	100
CADPS	1	AfrAmr	3	33.33333333333333
CASP1	1	AfrAmr	1	100
CCDC102B	1	AfrAmr	3	33.33333333333333
CD209	1	AfrAmr	1	100
CD6	1	AfrAmr	2	50
CDH13	1	AfrAmr	2	50
CDK17	1	AfrAmr	1	100
CDS1	1	AfrAmr	1	100
CENPA	1	AfrAmr	1	100
CEP152	1	AfrAmr	3	33.33333333333333
CEP162	1	AfrAmr	3	33.33333333333333
CFC1	1	AfrAmr	1	100
CHN2	1	AfrAmr	2	50
CHST2	1	AfrAmr	2	50
CNTNAP2	1	AfrAmr	9	11.11111111111111
