hugo_symbol	n.x	status	n.y	perc
ABCA13	1	AfrAmr	2	50
ABCG8	1	AfrAmr	3	33.33333333333333
ACER2	1	AfrAmr	1	100
ACTC1	1	AfrAmr	2	50
ACTL9	1	AfrAmr	2	50
ACTN4	1	AfrAmr	1	100
ACTRT1	2	AfrAmr	2	100
ADAM18	1	AfrAmr	1	100
ADAMTSL3	1	AfrAmr	3	33.33333333333333
ADGRE3	1	AfrAmr	1	100
AHNAK	1	AfrAmr	6	16.666666666666664
ALPK1	2	AfrAmr	1	200
ALS2CL	1	AfrAmr	1	100
AMER1	1	AfrAmr	2	50
ANAPC5	1	AfrAmr	1	100
ANK2	1	AfrAmr	7	14.285714285714285
ANK3	1	AfrAmr	5	20
ANKRD35	1	AfrAmr	3	33.33333333333333
ANXA10	1	AfrAmr	1	100
APLF	1	AfrAmr	1	100
AQP8	1	AfrAmr	1	100
AREL1	1	AfrAmr	1	100
ARHGAP12	1	AfrAmr	3	33.33333333333333
ARHGEF18	1	AfrAmr	2	50
ARMCX3	1	AfrAmr	1	100
ASB12	1	AfrAmr	2	50
ASB9	1	AfrAmr	2	50
ASTN2	2	AfrAmr	5	40
ATF2	1	AfrAmr	1	100
ATP4B	1	AfrAmr	1	100
ATP8B2	1	AfrAmr	2	50
ATP8B4	1	AfrAmr	2	50
ATRX	1	AfrAmr	2	50
BBS7	1	AfrAmr	1	100
BCORL1	1	AfrAmr	1	100
BPIFB4	1	AfrAmr	3	33.33333333333333
BPIFC	1	AfrAmr	1	100
BRF1	1	AfrAmr	1	100
BRPF1	1	AfrAmr	1	100
BRWD3	1	AfrAmr	2	50
BTLA	1	AfrAmr	1	100
BUB1B	1	AfrAmr	2	50
C1orf94	1	AfrAmr	1	100
C7	1	AfrAmr	1	100
C9orf131	1	AfrAmr	1	100
C9orf78	1	AfrAmr	1	100
CACNA1C	1	AfrAmr	2	50
CACNA1F	1	AfrAmr	1	100
CACNA2D4	1	AfrAmr	1	100
CAMLG	1	AfrAmr	1	100
CARD6	1	AfrAmr	4	25
CASR	1	AfrAmr	1	100
CCDC141	1	AfrAmr	4	25
CCDC85A	1	AfrAmr	3	33.33333333333333
CCNB3	1	AfrAmr	1	100
CD207	1	AfrAmr	2	50
CDH18	1	AfrAmr	6	16.666666666666664
CDH23	1	AfrAmr	4	25
CDH8	1	AfrAmr	5	20
CDHR1	1	AfrAmr	1	100
CDHR5	1	AfrAmr	1	100
CDK18	1	AfrAmr	1	100
CEACAM20	1	AfrAmr	2	50
CERS2	1	AfrAmr	1	100
