hugo_symbol	n.x	status	n.y	perc
A1CF	1	AfrAmr	1	100
A2ML1	1	AfrAmr	3	33.33333333333333
AADAC	1	AfrAmr	1	100
ABCB8	1	AfrAmr	1	100
ABCC8	1	AfrAmr	1	100
ABCG4	1	AfrAmr	1	100
ACAN	1	AfrAmr	2	50
ACE	1	AfrAmr	2	50
ACHE	1	AfrAmr	1	100
ACIN1	1	AfrAmr	2	50
ACTA1	1	AfrAmr	1	100
ACTR10	1	AfrAmr	1	100
ACVR1B	1	AfrAmr	1	100
ADAD1	1	AfrAmr	1	100
ADAMTS1	1	AfrAmr	2	50
ADCY3	1	AfrAmr	1	100
ADD3	1	AfrAmr	1	100
ADGRF4	1	AfrAmr	1	100
ADGRV1	1	AfrAmr	1	100
ADIPOR2	1	AfrAmr	1	100
ADRA2A	1	AfrAmr	1	100
ADRB1	1	AfrAmr	1	100
AFAP1	1	AfrAmr	1	100
AFF2	1	AfrAmr	1	100
AFG3L2	1	AfrAmr	1	100
AGMAT	1	AfrAmr	1	100
AGTPBP1	1	AfrAmr	1	100
AIG1	1	AfrAmr	1	100
AIM1L	1	AfrAmr	1	100
AJAP1	1	AfrAmr	1	100
AKAP13	1	AfrAmr	1	100
AKAP17A	1	AfrAmr	1	100
AKAP9	1	AfrAmr	2	50
AKR7A3	1	AfrAmr	1	100
AKT3	1	AfrAmr	1	100
ALAS1	1	AfrAmr	2	50
ALDH18A1	1	AfrAmr	1	100
ALDOC	1	AfrAmr	1	100
ALMS1	1	AfrAmr	1	100
ALPK1	1	AfrAmr	1	100
ALPL	1	AfrAmr	1	100
AMER3	1	AfrAmr	1	100
AMHR2	1	AfrAmr	1	100
ANGPT2	1	AfrAmr	1	100
ANK2	1	AfrAmr	1	100
ANK3	1	AfrAmr	1	100
ANKMY1	1	AfrAmr	2	50
ANKRD30A	1	AfrAmr	1	100
ANKS6	1	AfrAmr	1	100
ANO3	1	AfrAmr	1	100
AP2B1	1	AfrAmr	2	50
AP3B2	1	AfrAmr	1	100
AP5B1	1	AfrAmr	1	100
APBA2	1	AfrAmr	2	50
APBA3	1	AfrAmr	1	100
APLP2	1	AfrAmr	1	100
ARAP2	1	AfrAmr	1	100
AREL1	1	AfrAmr	2	50
ARFGEF1	1	AfrAmr	1	100
ARFGEF2	1	AfrAmr	1	100
ARHGAP22	1	AfrAmr	1	100
ARHGAP31	1	AfrAmr	1	100
ARHGAP33	1	AfrAmr	1	100
ARHGAP4	1	AfrAmr	1	100
ARHGEF10L	1	AfrAmr	1	100
ARHGEF3	1	AfrAmr	1	100
ARHGEF4	1	AfrAmr	2	50
ARID2	1	AfrAmr	1	100
ARID5B	1	AfrAmr	1	100
ARPC1B	1	AfrAmr	1	100
ARRDC3	1	AfrAmr	1	100
ASTE1	1	AfrAmr	1	100
ASXL1	1	AfrAmr	1	100
ATAT1	1	AfrAmr	1	100
ATIC	1	AfrAmr	1	100
ATP10A	1	AfrAmr	2	50
ATP11A	1	AfrAmr	1	100
ATP1A2	1	AfrAmr	1	100
ATP6V1C2	1	AfrAmr	1	100
ATP7A	1	AfrAmr	1	100
ATP9B	1	AfrAmr	1	100
ATXN7	1	AfrAmr	1	100
AXIN1	1	AfrAmr	1	100
B3GALT4	1	AfrAmr	1	100
B3GAT1	1	AfrAmr	1	100
BBS12	1	AfrAmr	1	100
BCL7C	1	AfrAmr	1	100
BCL9	1	AfrAmr	2	50
BIRC6	1	AfrAmr	1	100
BIVM-ERCC5	1	AfrAmr	1	100
BLM	1	AfrAmr	1	100
BLOC1S1	1	AfrAmr	1	100
BMP1	1	AfrAmr	1	100
BMP3	1	AfrAmr	1	100
BMP4	1	AfrAmr	1	100
BMPR1B	1	AfrAmr	1	100
BPHL	1	AfrAmr	1	100
BRD9	1	AfrAmr	1	100
BRINP3	1	AfrAmr	1	100
BSCL2	1	AfrAmr	1	100
BSN	1	AfrAmr	1	100
BTBD17	1	AfrAmr	2	50
BTBD9	1	AfrAmr	2	50
C10orf2	1	AfrAmr	1	100
C17orf47	1	AfrAmr	1	100
C17orf74	1	AfrAmr	1	100
C18orf54	1	AfrAmr	1	100
C18orf8	1	AfrAmr	1	100
C1orf109	1	AfrAmr	1	100
C1R	1	AfrAmr	1	100
C3orf30	1	AfrAmr	1	100
C4orf26	1	AfrAmr	1	100
C6orf1	1	AfrAmr	1	100
C9orf172	1	AfrAmr	2	50
CABLES2	1	AfrAmr	1	100
CACHD1	1	AfrAmr	1	100
CACNA1S	1	AfrAmr	2	50
CACNA2D3	1	AfrAmr	3	33.33333333333333
CACTIN	1	AfrAmr	1	100
CAMSAP1	1	AfrAmr	1	100
CAPN1	1	AfrAmr	2	50
CAPN9	1	AfrAmr	1	100
CARD10	1	AfrAmr	1	100
CARNS1	1	AfrAmr	1	100
CASQ2	1	AfrAmr	1	100
CASZ1	1	AfrAmr	1	100
CATSPER4	1	AfrAmr	1	100
CATSPERB	1	AfrAmr	2	50
CBFA2T2	1	AfrAmr	1	100
CBLN2	1	AfrAmr	1	100
CCBL1	1	AfrAmr	1	100
CCDC121	1	AfrAmr	1	100
CCDC129	1	AfrAmr	1	100
CCDC141	1	AfrAmr	1	100
CCDC86	1	AfrAmr	1	100
CCKBR	1	AfrAmr	2	50
CCL2	1	AfrAmr	1	100
CCND1	1	AfrAmr	1	100
CD200R1L	1	AfrAmr	1	100
CD40LG	1	AfrAmr	1	100
CD6	1	AfrAmr	1	100
CD84	1	AfrAmr	1	100
CDC20	1	AfrAmr	1	100
CDCP1	1	AfrAmr	1	100
CDH1	1	AfrAmr	2	50
CDH17	1	AfrAmr	2	50
CDH5	1	AfrAmr	1	100
CDH7	1	AfrAmr	1	100
CDH9	1	AfrAmr	1	100
CDHR1	1	AfrAmr	1	100
CDHR5	1	AfrAmr	1	100
CDK5RAP2	1	AfrAmr	2	50
CDYL2	1	AfrAmr	1	100
CELSR1	2	AfrAmr	1	200
CELSR3	2	AfrAmr	2	100
CENPC	2	AfrAmr	1	200
CENPF	1	AfrAmr	1	100
CENPT	1	AfrAmr	1	100
CEP131	1	AfrAmr	1	100
CEP290	1	AfrAmr	1	100
CFAP46	1	AfrAmr	1	100
CFI	1	AfrAmr	1	100
CFTR	1	AfrAmr	1	100
CHAF1A	1	AfrAmr	1	100
CHD5	1	AfrAmr	4	25
CHD6	1	AfrAmr	1	100
CHDH	1	AfrAmr	2	50
CHRDL1	1	AfrAmr	1	100
CHRNB4	1	AfrAmr	1	100
CHST5	1	AfrAmr	1	100
CHST6	1	AfrAmr	2	50
CILP2	1	AfrAmr	1	100
CIT	1	AfrAmr	1	100
CLDN9	1	AfrAmr	2	50
CLIP1	1	AfrAmr	3	33.33333333333333
CLK3	1	AfrAmr	1	100
CMIP	1	AfrAmr	2	50
CMTM5	1	AfrAmr	1	100
CNDP1	1	AfrAmr	1	100
CNGA3	1	AfrAmr	1	100
CNKSR1	1	AfrAmr	1	100
CNR1	1	AfrAmr	1	100
CNST	1	AfrAmr	1	100
CNTLN	1	AfrAmr	1	100
CNTNAP2	1	AfrAmr	1	100
COL12A1	2	AfrAmr	1	200
COL2A1	1	AfrAmr	2	50
COL6A2	1	AfrAmr	3	33.33333333333333
COL9A1	1	AfrAmr	1	100
COLGALT1	1	AfrAmr	1	100
COMMD10	1	AfrAmr	1	100
COMMD5	1	AfrAmr	1	100
COPS2	1	AfrAmr	1	100
COQ3	1	AfrAmr	1	100
CORIN	1	AfrAmr	1	100
COX4I1	1	AfrAmr	2	50
CPA5	1	AfrAmr	1	100
CR1L	1	AfrAmr	1	100
CRABP2	1	AfrAmr	1	100
CRISPLD1	1	AfrAmr	1	100
CSMD2	1	AfrAmr	1	100
CSPP1	1	AfrAmr	2	50
CTDP1	1	AfrAmr	1	100
CTHRC1	1	AfrAmr	1	100
CTIF	1	AfrAmr	1	100
CWF19L2	1	AfrAmr	1	100
CXCR1	1	AfrAmr	1	100
CYP26C1	1	AfrAmr	1	100
CYP2B6	2	AfrAmr	1	200
CYP2D6	1	AfrAmr	1	100
DAGLB	1	AfrAmr	2	50
DBN1	1	AfrAmr	1	100
DCAF4L2	1	AfrAmr	1	100
DCANP1	1	AfrAmr	1	100
DCC	1	AfrAmr	3	33.33333333333333
DCDC1	2	AfrAmr	1	200
DCLK2	1	AfrAmr	1	100
DCLRE1A	1	AfrAmr	1	100
DCT	1	AfrAmr	1	100
DDX60L	1	AfrAmr	1	100
DENND4A	1	AfrAmr	1	100
DEPDC1B	1	AfrAmr	2	50
DHODH	1	AfrAmr	1	100
DHTKD1	1	AfrAmr	1	100
DHX38	2	AfrAmr	1	200
DHX40	1	AfrAmr	1	100
DHX58	1	AfrAmr	1	100
DIDO1	1	AfrAmr	1	100
DIEXF	1	AfrAmr	1	100
DIXDC1	1	AfrAmr	1	100
DLAT	1	AfrAmr	1	100
DLEC1	1	AfrAmr	1	100
DLG1	1	AfrAmr	2	50
DLGAP1	1	AfrAmr	2	50
DMAP1	1	AfrAmr	1	100
DMBT1	1	AfrAmr	1	100
DMXL1	1	AfrAmr	1	100
DNAAF5	1	AfrAmr	2	50
DNAH10	1	AfrAmr	2	50
DNAH8	1	AfrAmr	2	50
DNAJB11	1	AfrAmr	1	100
DNAJC28	1	AfrAmr	1	100
DNASE1L2	1	AfrAmr	1	100
