hugo_symbol	n.x	status	n.y	perc
ABCA13	1	AfrAmr	5	20
ABHD17B	1	AfrAmr	1	100
ACTR6	1	AfrAmr	1	100
ADAM10	1	AfrAmr	1	100
ADAR	1	AfrAmr	1	100
AKAP11	1	AfrAmr	1	100
APPL2	1	AfrAmr	1	100
ARPP21	1	AfrAmr	3	33.33333333333333
ARSJ	1	AfrAmr	1	100
ASB6	1	AfrAmr	1	100
ATXN10	1	AfrAmr	2	50
BARD1	1	AfrAmr	2	50
BAZ2A	1	AfrAmr	1	100
BAZ2B	1	AfrAmr	2	50
BCHE	1	AfrAmr	1	100
CEP250	1	AfrAmr	3	33.33333333333333
CEP76	1	AfrAmr	2	50
CERS3	1	AfrAmr	1	100
COL14A1	1	AfrAmr	3	33.33333333333333
COL24A1	1	AfrAmr	2	50
COL8A1	1	AfrAmr	2	50
CPSF1	1	AfrAmr	1	100
CTNNAL1	1	AfrAmr	2	50
DCAF4	1	AfrAmr	1	100
DHX36	1	AfrAmr	1	100
DNAH10	1	AfrAmr	4	25
DPRX	1	AfrAmr	2	50
DPYSL5	1	AfrAmr	2	50
EDDM3A	1	AfrAmr	1	100
EVPL	1	AfrAmr	2	50
FAT1	1	AfrAmr	5	20
FRMPD1	1	AfrAmr	3	33.33333333333333
GABRA1	1	AfrAmr	1	100
GALNT9	1	AfrAmr	1	100
GGCX	1	AfrAmr	1	100
GLB1L	1	AfrAmr	1	100
GNPAT	1	AfrAmr	2	50
GPM6A	1	AfrAmr	1	100
GTF3C3	1	AfrAmr	2	50
GTF3C4	1	AfrAmr	1	100
HAPLN3	1	AfrAmr	2	50
HIPK1	1	AfrAmr	1	100
HIST3H2A	1	AfrAmr	1	100
IFT172	1	AfrAmr	2	50
IGKV1D-42	1	AfrAmr	3	33.33333333333333
KAT5	1	AfrAmr	2	50
KDM1A	1	AfrAmr	1	100
KLF1	1	AfrAmr	1	100
KRTAP1-3	1	AfrAmr	1	100
LIN54	1	AfrAmr	1	100
LRP1B	1	AfrAmr	10	10
LRSAM1	1	AfrAmr	2	50
LY6D	1	AfrAmr	1	100
MED10	1	AfrAmr	1	100
MESP2	1	AfrAmr	1	100
MPP2	1	AfrAmr	1	100
MRPL4	2	AfrAmr	1	200
MYO9A	1	AfrAmr	3	33.33333333333333
NDRG3	1	AfrAmr	1	100
NELL1	1	AfrAmr	1	100
NLRP10	1	AfrAmr	2	50
NLRP5	1	AfrAmr	1	100
NOP58	1	AfrAmr	1	100
NPHP3	1	AfrAmr	1	100
NUFIP2	1	AfrAmr	2	50
NUGGC	1	AfrAmr	1	100
OR10X1	1	AfrAmr	1	100
OR2M4	1	AfrAmr	1	100
OR4C15	1	AfrAmr	2	50
P2RY1	1	AfrAmr	1	100
PCDHA10	1	AfrAmr	3	33.33333333333333
PCDHA13	1	AfrAmr	3	33.33333333333333
PDE3A	1	AfrAmr	2	50
PEX12	1	AfrAmr	1	100
PFKFB3	1	AfrAmr	1	100
PIP4K2A	1	AfrAmr	1	100
PKHD1	1	AfrAmr	4	25
PLEKHG4	1	AfrAmr	1	100
PPP2R5D	1	AfrAmr	1	100
PPP4R1	1	AfrAmr	1	100
PRC1	1	AfrAmr	1	100
PRMT2	1	AfrAmr	1	100
PRR30	1	AfrAmr	1	100
PRTG	1	AfrAmr	1	100
PTCHD2	1	AfrAmr	2	50
RANBP10	1	AfrAmr	2	50
RARG	1	AfrAmr	1	100
RGS7BP	1	AfrAmr	1	100
RIOK3	1	AfrAmr	1	100
RIPK4	1	AfrAmr	2	50
RNF111	1	AfrAmr	2	50
RPS3	1	AfrAmr	1	100
RRAS2	1	AfrAmr	1	100
SHC4	1	AfrAmr	2	50
SI	1	AfrAmr	2	50
SIPA1L3	1	AfrAmr	1	100
SLAMF7	1	AfrAmr	1	100
SLC7A14	1	AfrAmr	1	100
SLC8B1	1	AfrAmr	2	50
SMG1	1	AfrAmr	4	25
SPRY3	1	AfrAmr	1	100
SRPR	1	AfrAmr	1	100
SSFA2	1	AfrAmr	2	50
STK4	1	AfrAmr	1	100
TBPL1	1	AfrAmr	1	100
TMEM2	1	AfrAmr	2	50
TMEM87A	1	AfrAmr	1	100
TNN	1	AfrAmr	1	100
TNR	1	AfrAmr	3	33.33333333333333
TP53	1	AfrAmr	26	3.8461538461538463
TRAPPC9	1	AfrAmr	3	33.33333333333333
TRIM42	1	AfrAmr	3	33.33333333333333
TSLP	1	AfrAmr	1	100
USP5	1	AfrAmr	1	100
UTRN	1	AfrAmr	3	33.33333333333333
VANGL2	1	AfrAmr	1	100
VCL	1	AfrAmr	1	100
WAPAL	1	AfrAmr	1	100
WEE1	1	AfrAmr	1	100
WTAP	1	AfrAmr	1	100
WWOX	1	AfrAmr	1	100
ZDHHC20	1	AfrAmr	1	100
ZFR	1	AfrAmr	1	100
ZMAT2	1	AfrAmr	2	50
ZNF318	1	AfrAmr	4	25
ZNF425	1	AfrAmr	2	50
ZNF658	1	AfrAmr	1	100
ZNF682	1	AfrAmr	1	100
ZNF724P	1	AfrAmr	2	50
ADGRA1	1	AfrAmr	1	100
ARAP3	1	AfrAmr	2	50
ARID5A	1	AfrAmr	2	50
ATP2C2	1	AfrAmr	2	50
ATR	1	AfrAmr	1	100
BST1	1	AfrAmr	1	100
C1GALT1	1	AfrAmr	1	100
C8orf59	1	AfrAmr	1	100
CARD11	1	AfrAmr	1	100
CHD7	1	AfrAmr	3	33.33333333333333
CLDN17	1	AfrAmr	1	100
CNTNAP2	1	AfrAmr	5	20
CYB561A3	1	AfrAmr	1	100
CYLC2	1	AfrAmr	1	100
ECHS1	1	AfrAmr	1	100
EDRF1	1	AfrAmr	2	50
EMILIN3	1	AfrAmr	1	100
EP300	1	AfrAmr	3	33.33333333333333
FABP3	1	AfrAmr	1	100
FAM21A	1	AfrAmr	1	100
FAT1	1	AfrAmr	5	20
FGD4	1	AfrAmr	1	100
FLT3	1	AfrAmr	1	100
FZD1	1	AfrAmr	2	50
GK2	1	AfrAmr	1	100
GLP2R	1	AfrAmr	3	33.33333333333333
GON4L	1	AfrAmr	1	100
GPR61	1	AfrAmr	1	100
HAPLN2	1	AfrAmr	1	100
HGD	1	AfrAmr	1	100
KCNAB3	1	AfrAmr	1	100
KRT5	1	AfrAmr	1	100
LARS2	1	AfrAmr	1	100
LRIF1	1	AfrAmr	1	100
MAATS1	1	AfrAmr	1	100
MICU1	1	AfrAmr	1	100
NAA20	1	AfrAmr	1	100
NCBP1	1	AfrAmr	1	100
NOTCH1	1	AfrAmr	7	14.285714285714285
NR4A3	1	AfrAmr	1	100
NUP50	1	AfrAmr	2	50
OLFML2A	1	AfrAmr	1	100
OR13F1	1	AfrAmr	2	50
OXER1	1	AfrAmr	1	100
PAN3	1	AfrAmr	1	100
PCDH15	1	AfrAmr	4	25
PIBF1	1	AfrAmr	1	100
PKD1L1	1	AfrAmr	1	100
PLEKHG1	1	AfrAmr	2	50
PRMT3	1	AfrAmr	1	100
PSG3	1	AfrAmr	1	100
RERE	1	AfrAmr	1	100
RIF1	1	AfrAmr	1	100
RNF14	1	AfrAmr	2	50
RNF213	2	AfrAmr	2	100
RRAGC	1	AfrAmr	1	100
RTP2	1	AfrAmr	1	100
SFRP4	1	AfrAmr	1	100
SH3KBP1	1	AfrAmr	1	100
SIL1	1	AfrAmr	1	100
SLC11A2	1	AfrAmr	1	100
SLITRK5	1	AfrAmr	4	25
SMARCC2	1	AfrAmr	1	100
SNW1	1	AfrAmr	2	50
SUGCT	1	AfrAmr	1	100
SUN2	1	AfrAmr	1	100
SYNRG	1	AfrAmr	2	50
TGFBR3	2	AfrAmr	1	200
TMEM53	2	AfrAmr	1	200
TMOD4	1	AfrAmr	2	50
TNPO1	1	AfrAmr	2	50
TNRC6B	1	AfrAmr	1	100
TTC19	1	AfrAmr	1	100
UGT2B4	1	AfrAmr	1	100
USP48	1	AfrAmr	1	100
WDR89	1	AfrAmr	1	100
ZNF19	1	AfrAmr	1	100
ZNF493	1	AfrAmr	1	100
ZNF75D	1	AfrAmr	2	50
ZPR1	1	AfrAmr	1	100
ABCC8	1	AfrAmr	2	50
ACTC1	1	AfrAmr	2	50
ADAMTS16	1	AfrAmr	2	50
ADGRF2	1	AfrAmr	1	100
AHNAK	1	AfrAmr	6	16.666666666666664
AHRR	1	AfrAmr	1	100
AKAP13	1	AfrAmr	1	100
AKAP9	1	AfrAmr	3	33.33333333333333
AKR1B10	1	AfrAmr	2	50
AMIGO2	1	AfrAmr	1	100
AMY2A	1	AfrAmr	1	100
ANAPC1	1	AfrAmr	1	100
ARHGAP6	1	AfrAmr	1	100
ARL6IP6	1	AfrAmr	1	100
ASAP1	1	AfrAmr	2	50
BID	1	AfrAmr	1	100
BRINP2	1	AfrAmr	1	100
C2CD5	1	AfrAmr	2	50
C7	1	AfrAmr	1	100
CAPZB	1	AfrAmr	1	100
CASQ2	2	AfrAmr	2	100
CDC14A	1	AfrAmr	1	100
CDH5	1	AfrAmr	2	50
CDH7	2	AfrAmr	1	200
CFAP47	1	AfrAmr	1	100
CFHR2	1	AfrAmr	1	100
CLCN2	1	AfrAmr	1	100
CTTNBP2NL	1	AfrAmr	1	100
CUL9	2	AfrAmr	2	100
DEFB112	1	AfrAmr	1	100
DNAH8	1	AfrAmr	4	25
ENPEP	1	AfrAmr	2	50
ENTPD1	1	AfrAmr	1	100
EPAS1	1	AfrAmr	2	50
EYA1	1	AfrAmr	3	33.33333333333333
FAM13B	1	AfrAmr	1	100
FBL	1	AfrAmr	1	100
FBN2	1	AfrAmr	2	50
FCRLA	1	AfrAmr	1	100
FER1L6	1	AfrAmr	2	50
FNIP2	1	AfrAmr	2	50
