hugo_symbol	n.x	status	n.y	perc
ATP6V1B1	1	AfrAmr	1	100
DMD	1	AfrAmr	1	100
DST	1	AfrAmr	1	100
KRT85	1	AfrAmr	1	100
MTM1	1	AfrAmr	1	100
MUC6	1	AfrAmr	1	100
MYO5C	1	AfrAmr	1	100
NACC2	1	AfrAmr	1	100
PCDHGC3	1	AfrAmr	1	100
PPM1G	1	AfrAmr	1	100
RBM47	1	AfrAmr	1	100
RUFY3	1	AfrAmr	1	100
SCG2	1	AfrAmr	1	100
SKI	1	AfrAmr	1	100
THOC2	1	AfrAmr	1	100
ZCCHC6	1	AfrAmr	1	100
ZNF445	1	AfrAmr	1	100
ADAMTS4	1	AfrAmr	1	100
ATMIN	1	AfrAmr	1	100
CTDP1	1	AfrAmr	1	100
DCST2	1	AfrAmr	1	100
INS-IGF2	1	AfrAmr	1	100
NLRP11	1	AfrAmr	1	100
OR6F1	1	AfrAmr	1	100
RGS16	1	AfrAmr	1	100
SPTA1	1	AfrAmr	1	100
SRRM2	1	AfrAmr	1	100
TBCC	1	AfrAmr	1	100
TMEM108	1	AfrAmr	1	100
ANKRD36	1	AfrAmr	1	100
DDX24	1	AfrAmr	1	100
DSCAM	1	AfrAmr	1	100
KIAA0430	1	AfrAmr	1	100
KMT2D	1	AfrAmr	1	100
MUC21	1	AfrAmr	1	100
NUDT9	1	AfrAmr	1	100
SMCO2	1	AfrAmr	1	100
VWCE	1	AfrAmr	1	100
CTH	1	AfrAmr	1	100
DSG1	1	AfrAmr	1	100
HMHA1	1	AfrAmr	1	100
KIAA1211	1	AfrAmr	1	100
KRT84	1	AfrAmr	1	100
NAA40	1	AfrAmr	1	100
OASL	1	AfrAmr	1	100
OSBP2	1	AfrAmr	1	100
ZCCHC2	1	AfrAmr	1	100
ARID5B	0	AfrAmr	0	0
ASIC3	0	AfrAmr	0	0
ATP1B3	0	AfrAmr	0	0
CFAP47	0	AfrAmr	0	0
CUBN	0	AfrAmr	0	0
GPR27	0	AfrAmr	0	0
KATNB1	0	AfrAmr	0	0
KRT20	0	AfrAmr	0	0
MAPK7	0	AfrAmr	0	0
MED17	0	AfrAmr	0	0
MESDC1	0	AfrAmr	0	0
NMRK1	0	AfrAmr	0	0
NOXA1	0	AfrAmr	0	0
NTRK3	0	AfrAmr	0	0
PHRF1	0	AfrAmr	0	0
POU5F2	0	AfrAmr	0	0
PTEN	0	AfrAmr	0	0
PTPRN2	0	AfrAmr	0	0
SFI1	0	AfrAmr	0	0
THADA	0	AfrAmr	0	0
TNFSF13	0	AfrAmr	0	0
UBR4	0	AfrAmr	0	0
USP9X	0	AfrAmr	0	0
WDR62	0	AfrAmr	0	0
ZBBX	0	AfrAmr	0	0
ZNF469	0	AfrAmr	0	0
ANKRD11	0	AfrAmr	0	0
EHBP1L1	0	AfrAmr	0	0
FAM98B	0	AfrAmr	0	0
FAT1	0	AfrAmr	0	0
FSIP2	0	AfrAmr	0	0
HECW2	0	AfrAmr	0	0
IFNLR1	0	AfrAmr	0	0
ITGAM	0	AfrAmr	0	0
KCNS2	0	AfrAmr	0	0
KIAA1324	0	AfrAmr	0	0
NLRP8	0	AfrAmr	0	0
NPHS1	0	AfrAmr	0	0
PCDHB9	0	AfrAmr	0	0
PIAS2	0	AfrAmr	0	0
POLR2A	0	AfrAmr	0	0
PRDM8	0	AfrAmr	0	0
PRKCG	0	AfrAmr	0	0
RCN3	0	AfrAmr	0	0
SLC9C2	0	AfrAmr	0	0
SPAG17	0	AfrAmr	0	0
SYNE1	0	AfrAmr	0	0
TMEM184B	0	AfrAmr	0	0
TP53	0	AfrAmr	0	0
ALDH1A3	0	AfrAmr	0	0
ANXA8	0	AfrAmr	0	0
CNDP1	0	AfrAmr	0	0
FKBP9	0	AfrAmr	0	0
HAS3	0	AfrAmr	0	0
INVS	0	AfrAmr	0	0
MRGPRX3	0	AfrAmr	0	0
MYT1	0	AfrAmr	0	0
SERPINB12	0	AfrAmr	0	0
SOX13	0	AfrAmr	0	0
SRGAP2C	0	AfrAmr	0	0
UBQLN1	0	AfrAmr	0	0
ANKRD36B	0	AfrAmr	0	0
CXorf66	0	AfrAmr	0	0
DUSP21	0	AfrAmr	0	0
DYNC2H1	0	AfrAmr	0	0
KIAA1755	0	AfrAmr	0	0
MAPKAP1	0	AfrAmr	0	0
MEGF10	0	AfrAmr	0	0
MTL5	0	AfrAmr	0	0
PCDH11X	0	AfrAmr	0	0
REV1	0	AfrAmr	0	0
TSC1	0	AfrAmr	0	0
ACTL10	0	AfrAmr	0	0
APOO	0	AfrAmr	0	0
ASTN1	0	AfrAmr	0	0
BEND6	0	AfrAmr	0	0
CACNA1C	0	AfrAmr	0	0
CSF1R	0	AfrAmr	0	0
EXOC8	0	AfrAmr	0	0
FAM189B	0	AfrAmr	0	0
HSPA12B	0	AfrAmr	0	0
PPRC1	0	AfrAmr	0	0
RCVRN	0	AfrAmr	0	0
TCF4	0	AfrAmr	0	0
ANP32A	0	AfrAmr	0	0
BCLAF1	0	AfrAmr	0	0
C10orf120	0	AfrAmr	0	0
CCDC66	0	AfrAmr	0	0
CHD4	0	AfrAmr	0	0
GRID2	0	AfrAmr	0	0
LRRK1	0	AfrAmr	0	0
LSM14A	0	AfrAmr	0	0
MLXIPL	0	AfrAmr	0	0
NPTX2	0	AfrAmr	0	0
PNP	0	AfrAmr	0	0
PROP1	0	AfrAmr	0	0
SMARCA2	0	AfrAmr	0	0
TACC3	0	AfrAmr	0	0
TMEM27	0	AfrAmr	0	0
ZNF354C	0	AfrAmr	0	0
