hugo_symbol	n.x	status	n.y	perc
ABCB5	1	AfrAmr	4	25
ABCG4	1	AfrAmr	2	50
ACAA2	1	AfrAmr	1	100
ADAM2	1	AfrAmr	6	16.666666666666664
ADAM33	1	AfrAmr	1	100
ADAMTS13	1	AfrAmr	2	50
ADAMTS16	1	AfrAmr	4	25
ADAMTS18	1	AfrAmr	3	33.33333333333333
ADAMTSL3	1	AfrAmr	7	14.285714285714285
ADGRB3	1	AfrAmr	4	25
ADGRE1	1	AfrAmr	2	50
ADGRG4	1	AfrAmr	13	7.6923076923076925
ADH4	1	AfrAmr	1	100
ADRA2B	1	AfrAmr	2	50
AEBP2	1	AfrAmr	1	100
AFF2	1	AfrAmr	11	9.090909090909092
AGAP3	1	AfrAmr	2	50
AGXT	1	AfrAmr	1	100
AK9	1	AfrAmr	1	100
ALDH1L1	1	AfrAmr	5	20
ALOX5AP	1	AfrAmr	1	100
AMELY	1	AfrAmr	1	100
AMOTL1	1	AfrAmr	1	100
ANAPC4	1	AfrAmr	4	25
ANK2	1	AfrAmr	11	9.090909090909092
ANLN	1	AfrAmr	3	33.33333333333333
ANP32E	1	AfrAmr	1	100
AP3D1	1	AfrAmr	1	100
APOB	1	AfrAmr	8	12.5
APTX	1	AfrAmr	1	100
ARCN1	1	AfrAmr	1	100
ARPIN	1	AfrAmr	1	100
ARSF	1	AfrAmr	2	50
ASCC3	1	AfrAmr	3	33.33333333333333
ASTL	1	AfrAmr	1	100
ASTN1	1	AfrAmr	12	8.333333333333332
ATN1	1	AfrAmr	1	100
ATP11C	1	AfrAmr	2	50
ATP2B3	1	AfrAmr	3	33.33333333333333
ATXN3	1	AfrAmr	1	100
BCR	1	AfrAmr	2	50
BDH2	1	AfrAmr	1	100
BIRC6	3	AfrAmr	4	75
BLMH	3	AfrAmr	1	300
BMS1	1	AfrAmr	3	33.33333333333333
BNC1	1	AfrAmr	3	33.33333333333333
BRCC3	1	AfrAmr	1	100
BTBD7	1	AfrAmr	2	50
C10orf71	1	AfrAmr	4	25
C11orf63	1	AfrAmr	2	50
C15orf27	1	AfrAmr	3	33.33333333333333
C1orf141	1	AfrAmr	2	50
C7	1	AfrAmr	3	33.33333333333333
C7orf34	1	AfrAmr	2	50
CACNB2	1	AfrAmr	5	20
CACNG3	1	AfrAmr	2	50
CADPS	1	AfrAmr	3	33.33333333333333
CASP1	1	AfrAmr	1	100
CASP9	1	AfrAmr	1	100
CCDC102B	1	AfrAmr	3	33.33333333333333
CCDC129	1	AfrAmr	4	25
CD209	1	AfrAmr	1	100
CD6	1	AfrAmr	3	33.33333333333333
CDC40	1	AfrAmr	3	33.33333333333333
CDH13	1	AfrAmr	3	33.33333333333333
CDK17	1	AfrAmr	1	100
CDS1	1	AfrAmr	1	100
CENPA	1	AfrAmr	1	100
CEP152	1	AfrAmr	3	33.33333333333333
CEP162	1	AfrAmr	4	25
CFC1	1	AfrAmr	2	50
CHN2	1	AfrAmr	2	50
CHST2	1	AfrAmr	2	50
CLSTN2	1	AfrAmr	4	25
CNBD1	1	AfrAmr	3	33.33333333333333
CNTNAP2	1	AfrAmr	10	10
CNTNAP5	2	AfrAmr	8	25
COL11A1	1	AfrAmr	15	6.666666666666667
COL21A1	1	AfrAmr	6	16.666666666666664
COL22A1	1	AfrAmr	5	20
COL4A5	1	AfrAmr	6	16.666666666666664
COL6A3	1	AfrAmr	6	16.666666666666664
COL6A6	1	AfrAmr	6	16.666666666666664
CR1L	1	AfrAmr	1	100
CREB3L3	1	AfrAmr	3	33.33333333333333
CRISPLD2	1	AfrAmr	2	50
