Values	total	status	pValue
Min.	0	AfrAmr	0.0017184246454947337
1st Qu.	1	AfrAmr	0.0017184246454947337
Median	1	AfrAmr	0.0017184246454947337
Mean	1.61702127659574	AfrAmr	0.0017184246454947337
3rd Qu.	2	AfrAmr	0.0017184246454947337
Max.	7	AfrAmr	0.0017184246454947337
Min.	0	EurAmr	0.0017184246454947337
1st Qu.	0	EurAmr	0.0017184246454947337
Median	1	EurAmr	0.0017184246454947337
Mean	1.17209302325581	EurAmr	0.0017184246454947337
3rd Qu.	1	EurAmr	0.0017184246454947337
Max.	22	EurAmr	0.0017184246454947337
